Index,authorChannelId
0,UC-K0pQo4HP0IjwDc65X4Zng
1,UC042BoatnB2tts9IwldTJpw
2,UC1ru5NEMMr6n1HyL_o_a7oQ
3,UCKjtQ77pd2xT9uimsue60Ug
4,UCL7lmLAr69g7F5nhNnH3otw
5,UCLAH57g3zXP4L0VWoMIzcow
6,UCLGl3f23i0Uq1BhuJP6Qc6A
7,UCLJbCSgRstqI_xgTj-EzFxQ
8,UCLbdxwzNrvJt-8ZznBdnqmg
9,UCLfnU4AebeC6T1yyTft-3-Q
10,UCLm87UV5VLe__Zd-WufggoA
11,UCM4mGGDJorCISmfuiFHeq5A
12,UCM7hvEMA60pkjgljyUnFGMQ
13,UC2-uN8P8V-e25jTzfIcxupQ
14,UCMBIeaJ-gZJU2cm6ZyD6mpg
15,UCMEwrZf1tu1mMX7cPKazVmQ
16,UCMKRtLxnlenU4iRBTiqBCUQ
17,UCM_BaqWFIC7mtoboBpcdBeA
18,UCMj6d0hevGiK0i7rwu1eCJA
19,UCMo9kE_vNdxOSb0EXse8gdQ
20,UCN-BQBx8yC7VRl7mnZaL3OQ
21,UCNJiOeHXakYy1-6Rgl1cQcg
22,UCNh0gIjuU4BQ0keWjtdrURw
23,UCOIz3OqCtyMXIR7G8XcPJIw
24,UC25TYOUGofAkd1UMaAMa2mg
25,UCOKIFzvEEqQ8Mcj5fOFxt1A
26,UCOK_KipjHE0ANGzvIED5-1g
27,UCO_p_XIyR_aQ7fq0ryGti7g
28,UCOewmO2GzppKiPoBSg1Jjkg
29,UCOyhpnpWPrKDSvtLG3Dvqzg
30,UCP2ybF-e-QGH2eyzZEcacRg
31,UCP9RmvEJKT7X48dTSTZu0Qw
32,UCPaitShgK85z3GPbhvzdYAA
33,UCPawHYy_W3bCFP7hile21Xg
34,UCQ6SS5UAg2VNZptof9S_LeQ
35,UC3-Ex-f951g2vMw3QNR1lfw
36,UCQ8VxibvQR7xgw2u6W44U5Q
37,UCQLZv72a6qM5LE358jeu_ww
38,UCQxOLgIameonJw-FJT1qURA
39,UCR2IHmfwixQK7eU3VXP4_fQ
40,UCR5shEYvA0QPF29UF6b4G9g
41,UCRIoaVkKX_gFItWGdvVrFiw
42,UCRN2Mpbqa9ofPLIzSfu7B7Q
43,UCRUU_lktv1x32FF0YilwUGg
44,UCRgvAJzelHuapKyA3o2Ej3Q
45,UCRo0eeQmhkliCmaizJByIUA
46,UC3EeTdqeuZLcG7CReLi1Dvw
47,UCRspY3_z213GlxQgTqnGInQ
48,UCRvxGb0Rm362ZEdBPHWm6pg
49,UCS6n6A4tqGXQKVHIDqFHjww
50,UCSMLKFBQASj59pDDIz_3KRg
51,UCSW-3v1jBWCTby3M3eusLqA
52,UCSsIBPDEQwLyN5rdTEsk3QA
53,UCStWftPM39P8BS7SuiUXiiA
54,UCTPYhimCYZUDqLZz1chtYPQ
55,UCTVZr5TVpG9kNUeYKSIkJyw
56,UCTW5u0BZ4KX3d6zPT-xvvVg
57,UC3QNa7kEJA99Eth6vJT_7bg
58,UCT_KaMl2eDGEOyjjw47nO5w
59,UCUD5HmOu_z0RfYwtjRCIhVA
60,UCUDESF4f99JklnNqjeCScrQ
61,UCUE__MwrR7W4YQ_KSu3_--w
62,UCUEcRW-JdYcnd3DiClcxiYg
63,UCUMeMWTWIh-EcstNEmyqNUw
64,UCUQndnZ7eyfAev6o4RNEjPQ
65,UCUTq9yY89kGvD7_W4hmEvnw
66,UCVQ5cP_bnSMh1fAadRxgcWQ
67,UCVuf0L3W8PmLJBtoUFjh84A
68,UC3kBEVpVAwlJ14LOnCadFYQ
69,UCW3dJaqC3O3tuznO_pziikA
70,UCWCvAa0TKH4leyO3I9cfJ3Q
71,UCWQWIh_CQ7-OKvQtHD7ImdA
72,UCWa8t4KxT79yZ2MZBe_ed_A
73,UCWh-XMXY4JoKhfIh02x8V0g
74,UCWis_YijS8BS-Q-90c46xOA
75,UCWuA13wnLE19IWbxPpYAvDg
76,UCXBymMyRYYDexqAbga6ddxw
77,UCXWpaHa0PfmRZd2W47u9utw
78,UCXY9BiR25gTnRNV_AosPcSw
79,UC443g47bJjk9fhUUEPxYJ_g
80,UCXYbABO6fVoT0m_fnMter3w
81,UCXhKJmxouX-qxlS2secetXQ
82,UCXiRybUuiT2iO0CFlue_0cw
83,UCXwmKChwfaAIIZDq9Fmpz9Q
84,UCXzLTR4QWHCf8_fDCWKOxFA
85,UCYFTkN5UlcW3sEgAJBCdx3g
86,UCYLTyqxaY7AX9jVuUKq4w4Q
87,UCYOiEpay3Rp5IlN0A9uu91Q
88,UCZGtd3Byjyr-I5aASfbrM2A
89,UCZOA54bRXvnceuvD31dnC3w
90,UC4E9bYQ3V6QAYDgA-GlTQuw
91,UCZSdWalXI8f-zATweOHNZ-Q
92,UCZUEArAoVPtuov2GyiSnNnQ
93,UCZ_IYpIupVcK8EIH44NvpvQ
94,UCZafIMnivOzsghR4h8QCkWA
95,UCZioywO2x_u_cnp6qNP6QWw
96,UCZwzm_TLXDdXO_ArMeh9Q1w
97,UC_AI_yFSxLP4vG8yeSDjZ0w
98,UC_FSTHz2JKqCdrfl8YpNYCA
99,UC_JEcPkt_VpUm8t07GLsriw
100,UC_R99fZkXVvm6yfkjJmD70w
101,UC4EHkIHXxaSBlDpu0no7uvQ
102,UC_UwGS4bPVfW6F_KpLRctTg
103,UC_WGuYOTES3KTtInxe8CBkw
104,UC_ifz5t7KARx_r8CBr9MZ-Q
105,UC_wdGOjZMPY25iiDS9mbMeg
106,UCaTBkq7QaNx0t2lB39meKlQ
107,UCaV0BGY4BxpkAvVz10NZwOw
108,UCaWymvZGb5h8BA-4mvrnLog
109,UCag8ujF14rh_5zJUoo-2ztQ
110,UCanfDazVFycjkK9UihVMNHQ
111,UCasSrr5-jhD2YKxVcF9qiXA
112,UC0BXL2bOfLSONFDQSAFzyAQ
113,UC4RjJRD0iCHz2IfFXGIMuGA
114,UCazEvvze6jbOaBuvmam6jbQ
115,UCbW0kU38OB697RvW2XnTM5Q
116,UCb_TE74rHKCAy5ocCWKftdg
117,UCbqrQZ0oRl3z99jAlmeShCQ
118,UCbtNzmLtedTaGXIMRHJM8IA
119,UCc7AqGEHq6upMjgKuYqdsMQ
120,UCcCpaTyOO5rCcGeEZ1NZcuA
121,UCcGkv_wF2r0c6jSdweKh-_w
122,UCc__DpzDdjIZGvtgLKl-VZg
123,UCd0JHoHd67g0U4OWJOwR6sg
124,UC4bo_U28B-w3G-A0KkvdgbQ
125,UCd2nkZUkG6RpY8mfUx5seSg
126,UCd3DPh5KjzQLjemwwDYaabA
127,UCd85TQuto6Fgv0CPq6LbhFQ
128,UCdL9o-vVVBIpI-5SYzZDGLg
129,UCdSfWlh8YvMMM-BoUTMSMLA
130,UCdStWwSz0LcG5S4oicvDTig
131,UCdgPZVHbW9qf-2i3E64wGNw
132,UCdhCKDvapKwvWQIkrWRXbVQ
133,UCdv76M3QnBXLoFmtVVi0RSg
134,UCe0GORxcZcuQIUrQi8dxnQA
135,UC4cB4tChK474PAEhUng-uAg
136,UCeD9xhiWYcRRJvq9m3_mEyA
137,UCeERlSa2arUdX79tcAyMlFw
138,UCeuB-INyqk3gFyQNYJyLqdg
139,UCf-6FY9GC0j9Oh62cxl_z3A
140,UCf4UN2fA0RWazfQwxH2m4KA
141,UCfEMW4ba6K-IdQXC4KHDkUg
142,UCfQujJ_jYWMC-CJ3Cwk_6PQ
143,UCfZ-AJdxWQd3u6Rc8matGJw
144,UCg4AEZqtyKpukTtFQjDnRWQ
145,UCgDO_ldSayQnf-_B0hZD-Jw
146,UC4j_IUak80HyK2t5ihzk9yA
147,UCgDor9grl1glqvojUuG1TXw
148,UCgeCQzLQKLWZ1vp7Mak5MAA
149,UCgnX1UEOa0TGgZxh-nhKTZA
