kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,7SOi5uGI45g3oIin07cRDUow2Jk,Ugxq3sLeIwmbYMFan9x4AaABAg,"{'videoId': 'AMQwYlE9_Ik', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1lTZSkrZEpcaY3ZAtXy9H5IFJls', 'id': 'Ugxq3sLeIwmbYMFan9x4AaABAg', 'snippet': {'videoId': 'AMQwYlE9_Ik', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🍄🍄🇧🇷🇧🇷👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🍄🍄🇧🇷🇧🇷👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-25T04:38:07Z', 'updatedAt': '2022-10-25T04:38:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-25T04:38:07Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🍄🍄🇧🇷🇧🇷👏👏👏👏👏",QURTSl9pMVJMWDkydTdzNC1xcUZ2Y3NiLTZ0MEdKQWJ1RHJXc3BIQ2tHa1dzY1dNbTFrYUg5VzRrMERTV1A1d2ZCWTVERG9nRWNXZGFwMA==,2023-06-07 23:23:40.010906
youtube#commentThread,2Xi66B9WCYGlUtc4-bop7v-BLOE,Ugz37uoDyimPh36falN4AaABAg,"{'videoId': 'Dj53W_arcYY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4l6cMOMtA3aXV2nVZ-7Fl45dLDs', 'id': 'Ugz37uoDyimPh36falN4AaABAg', 'snippet': {'videoId': 'Dj53W_arcYY', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🌷🇧🇷🍄🍄🍄🍄🍄👏👏👏👏👏🦫', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🌷🇧🇷🍄🍄🍄🍄🍄👏👏👏👏👏🦫', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-24T18:35:42Z', 'updatedAt': '2022-10-24T18:35:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-24T18:35:42Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🌷🇧🇷🍄🍄🍄🍄🍄👏👏👏👏👏🦫",QURTSl9pMFZZcWdOYWFxM2YtYkoyOGRxWk5ZOUMzYTYzQ3ZWVm9ueWhlSFVZR3U2Q1hDbTcwbk9ENTRLR3lwZmE5cjZiVGU1U1NmMkNUOA==,2023-06-07 23:24:02.201445
youtube#commentThread,G13w_sRlc11XGeFlKGo-UgVXa1M,UgzonrpRY0H9OQ1W1-F4AaABAg,"{'videoId': 'ZLrZ7ED8l0E', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'er658b8kk42ej90_z09dPl8jYM4', 'id': 'UgzonrpRY0H9OQ1W1-F4AaABAg', 'snippet': {'videoId': 'ZLrZ7ED8l0E', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-24T00:14:55Z', 'updatedAt': '2022-10-24T00:14:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-24T00:14:55Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏👏",QURTSl9pMjJVV1dUSUhCZC1FOU16TFQyRUJjQTFNTVQyR0R3UFZUSlBHMzdDLWxUZUJ3Uy1CSmg1cmd4cDdoa0V2dmk4dHplZHZjQnd0TQ==,2023-06-07 23:24:47.201501
youtube#commentThread,PEaygnoBxxqnY5jt1s6EhZYFd5Q,Ugx7X1kvlmQzrjmOs5t4AaABAg,"{'videoId': 'kUToCwhVzRg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'z6gJSRwQnGsoK32UuiCvzZKitMA', 'id': 'Ugx7X1kvlmQzrjmOs5t4AaABAg', 'snippet': {'videoId': 'kUToCwhVzRg', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-22T22:30:04Z', 'updatedAt': '2022-10-22T22:30:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-22T22:30:04Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏",QURTSl9pMUNJSFVJSFZYclM4Sm9qU05YeE53ZjZaZHVRb1AzNkYxLW9oODUyaWhxM0k4RVFILS1aTW5fTkNJbVZITkFGMm01TlU4Wl9iWQ==,2023-06-07 23:25:12.092748
youtube#commentThread,NcjBxx5mu3hW6yVXULPCkfCURrE,Ugzubso1091E_LXzdDR4AaABAg,"{'videoId': 'dnJVN0DOg7I', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'O2iHPbQRoXRLVLinJZZa_u-mafA', 'id': 'Ugzubso1091E_LXzdDR4AaABAg', 'snippet': {'videoId': 'dnJVN0DOg7I', 'textDisplay': 'Alexandre Garcia, Bolsonaro 🌹🌹🌷🌷🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 🌹🌹🌷🌷🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-22T22:22:32Z', 'updatedAt': '2022-10-22T22:22:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-22T22:22:32Z,"Alexandre Garcia, Bolsonaro 🌹🌹🌷🌷🍄🍄🍄🇧🇷🇧🇷👏👏👏👏👏",QURTSl9pMHFWdGlFei1HZEFrN0JyYmlyU0RzOHlfc3VFWlU4eUZCMGxxM28yV3VteGxZNEtObXpsdGdTTkpWVk5mZHRaTnFzZHpMMTlnQQ==,2023-06-07 23:25:22.614275
youtube#commentThread,7hH0RX1ax_oS-_AUtpcXPMtX3SA,UgxefZiH4UJ2-O-6OWR4AaABAg,"{'videoId': 'WbJUvy_DBew', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GRj_YFihMbxojgAsGpSTiZA8OPI', 'id': 'UgxefZiH4UJ2-O-6OWR4AaABAg', 'snippet': {'videoId': 'WbJUvy_DBew', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🍄🍄🍄🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🍄🍄🍄🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-21T20:48:39Z', 'updatedAt': '2022-10-21T20:48:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-21T20:48:39Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌹🌹🌷🌷🌷🍄🍄🍄🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏",QURTSl9pM1BwblRCY1FmcVVsOVZNc2hCczlMVnlVTVU3OXdUc19faHFwWnJRVVl1SHZmeGdheVdDazZON3dKZWV2eVpVNWZRdGkzYk1jTQ==,2023-06-07 23:25:56.305795
youtube#commentThread,KkG7M3GDQmr3gOH6Usk6Dq4C-AQ,Ugwbrm4Ss48kP6H4EeZ4AaABAg,"{'videoId': 'Q-DcJ9b8QOA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '45F5AN_Tf5wUjgXAxfRiWQUS0_w', 'id': 'Ugwbrm4Ss48kP6H4EeZ4AaABAg', 'snippet': {'videoId': 'Q-DcJ9b8QOA', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🌹🌹🍄🍄🍄🇧🇷🇧🇷🇧🇷👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🌹🌹🍄🍄🍄🇧🇷🇧🇷🇧🇷👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-20T18:54:20Z', 'updatedAt': '2022-10-20T18:54:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-20T18:54:20Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🌹🌹🍄🍄🍄🇧🇷🇧🇷🇧🇷👏👏👏",QURTSl9pMTkzSDhDbXpZZWxWZXhEN3FRYzROdU13MFVTSXoyM21fdlpKM1hKc1l2cm1xUnNMdFJ3RDVtaXhVdC1xOW9JVnJCekh1ZFgxbw==,2023-06-07 23:26:48.249643
youtube#commentThread,g2pBbdI1FwnHHlxVe90McP8q0xc,Ugz0u1ZmerqZryisbc14AaABAg,"{'videoId': 'Dchuaay235c', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rpXUIIexOMJHLmKHTnL6hR6Bido', 'id': 'Ugz0u1ZmerqZryisbc14AaABAg', 'snippet': {'videoId': 'Dchuaay235c', 'textDisplay': 'Alexandre Garcia, Bolsonaro 2, muito obrigado, Goiânia 🌷🌷🌹🌹🌹🍄🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 2, muito obrigado, Goiânia 🌷🌷🌹🌹🌹🍄🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T05:05:59Z', 'updatedAt': '2022-10-20T05:05:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-20T05:05:59Z,"Alexandre Garcia, Bolsonaro 2, muito obrigado, Goiânia 🌷🌷🌹🌹🌹🍄🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏",QURTSl9pMU54bkpVRG9aZUhVTzJQX2pwUmZqejY0dUpydExPTTlQcC1LVzRhUERMWXI0MVlTa3E5ZDlwWFctV25FNE5NVnNqTzZOTVRPaw==,2023-06-07 23:27:03.905624
youtube#commentThread,uDnsILaKqcBDjah_Dbqtu2Y2HLI,UgxPQNGAMqgGnHeb3Xl4AaABAg,"{'videoId': 'bJqjH0ur2gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Opw0HLfUpC1Yg879C_To0JTE0Nw', 'id': 'UgxPQNGAMqgGnHeb3Xl4AaABAg', 'snippet': {'videoId': 'bJqjH0ur2gw', 'textDisplay': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🌹🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🌹🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T21:22:24Z', 'updatedAt': '2022-10-19T21:22:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-19T21:22:24Z,"Alexandre Garcia, Bolsonaro 22, muito obrigado, Goiânia Go.🌷🌷🌷🌹🌹🌹🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏👏",QURTSl9pMElZejNzZXlabkR3NUx2WDQxS05oZFpjazgxUjZFeXdRRlNjajhyOGxETUE5Y2o4RUxIOS0zQjFRdUhGX25fQVRJUzFTRm05dw==,2023-06-07 23:27:29.132266
youtube#commentThread,Pw2FAxEC_NeN0jyT-fN8Vs2D8nk,UgyB6jFf2NLlA9H8l9F4AaABAg,"{'videoId': 'IOAmO6BxAFc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'WcVjMQantZcLbKqhSRYmb-xmyT8', 'id': 'UgyB6jFf2NLlA9H8l9F4AaABAg', 'snippet': {'videoId': 'IOAmO6BxAFc', 'textDisplay': 'Alexandre Garcia, Bolsonaro22, muito obrigado, Goiânia Go.🌹🌹🌹🌷🌷🍄🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏👏', 'textOriginal': 'Alexandre Garcia, Bolsonaro22, muito obrigado, Goiânia Go.🌹🌹🌹🌷🌷🍄🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏👏', 'authorDisplayName': 'Ana Gomes de oliveirasecho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg85tF0gTsyZ-Uwr1tWJeLA', 'authorChannelId': {'value': 'UCg85tF0gTsyZ-Uwr1tWJeLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T16:33:05Z', 'updatedAt': '2022-10-19T16:33:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg85tF0gTsyZ-Uwr1tWJeLA,2022-10-19T16:33:05Z,"Alexandre Garcia, Bolsonaro22, muito obrigado, Goiânia Go.🌹🌹🌹🌷🌷🍄🍄🍄🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏👏👏",QURTSl9pMWFKZGI2QVlSZ3JFdzYxNGswSG45SWJERkVYcUxycDdjX0lvQjMtNmpnVzFabktic1haRnVWQ2NiZzVUS2lzOUt2aU45SHZHbw==,2023-06-07 23:27:52.944008
