kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,Rab88u72LrxBvsL_46ZaoJMlO2s,UgxUBs2tBSN2L0vJzK14AaABAg,"{'videoId': '7mIwssLJtfI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'l2-CjJ8a5e3M2hsmeE3__nsdYk4', 'id': 'UgxUBs2tBSN2L0vJzK14AaABAg', 'snippet': {'videoId': '7mIwssLJtfI', 'textDisplay': 'Lula, velho mequetrefe!', 'textOriginal': 'Lula, velho mequetrefe!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T05:31:12Z', 'updatedAt': '2022-10-20T05:31:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-20T05:31:12Z,"Lula, velho mequetrefe!",QURTSl9pMk1fTk40UlpaSVUxQkhXOGQ2Ymd1YWY0Qk55YWk5X1c5cnc5M1pseEZEdDNWa3pYZjJoS3JYSjFCQVBOTHdGWmFkOWpBUk1Qbw==,2023-06-08 02:53:07.359852
youtube#commentThread,c23ZS4BzJ9uRJDZGtQZEFjjlmV0,Ugy6ya7wSsc067OfWzh4AaABAg,"{'videoId': '7mIwssLJtfI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HpgyxKkdQ112DUfZhhB3mkCVBqs', 'id': 'Ugy6ya7wSsc067OfWzh4AaABAg', 'snippet': {'videoId': '7mIwssLJtfI', 'textDisplay': 'Fira oetezada!', 'textOriginal': 'Fira oetezada!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T05:30:58Z', 'updatedAt': '2022-10-20T05:30:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-20T05:30:58Z,Fira oetezada!,QURTSl9pMk1fTk40UlpaSVUxQkhXOGQ2Ymd1YWY0Qk55YWk5X1c5cnc5M1pseEZEdDNWa3pYZjJoS3JYSjFCQVBOTHdGWmFkOWpBUk1Qbw==,2023-06-08 02:53:07.359852
youtube#commentThread,fWbYcqvaDAiBDETmL7r32z84eT8,UgwO505DG67Rgk6KXPp4AaABAg,"{'videoId': '7mIwssLJtfI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1QHyZQqk5ZkCYAe1ZdVmuyxYbfA', 'id': 'UgwO505DG67Rgk6KXPp4AaABAg', 'snippet': {'videoId': '7mIwssLJtfI', 'textDisplay': '22 neles!', 'textOriginal': '22 neles!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T05:30:47Z', 'updatedAt': '2022-10-20T05:30:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-20T05:30:47Z,22 neles!,QURTSl9pMk1fTk40UlpaSVUxQkhXOGQ2Ymd1YWY0Qk55YWk5X1c5cnc5M1pseEZEdDNWa3pYZjJoS3JYSjFCQVBOTHdGWmFkOWpBUk1Qbw==,2023-06-08 02:53:07.359852
youtube#commentThread,3woR8T7_VMhc97QBQ8LAqwL3k5U,UgzyarczoJ4ZXBDNXD94AaABAg,"{'videoId': 'QLpU_DTOD-4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FpV0cvvtpPggQuoD0i2Z7rNzYpI', 'id': 'UgzyarczoJ4ZXBDNXD94AaABAg', 'snippet': {'videoId': 'QLpU_DTOD-4', 'textDisplay': 'Amantes, Lula molusco, corja do mal!', 'textOriginal': 'Amantes, Lula molusco, corja do mal!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T13:14:36Z', 'updatedAt': '2022-10-19T13:14:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-19T13:14:36Z,"Amantes, Lula molusco, corja do mal!",,2023-06-08 02:55:39.566134
youtube#commentThread,i1tg-eECHgOLz-DokcSm3-GF6Ww,Ugz6GPTTfLHQ7Ii_d4d4AaABAg,"{'videoId': 'QLpU_DTOD-4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZLTv3NLXS_qK7YVzBpYJQt2f5OE', 'id': 'Ugz6GPTTfLHQ7Ii_d4d4AaABAg', 'snippet': {'videoId': 'QLpU_DTOD-4', 'textDisplay': 'Tomara, que ele se lasque novamente!', 'textOriginal': 'Tomara, que ele se lasque novamente!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T13:14:02Z', 'updatedAt': '2022-10-19T13:14:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-19T13:14:02Z,"Tomara, que ele se lasque novamente!",,2023-06-08 02:55:39.566134
youtube#commentThread,JQVNYwHtGdO4AjHz-Texfvn9_m8,UgxQg5Ydm_P_BUCzxcd4AaABAg,"{'videoId': 'QLpU_DTOD-4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1gm3FyTYG-4WRi8NBAYM055OmCo', 'id': 'UgxQg5Ydm_P_BUCzxcd4AaABAg', 'snippet': {'videoId': 'QLpU_DTOD-4', 'textDisplay': 'Vergonha nacional essa do Lula molusco quanto a regulação de mídia. Fora Lula! Fora PT!', 'textOriginal': 'Vergonha nacional essa do Lula molusco quanto a regulação de mídia. Fora Lula! Fora PT!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T13:12:59Z', 'updatedAt': '2022-10-19T13:12:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-19T13:12:59Z,Vergonha nacional essa do Lula molusco quanto a regulação de mídia. Fora Lula! Fora PT!,,2023-06-08 02:55:39.566134
youtube#commentThread,bAe92HBB0WUxCuXLA5RdpWbMlfo,Ugxi-qMlTdwcu6PBsi14AaABAg,"{'videoId': 'lF7NqfTMtX0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'khvca09KfFmjMrJbMoezBka7Bo0', 'id': 'Ugxi-qMlTdwcu6PBsi14AaABAg', 'snippet': {'videoId': 'lF7NqfTMtX0', 'textDisplay': 'Quanto mais tentarem implodir bolsonaro, melhor  ele fica na fita diante da gente eleitor! 22 neles!', 'textOriginal': 'Quanto mais tentarem implodir bolsonaro, melhor  ele fica na fita diante da gente eleitor! 22 neles!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T13:42:32Z', 'updatedAt': '2022-10-19T13:42:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-19T13:42:32Z,"Quanto mais tentarem implodir bolsonaro, melhor  ele fica na fita diante da gente eleitor! 22 neles!",QURTSl9pM2J5T1pnVnlKT205MFo4dkdNSXRVQ1ctWndyLU94aWxEdTRDMXRoWnZlZUNTVDRveFBqNTZDb2NxYlJRU3NqNjlqTHhkTnJjNA==,2023-06-08 02:55:40.500094
youtube#commentThread,ypRwM00C9UgN_9_4w5En_oHGiFM,Ugy0XbKIk0O8aWcW37d4AaABAg,"{'videoId': 'SILtFhuXj2c', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '15DPdAPeqdYAofSOlgJpj8p0qzQ', 'id': 'Ugy0XbKIk0O8aWcW37d4AaABAg', 'snippet': {'videoId': 'SILtFhuXj2c', 'textDisplay': 'Tão fofinha..... hahahaha.', 'textOriginal': 'Tão fofinha..... hahahaha.', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-19T01:48:47Z', 'updatedAt': '2022-10-19T01:48:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-10-19T01:48:47Z,Tão fofinha..... hahahaha.,QURTSl9pMWFBNy00cURJNGxObDRWRTUtME5sc2hzWUNQRHFDYmphR1F1R21tV1lhQW5SMVdQMGlTY3Vmb1RKVkpaRVZVbG9EcUJlNUFsWQ==,2023-06-08 02:56:40.052937
youtube#commentThread,26AoeHsvodC98x4c1Y8LmvUqbh4,Ugzzz7HVYbmbRkXGUHV4AaABAg,"{'videoId': 'tJyI4KlkOAg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'j2hQjYWidUSrTPa9JI05Uq0bkJA', 'id': 'Ugzzz7HVYbmbRkXGUHV4AaABAg', 'snippet': {'videoId': 'tJyI4KlkOAg', 'textDisplay': '22 neles.! Bozonarooooooo! Ui!', 'textOriginal': '22 neles.! Bozonarooooooo! Ui!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-18T00:45:05Z', 'updatedAt': '2022-10-18T00:45:05Z'}}, 'canReply': True, 'totalReplyCount': 3, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'G_fQ2D3zZEO_WcWA-B0hW0e4kHs', 'id': 'Ugzzz7HVYbmbRkXGUHV4AaABAg.9hIykBCb2aE9hs3frxvDQc', 'snippet': {'videoId': 'tJyI4KlkOAg', 'textDisplay': '@Tupac Shakur não deu', 'textOriginal': '@Tupac Shakur não deu', 'parentId': 'Ugzzz7HVYbmbRkXGUHV4AaABAg', 'authorDisplayName': 'Ana Dias', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPW8QN_vnVisufaVqaOlkMIUdROZXJQN9z2LdN2nQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjJ-0NvvrptlDidmcsNliwg', 'authorChannelId': {'value': 'UCjJ-0NvvrptlDidmcsNliwg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-01T01:09:35Z', 'updatedAt': '2022-11-01T01:09:35Z'}}, {'kind': 'youtube#comment', 'etag': 'EQnPts1jGeWqs-FLBSRIqrIU2UE', 'id': 'Ugzzz7HVYbmbRkXGUHV4AaABAg.9hIykBCb2aE9hIzlPmiS6G', 'snippet': {'videoId': 'tJyI4KlkOAg', 'textDisplay': 'BOLSONARO REELEITO 22', 'textOriginal': 'BOLSONARO REELEITO 22', 'parentId': 'Ugzzz7HVYbmbRkXGUHV4AaABAg', 'authorDisplayName': 'Tupac Shakur', 'authorProfileImageUrl': 'https://yt3.ggpht.com/c0sZRl6jSdTDZEPt-VS1QsMg56RrEYPt8W9jN10CLB7b6S8zrbrmDkKgKFMyhO1_3ov6-RRZiQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcamMdp8rFSWqi3-B8EZCRg', 'authorChannelId': {'value': 'UCcamMdp8rFSWqi3-B8EZCRg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T00:54:00Z', 'updatedAt': '2022-10-18T00:54:00Z'}}, {'kind': 'youtube#comment', 'etag': 'iZUsXziRFqYvmTtNBmm8mhYpEBg', 'id': 'Ugzzz7HVYbmbRkXGUHV4AaABAg.9hIykBCb2aE9hIzEDjdiQb', 'snippet': {'videoId': 'tJyI4KlkOAg', 'textDisplay': 'O que será que será? Hahahaha!', 'textOriginal': 'O que será que será? Hahahaha!', 'parentId': 'Ugzzz7HVYbmbRkXGUHV4AaABAg', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T00:49:20Z', 'updatedAt': '2022-10-18T00:49:20Z'}}]}",UCB6BxL7155GetIf6011UetQ,2022-10-18T00:45:05Z,22 neles.! Bozonarooooooo! Ui!,QURTSl9pMWxPanlyTGpuZmRjVlcwTGs4MHV6NU16ZWIzaEk0RzdLVENyLU5nbkVfcHcwaWFINloxaUphU0ZIN0xDamVJS2RSS3FTV2l6WQ==,2023-06-08 02:58:51.396839
youtube#commentThread,0Lg_eUQXhJateUez-FbYSnLJiq8,Ugzro_fVaKdFojUR0Zt4AaABAg,"{'videoId': 'UrMc5atP7xY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4sUs23rtKE2UTL9Br2x_09J2Sqg', 'id': 'Ugzro_fVaKdFojUR0Zt4AaABAg', 'snippet': {'videoId': 'UrMc5atP7xY', 'textDisplay': 'Democracia e forte! Cabe toda opinião!', 'textOriginal': 'Democracia e forte! Cabe toda opinião!', 'authorDisplayName': 'Cristina Bozarcov', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM5Lsrj6ku6P3vLbbltcJGy1wc8eo_4PBruc3oxTRS5tnv0FGX3vgnKKcGqIMMI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB6BxL7155GetIf6011UetQ', 'authorChannelId': {'value': 'UCB6BxL7155GetIf6011UetQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T17:02:51Z', 'updatedAt': '2022-11-02T17:02:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB6BxL7155GetIf6011UetQ,2022-11-02T17:02:51Z,Democracia e forte! Cabe toda opinião!,QURTSl9pMEZNdWxzWHhOVnNpaTZOcV91WW1FMEtQaFJ5NlpndWpEUUxxNXdYN204MWpkeFZESl9xdVVvbjJOWFBNeFZKcVoybE1tVG1INA==,2023-06-08 02:03:26.542211
