kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,jE9FPJVU9qEjGvlQof8kwcLZ2Bk,UgyeIu7C8KQe6UTMjSF4AaABAg,"{'videoId': '0miHsMuJU8E', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'R-_hH_35zXkyCFqcVvyOD0U3v2s', 'id': 'UgyeIu7C8KQe6UTMjSF4AaABAg', 'snippet': {'videoId': '0miHsMuJU8E', 'textDisplay': '<b>NÃO SE CHUTA CACHORRO MORTO. MAS, NÓS NÃO SOMOS COVEIROS!</b> 🚩🚩 RESGATAMOS NOSSAS CORES💚💛 E A BANDEIRA NACIONAL BR', 'textOriginal': '*NÃO SE CHUTA CACHORRO MORTO. MAS, NÓS NÃO SOMOS COVEIROS!* 🚩🚩 RESGATAMOS NOSSAS CORES💚💛 E A BANDEIRA NACIONAL BR', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-30T23:21:48Z', 'updatedAt': '2022-10-30T23:25:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-30T23:21:48Z,"*NÃO SE CHUTA CACHORRO MORTO. MAS, NÓS NÃO SOMOS COVEIROS!* 🚩🚩 RESGATAMOS NOSSAS CORES💚💛 E A BANDEIRA NACIONAL BR",QURTSl9pM1ltZ2Y1RndfZzZDTk4zQW4weFhFTk9JU05lZm5IdWVqV0xTZHdNa2hQUzVhQWJwejktc0prTXl0d3JZSmtNZVR4OGVsc2lyaw==,2023-06-07 12:04:51.480114
youtube#commentThread,9J7nomjn8MLud5qCyWeKL64hmvw,Ugwb4vioTDJoJwjalH14AaABAg,"{'videoId': '0miHsMuJU8E', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'PJJpQ3IbzLw8ZP8cyQCBGRXBWHg', 'id': 'Ugwb4vioTDJoJwjalH14AaABAg', 'snippet': {'videoId': '0miHsMuJU8E', 'textDisplay': '😂🤣😅 Só esse Bozo que faltava para fechar um ciclo de 4 anos dramáticos no Brasil!!!! Vão ter que ir para EUA, vender hamburguer ou administrar as salas comerciais , prédios e casas do clã.... <b>BRINCANAGEM!!!!</b> - Credibilidade nenhuma tem o sujeito....', 'textOriginal': '😂🤣😅 Só esse Bozo que faltava para fechar um ciclo de 4 anos dramáticos no Brasil!!!! Vão ter que ir para EUA, vender hamburguer ou administrar as salas comerciais , prédios e casas do clã.... *BRINCANAGEM!!!!* - Credibilidade nenhuma tem o sujeito....', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-30T08:27:43Z', 'updatedAt': '2022-10-30T08:27:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-30T08:27:43Z,"😂🤣😅 Só esse Bozo que faltava para fechar um ciclo de 4 anos dramáticos no Brasil!!!! Vão ter que ir para EUA, vender hamburguer ou administrar as salas comerciais , prédios e casas do clã.... *BRINCANAGEM!!!!* - Credibilidade nenhuma tem o sujeito....",QURTSl9pMm5WUUE2Y3ZLYXhVNEx0al94V09FUWlkUi1sSlZXNzA3dEs4OUxHRnV2WFY3Tm9XTGJyR2NNbEJxSFpwcE43Wm1LMGx6d1NjUQ==,2023-06-07 12:04:54.931652
youtube#commentThread,iJVhsRyx54_5f_DtYNKd8i4ZDws,UgwnOOQ847leo39fQNp4AaABAg,"{'videoId': 'E6TnktrwFdE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HQo9TeZM_6B4u6G5muEh4AuogaQ', 'id': 'UgwnOOQ847leo39fQNp4AaABAg', 'snippet': {'videoId': 'E6TnktrwFdE', 'textDisplay': 'Delinquente Roberto Jefferson só afrontou o Judiciário pq seu candidato apoia atacar as instituições, a nação, o Cidadão Trabalhador Brasileiro .🤮  <b>Lamentável!</b>', 'textOriginal': 'Delinquente Roberto Jefferson só afrontou o Judiciário pq seu candidato apoia atacar as instituições, a nação, o Cidadão Trabalhador Brasileiro .🤮  *Lamentável!*', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-24T00:21:30Z', 'updatedAt': '2022-10-24T00:21:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-24T00:21:30Z,"Delinquente Roberto Jefferson só afrontou o Judiciário pq seu candidato apoia atacar as instituições, a nação, o Cidadão Trabalhador Brasileiro .🤮  *Lamentável!*",QURTSl9pMC1wTElOUU1peU9SZG9jNjRGTVM2UHY4WDNBS0RDczlIclNIOXQ1UU1rZ1BoWVlOY3J5VnYyRVNXNy1oUWZPNnRSb0YyQkV2NA==,2023-06-07 12:09:50.002523
youtube#commentThread,eyrO5zCkzPOB9Ztx10Akhp_m5oM,UgzHmzeJG6WxTk2E2OB4AaABAg,"{'videoId': 'mkNfXTcFFl4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eDctpkaKfCRnUlktj5D9lsME5pM', 'id': 'UgzHmzeJG6WxTk2E2OB4AaABAg', 'snippet': {'videoId': 'mkNfXTcFFl4', 'textDisplay': 'O candidato e a senhora que fala línguas estranhas, bem como os membros consanguinios só demonstram o quanto representa a nação brasileira e o Cidadão Trabalhador Brasileiro, Nós!!*  Mal dizentes ao colocar gentes contra gentes, para <i>se permanecerem longe</i>  dos tribunais!!!  * LAMENTÁVEL!* 🤮🤮🤮🤮🤮🤮🇧🇷', 'textOriginal': 'O candidato e a senhora que fala línguas estranhas, bem como os membros consanguinios só demonstram o quanto representa a nação brasileira e o Cidadão Trabalhador Brasileiro, Nós!!*  Mal dizentes ao colocar gentes contra gentes, para _se permanecerem longe_  dos tribunais!!!  * LAMENTÁVEL!* 🤮🤮🤮🤮🤮🤮🇧🇷', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-20T23:31:53Z', 'updatedAt': '2022-10-20T23:32:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-20T23:31:53Z,"O candidato e a senhora que fala línguas estranhas, bem como os membros consanguinios só demonstram o quanto representa a nação brasileira e o Cidadão Trabalhador Brasileiro, Nós!!*  Mal dizentes ao colocar gentes contra gentes, para _se permanecerem longe_  dos tribunais!!!  * LAMENTÁVEL!* 🤮🤮🤮🤮🤮🤮🇧🇷",QURTSl9pMk9LMENxTGlET2pjTkctaUJsWUphVHdWMjJsa1Q3blVtdWtDLS1yQW1IS25fcEFwTmJhcHRNdVE1emNwTHMtWGdBVnhoSkl5QQ==,2023-06-07 12:09:55.577364
youtube#commentThread,FL-sFi1JTy4DzVlXXUiSGRGtm1M,UgyuOHN263Pz3llKFaR4AaABAg,"{'videoId': 'PeYH1NEf5wY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xsofjG2sZEZc-z_lLV5VdOPTYjY', 'id': 'UgyuOHN263Pz3llKFaR4AaABAg', 'snippet': {'videoId': 'PeYH1NEf5wY', 'textDisplay': '<b>&quot;O que nós queremos é que os Flavinhos sejam íntegros a vida toda. Que laurinhas sejam laurinhas, a vida toda, que constituam família, que seu caráter não sejam postos em dúvida, nem dentro nem fora da Nação.&quot;🇧🇷👍🏽</b>', 'textOriginal': '*""O que nós queremos é que os Flavinhos sejam íntegros a vida toda. Que laurinhas sejam laurinhas, a vida toda, que constituam família, que seu caráter não sejam postos em dúvida, nem dentro nem fora da Nação.""🇧🇷👍🏽*', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-22T13:18:30Z', 'updatedAt': '2022-10-22T13:18:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-22T13:18:30Z,"*""O que nós queremos é que os Flavinhos sejam íntegros a vida toda. Que laurinhas sejam laurinhas, a vida toda, que constituam família, que seu caráter não sejam postos em dúvida, nem dentro nem fora da Nação.""🇧🇷👍🏽*",QURTSl9pMXhXSEN2RERSZE5KZjdiVUVpUEFodFJvMmg2a1h2UV9ZbFZydjZKdDNmdGhnMW5TRGZfZjgtWHhLcEJuMzhDYWQ0cFR3aE1fbw==,2023-06-07 12:10:03.241596
youtube#commentThread,K6lZd1fCKQhEIfXDH8U2zJTnHiU,Ugx5gReFHwRd7UN4_bp4AaABAg,"{'videoId': 'PeYH1NEf5wY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MazEFEHt6pzCFZTd6Cb8eMLl2Is', 'id': 'Ugx5gReFHwRd7UN4_bp4AaABAg', 'snippet': {'videoId': 'PeYH1NEf5wY', 'textDisplay': '<b>CADÊ AS VACINAS CONTRA COVID-19 PARA NOSSAS CRIANCAS?! VAI SER IGUAL EM 2019/2020?!🎗️💉💉💉💉</b>', 'textOriginal': '*CADÊ AS VACINAS CONTRA COVID-19 PARA NOSSAS CRIANCAS?! VAI SER IGUAL EM 2019/2020?!🎗️💉💉💉💉*', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-19T23:44:18Z', 'updatedAt': '2022-10-19T23:44:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-19T23:44:18Z,*CADÊ AS VACINAS CONTRA COVID-19 PARA NOSSAS CRIANCAS?! VAI SER IGUAL EM 2019/2020?!🎗️💉💉💉💉*,QURTSl9pMXhXSEN2RERSZE5KZjdiVUVpUEFodFJvMmg2a1h2UV9ZbFZydjZKdDNmdGhnMW5TRGZfZjgtWHhLcEJuMzhDYWQ0cFR3aE1fbw==,2023-06-07 12:10:03.241596
youtube#commentThread,erxYKyPzT1zpPLP5QZyPxqfaMq8,UgzVVn_iun2pjlPB6-t4AaABAg,"{'videoId': 'ZKglnjw3QpE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Wg63exFPuoLFmLe9UgUeZ3aoanE', 'id': 'UgzVVn_iun2pjlPB6-t4AaABAg', 'snippet': {'videoId': 'ZKglnjw3QpE', 'textDisplay': 'Que vergonha , dia 18.out/<a href=""https://www.youtube.com/watch?v=ZKglnjw3QpE&amp;t=20m31s"">20:31</a>h - <b>candidato e os seus mentindo! Mas, se entende, pq existem muitas e muitas respostas a ser dadas ao Cidadão Trabalhador Brasileiro!!!</b> Lamentável!😳', 'textOriginal': 'Que vergonha , dia 18.out/20:31h - *candidato e os seus mentindo! Mas, se entende, pq existem muitas e muitas respostas a ser dadas ao Cidadão Trabalhador Brasileiro!!!* Lamentável!😳', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T23:34:23Z', 'updatedAt': '2022-10-18T23:34:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-18T23:34:23Z,"Que vergonha , dia 18.out/20:31h - *candidato e os seus mentindo! Mas, se entende, pq existem muitas e muitas respostas a ser dadas ao Cidadão Trabalhador Brasileiro!!!* Lamentável!😳",QURTSl9pMFFlTldmNlFJR09RSXFielhKaVFVYmg0U0YyTDNpQVFFY19wQ21DeU42Vk9VT1NTUTdrTU9yMEdYWGMzS09INEZrMDRMeWE0WQ==,2023-06-07 12:10:45.923017
youtube#commentThread,xVreb398pWyu7poPwV1cpSablko,UgyYu3A8m0qG0QipcIB4AaABAg,"{'videoId': 'ZKglnjw3QpE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0jdiJ9iT18Hl8MNYu6fukcg9nQo', 'id': 'UgyYu3A8m0qG0QipcIB4AaABAg', 'snippet': {'videoId': 'ZKglnjw3QpE', 'textDisplay': '<b>QUEM É SURDO, LEVANTA O BRAÇO AÍ!!!</b> - Bizarro esse clã inteiro....', 'textOriginal': '*QUEM É SURDO, LEVANTA O BRAÇO AÍ!!!* - Bizarro esse clã inteiro....', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 14, 'publishedAt': '2022-10-18T11:40:28Z', 'updatedAt': '2022-10-18T11:40:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-18T11:40:28Z,"*QUEM É SURDO, LEVANTA O BRAÇO AÍ!!!* - Bizarro esse clã inteiro....",QURTSl9pMzJkVWJFTWNLSTZhQ21vN1l2cHFOZ1JQQlhQZzZrZXJVSDFCRjlPbE9qTVdaWHJJNm1Td0J0UGJrMVVNTTg1VWFXYkNaMkw3aw==,2023-06-07 12:10:49.265517
youtube#commentThread,ATo55ZzPArHrlIBrA3i7I8yflhU,UgxWKU3Mw43y5X6UK2Z4AaABAg,"{'videoId': 'zwvG9Kqxx4A', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'na28MWOglbacqRicVh7T8XLnO6g', 'id': 'UgxWKU3Mw43y5X6UK2Z4AaABAg', 'snippet': {'videoId': 'zwvG9Kqxx4A', 'textDisplay': '<b>Votaremos em ex processado, ex preso, ex condenado para *dar chances</b> ao Candidato aí, e aos seus, poderem responder na Justiça por toda ordem de ilícitos.* <i>&quot;Quem não deve, não teme!&quot;</i> 👍🏽🤮🤮🤮', 'textOriginal': '*Votaremos em ex processado, ex preso, ex condenado para *dar chances* ao Candidato aí, e aos seus, poderem responder na Justiça por toda ordem de ilícitos.* _""Quem não deve, não teme!""_ 👍🏽🤮🤮🤮', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-21T10:11:28Z', 'updatedAt': '2022-10-21T10:12:29Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-21T10:11:28Z,"*Votaremos em ex processado, ex preso, ex condenado para *dar chances* ao Candidato aí, e aos seus, poderem responder na Justiça por toda ordem de ilícitos.* _""Quem não deve, não teme!""_ 👍🏽🤮🤮🤮",QURTSl9pME1qeVVLXzVCbnoxZkRsZzdmb2tVYWtMUDVaRjNYaU9jc3ZBQXNDVzNveXBOZ0xEOTExWXZGelJXV1htZ0x4WG91VGk3R0hDQQ==,2023-06-07 12:10:51.632034
youtube#commentThread,Eb70OaqBWylct-ERUIBoxc99FNY,UgwMb2z-uS9Rg0viuT54AaABAg,"{'videoId': 'zwvG9Kqxx4A', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Yc1BrgEAGp0wYjmI8kseUry2L0M', 'id': 'UgwMb2z-uS9Rg0viuT54AaABAg', 'snippet': {'videoId': 'zwvG9Kqxx4A', 'textDisplay': '<b>Aqui NÃO se vota em mentiroso ainda mais, contumaz!!!</b> Esse Candidato nunca representou a Nação nem o Cidadão Trabalhador Brasileiro! Grosseiro, Debochado, homofóbico, racista, xenofobico, machista....', 'textOriginal': '*Aqui NÃO se vota em mentiroso ainda mais, contumaz!!!* Esse Candidato nunca representou a Nação nem o Cidadão Trabalhador Brasileiro! Grosseiro, Debochado, homofóbico, racista, xenofobico, machista....', 'authorDisplayName': 'Marco filpo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qGrlJ3IxfxdCB5-FsdEF9sCV5BI_5Gz91Afx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7SxFokJoOXWt5puCLGvMlQ', 'authorChannelId': {'value': 'UC7SxFokJoOXWt5puCLGvMlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T07:25:19Z', 'updatedAt': '2022-10-18T07:25:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7SxFokJoOXWt5puCLGvMlQ,2022-10-18T07:25:19Z,"*Aqui NÃO se vota em mentiroso ainda mais, contumaz!!!* Esse Candidato nunca representou a Nação nem o Cidadão Trabalhador Brasileiro! Grosseiro, Debochado, homofóbico, racista, xenofobico, machista....",QURTSl9pME1qeVVLXzVCbnoxZkRsZzdmb2tVYWtMUDVaRjNYaU9jc3ZBQXNDVzNveXBOZ0xEOTExWXZGelJXV1htZ0x4WG91VGk3R0hDQQ==,2023-06-07 12:10:51.632034
