kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,OgLZCvubjYJKu0R_NZs6T4MfyAY,Ugw389G064q2cB84D_B4AaABAg,"{'videoId': 'y2wG4oCRdAM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'slc_oG73pDohOxOsyUEPazdORNE', 'id': 'Ugw389G064q2cB84D_B4AaABAg', 'snippet': {'videoId': 'y2wG4oCRdAM', 'textDisplay': 'Fora os cortes na educação! Fora Bolsonaro!', 'textOriginal': 'Fora os cortes na educação! Fora Bolsonaro!', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-11T16:27:01Z', 'updatedAt': '2022-10-11T16:27:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-11T16:27:01Z,Fora os cortes na educação! Fora Bolsonaro!,QURTSl9pM05HNDFtVmZjb1U3TzdvMlVEa1Z0QlZJSEswdGpWbWFYQlFEVHE3SFZydTlsaXRLUDhqVnNObVJZZDJHU0E4UlVISUhDMUQ0cw==,2023-06-07 19:44:53.123973
youtube#commentThread,wiihIzEhaG59hixYPpIsukCN4wM,Ugwj-tESd721Tfn3x-94AaABAg,"{'videoId': 'y2wG4oCRdAM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DkmmldiSZ_pje-8r3Km7nXn7Sk0', 'id': 'Ugwj-tESd721Tfn3x-94AaABAg', 'snippet': {'videoId': 'y2wG4oCRdAM', 'textDisplay': 'Viva o direito dos trabalhadores 🎉🎉🎉🎉', 'textOriginal': 'Viva o direito dos trabalhadores 🎉🎉🎉🎉', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-11T16:26:16Z', 'updatedAt': '2022-10-11T16:26:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-11T16:26:16Z,Viva o direito dos trabalhadores 🎉🎉🎉🎉,QURTSl9pM05HNDFtVmZjb1U3TzdvMlVEa1Z0QlZJSEswdGpWbWFYQlFEVHE3SFZydTlsaXRLUDhqVnNObVJZZDJHU0E4UlVISUhDMUQ0cw==,2023-06-07 19:44:53.123973
youtube#commentThread,lG14YQWWftsn-6Dt1ujqU5-mlBg,UgyIxXTJEtjJesdn4hp4AaABAg,"{'videoId': 'y2wG4oCRdAM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'PCW3mR89xqlfPf8W4ie8ZNGIpa4', 'id': 'UgyIxXTJEtjJesdn4hp4AaABAg', 'snippet': {'videoId': 'y2wG4oCRdAM', 'textDisplay': 'Não aguentamos mais seus cortes em educação!!!! Xô Bolsonaro!!!', 'textOriginal': 'Não aguentamos mais seus cortes em educação!!!! Xô Bolsonaro!!!', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-10T19:16:21Z', 'updatedAt': '2022-10-10T19:16:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-10T19:16:21Z,Não aguentamos mais seus cortes em educação!!!! Xô Bolsonaro!!!,QURTSl9pM05HNDFtVmZjb1U3TzdvMlVEa1Z0QlZJSEswdGpWbWFYQlFEVHE3SFZydTlsaXRLUDhqVnNObVJZZDJHU0E4UlVISUhDMUQ0cw==,2023-06-07 19:44:53.123973
youtube#commentThread,DL-xqp2EfSEw8sSjpZmw5GjQcoo,UgweVrvpjMkbI7FF3cF4AaABAg,"{'videoId': 'y2wG4oCRdAM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'joOOPH_fpuEVGujssQLJx4VymOQ', 'id': 'UgweVrvpjMkbI7FF3cF4AaABAg', 'snippet': {'videoId': 'y2wG4oCRdAM', 'textDisplay': 'Jesus Cristo proíba os seus CORTES EM EDUCAÇÃO Bolsonaro! 🙌🙌🙌🙏', 'textOriginal': 'Jesus Cristo proíba os seus CORTES EM EDUCAÇÃO Bolsonaro! 🙌🙌🙌🙏', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-10T11:47:55Z', 'updatedAt': '2022-10-10T11:47:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-10T11:47:55Z,Jesus Cristo proíba os seus CORTES EM EDUCAÇÃO Bolsonaro! 🙌🙌🙌🙏,QURTSl9pM05HNDFtVmZjb1U3TzdvMlVEa1Z0QlZJSEswdGpWbWFYQlFEVHE3SFZydTlsaXRLUDhqVnNObVJZZDJHU0E4UlVISUhDMUQ0cw==,2023-06-07 19:44:53.123973
youtube#commentThread,pXhIpTkhr7wt168co2lKjrTFLS8,UgwR7F3eYbDuz-3dM2R4AaABAg,"{'videoId': 'y2wG4oCRdAM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bCbiP69QETmnk1An-Sud6qtgDUY', 'id': 'UgwR7F3eYbDuz-3dM2R4AaABAg', 'snippet': {'videoId': 'y2wG4oCRdAM', 'textDisplay': 'Presidente o orçamento secreto está sendo pago com os cortes em educação? ❤️❤️❤️', 'textOriginal': 'Presidente o orçamento secreto está sendo pago com os cortes em educação? ❤️❤️❤️', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-09T11:22:37Z', 'updatedAt': '2022-10-09T11:22:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-09T11:22:37Z,Presidente o orçamento secreto está sendo pago com os cortes em educação? ❤️❤️❤️,QURTSl9pM1l0eHZ4b2tLNldlNFhUY3JwTmlZQzltblRTSnlGV3VXRlU2eDktaGZVUW1CcE9UM01tVVZtRjhFNGQ4Z0kySEJMMmR5RHpnOA==,2023-06-07 19:44:54.843827
youtube#commentThread,uqnrDPZlgbk3gQBABO-tb6PQ9D0,Ugz96-7kiTxON2s6mvB4AaABAg,"{'videoId': '50dAz1Y5buI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uAQK_ekKK0h7hXERjZl1stYcdBY', 'id': 'Ugz96-7kiTxON2s6mvB4AaABAg', 'snippet': {'videoId': '50dAz1Y5buI', 'textDisplay': 'Detesto seus cortes em EDUCAÇÃO!! Vai embora!!!!', 'textOriginal': 'Detesto seus cortes em EDUCAÇÃO!! Vai embora!!!!', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T19:19:05Z', 'updatedAt': '2022-10-10T19:19:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-10T19:19:05Z,Detesto seus cortes em EDUCAÇÃO!! Vai embora!!!!,QURTSl9pMDJ1TFh6Tm1RSUpBRGlvXzItTHJxam13X25UZUFFcDZKQnlVM3BKNU9qdExjdHJwSTVQU1ZabUxFbmtJTWQwOUhpbFhEdk5IVQ==,2023-06-07 19:45:10.349051
youtube#commentThread,uWPHtGh9us_n-SReNZf18LkmBVo,UgxmdMx3uLceXPvAcPt4AaABAg,"{'videoId': '50dAz1Y5buI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_7O00ZCpf27VUwMVBa3g6BWCiug', 'id': 'UgxmdMx3uLceXPvAcPt4AaABAg', 'snippet': {'videoId': '50dAz1Y5buI', 'textDisplay': 'Bolsonaro o orçamento secreto está sendo pago com o corte na educação?❤️❤️😍', 'textOriginal': 'Bolsonaro o orçamento secreto está sendo pago com o corte na educação?❤️❤️😍', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-10T11:44:58Z', 'updatedAt': '2022-10-10T11:44:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-10T11:44:58Z,Bolsonaro o orçamento secreto está sendo pago com o corte na educação?❤️❤️😍,QURTSl9pMDJ1TFh6Tm1RSUpBRGlvXzItTHJxam13X25UZUFFcDZKQnlVM3BKNU9qdExjdHJwSTVQU1ZabUxFbmtJTWQwOUhpbFhEdk5IVQ==,2023-06-07 19:45:10.349051
youtube#commentThread,UZ4Ja2hfu0zCBy2Bn7T4e8XvF4g,UgxH1oJjp0xlFlGVPAl4AaABAg,"{'videoId': 'xISK_KbYlZQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '37K-dn1epnN4EsInuzJVZEAnz24', 'id': 'UgxH1oJjp0xlFlGVPAl4AaABAg', 'snippet': {'videoId': 'xISK_KbYlZQ', 'textDisplay': 'Como eu voto: em quem NÃO CORTA DA EDUCAÇÃO! Sai Bolsonaro! Vem Ciência sem fronteiras 😍🎉🙌', 'textOriginal': 'Como eu voto: em quem NÃO CORTA DA EDUCAÇÃO! Sai Bolsonaro! Vem Ciência sem fronteiras 😍🎉🙌', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-12T13:02:37Z', 'updatedAt': '2022-10-12T13:02:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-12T13:02:37Z,Como eu voto: em quem NÃO CORTA DA EDUCAÇÃO! Sai Bolsonaro! Vem Ciência sem fronteiras 😍🎉🙌,QURTSl9pMmtPZ3JtWVBPNjh4a0ROUUJLNHgzRFZPYnFGZ091QW5LY3Q5TWoxVVZBX21jSkVuaG1yMnNXZTN4b21nWks3N1d6dk82cHpKZw==,2023-06-07 19:46:32.904090
youtube#commentThread,1xXuu8cdHneGENWE5EcYi_-v6gA,UgzD4qm9fJag0uY53FJ4AaABAg,"{'videoId': 'xISK_KbYlZQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_qtTCUFHwXa7wJLK8AmiuEy5tx0', 'id': 'UgzD4qm9fJag0uY53FJ4AaABAg', 'snippet': {'videoId': 'xISK_KbYlZQ', 'textDisplay': 'Fora seus cortes em educação!', 'textOriginal': 'Fora seus cortes em educação!', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-11T16:28:06Z', 'updatedAt': '2022-10-11T16:28:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-11T16:28:06Z,Fora seus cortes em educação!,QURTSl9pMmtPZ3JtWVBPNjh4a0ROUUJLNHgzRFZPYnFGZ091QW5LY3Q5TWoxVVZBX21jSkVuaG1yMnNXZTN4b21nWks3N1d6dk82cHpKZw==,2023-06-07 19:46:32.904090
youtube#commentThread,bPfahet7sr2DIzbHfgH7INY6cJg,UgwjCAj20rtAOsGmN814AaABAg,"{'videoId': 'xISK_KbYlZQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kMU7Y31irJVGju2gCiv9LmvOj4M', 'id': 'UgwjCAj20rtAOsGmN814AaABAg', 'snippet': {'videoId': 'xISK_KbYlZQ', 'textDisplay': 'Sudeste com LULA! 🎉🎈 Sai fora cortador de educação!', 'textOriginal': 'Sudeste com LULA! 🎉🎈 Sai fora cortador de educação!', 'authorDisplayName': 'Juliana ju', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-DX8u30Xz5lwmhSf6-yu9HK3ir3yq0gJj3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEJr0pkCv9FbM37ZfriGPAQ', 'authorChannelId': {'value': 'UCEJr0pkCv9FbM37ZfriGPAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-10T22:53:42Z', 'updatedAt': '2022-10-10T22:53:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEJr0pkCv9FbM37ZfriGPAQ,2022-10-10T22:53:42Z,Sudeste com LULA! 🎉🎈 Sai fora cortador de educação!,QURTSl9pMmtPZ3JtWVBPNjh4a0ROUUJLNHgzRFZPYnFGZ091QW5LY3Q5TWoxVVZBX21jSkVuaG1yMnNXZTN4b21nWks3N1d6dk82cHpKZw==,2023-06-07 19:46:32.904090
