kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,SCDYK9ts4DEKpXLHE5dbAsNK6nA,UgwzUs2ffLoJOQRO0iN4AaABAg,"{'videoId': 'jkyzpv4YTA0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hGNUSMw9AZDOYVHrZYaKlUmjNPM', 'id': 'UgwzUs2ffLoJOQRO0iN4AaABAg', 'snippet': {'videoId': 'jkyzpv4YTA0', 'textDisplay': 'Que falta faz um chefe do Senado digno, que sirva à Nação Brasileira, ao invés deste trapo que é o sr. rodrigo pacheco, minúsculo mesmo, que parece ter sumido para Marte. Ficamos nós, que pagamos muito bem o salário deste traste, com este ABACAXI nas mãos, que é o TSE.  O Sr. alexandre de moraes, com toda a sua arrogância de tiranete, ainda não percebeu que nós, brasileiros, não vamos deixar a coisa assim. Seu tombo vai ser grande.', 'textOriginal': 'Que falta faz um chefe do Senado digno, que sirva à Nação Brasileira, ao invés deste trapo que é o sr. rodrigo pacheco, minúsculo mesmo, que parece ter sumido para Marte. Ficamos nós, que pagamos muito bem o salário deste traste, com este ABACAXI nas mãos, que é o TSE.  O Sr. alexandre de moraes, com toda a sua arrogância de tiranete, ainda não percebeu que nós, brasileiros, não vamos deixar a coisa assim. Seu tombo vai ser grande.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T14:21:59Z', 'updatedAt': '2022-10-20T14:21:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-20T14:21:59Z,"Que falta faz um chefe do Senado digno, que sirva à Nação Brasileira, ao invés deste trapo que é o sr. rodrigo pacheco, minúsculo mesmo, que parece ter sumido para Marte. Ficamos nós, que pagamos muito bem o salário deste traste, com este ABACAXI nas mãos, que é o TSE.  O Sr. alexandre de moraes, com toda a sua arrogância de tiranete, ainda não percebeu que nós, brasileiros, não vamos deixar a coisa assim. Seu tombo vai ser grande.",QURTSl9pM21mUms1RklYQ0tUM2ZuVTRMd0p4eFdGSEVtSHIzTUo1RDdGVUVhVXdJQnJKSlJXR1FkUUk1ZHBYS2Z4QnlzOWRpYjNSYnFQNA==,2023-06-08 15:26:02.127619
youtube#commentThread,wWs0Uzkr7pvUwjcsrV86w9ijqg4,UgwzCOZ269hANVGSmMt4AaABAg,"{'videoId': 'c3mRpVTDjoI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LbYXIhC8gUz9QN3Hft0P_QZpeGQ', 'id': 'UgwzCOZ269hANVGSmMt4AaABAg', 'snippet': {'videoId': 'c3mRpVTDjoI', 'textDisplay': 'Este Sr. Alexandre está tentando avançar cada dia mais. Sua queda será grande. Que falta faz um Presidente do Senado honrado, que serve á Nação, ao invés deste trapo ensebado que é o Sr. Rodrigo Pacheco.', 'textOriginal': 'Este Sr. Alexandre está tentando avançar cada dia mais. Sua queda será grande. Que falta faz um Presidente do Senado honrado, que serve á Nação, ao invés deste trapo ensebado que é o Sr. Rodrigo Pacheco.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T14:08:52Z', 'updatedAt': '2022-10-20T14:08:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-20T14:08:52Z,"Este Sr. Alexandre está tentando avançar cada dia mais. Sua queda será grande. Que falta faz um Presidente do Senado honrado, que serve á Nação, ao invés deste trapo ensebado que é o Sr. Rodrigo Pacheco.",QURTSl9pMC1vakYtNHpXQXQtZmk0b1RMVUdkRXhtbTNCblRlbkJ4OUQtNG1OZGd6QnlYTngtVWJ1ZGNCQVJLa1FzZFFtWlBqUktCSVh6QQ==,2023-06-08 15:26:15.681418
youtube#commentThread,EHOo2o9jjB9XlsKllnrtYt5KgwY,UgwrEoKtCxku9rkqtrJ4AaABAg,"{'videoId': 'MC8iCg2Q83A', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LwkbqNQd_rLqdAU3ZZwtntCDUqY', 'id': 'UgwrEoKtCxku9rkqtrJ4AaABAg', 'snippet': {'videoId': 'MC8iCg2Q83A', 'textDisplay': 'Que falta faz um chefe do senado digno, patriota, voltado para o bem da Nação, ao invés do trapo imundo que é o Sr. rodrigo pacheco, minúsculo mesmo. Ficamos nós, brasileiros, com este abacaxi, que é o TSE, nas mãos, sem ter quem nos defenda. Não tenho foro privilegiado, mas mando uma mensagem ao Sr. Alexandre de Moraes: o tombo vai ser grande. Porque nós já estamos fartos de ver este tiraneteziniho de quinta categoria dando ordens.', 'textOriginal': 'Que falta faz um chefe do senado digno, patriota, voltado para o bem da Nação, ao invés do trapo imundo que é o Sr. rodrigo pacheco, minúsculo mesmo. Ficamos nós, brasileiros, com este abacaxi, que é o TSE, nas mãos, sem ter quem nos defenda. Não tenho foro privilegiado, mas mando uma mensagem ao Sr. Alexandre de Moraes: o tombo vai ser grande. Porque nós já estamos fartos de ver este tiraneteziniho de quinta categoria dando ordens.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T14:17:43Z', 'updatedAt': '2022-10-20T14:17:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-20T14:17:43Z,"Que falta faz um chefe do senado digno, patriota, voltado para o bem da Nação, ao invés do trapo imundo que é o Sr. rodrigo pacheco, minúsculo mesmo. Ficamos nós, brasileiros, com este abacaxi, que é o TSE, nas mãos, sem ter quem nos defenda. Não tenho foro privilegiado, mas mando uma mensagem ao Sr. Alexandre de Moraes: o tombo vai ser grande. Porque nós já estamos fartos de ver este tiraneteziniho de quinta categoria dando ordens.",QURTSl9pMnJpOXZKenZBVXp1QXA2bV9JMjdzRzdHUmpnU3FzSVVTdXVKQkhmbmRKdzhoSnhDbGJyMlNuWG1Mamtzbk9RaVdOMWdiRlNaMA==,2023-06-08 15:26:22.568659
youtube#commentThread,B1spNLB4KwB1B8XR2fU4M-93HVQ,Ugw7oSlRw-Sk-BkbMtV4AaABAg,"{'videoId': 'k2EqbUHzHg4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lff3oKrWhaS4STdY-K-yHcZkdHY', 'id': 'Ugw7oSlRw-Sk-BkbMtV4AaABAg', 'snippet': {'videoId': 'k2EqbUHzHg4', 'textDisplay': 'Melhor para nós, brasileiros, seria viver sem estes 9 fora-da-lei. Quando eles dormem, o Brasil fica melhor.', 'textOriginal': 'Melhor para nós, brasileiros, seria viver sem estes 9 fora-da-lei. Quando eles dormem, o Brasil fica melhor.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T03:06:43Z', 'updatedAt': '2022-10-21T03:06:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-21T03:06:43Z,"Melhor para nós, brasileiros, seria viver sem estes 9 fora-da-lei. Quando eles dormem, o Brasil fica melhor.",QURTSl9pMU1RVzQ3SmNSdDJPc29vMlZkQ1RLckdubWIxZnlhVDlWRjFES2FudHFOaWxLZ0ROY1BuWFI2N1NReEMzM0JRck9jcnpDbmRsNA==,2023-06-08 15:26:41.676481
youtube#commentThread,w5lHut2F9I7jTc_HVUAopNvUxDk,Ugx46BEOi0nqxeyHT054AaABAg,"{'videoId': '-WVhpDKjrAw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'vm97rhsXNMiWxKbQcBR9OzwZTtk', 'id': 'Ugx46BEOi0nqxeyHT054AaABAg', 'snippet': {'videoId': '-WVhpDKjrAw', 'textDisplay': 'Como faz falta um chefe de senado íntegro, para por para correr esta gentalha do TSE. Será que o Sr. Pacheco não se manifesta? Que vergonha!u', 'textOriginal': 'Como faz falta um chefe de senado íntegro, para por para correr esta gentalha do TSE. Será que o Sr. Pacheco não se manifesta? Que vergonha!u', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T20:08:20Z', 'updatedAt': '2022-10-19T20:08:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-19T20:08:20Z,"Como faz falta um chefe de senado íntegro, para por para correr esta gentalha do TSE. Será que o Sr. Pacheco não se manifesta? Que vergonha!u",QURTSl9pMk9qczZMVWszLWhrcnowWUhGR2RqWTlsMFExWGhTQV95QlBWb19SOTlIX29Pb01Cdkh1Wk54WV9UWVhGdWpTQ0VpOW1TczNvZw==,2023-06-08 15:33:29.617235
youtube#commentThread,-kHCpEjJSDUCCO5NEJR4EYT6UoM,UgxZT4BcEi9czfhIgnd4AaABAg,"{'videoId': 'X83V1ZNiUVo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'J26VfdDa_ssUC2io5xw0ykFg8to', 'id': 'UgxZT4BcEi9czfhIgnd4AaABAg', 'snippet': {'videoId': 'X83V1ZNiUVo', 'textDisplay': 'Eu estou assustada, mas primeiramente REVOLTADA. Esta turma de tiranetes tem que ser retirada de seus postos. O Brasil não aceitará esta censura.', 'textOriginal': 'Eu estou assustada, mas primeiramente REVOLTADA. Esta turma de tiranetes tem que ser retirada de seus postos. O Brasil não aceitará esta censura.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T19:44:29Z', 'updatedAt': '2022-10-19T19:44:29Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-19T19:44:29Z,"Eu estou assustada, mas primeiramente REVOLTADA. Esta turma de tiranetes tem que ser retirada de seus postos. O Brasil não aceitará esta censura.",QURTSl9pMEJoN1FwN05BOXJVc2ZTYVFSQVhtRzctYkZ6Y1l3eFFFakNRUHVfaGY1MVNXVldpcEdLR1RkdWVBdmdNRXJCS3haNjJ6NFItdw==,2023-06-08 15:34:33.177001
youtube#commentThread,IYSE9NKWWCfyCqxRkwqSr7OsfQg,UgzzDixnETIeSfQK3tl4AaABAg,"{'videoId': 'MzDE2oIxRZE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wr87P0eUe0Js7R09_--dIpdsmr4', 'id': 'UgzzDixnETIeSfQK3tl4AaABAg', 'snippet': {'videoId': 'MzDE2oIxRZE', 'textDisplay': 'Parece que só o Brasil tem esta tralha que se chama TSE.  É só ver  quem chefia este departamento para ver que é fria.', 'textOriginal': 'Parece que só o Brasil tem esta tralha que se chama TSE.  É só ver  quem chefia este departamento para ver que é fria.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T12:08:58Z', 'updatedAt': '2022-10-19T12:08:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-19T12:08:58Z,Parece que só o Brasil tem esta tralha que se chama TSE.  É só ver  quem chefia este departamento para ver que é fria.,QURTSl9pMm41WDhpcmRBejVFY1ZJZ3dMallPTm1jRzExclluR3VVS08yZHFVdkVpalM0S0lQd2pWMUMxRnNDRFFIN1B2dmdJWExDNEFOZw==,2023-06-08 15:38:47.719983
youtube#commentThread,4QWyCALj792t9SDwojq2DY5Dod4,UgwphIFykGlJb_ZMEtt4AaABAg,"{'videoId': '2h3enl7qDEw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3zKJf3mlvvzSUKjbZUMXShsOy1U', 'id': 'UgwphIFykGlJb_ZMEtt4AaABAg', 'snippet': {'videoId': '2h3enl7qDEw', 'textDisplay': 'Estes petistas são mesmo muito baixos. Depois de dois anos, procuram torcer uma fala que durante todo este tempo nada causou. É gente de escalão baixo mesmo e estão desesperados. Em meus 75 anos nunca vi um povo de nível tão baixo. São demônios. E estão desesperados.', 'textOriginal': 'Estes petistas são mesmo muito baixos. Depois de dois anos, procuram torcer uma fala que durante todo este tempo nada causou. É gente de escalão baixo mesmo e estão desesperados. Em meus 75 anos nunca vi um povo de nível tão baixo. São demônios. E estão desesperados.', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T14:01:44Z', 'updatedAt': '2022-10-19T14:01:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-19T14:01:44Z,"Estes petistas são mesmo muito baixos. Depois de dois anos, procuram torcer uma fala que durante todo este tempo nada causou. É gente de escalão baixo mesmo e estão desesperados. Em meus 75 anos nunca vi um povo de nível tão baixo. São demônios. E estão desesperados.",QURTSl9pMlh6SjZrMGhVbFYyTWpWc3hSdnEySzQ0SWI5d3FmbmhTVnA2RWtBRkp3cWRQLXphSGRUNG1oQzhzMzJBX01xT25DQ0pnU3VrTQ==,2023-06-08 15:38:56.162381
youtube#commentThread,0Bt-mGL9kJZuq6BBbbwq4IVBpKA,UgwaErI35N0altCEP2N4AaABAg,"{'videoId': 'Lto9L8glrMA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sYnmdiQjehjCgEcW2plagZXAGhU', 'id': 'UgwaErI35N0altCEP2N4AaABAg', 'snippet': {'videoId': 'Lto9L8glrMA', 'textDisplay': 'Só de ver este &quot;ministreco&quot; tenho que tomar um Sonrisal. Que vergonha!', 'textOriginal': 'Só de ver este ""ministreco"" tenho que tomar um Sonrisal. Que vergonha!', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 15, 'publishedAt': '2022-10-19T02:20:02Z', 'updatedAt': '2022-10-19T02:20:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-19T02:20:02Z,"Só de ver este ""ministreco"" tenho que tomar um Sonrisal. Que vergonha!",,2023-06-08 15:39:48.178307
youtube#commentThread,pQ62mF_oeDW9QhInUw4-plKFrZI,UgxsChkXDHK3Uz2ggJB4AaABAg,"{'videoId': '7ekUtgMfteo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '20AwWGbbAQVLLzW5VKKpbGiBpzE', 'id': 'UgxsChkXDHK3Uz2ggJB4AaABAg', 'snippet': {'videoId': '7ekUtgMfteo', 'textDisplay': 'Sr. Alexandre não sabe com quem está mexendo!', 'textOriginal': 'Sr. Alexandre não sabe com quem está mexendo!', 'authorDisplayName': 'Maria Lucia Seeger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMLymzGfkID96CFA7Gdb5MEJu81q8VsVYjQxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHrersOVKR4R64CjbbGaCHg', 'authorChannelId': {'value': 'UCHrersOVKR4R64CjbbGaCHg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T00:24:42Z', 'updatedAt': '2022-10-19T00:24:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHrersOVKR4R64CjbbGaCHg,2022-10-19T00:24:42Z,Sr. Alexandre não sabe com quem está mexendo!,QURTSl9pMmVzdFhCUWlpcnl2MW1hUFJqQjFKcVFFYnpGR2hOUFBOZGhqUVpuZ1lJaVp0d1Z1dVN1U2RXWGVIMDZpLTdyWEJKdmlOdEl0TQ==,2023-06-08 15:40:19.927233
