kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,d7XkZx4HCBwpTJ03li4cp1wvYeM,UgxnAGuXBqbHUGxaYTd4AaABAg,"{'videoId': '7J51VHv0S6w', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kHy1MPZJL-gY1eqH7VIhAxv74YQ', 'id': 'UgxnAGuXBqbHUGxaYTd4AaABAg', 'snippet': {'videoId': '7J51VHv0S6w', 'textDisplay': '13 LULA PRESIDENTE SEM MEDO DE SER FELIZ', 'textOriginal': '13 LULA PRESIDENTE SEM MEDO DE SER FELIZ', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T11:20:47Z', 'updatedAt': '2022-10-27T11:20:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-27T11:20:47Z,13 LULA PRESIDENTE SEM MEDO DE SER FELIZ,QURTSl9pMldBZTZLZGZ3RFB1dTFsVWlIODRmLVdneEJKbXRsLVJxWDdhSWFNdER4bnFJN19rZ0hyRDBsM05namtQUURSWmwwWTZqUEE1UQ==,2023-06-07 13:01:22.893504
youtube#commentThread,gaXtnfOrrzq25n8G6TteDmKdo4U,Ugy9xcRkSKXlmu_xHu54AaABAg,"{'videoId': 'WFaCrKC42z4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'u7AaioZpUFIcMmuVe_hqBga3K0U', 'id': 'Ugy9xcRkSKXlmu_xHu54AaABAg', 'snippet': {'videoId': 'WFaCrKC42z4', 'textDisplay': 'JOVEM KLAN BOLSONARENTA', 'textOriginal': 'JOVEM KLAN BOLSONARENTA', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 18, 'publishedAt': '2022-10-26T21:02:45Z', 'updatedAt': '2022-10-26T21:02:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-26T21:02:45Z,JOVEM KLAN BOLSONARENTA,,2023-06-07 13:01:49.554889
youtube#commentThread,CB0_edmNTb-z1243gkbsH2Y0wUM,UgyYRb9pts0cI_wbBc14AaABAg,"{'videoId': 'dpkZBTRJO0Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'D726Wjs0Zz5fNca1o58Hpr3qnf8', 'id': 'UgyYRb9pts0cI_wbBc14AaABAg', 'snippet': {'videoId': 'dpkZBTRJO0Q', 'textDisplay': 'QUE DEUS TE PROTEJA JANONES!', 'textOriginal': 'QUE DEUS TE PROTEJA JANONES!', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 11, 'publishedAt': '2022-10-26T21:09:24Z', 'updatedAt': '2022-10-26T21:09:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-26T21:09:24Z,QUE DEUS TE PROTEJA JANONES!,QURTSl9pMXJyQXlHTUhDQTBlSXJjZHVkLVZlRFd5QW9xNFNXa1BNNnlsUTd6cjZLdC1wRUhJeklXWTdxLWE2M0hKWkV0MHV6Tk53cG1lcw==,2023-06-07 13:02:09.846210
youtube#commentThread,L5WhBqYJRmKMGe7xtS2evg_j5X8,UgxNUHe-wS1TD8J6LWZ4AaABAg,"{'videoId': 'ZrTqQTShBJ4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'abSq16dAXsfjWwFBZvyHggBVg3k', 'id': 'UgxNUHe-wS1TD8J6LWZ4AaABAg', 'snippet': {'videoId': 'ZrTqQTShBJ4', 'textDisplay': 'ISSO É O BOLSONARISMO QUE MATA', 'textOriginal': 'ISSO É O BOLSONARISMO QUE MATA', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:49:31Z', 'updatedAt': '2022-10-25T21:49:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-25T21:49:31Z,ISSO É O BOLSONARISMO QUE MATA,QURTSl9pMHBuTUc1c09OVkFNSXEwVjFQSzVQalczeGFOOXN1Y05XZWVxYU91VHJ0aGY4TXU4Sy04Ulh1OU5BV0lJX0dYeVJfREZHdVZPNA==,2023-06-07 13:16:16.249080
youtube#commentThread,C4MBqQvBz4uww5uGnCQAyFFde6g,Ugw_JKPIh9TGlbkRKLd4AaABAg,"{'videoId': 'ZrTqQTShBJ4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'nfVmRpcsGbP4K-3Khc13RplM5CU', 'id': 'Ugw_JKPIh9TGlbkRKLd4AaABAg', 'snippet': {'videoId': 'ZrTqQTShBJ4', 'textDisplay': 'JAMAIS ESQUECEREMOS.  INFELIZMENTE ESSA ALMA SEBOSA BOLSONARENTA FOI ELEITO NO RIO DE JANEIRO', 'textOriginal': 'JAMAIS ESQUECEREMOS.  INFELIZMENTE ESSA ALMA SEBOSA BOLSONARENTA FOI ELEITO NO RIO DE JANEIRO', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:48:49Z', 'updatedAt': '2022-10-25T21:48:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-25T21:48:49Z,JAMAIS ESQUECEREMOS.  INFELIZMENTE ESSA ALMA SEBOSA BOLSONARENTA FOI ELEITO NO RIO DE JANEIRO,QURTSl9pMHBuTUc1c09OVkFNSXEwVjFQSzVQalczeGFOOXN1Y05XZWVxYU91VHJ0aGY4TXU4Sy04Ulh1OU5BV0lJX0dYeVJfREZHdVZPNA==,2023-06-07 13:16:16.249080
youtube#commentThread,JUKSUEMNyp8n-3pi2J8U1vLfvp4,Ugy3MxohN8sXZWrIb6N4AaABAg,"{'videoId': 'nhZgB0E8CNw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NeDbxpOucuS_hPCaWAYJI_SGnB8', 'id': 'Ugy3MxohN8sXZWrIb6N4AaABAg', 'snippet': {'videoId': 'nhZgB0E8CNw', 'textDisplay': 'EXATAMENTE.  E PIOR JÁ VI NA INTERNET RABINO JUDEU DIZENDO QUE VOTA EM BOLSONARO.  É UMA SEITA HORROROSA E MALÉFICA', 'textOriginal': 'EXATAMENTE.  E PIOR JÁ VI NA INTERNET RABINO JUDEU DIZENDO QUE VOTA EM BOLSONARO.  É UMA SEITA HORROROSA E MALÉFICA', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-25T16:06:36Z', 'updatedAt': '2022-10-25T16:06:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-25T16:06:36Z,EXATAMENTE.  E PIOR JÁ VI NA INTERNET RABINO JUDEU DIZENDO QUE VOTA EM BOLSONARO.  É UMA SEITA HORROROSA E MALÉFICA,QURTSl9pMEtybGhTdjJIZmxlR0JxY0QwX2p4NW1PWk1QODJTdUFIYkFGMzNZZGdpLURhQXlPbG1TdjNWZXVsdGc2djFmMEEyZUtuSE5SSQ==,2023-06-07 13:17:21.550838
youtube#commentThread,RF7Ix-yWMZff8UyQD3zeonCamI4,Ugx6x5YuqzlGeLnPso14AaABAg,"{'videoId': 'ruqCJcEfRqI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BMZinWqCC6eXxXIzq_SaCdQjj0M', 'id': 'Ugx6x5YuqzlGeLnPso14AaABAg', 'snippet': {'videoId': 'ruqCJcEfRqI', 'textDisplay': '13 LULA PRESIDENTE SEM MEDO DE SER FELIZ', 'textOriginal': '13 LULA PRESIDENTE SEM MEDO DE SER FELIZ', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T21:08:47Z', 'updatedAt': '2022-10-24T21:08:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-24T21:08:47Z,13 LULA PRESIDENTE SEM MEDO DE SER FELIZ,QURTSl9pMTIzNlJwUF9GZXBSX045UmpNZFZ2b3pJMGUwUDNoS0dxVjhBNmZTdl9VY21RdW04aTdRSm5SNFJlTzhsN3RVejJTdll2bENjSQ==,2023-06-07 13:17:27.649906
youtube#commentThread,hvuD6MxotO3yvZw8qozYZHfk0Bc,Ugx7N5Gfi-ZMRkkKdDl4AaABAg,"{'videoId': 'ME8xQ2193tk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zuy2l_0G_BGLU5A_T_nZiDXfuvI', 'id': 'Ugx7N5Gfi-ZMRkkKdDl4AaABAg', 'snippet': {'videoId': 'ME8xQ2193tk', 'textDisplay': 'CRIME ELEITORAL . MAIS UM ESCANDALO DESSE DESGOVERNO DO MAL INCOMPETENTE E DESUMANO', 'textOriginal': 'CRIME ELEITORAL . MAIS UM ESCANDALO DESSE DESGOVERNO DO MAL INCOMPETENTE E DESUMANO', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T17:53:23Z', 'updatedAt': '2022-10-30T17:53:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-30T17:53:23Z,CRIME ELEITORAL . MAIS UM ESCANDALO DESSE DESGOVERNO DO MAL INCOMPETENTE E DESUMANO,QURTSl9pME01X1NRTXdmMks3ZU9QSjJhWjNQM0hqdVBsQXdFbnFNY0huWUdJUUxndzhiRE9Ndy11NzBWYVBhelBzdWNpbkJUQV9KTGUwRQ==,2023-06-07 12:48:26.252732
youtube#commentThread,byib6KOyck5e4yZXQ0aYgLwbEwo,Ugxz-ZUy4W54FXaovWl4AaABAg,"{'videoId': '-uirB8ZBACY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OmdZ6Xvk9pH5GZ7dsii9K1u1wug', 'id': 'Ugxz-ZUy4W54FXaovWl4AaABAg', 'snippet': {'videoId': '-uirB8ZBACY', 'textDisplay': 'BOLSONARISMO NUNCA MAIS NO BRASIL', 'textOriginal': 'BOLSONARISMO NUNCA MAIS NO BRASIL', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T02:24:46Z', 'updatedAt': '2022-10-23T02:24:46Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-23T02:24:46Z,BOLSONARISMO NUNCA MAIS NO BRASIL,QURTSl9pMjRWMlZJTHItVTN4Q29yUFZ3U0M2RExrNXpIb1hRaVN0cEFEY0FnTnpKb2xjVEJLeWhCd1VySGRNSWp0ZzhGenpCeWdBLVMyYw==,2023-06-07 13:20:51.825634
youtube#commentThread,jVxPWzV36aTLcnTnD_afDPgBlTs,Ugz-hDyjJedaaINm5hd4AaABAg,"{'videoId': '-uirB8ZBACY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'CVnk0Mx2ohLPxdmuizfl9vXRpMw', 'id': 'Ugz-hDyjJedaaINm5hd4AaABAg', 'snippet': {'videoId': '-uirB8ZBACY', 'textDisplay': 'Lula MELHOR PRESIDENTE QUE O BRASIL JÁ TEVE E VAI VOLTAR EM NOME DE DEUS!', 'textOriginal': 'Lula MELHOR PRESIDENTE QUE O BRASIL JÁ TEVE E VAI VOLTAR EM NOME DE DEUS!', 'authorDisplayName': 'LUCIENE MEDEIROS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHLSKvun1Wt81u5UXipEh5E1VFctSMWnZDcovs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjtQ77pd2xT9uimsue60Ug', 'authorChannelId': {'value': 'UCKjtQ77pd2xT9uimsue60Ug'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T02:24:38Z', 'updatedAt': '2022-10-23T02:24:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjtQ77pd2xT9uimsue60Ug,2022-10-23T02:24:38Z,Lula MELHOR PRESIDENTE QUE O BRASIL JÁ TEVE E VAI VOLTAR EM NOME DE DEUS!,QURTSl9pMjRWMlZJTHItVTN4Q29yUFZ3U0M2RExrNXpIb1hRaVN0cEFEY0FnTnpKb2xjVEJLeWhCd1VySGRNSWp0ZzhGenpCeWdBLVMyYw==,2023-06-07 13:20:51.825634
