authorChannelId,Count
UC3EeTdqeuZLcG7CReLi1Dvw,151
UC_JEcPkt_VpUm8t07GLsriw,140
UCIGIXBuUzWdDMrC1FqlrHvQ,135
UCesMnoe6rhhzPSmFfVLvH4A,127
UCXWPuSFbS5Ve7Hno2B6anAQ,86
UCxdFOGA2IC6Qnkoa_gqitqQ,79
UCF37QyEKb2s3eoaX72PbQww,66
UCbWQjwzfjYhx5SVAbXBDH9g,65
UCJiSTVo8RDCF-H0BbK5lstQ,62
UCESDMYrkD2oOVIIAxhMBCKg,62
UCz8td2K25tKXuu28_IrF5dw,61
UC6Ua88bmJhCZ3WYOhthEw5A,61
UCcPUu3nCf6aKDmzbVENCc_A,57
UCl_zd9Q3PKWmu1fowGa1hTA,56
UCUGh81TYIsa6L86ZU5mMLkQ,55
UC7Ijx_S5Ajlazn1GKXQYeTQ,54
UCVgAgePgU6ZBQJ326jyuXjw,52
UCtkO5NUKHQKYmhEovQYF1xw,52
UCRsKuPKbYh4Hethoutej8wA,51
UCbY1eVa456sUbaGP0Tj5Psw,50
UCz1queA84ETyhYAxmQ5akCQ,50
UCgkbhXV14wBRhWcWvZ9Qpzg,49
UCqQZrgp3j5fgOg_4gPzu6ug,49
UCATJ4c8qMLAu5G_7cd2gZZw,48
UCeKOyCfx56vnCNm_xhgy8Lw,47
UCg85tF0gTsyZ-Uwr1tWJeLA,47
UC1-SmBmaChJL4gcHJPpP9gQ,47
UCYks-x2PWmywJyyCHMgUD_g,47
UCQx3ebSw8zJ_jm06nm5ogGw,47
UC9otk9D1NiocKPpasHI-M5w,47
UCV1ET1Nqjtcv5bgN5-2ljJg,46
UCTjfySYyBSAM2fmB7F6Vamg,46
UCoypBJaowZpuIDmg72BE5RQ,46
UCXNZDtYlcIcuNqH1M0bcBTg,45
UC1EGT3j8xg-1ihr1gfIApEQ,45
UCT6iBetowu6yxa6uxu7poAA,45
UCBU14-KTIGnBV_P-egZhpKQ,45
UC_rYMoBn7fG7W5kNXx_O0bg,44
UCkIoS3gihzf40sALfInBEUg,44
UC6r2P2A5GmQuGeAdpGbWAxw,43
UC-UbcG1rXTzqrrmWi_Yhfuw,43
UCiiBHFavpW5bmIJVPxTWemg,43
UCijcvE_bZc6Y5hx4zo-5fRg,42
UCl26VneyBy9I7VpiGh-3wpw,42
UC8Md2ixt77NCCefCqFSUKjg,42
UCGs0no7gnMQqSfKfI0F2wqg,41
UClwZifzla2bJfcmtWKaeXaw,41
UCm1Mil3YicXFz7ecXWpScTw,41
UCIhkjqahp8_Ou7gXcZt0v1w,41
UCjcpv4PTZOnlCgErWfjurUw,41
UCkICEAznInITN3JJB2etG-Q,40
UCFy3SaB4v334m-O7cmhDadA,40
UCfgOe6j2kd1nYFHvtxDCCiQ,40
UCOK5u-PsGJKEBb_bDt_oIKw,40
UCy4thcXj3W-KYO6r6uzCE7A,40
UCaAjXmxb74Wiif8lun70v5Q,40
