authorChannelId,Count
UCLBB7nQW9qAVHtHpgCXouYw,675
UCKhKETUJiXosT2FWKbfqvlg,452
UCwI7IPMqOHg-JncGd-nKVlQ,427
UC3-Ex-f951g2vMw3QNR1lfw,393
UCiR8mCoE99TKLeg5nh6oc6A,364
UC4aMR3XLY8dpdsBWvjsTlwg,352
UCyI505MnHiS4yus6ako8X1g,351
UCD7IGVCi0kHLkFW_MsMvtig,332
UCk-vP5XwAm3K4gELYFJaRpw,308
UCXzLTR4QWHCf8_fDCWKOxFA,301
UCUTq9yY89kGvD7_W4hmEvnw,291
UChocfFvdOV9eeCDy1jKY-HA,272
UCZGtd3Byjyr-I5aASfbrM2A,259
UC3E3nJp3JKVUsyjJ4td-TcQ,250
UCBOAIcTc12PJLjc9_L1AUQQ,226
UCi2rVoMJRdqhg6G87GEt10Q,224
UCLm87UV5VLe__Zd-WufggoA,220
UCrXVcCeyhPr5FwwUfh29vzw,216
UCr5rE50qu9m6jrzjlT80B8g,206
UC7qsXc1yHOpHVCMBr43aQSQ,201
UC5vDV47DxCtkubXzyA4DvpA,195
UCkkGP5j-74o6QkG8Bw5xwLQ,192
UCgpj8fKiQNXL-doPlu1iIYQ,191
UCTPYhimCYZUDqLZz1chtYPQ,190
UCt1csac_jg17AG7rBY5BEuA,182
UCUIjie25hFqRLHHmPPF3G2Q,181
UChS-3_xopChIaGwzMOgQV3Q,178
UCjjilzx2BC5tjnvNWPIG-GQ,177
UCiFGVGRj6CJXVrqVdpAC7aw,175
UCAZH4Ah-OVXH7O0DeMjSDIQ,174
UC9xJ9NxJr6exGsQqe0AjWfw,173
UCjINK2zbSDEX8OjQ6lt05UQ,172
UCrb_wcyF85s6HxTq3tftADw,167
UCObYOzDbCPSEoFp5g4VIzwA,165
UCtHuTO_WJVYB7CrrMgXGjXA,165
UCO6o5Hzlqwqv68WAOR3gHgQ,164
UClysQ2ow4YPr5pgLXGbZ7wg,155
UCAsU_q5tot6XKPkd1v3ozzA,154
UCIvg5rslfvIXe_eD21ZspLg,153
UCC2fo6qEaa0sM38IVxfvpxA,151
UChhdX_jVnx0TG8GMKihdKpQ,149
UCSWbg8eBpXbJS7Ww6Ml4Jkg,146
UCWgk8fAoedYlufBhINoSGnw,146
UCkJx2qzbZ-J0FPWd7QdAFTQ,141
UCanfDazVFycjkK9UihVMNHQ,137
UCGIYZylsultbYIvbuaMj6xQ,136
UCazEvvze6jbOaBuvmam6jbQ,136
UCC9ZW_pxzkH_repV48oLoLw,133
UCoOuscE_JosGeuWnBdHt4QA,133
UCa5xJdMXsBa3v48ySymogcg,133
UCec-3ugFOqs7cOGa8klmV2Q,133
UC9dnqFhx8KnTO2WmRMqSmnQ,129
UCD0AAoHVmLfHqBV8bi5b2dg,128
UCQt3mKN1LUBjCcDiHYSr9QA,128
UCdpFKnqUPCxHnKG4v4k5iRw,127
UC-Mbg_ogwCIYjviSBAW0Fkg,127
UCBqiVpFRz71X2THXr9i8ZfQ,124
UCl5OSAyB6GIrQjhUgH286Zg,119
UCK6Zaa2lb8y41xMVc4jjmBg,119
UCrUAw_1mq2Bpr-WffGRhjTw,118
UC5WjNgnrOHdylwmEJPv6ehw,117
UCJIeS7bZJ_ST8almxCeYR5w,116
UCaskF1RKOZfv5hoO2tMZIDw,115
UCM_BaqWFIC7mtoboBpcdBeA,115
UCIJOTQc81n5Z5guveogWKgw,114
UCUEob9Ujzqk4Fig18Y8IcKw,114
UCkjPFjCvq9eMb3_qMa7yFbg,114
UCNg4QFuEWpXT71PMNl9zbWg,114
UCFUhFNYiD9eS5vF9bTEmNWA,112
UC1nGyXySPO5JPU0bpVV49zA,112
UCCOpSxVZZWxo9ZpsLUkRg_A,111
UCC4XhTHnfjLkTlN7VrxIyvA,111
UCkZmTdtSW29fKi1jzTUCk8Q,109
UCRgvAJzelHuapKyA3o2Ej3Q,107
UCKA9TboS8tYryWV9TnFwJeg,107
UCvvHiMH1TIBQopoJaDn65JQ,107
UCtldZu_52VqwPnh425m6vPg,107
UC0jtLfaA6PgbqWUdgTPPeEQ,106
UCmkOV6S0lJxRIkWjMif1Wmw,106
UCOE6-kjhUeXvjvvyFydBX5A,104
UCHqWmhTzIKxl33wWcQjg22g,104
UCHTbnQhp-z3s08J277lX9eQ,103
UCbIM6tbjDkoroGJWYBgiHog,102
UCygJg1QciCydDy-hMdkiHnA,102
UCGTF5SsT8q28BsIXbLUccWg,101
UC8Klcds4BkHwZVSSmnrXK2Q,100
UCZSdWalXI8f-zATweOHNZ-Q,100
UCTsp4MQbTddL5crK6dhrSbg,99
UCvTJCtGw-k9mKNh-cB9w2PA,98
UCjzeiLNzrR5iyJLmw5A9N2w,98
UCF82cVMEREdNGt-KyaLKf0w,97
UCpiJqUUFdsk_lalNVeS1OwQ,96
UCNu239w1noicSUDho8QEMlw,96
UCX8jOSRldoAR65T-PzGdawg,95
UCpw0DlL6PIs74FF2zk6YUbw,95
UCixS08rDSxauQC80CMHBDOA,95
UCCyz94SSzWu5YpGOMCC8tlw,94
UC29JmuJQTH2nkn7Y08GBZPg,94
UCpuNNeeSQRrKKWKtKvvA3dg,94
UCCe_jFhJURh1otWylimq3dQ,94
UCW7rjlo_JzTO_vRkLKYimPQ,93
UCRhbO39cNPM7uSxlCJU0usg,92
UCStWftPM39P8BS7SuiUXiiA,92
