authorChannelId,Count
UCx5ooDCrmrjpV2zkuYQfMQA,643
UC1ewfAPSOt6-5DGxIRkhwRg,470
UCTpQmTFcLbJAVRi1oycOl1A,468
UC9LpevInLWcm9uRjM8qc_WQ,421
UChuWkxZUiSKC_S1i3uIXw6A,405
UC2lwS7-sJj6xyXN8Ck4s0tg,365
UC7zQxLbx-2xpO0OJbwJ2KJw,336
UCrzdbQ7Wx1KC6M8Co4nQ8Rw,313
UCOewmO2GzppKiPoBSg1Jjkg,312
UC3-Ex-f951g2vMw3QNR1lfw,298
UCv8TdKklhZmJHXtJVWOQxvg,287
UCfS_ZmioSZpU6ZjH78TmpyQ,274
UCYHvSQAYwAAquYaU05_B57Q,255
UCiVlVTrHhmW9XnweD3qcFxg,233
UCFx8CLpNYRjmDV8W1lB8FnQ,228
UCSMLKFBQASj59pDDIz_3KRg,227
UCiDdb7Y1HhgDIK5LyW6zhKg,223
UCUESWgziGTEJBjKTrodPphg,222
UCBF2phZipgG_D1jOaLtO1hQ,221
UCIQfj66hALwOQ5jsC9YVRJQ,219
UCD4mzwwzSvTmYQ8d2HYkKew,209
UC-6tZ-yhckKSEP7xCyImhvQ,209
UC2PKYkT_vJ5drDSdM6Nf0cw,205
UCcJtfFmnXBTr_BSWZjOkTBw,204
UCVuf0L3W8PmLJBtoUFjh84A,203
UCoOuscE_JosGeuWnBdHt4QA,202
UCtzBfayV-Id-UucbB602X2g,197
UCbcJ-aLGl-vaFVNvnj90cjA,192
UCJhKq7VQ0Ck6ffDOBA_GjUQ,189
UCJElfS-bpSGQMN8FukLVXlQ,186
UCDzN3ENpK7EfCF9lU7tbUQA,186
UCsPEXRQZHAclNZ3jadAeOvQ,185
UCj7_VSohoBeuSqm5NawJaDQ,182
UC_MyoigDKn_6_4tamkFbCzw,180
UC86Ub6ALGI1KHUmMzM5cdaw,179
UCBVmLjglAtux1bpErnjp4OQ,176
UC0BsJk59AKbwB1v3wuE9JPA,175
UCt-VFWPkewEPnpsVznjNjTA,175
UCMBJBkiP8QBZRPh-1JVzpzQ,174
UC0Vi9q1gkjJ_aExXNQgiO6g,171
UCDEwbdTKzAD9C5Ui9xCkNtg,170
UCE_KhbK6NBl2wOyHVLYmBSQ,170
UCXcEBsc03KwOmhb7onG1G4w,170
UC7nwkJK5ghxKGFfIMIKA9QQ,168
UCAbtwTh1-TQti2OTCpIKdFA,167
UCYCLDH1Y_in1nyxAsbdSsDw,167
UCyjk7EXw2BrkzVr8YhJdWUw,166
UCyUqkKXfkinzS6EzXOCv-zA,165
UCyLcoVTS9r3tvqQF8-x4GuA,164
UCu8mrLLzcZHgzizI0Bce4VA,164
UCAPOKQINvBUu0Wb7BKYoMKw,163
UC4U0749mIcnDCSInE5eAGQQ,160
UClpqmiMjxwcZJ9BLxdwe2tQ,158
UCHmPcQTXC5wUHsE5xEE-TJg,155
UCjINK2zbSDEX8OjQ6lt05UQ,155
UC4RsBkz0Iq7Fgr4jMyOYW2g,155
UChh-R4-UyLT6VdlzQyk0opQ,154
UCktvQFzfaYwQi4fp0-lZFgA,154
UC_DwG1jyfFmvDZ9lMS6PsIQ,153
UC2GvQabRdM9VDUue8xzSfWQ,152
UC-QXytubkki0ejwasMwP5xw,152
UCkkGP5j-74o6QkG8Bw5xwLQ,151
UCUt8SlFpYzYVZDRHBKx4wZA,151
UCyW7VFDnlYdb8eRfnYRtuAg,151
UC-vR8Xaxv5OXsJ5fXn3fg8w,150
UCOhHbfw7S0cAh2NpBEg-LOQ,148
UCsP4lfp7-ESGyMeIRHLtXDw,146
UCOF4ND8AeMAoptw4Wii7mTA,146
UCRUU_lktv1x32FF0YilwUGg,145
UCvOdxpuDS7_B2duUDqYBRYw,145
UCNJiOeHXakYy1-6Rgl1cQcg,143
UCintlcPeV-GNYbenPSzeG8A,143
UClOYhaZ54uPeSL8edSjlkXA,142
UCoPTBPd7Idfpos_o8VIbuEg,142
UCdeCX6q4kLHtSqRyAaAAu9A,141
UCOnULsxLCgbXeD313udb7Ow,139
UCStTZ4a2BeTkMNevY7vip4A,139
UCVk9RiY-VvWVsvqzAL-meKg,139
UCMoWHuc40QMG9ZAia4MSZqQ,138
UCyhKocgTJfVBPd8YWZpb23w,138
UCkNUDY77HFBHzlCIsB32rlQ,137
UCnAhLnjhCbNS6DsipVXDlIw,137
UC4I2XhEqCJC68wDrm7wh8pw,137
UCQLZv72a6qM5LE358jeu_ww,136
UCYBbu1AgFewqLG1_z4kxNGQ,135
UCQaX4UBeHtt8VIKTx4rWSfA,135
UC8zYzoffqSZijTUwsMy7CTA,134
UCIsMd3caZ7XMijV54JvWgSg,134
UC2C8j-0p9bXspKglz8IIrNw,133
UCh_PmB40bLFNdSzuT5aAJXw,133
UC8bsUnm67VNfE6JU46em6sA,133
UCQmioZZkzYzZPHyJ7LXvzxA,131
UCetyqwkMS_nrM9PuN7fFDYA,131
UCbqrQZ0oRl3z99jAlmeShCQ,131
UCBe8WbsdNc1oa0sLBaGy-og,130
UCz8UspgDAeQO1FWm1MBGT_A,129
UCsae1DxWG-R51hE1eAvR9fw,129
UC880QcZ3yQ2Q7ijNI3HA58A,129
UCfWSJKwQb0Un5wdaeCjIfuw,129
UC1chZMwtufg5Lei7NlzkfuA,128
UCNkSfbYqv40FnmNqOZ1iuvA,127
UCVE5dWURe-u47kG7hIAab2w,125
UCMgHZFlPxVHMWeURRpxKA_A,125
UCi_idRnisbVzQzsq72hkQTQ,125
UCQYobjd5zNQWB2647Laphhw,125
UCM2vfMPigToVZGPtJjv_l9g,125
UClviY3z8iPmKcRGgNU6rvQg,124
UCVuhKB8hjQDFxp-nsves5_g,124
UC6KQYj1qtR9YgxBPj3i7XoA,124
UCWh-XMXY4JoKhfIh02x8V0g,124
UCp5EvayXsFDY5nDHM8Gt7Dw,124
UC76saonkFOSFJPnvIWwKyOA,124
UCrORNYM20mDYWgZ2bky2ZyQ,123
UCIB5rGczRXNKrFF7W4KkArw,122
UCHh0hyyjnKEiO9KKo__4PUA,122
