authorChannelId,Count
UCfEMW4ba6K-IdQXC4KHDkUg,249
UCCVFQn-hGzWc3EHGg3JWScw,173
UC_5L1AUxqpfZz_5DrXsKq9Q,168
UC7afed0R8-8HruKBtCel32Q,155
UCNFsLYF2Y6Lo_sjmO7xen8w,153
UCa7KkA5gzteiEnonX8jSnNQ,151
UChhssMJF70YMf5vJd8UFYJQ,147
UCIGBrCkgfrR6OTs6nzZkSZA,142
UC6pvDx8ruHhQjug7LPiyqIg,136
UCbByuD8hCwKwRmDlNsdl1YQ,124
UCbHEhjwNzSdQNQrtlocH_kQ,118
UCsrnI_4SzV5mRSNy0GSztug,115
UCAnqZdW7j6bCE1F-vn3Zo8w,115
UCkug-I6G31XAluuYt69K_ow,108
UC6hrh8ghfA9YQfXR2avigfg,107
UC10SH9hu6sxdwphpQUu00dA,105
UC_C4_Zk7GICTKiIFLYq--Dw,104
UCp3N9P8_wfCVBZa_mH_HIIg,104
UCKozBnVvh0rxgzY2t9nSC-A,100
UCp_11K4iL8ERrk3Q8rNdNNA,97
UCdAqZ-s9Jmy3cJJuOa_rFGw,96
UCd85TQuto6Fgv0CPq6LbhFQ,95
UCLAH57g3zXP4L0VWoMIzcow,91
UC1e8c8-e-5kl9mRNkGp4HcQ,90
UCOSiVkShDUg2Ss09ak2VWWg,88
UCSS0JR2aRerhL73xylzK5sg,86
UCi5r15wTuA2qpcwgI5HLx2w,85
UCNACz1EmLxdVemslWLRMRaw,85
UCRZBTE-yLswrmynyulShdUw,81
UCapGk2wZDjuaGSvqftYVNKw,80
UCd0JHoHd67g0U4OWJOwR6sg,80
UCpk7LhL74G38zI5eakWhsKg,80
UCtlckC-DpKdX2mbi-6QX8sQ,79
UCcGrFuVDxVbQey0pTQI9b-w,79
UCXaGmE6vvovMzRlM_nlcc-g,79
UCVrOYxkK-Hepwog0XunMNsA,79
UC9iL-McMxRMxiapfI4-atWA,78
UC4xD8Aijn-maxH7jBBky-dw,76
UCPawHYy_W3bCFP7hile21Xg,75
UCHw143mdEYQZ03yoNnB31_g,75
UCgeCQzLQKLWZ1vp7Mak5MAA,75
UC6_Y1JmDuaU9PjiWVq6iebQ,74
UCKjtQ77pd2xT9uimsue60Ug,73
UCl3S3MxmUmXXyM8kSnAy6GQ,73
UCwu2ykFXpwMcDc8ebe8uquw,72
UC_qpFpej73U5KTKiXBdblIg,72
UCDyzLa42DJ2ESwj1Xgktpyw,72
UCMZ-OraMTmN379GMMDql04Q,72
UCCNocnHtGKRsdUS4jxh0qGw,71
UCIyG-EkxpOHGPiP-ul5yGGw,69
UC2qoHrjWhEcxpfcNsPlwJpw,69
UC75xsrq_uBocvYIXyLY4_iA,68
UCc_nVzOaB0okd4iIBCCIs5w,67
UC064kX_rQ8i77bqaxEsGiCQ,67
UCKxy1X1FnibAtBasQl2OHYg,66
UC5dT_PGmAVbEyYEe2hfQdvQ,66
UCNjXTq3FAK1_PJrdBQWTvUQ,64
UCzntVGHUquVKV_5P8JOIrrw,64
UCFqAONJ9jEQlEW5o6CL5gtQ,63
UCo17IwGxPQYzO4pLUu80d9Q,62
UCx0LueTJ3YeGHrkyfCBUVKg,61
UCVTAVa5oZbmgIxCf82RJT5Q,61
UCQx4vxT3l6JmOVPSqqDajNQ,61
UCDVh0hgZMs3uroBs_EuKVgg,61
UCRhbO39cNPM7uSxlCJU0usg,60
UCQxOLgIameonJw-FJT1qURA,60
UChBjRMVJVcaY6I8bYSM4DZw,60
UC8MOb-_OO1vJ9h7it8xVphA,59
UCACtPRJ_dFK2ajUlkJ9_x0A,59
UCBzADsJvGniU1-eL7VTBVxw,59
UCQ8VxibvQR7xgw2u6W44U5Q,59
UCEK8QsLux46sPMFc1cWsBVA,59
UCEl5zpmkxukqWMjknW4nA8Q,59
UCf4UN2fA0RWazfQwxH2m4KA,59
UCFMeQMjOE_f-eCggffEXY6Q,58
UCCZ7vV7XJ2F9bt2lRccEi9Q,58
UCzZLsEh1K3JzR87LgD1ni0w,58
UCo8OqoKwxKMQnFBtX76e3Ew,58
UCuuH9cGilpAB_VeDiEms_9g,58
UCXWpaHa0PfmRZd2W47u9utw,57
UCLggAn6rZfctcgZoQdSRD8g,56
UCSniPKjXzSUHkguPa1zLyCg,56
UCG6DFlmsvW5SphWgP4RKH3Q,56
UCJg5ye_znD9iVlQiMKZauQQ,56
UC1dh1HIawM7Z4DN_oBCzmHw,55
UCXiRybUuiT2iO0CFlue_0cw,55
UC3E3nJp3JKVUsyjJ4td-TcQ,55
UCgeigqthyx-WMz7FLKM0kDw,54
UCkspUSJTZs9Gg3_6V03SY_Q,54
UC2PRjuj-8c6kenlpQOahiHQ,53
UCygJg1QciCydDy-hMdkiHnA,53
UC5Lm1EBpC8ZK_F41BS3GNJg,53
UCMd-FIRmpx6Y3C2ZPG95h8g,53
