kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,HHWb9URdC1LvPBkHYqJYizRCWeU,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLjRFU3kxTl91U1Zj,"{'publishedAt': '2023-06-07T15:48:37Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'PILANTRAGEM', 'description': 'Quando dois pilantras se encontram e se abraçam está posta em cena a pilantragem.\nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4ESy1N_uSVc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4ESy1N_uSVc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4ESy1N_uSVc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4ESy1N_uSVc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4ESy1N_uSVc/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': '4ESy1N_uSVc'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-07T15:48:37Z,UUHkIWOyyMuYfWeXkRGJUSxA,4ESy1N_uSVc,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,MG6M02aE20KfAmmXcwdQWh9zvWI,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLkpPRzVQOHhvZDBF,"{'publishedAt': '2023-06-05T23:32:50Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'ALMANAQUE DO SASSARICO', 'description': 'Live com Bemvindo Sequeira e Dimitri  Sales com assuntos diversos, sob a forma e literatutra popular em prosa: de Horóscopo a Fase da Lua, passando por datas e fatos, e acontecimentos politicos atuais e passados.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'JOG5P8xod0E'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-05T23:32:50Z,UUHkIWOyyMuYfWeXkRGJUSxA,JOG5P8xod0E,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,CFiVH14AecAcSvTGSDTrKTqoz0A,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLk1odjYxTExTNDlV,"{'publishedAt': '2023-06-05T14:00:12Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'LADRÃO OU TCHUTCHUCA? PF INVESTIGA MAIS DESVIOS DE JOIAS POR BOLSONARO. TCHUTCHUCA DOS SHEIKS ?', 'description': 'Não param de ser descobertos presentes de ouro, rubis, diamantes ... oferecidos a Bolsonaro pelos sheiks árabes. Em troca de quê? Joias que pela lei pertencem à  Repúblca e não ao acervo pessoal de Jair,  guardado na fazenda de Nelson Piquet.\nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Mhv61LLS49U'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-05T14:00:12Z,UUHkIWOyyMuYfWeXkRGJUSxA,Mhv61LLS49U,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,M4o5qlg1Agv1JtaEG2XW262MVLc,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLld4d0dyNDRIc25Z,"{'publishedAt': '2023-06-05T00:07:29Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'O FANTASMA DA MEIA-NOITE', 'description': 'Em algum canto do Mundo é meia-noite.  nesta hora um Fantasma ameaça os Continentes: o Fantasma do comunismo, diria Marx. Nós dizemos: O Fantasma da Meia-Noite. Para os oprimidos e desamparados das redes sociais. Colaboração gráfica de Lia Sérgia e @vam_ilustrador. Papo leve e interação com internautas.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'WxwGr44HsnY'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-05T00:07:29Z,UUHkIWOyyMuYfWeXkRGJUSxA,WxwGr44HsnY,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,DWVKVATm3w7dy3_6V_XtlJ2BrDQ,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLmFkanJkSkJKTlBN,"{'publishedAt': '2023-06-04T14:39:54Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': '60.000,00 POR UM CARRO POPULAR... ESTÁ BARATÍSISMO. APROVEITEM É SÓ POR 4 MESES.', 'description': 'Lula pede que critiquemos suas ações e projetos. Mas não é fácil criticar sem deixar de fortalecer a Direita. Mas hãcoisas  que incomodam  e a língua coça. Vão desculpando, companheiros. Rstrsrsrs\nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'adjrdJBJNPM'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-04T14:39:54Z,UUHkIWOyyMuYfWeXkRGJUSxA,adjrdJBJNPM,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,5LiP5wJXVi-18Sbg3xRfjYbcEqw,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLllha3h4SFhoRDQ0,"{'publishedAt': '2023-06-04T11:06:12Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'ATENÇÃO ! MUDANÇA NOS HORÁRIOS E CONTEUDO DO CANAL', 'description': 'Horarios de Brasilia: 2as feIras 19hs Almanaque do sassarico: 5as feiras 11hs Comentário Bemvindo; Sábados 19hs Dando Uma Perdida na Night; Domingos  20hs O Fantasma da Meia Noite. A Hora  da Larica das terças feiras sai do ar para dar lugarao Amanaque às segundas feiras. \nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/YakxxHXhD44/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YakxxHXhD44/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YakxxHXhD44/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/YakxxHXhD44/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/YakxxHXhD44/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'YakxxHXhD44'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-04T11:06:12Z,UUHkIWOyyMuYfWeXkRGJUSxA,YakxxHXhD44,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,3uNxODeOsCINYALovDOZ69vv-6g,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLkJqckYwdlZ6aGxN,"{'publishedAt': '2023-06-04T00:39:41Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'DANDO UMA PERDIDA NA NIGHT', 'description': 'Papo leve e bem humorado sobr e os fatos da semana. Com o esquete das ""Manicures Bibilóides"". Com Bemvindo Sequeira, Dimitri Sales e Décio Nogueira. Colaboração gráfica Lia Sérgia Marcondes.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'BjrF0vVzhlM'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-04T00:39:41Z,UUHkIWOyyMuYfWeXkRGJUSxA,BjrF0vVzhlM,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,Z63O6hEJL1bOW8nQFyT4gHU8uvw,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLjFOYzluS0dYazhN,"{'publishedAt': '2023-06-03T18:55:08Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'A ORDEM É MASSACRAR LULA. A DIREITA DO MUNDO GOSTARIA DE VE-LO MORTO.', 'description': 'Lula é um espinho na garganta do imperialismo norte americano. Lula coloca o Brasil como uma das lideranças mundiais. E isto os EEUU não perdoam.\nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': '1Nc9nKGXk8M'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-03T18:55:08Z,UUHkIWOyyMuYfWeXkRGJUSxA,1Nc9nKGXk8M,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,AO7lERmB-a1SpUGC10Q-FVtWFY4,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLmxBYVA1UTFxcUlr,"{'publishedAt': '2023-06-02T14:00:35Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'O MANJA ROLA. O SENADOR  E O VENDEDOR DE ROLA ASSADA', 'description': 'Humor. Sátira. Inspirado em literatura de Cordel o video de hoje retrata o costume culinário nordestino de comer pombas rolas, assadas ou cozidas.\nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'lAaP5Q1qqIk'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-02T14:00:35Z,UUHkIWOyyMuYfWeXkRGJUSxA,lAaP5Q1qqIk,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
youtube#playlistItem,QubXJ-i8CX3q0osyCL4X3DEW9cI,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLkJFaWJfdUxSZllF,"{'publishedAt': '2023-06-01T20:00:03Z', 'channelId': 'UCHkIWOyyMuYfWeXkRGJUSxA', 'title': 'ARTUR LIRA, O VILÃO DA REPÚBLICA. O INIMIGO DENTRO', 'description': 'Há um entulho que restou do governo fascista de Bolsonaro, chama-se Artur LIra. Comanda os votos de oportunistas, fascistas, bolsonaristas e corruptos. Maioria de um Congresso eleito por um eleitorado esquizofrênico. Lula tem que se virar e muito para conseguir governar apesar deste Congresso comandado pelo chefe do monturo.\nSeja membro deste canal e ganhe benefícios:\nhttps://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join\nHumor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !\nObs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Bemvindo Sequeira', 'playlistId': 'UUHkIWOyyMuYfWeXkRGJUSxA', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'BEib_uLRfYE'}, 'videoOwnerChannelTitle': 'Bemvindo Sequeira', 'videoOwnerChannelId': 'UCHkIWOyyMuYfWeXkRGJUSxA'}",,,UCHkIWOyyMuYfWeXkRGJUSxA,Bemvindo Sequeira,2023-06-01T20:00:03Z,UUHkIWOyyMuYfWeXkRGJUSxA,BEib_uLRfYE,EAAaBlBUOkNESQ,2023-06-07 17:00:31.916896
