kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,7N9ECCaMBCDXlR7gEFzl3Vyddug,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LjRtSm00bDNmZlln,"{'publishedAt': '2023-05-02T15:17:31Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': ""PORQUE REVOGAR O 'NOVO' ENSINO MÉDIO"", 'description': ""Parte das minhas falas na live que participei no canal de @DoutoraDrag semana passada falando sobre o retrocesso que é o 'Novo' Ensino Médio e a necessidade de lutar pela sua revogação e pela construção de outra Educação, popular, e construída pela base. Junto comigo e Dimitra, estavam @Contrapalavra e @dialetizando-prof.johnmate8473.\n\nLive completa: https://www.youtube.com/watch?v=qq8SCo4zoCQ\n\nArtigo citado sobre as antigas políticas educacionais resgatadas pela Deforma do Ensino Médio de Temer: https://www.scielo.br/j/es/a/8hBKtMRjC9mBJYjPwbNDktk/?lang=pt&format=pdf\n\n_____________________\n\nRedes sociais:\n\nApoia-se: https://apoia.se/chavosodausp\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\nTikTok: www.tiktok.com/@chavosodausp\nTwitter: https://twitter.com/chavosodausp?s=09\nE-mail (e pix): contato.thiagotorres1917@gmail.com"", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': '4mJm4l3ffYg'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-05-02T15:17:31Z,UUKWus46Vy8gwf1rRLu4II0w,4mJm4l3ffYg,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,qljtpa6GGT_vpfROXN7HBqXq8eY,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LkxtdXNNVFpKNGs4,"{'publishedAt': '2023-03-30T17:18:11Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'MATERIALISMO HISTÓRICO DIALÉTICO | Cortes', 'description': 'Corte da minha live com o professor da Faculdade de Direito da USP, Alysson Mascaro. Aqui, ele explicou o que é o materialismo histórico dialético, método de análise social desenvolvido por Karl Marx e Friedrich Engels.\n_____________________\n\nRedes sociais:\n\nApoia-se: https://apoia.se/chavosodausp\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\nTwitter: https://twitter.com/chavosodausp?s=09\nE-mail (e pix): contato.thiagotorres1917@gmail.com', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'LmusMTZJ4k8'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-30T17:18:11Z,UUKWus46Vy8gwf1rRLu4II0w,LmusMTZJ4k8,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,xaV9Re4927dtpUPsCjWQRFI0OEw,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LkRxNDhJT0h5YTVF,"{'publishedAt': '2023-03-29T15:39:42Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'PROFESSOR DA USP EXPLICA O QUE É MARXISMO | Cortes', 'description': 'Corte da minha live com o professor da Faculdade de Direito da USP, Alysson Mascaro. Aqui, ele explicou o que é o marxismo.\n_____________________\n\nRedes sociais:\n\nApoia-se: https://apoia.se/chavosodausp\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\nTwitter: https://twitter.com/chavosodausp?s=09\nE-mail (e pix): contato.thiagotorres1917@gmail.com', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Dq48IOHya5E'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-29T15:39:42Z,UUKWus46Vy8gwf1rRLu4II0w,Dq48IOHya5E,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,zjsD9vRhtWG9mSJXAyBxHKI0QVo,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3Lk5ZalRlc2NvUUZr,"{'publishedAt': '2023-03-23T15:42:41Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'A CHINA NÃO É SOCIALISTA, POR ALYSSON MASCARO | Cortes', 'description': 'Corte da minha live com o professor Alysson Mascaro. Aqui, ele explica porque a China não pode ser considerada socialista. A entrevista completa está aqui: https://www.youtube.com/live/PgjFZ302VDI?feature=share\n\nRecomendação de leitura: Estado e Forma Política, do professor Alysson.\n\n_____________________\n\n\nRedes sociais:\r\n\r\nApoia-se: https://apoia.se/chavosodausp\r\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\r\nTwitter: https://twitter.com/chavosodausp?s=09\r\nE-mail (e pix): contato.thiagotorres1917@gmail.com', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NYjTescoQFk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NYjTescoQFk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NYjTescoQFk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NYjTescoQFk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/NYjTescoQFk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'NYjTescoQFk'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-23T15:42:41Z,UUKWus46Vy8gwf1rRLu4II0w,NYjTescoQFk,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,0rEOI6hhyXhZFmvwiC6Szk-NdmQ,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LkVfSTI3Tnlsd1Zn,"{'publishedAt': '2023-03-19T18:03:21Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': ""REAGINDO AO 'FAVELADO INVESTIDOR' DEFENDENDO O CAPITALISMO"", 'description': 'Murilo Duarte, mais conhecido como “Favelado Investidor”, participou de um podcast há um tempo, onde foi perguntado sobre uma treta que teve comigo (na ocasião, ele disse no Twitter que eu não poderia criticar ele porque eu supostamente “não faço nada pela favela), e aproveitou pra dizer várias coisas infundadas pra defender o sistema capitalista. Como vi aí a oportunidade de rebater várias falácias da ideologia liberal, fiz esse vídeo reagindo e respondendo às falas do Murilo.\n\n\nReferências bibliográficas e recomendações:\n\n• Notícias/matérias\n\nChina contribui para a redução da pobreza no mundo https://oglobo.globo.com/economia/parceria-brasil-china/china-contribui-para-reducao-da-pobreza-no-mundo-24074955\n\nEliminação da pobreza extrema na China é o maior feito da história da humanidade https://www.brasildefato.com.br/2021/07/16/artigo-eliminacao-da-pobreza-extrema-na-china-e-o-maior-feito-da-historia-da-humanidade\n\nFortuna de bilionários do mundo cresceu 60% durante a pandemia https://www.cnnbrasil.com.br/business/fortuna-de-bilionarios-do-mundo-cresceu-60-durante-a-pandemia/\n\nExtrema-pobreza bate recorde no Brasil em dois anos de pandemia\nhttps://g1.globo.com/economia/noticia/2022/12/02/extrema-pobreza-bate-recorde-no-brasil-em-dois-anos-de-pandemia-diz-ibge.ghtml\n\n• Artigos\n\nDeterminantes do “milagre” econômico brasileiro (1968-1973): uma análise empírica\nhttps://repositorio.ipea.gov.br/bitstream/11058/1764/1/TD_1273.pdf\n\nO lado obscuro do ‘milagre econômico’ da ditadura: o boom da desigualdade\nhttps://brasil.elpais.com/brasil/2017/09/29/economia/1506721812_344807.html\n\nSobre Jeff Bezos\nhttps://brasil.elpais.com/brasil/2016/01/08/economia/1452274684_308717.html\n\nAlbert Einstein: Por Que Socialismo?\nhttps://www.marxists.org/portugues/einstein/1949/05/socialismo.htm?\n\n• Livros\n\nClara Zetkin: Como Nasce e Morre o Fascismo\nEric Hobsbawm: A Era das Revoluções (1789–1848)\nEric Hobsbawm: A Era do Capital (1848–1875)\nEric Hobsbawm: A Era dos Impérios (1875–1914)\nKarl Marx: O Capital - Seção VII, O Processo de Acumulação do Capital; Capítulo 24 - A assim chamada acumulação primitiva\nKarl Marx: Os Despossuídos - Debates Sobre a Lei Referente ao Furto de Madeira\nLeon Trótski: Como Esmagar o Fascismo\nVladimir Lenin: Imperialismo, Estágio Superior do Capitalismo\nTom Robinson: Jeff Bezos: Amazon.com Architect (de onde tirei as informações sobre o avô de Bezos e seu latifúndio)\nWalter Rodney: Como a Europa Subdesenvolveu a África\n\n_______________\n\nRedes sociais\n\nApoia-se: https://apoia.se/chavosodausp\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\nTwitter: https://twitter.com/chavosodausp?s=09\nTikTok: www.tiktok.com/@chavosodausp\nE-mail (e PIX): contato.thiagotorres1917@gmail.com\n\nEdição do vídeo: @jayafilmes', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/E_I27NylwVg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/E_I27NylwVg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/E_I27NylwVg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/E_I27NylwVg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/E_I27NylwVg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'E_I27NylwVg'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-19T18:03:21Z,UUKWus46Vy8gwf1rRLu4II0w,E_I27NylwVg,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,_tcvCaDGWC7DMyqDeQwau1kSk5o,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnppU3pyWmlTZkNB,"{'publishedAt': '2023-03-18T13:33:09Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'LENINISMO, STALINISMO E TROTSKISMO, POR ALYSSON MASCARO | Cortes', 'description': 'Corte da conversa que tive com o professor da Faculdade de Direito da USP, Alysson Mascaro. Aqui, ele fala sobre leninismo, stalinismo, trotskismo e maoísmo na história e a relevância do debate na atualidade.\n\nRedes sociais:\r\n\r\nApoia-se: https://apoia.se/chavosodausp\r\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\r\nTwitter: https://twitter.com/chavosodausp?s=09\r\nE-mail (e pix): contato.thiagotorres1917@gmail.com', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ziSzrZiSfCA'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-18T13:33:09Z,UUKWus46Vy8gwf1rRLu4II0w,ziSzrZiSfCA,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,bRiAdfarXoA0GvNhs2aEpbr7MO0,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnBaVHc4YkNYbXpB,"{'publishedAt': '2023-03-12T13:55:24Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'SÃO PAULO ALÉM DA VITRINE', 'description': 'Baseado em várias reflexões e conversas que eu tive nas viagens que fiz pro Rio de Janeiro, Tocantins e Bahia ao longo do mês de janeiro, percebi que São Paulo, assim como todas as outras grandes cidades, tem uma “vitrine” que é exposta pro restante do Brasil e do mundo. Enquanto as ‘vitrines’ de Salvador e do Rio, por exemplo, são mais turísticas, têm mais a intenção de atrair turistas, a ‘vitrine’ de São Paulo é mais econômica. Ela se vende como “a terra do emprego, da oportunidade, da ascensão social, da riqueza”, na intenção de atrair trabalhadores e investidores.\n\nDe fato, São Paulo é a cidade mais rica do Brasil, é o epicentro do capitalismo industrial, financeiro e comercial no nosso país. Mas o que não é mostrado nessa vitrine é que o capitalismo depende da exploração e da opressão de uma imensa maioria. Pra existir tanta riqueza de um lado, precisa existir muito mais pobreza do outro, e essa pobreza está escondida dentro da própria cidade de São Paulo: nos fundões da zona norte, nos extremos da zona leste, da zona sul… Essas regiões, distantes e segregadas do centro, são habitadas, principalmente, por retirantes nordestinos e seus filhos — como eu próprio —, que em sua maioria são pretos, pardos e indígenas — inclusive, muitos nativos desse território, mesmo. Mas essa população é invisibilizada, assim como a enorme quantidade de imigrantes latino-americanos, africanos e asiáticos que vivem por aqui. São pessoas que vieram atrás da prometida ascensão social, mas que geralmente não a encontraram e acabaram virando mão de obra barata na construção e na manutenção dessa metrópole tão desigual. Como fazemos pra “sobreviver nesse inferno”? Foi sobre todas essas e outras questões que eu tratei nesse vídeo, que está completo no meu canal do YouTube; link na bio e no story.\n.\n.\n.\nTexto de um professor meu da USP (Eduardo Marques) sobre a macro e a micro segregação no Rio de Janeiro e em São Paulo:\n\n“Comparando estruturas sociais no Rio de Janeiro e em São Paulo”\nhttps://www.anpocs.com/index.php/papers-31-encontro/st-7/st17-6/2936-celiscalon-comparando/file\n\n_______________\n\nRedes sociais\n\nApoia-se: https://apoia.se/chavosodausp\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\nTwitter: https://twitter.com/chavosodausp?s=09\nTikTok: www.tiktok.com/@chavosodausp\nE-mail (e PIX): contato.thiagotorres1917@gmail.com\n\nEdição do vídeo: @jayafilmes\nThumb: @coladapreta', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'pZTw8bCXmzA'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-12T13:55:24Z,UUKWus46Vy8gwf1rRLu4II0w,pZTw8bCXmzA,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,A0a5Q1IYrFs7a3jMLifXmaaZXDo,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LlBnakZaMzAyVkRJ,"{'publishedAt': '2023-03-11T02:20:55Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'O QUE É MARXISMO? | PAPO DE VISÃO COM ALYSSON MASCARO', 'description': 'Alysson Mascaro é um dos maiores intelectuais do nosso país. Professor da Faculdade de Direito da USP (com quem tive aula) e autor de muitos livros, Mascaro me dá a honra de entrevistá-lo para tirar dúvidas de muitos de vocês em relação ao marxismo e ao movimento comunista: a China é socialista? Existe algum país socialista atualmente? O que pensar da União Soviética e da treta “Stalin vs Trótski”? Por onde começar a estudar o marxismo? Quais livros ler? Vamos conversar sobre tudo isso e muito mais aqui no canal sexta-feira (10/03/2023) às 20h 👊🏽🔥\r\n\r\n______________\r\n\r\nRedes sociais:\r\n\r\nApoia-se: https://apoia.se/chavosodausp\r\nInstagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=\r\nTwitter: https://twitter.com/chavosodausp?s=09\r\nE-mail (e pix): contato.thiagotorres1917@gmail.com\n\n______________\n\n\n00:00:00 – 00:05:33 — Introdução\n00:05:33 – 00:34:13 — Por que Alysson virou comunista?\n00:34:13 – 00:37:59 — Silvio Almeida e outros orientandos de Alysson\n00:37:59 – 01:03:53 — O que é marxismo?\n01:03:53 – 01:15:39 — O que é materialismo histórico dialético?\n01:15:39 – 01:23:10 — Como começar a estudar o marxismo\n01:23:10 – 02:18:31 — Experiências concretas do socialismo\n02:18:31 – 02:21:58 — Encerramento', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'PgjFZ302VDI'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-03-11T02:20:55Z,UUKWus46Vy8gwf1rRLu4II0w,PgjFZ302VDI,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,RpWBL90aEyrvZIqR0SnRUWhgwbM,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnVhVzFmZ0tvLWk4,"{'publishedAt': '2023-02-28T17:55:05Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': 'NO COMUNISMO VAI EXISTIR SALÁRIO? (NÃO)', 'description': 'SOBRE COMUNIDADE | Um dos nossos grandes desafios na luta revolucionária é conseguir tirar as vendas que foram colocadas nos olhos das pessoas e que fazem elas não conseguirem enxergar outra realidade possível além da que já está dada.\n\nQuando a gente fala que no comunismo as pessoas vão trabalhar pela comunidade, sem precisar de um salário, de um pagamento, a maioria não entende, e até ridiculariza. Mas na Sétima Jornada de Agroecologia da Bahia, organizada pela Teia dos Povos, eu consegui ver isso na prática. Consegui ver a revolução brasileira materializada, em andamento.\n\nConheçam a Teia dos Povos (@DIALOGOSCOMOSPOVOS); vejam a entrevista que dei pra eles: https://youtu.be/EyB2-uurJ-g\n\nMe sigam no Instagram: @chavosodausp.02\n\nMe fortaleçam no apoia.se/chavosodausp\n\nE-mail (e pix): contato.thiagotorres1917@gmail.com', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'uaW1fgKo-i8'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-02-28T17:55:05Z,UUKWus46Vy8gwf1rRLu4II0w,uaW1fgKo-i8,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
youtube#playlistItem,Zpe8vpbB_EEqx5lBdU5H0IYL6bg,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3Ll9GaUVKZGJMSzRZ,"{'publishedAt': '2023-02-14T18:36:04Z', 'channelId': 'UCKWus46Vy8gwf1rRLu4II0w', 'title': '“SOCIALISTA DE IPHONE”: O QUE COMUNISTA PODE OU NÃO FAZER?', 'description': 'Sempre que eu abro a caixinha de perguntas nos stories do Instagram, recebo perguntas como “posso ser comunista e empresário?”, “é contraditório ser comunista e trabalhar em banco?”, recentemente até me perguntaram se “pode ser comunista e gostar de sertanejo?”, e dessa vez resolvi reunir algumas dessas perguntas e responder com um vídeo ✌🏽', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_FiEJdbLK4Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_FiEJdbLK4Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_FiEJdbLK4Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_FiEJdbLK4Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_FiEJdbLK4Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Chavoso da USP', 'playlistId': 'UUKWus46Vy8gwf1rRLu4II0w', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': '_FiEJdbLK4Y'}, 'videoOwnerChannelTitle': 'Chavoso da USP', 'videoOwnerChannelId': 'UCKWus46Vy8gwf1rRLu4II0w'}",,,UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,2023-02-14T18:36:04Z,UUKWus46Vy8gwf1rRLu4II0w,_FiEJdbLK4Y,EAAaBlBUOkNESQ,2023-06-07 16:46:39.908568
