kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,kJqWaNBMnRpP22tRQ1rh-3SgxwI,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLi1hM2o5VjllZkVJ,"{'publishedAt': '2023-05-15T19:51:41Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'PRECISO DE UM TEMPO | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/-a3j9V9efEI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-a3j9V9efEI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-a3j9V9efEI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/-a3j9V9efEI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/-a3j9V9efEI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': '-a3j9V9efEI'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-15T19:51:41Z,UUAMExYqcweM7PUebKfmLdFA,-a3j9V9efEI,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,unu1gWpaXPsMbHMRHp6RPHnxBDM,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLnRieGdXZHZEWUNr,"{'publishedAt': '2023-05-14T19:59:03Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'ELON MUSK NEGA MINAS DE ESMERALDAS NA FAMÍLIA E OFERECE RECOMPENSA PARA QUEM PROVAR', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://www.ndtv.com/feature/elon-musk-ready-to-pay-1-million-dogecoin-to-anyone-who-proves-his-family-owns-emerald-mine-3970986\nhttps://www.tecmundo.com.br/mercado/263200-elon-musk-iniciou-carreira-mina-esmeraldas-diz-pai-bilionario.htm\nhttps://www.instagram.com/p/Cr6TsuNgV_Y/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tbxgWdvDYCk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tbxgWdvDYCk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tbxgWdvDYCk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/tbxgWdvDYCk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/tbxgWdvDYCk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'tbxgWdvDYCk'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-14T19:59:03Z,UUAMExYqcweM7PUebKfmLdFA,tbxgWdvDYCk,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,4LKILwN6WrUdQMCdpwXwgu3njl4,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLldOVUZCTGJ6dmow,"{'publishedAt': '2023-05-13T20:25:54Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'ESTOURA GREVE DE ROTEIRISTAS EM HOLLYWOOD | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://www.bbc.com/portuguese/articles/clel3gzw61qo\nhttps://www.wga.org/news-events/news/press/writers-guild-of-america-calls-strike-effective-tuesday-may-2\nhttps://www.wgacontract2023.org/strike/picket-schedules-and-locations\nhttps://www.youtube.com/watch?v=jJ2lDpJG4bA&ab', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/WNUFBLbzvj0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WNUFBLbzvj0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WNUFBLbzvj0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WNUFBLbzvj0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WNUFBLbzvj0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'WNUFBLbzvj0'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-13T20:25:54Z,UUAMExYqcweM7PUebKfmLdFA,WNUFBLbzvj0,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,P2HTSDnKnNpeAuf6CpBsvQMGqHo,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLndRV0RwaWNCOFFR,"{'publishedAt': '2023-05-11T20:38:31Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'COMO A AMAZON DOMINOU AS VENDAS DE LIVROS NO BRASIL | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://www.bbc.com/portuguese/articles/c4nwprveg0wo', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/wQWDpicB8QQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wQWDpicB8QQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wQWDpicB8QQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wQWDpicB8QQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/wQWDpicB8QQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'wQWDpicB8QQ'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-11T20:38:31Z,UUAMExYqcweM7PUebKfmLdFA,wQWDpicB8QQ,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,tzqLMmKqLu927SaV5RIxpYnVS3k,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLks3dE5VTThGYk1z,"{'publishedAt': '2023-05-10T20:47:09Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'PL DAS FAKE NEWS: O PESADELO DAS BIG TECHS | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://revistaopera.com.br/2023/05/05/o-pl-2630-e-bom-e-por-isso-tao-atacado/\nhttps://www.netlab.eco.ufrj.br/blog/a-guerra-das-plataformas-contra-o-pl-2630\nhttps://g1.globo.com/politica/noticia/2023/05/02/governo-manda-google-sinalizar-como-publicidade-material-feito-pela-empresa-contra-pl-das-fake-news.ghtml', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/K7tNUM8FbMs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/K7tNUM8FbMs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/K7tNUM8FbMs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/K7tNUM8FbMs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/K7tNUM8FbMs/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'K7tNUM8FbMs'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-10T20:47:09Z,UUAMExYqcweM7PUebKfmLdFA,K7tNUM8FbMs,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,18ZSZ8pm1MUc0ec0MeNSYfEcEEI,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLlR6b0Q4THY2LXZB,"{'publishedAt': '2023-05-09T20:39:06Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'BOLSONARO: A SAGA DE CRIMES MEDÍOCRES | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://g1.globo.com/df/distrito-federal/noticia/2023/05/03/ex-ajudante-de-ordens-de-bolsonaro-e-preso-pela-pf.ghtml\nhttps://g1.globo.com/rj/rio-de-janeiro/noticia/2023/05/04/caxias-na-mira-servidora-diz-que-era-coagida-a-fornecer-a-senha.ghtml\nhttps://economia.uol.com.br/noticias/redacao/2023/05/02/multinacional-deixou-por-escrito-como-enganar-fiscais-do-ibama.htm\nhttps://mst.org.br/2015/11/19/syngenta-e-condenada-por-morte-de-sem-terra-no-parana/\nhttps://g1.globo.com/economia/agronegocios/noticia/2020/10/07/anvisa-autoriza-uso-dos-estoques-do-agrotoxico-paraquate-associado-a-doenca-de-parkinson-na-safra-202021.ghtml\nhttps://www.brasildefato.com.br/2022/07/21/syngenta-bayer-e-jbs-se-reuniram-216-vezes-com-alto-escalao-do-governo-bolsonaro', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/TzoD8Lv6-vA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TzoD8Lv6-vA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TzoD8Lv6-vA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/TzoD8Lv6-vA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/TzoD8Lv6-vA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'TzoD8Lv6-vA'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-09T20:39:06Z,UUAMExYqcweM7PUebKfmLdFA,TzoD8Lv6-vA,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,xktl2DYEIYII4bojJVwP4yTzv2g,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLnljYzJCSGF2QjlJ,"{'publishedAt': '2023-05-09T18:13:32Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'O LOBBY PELA VOLTA DO TRABALHO INFANTIL NOS EUA | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://valor.globo.com/empresas/esg/noticia/2023/05/05/criancas-de-10-anos-sao-flagradas-trabalhando-em-franquia-do-mcdonalds-nos-eua.ghtml\nhttps://www.washingtonpost.com/business/2023/04/23/child-labor-lobbying-fga/\nhttps://www.uol.com.br/carros/colunas/paula-gama/2023/05/03/lula-deixa-regulamentacao-do-uber-na-mao-de-sindicatos-e-irrita-motoristas.htm', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ycc2BHavB9I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ycc2BHavB9I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ycc2BHavB9I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ycc2BHavB9I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ycc2BHavB9I/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ycc2BHavB9I'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-09T18:13:32Z,UUAMExYqcweM7PUebKfmLdFA,ycc2BHavB9I,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,7RaJJSwqp9Eic8UYSOceWvQ02JY,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLk5RWGt6dzBIOElr,"{'publishedAt': '2023-05-08T21:05:04Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'QUIET HIRING: A ""TENDÊNCIA"" MAIS ARROMB@DA DE TODAS | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://blog.manpowergroup.com.br/quiet-hiring-tendencia-de-selecao-talentos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NQXkzw0H8Ik/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NQXkzw0H8Ik/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NQXkzw0H8Ik/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NQXkzw0H8Ik/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/NQXkzw0H8Ik/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'NQXkzw0H8Ik'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-08T21:05:04Z,UUAMExYqcweM7PUebKfmLdFA,NQXkzw0H8Ik,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,hCqOZ0y2fi1TErLbEi51Vt63oKw,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLmh0T05IVmRzTWt3,"{'publishedAt': '2023-05-05T18:00:31Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'REAGINDO AO DOCUMETÁRIO CARNE E OSSO | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLink:\nhttps://www.youtube.com/watch?v=4RUPJZYroeQ\n\nDocumentário: Carne e Osso\nDireção: Caio Cavechini e Carlos Juliano Barros\nRoteiro e edição: Caio Cavechini\nFotografia: Lucas Barreto\nPesquisa: André Campos e Carlos Juliano Barros\nProdução Executiva: Maurício Hashizume\nRealização: Repórter Brasil, 2011', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/htONHVdsMkw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/htONHVdsMkw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/htONHVdsMkw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/htONHVdsMkw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/htONHVdsMkw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'htONHVdsMkw'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-05-05T18:00:31Z,UUAMExYqcweM7PUebKfmLdFA,htONHVdsMkw,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
youtube#playlistItem,qV-0RQJxDi61QDDRQ8uL7XjUL2g,VVVBTUV4WXFjd2VNN1BVZWJLZm1MZEZBLndxRGVIc1kyT2JZ,"{'publishedAt': '2023-04-28T18:30:48Z', 'channelId': 'UCAMExYqcweM7PUebKfmLdFA', 'title': 'ECOANSIEDADE: A ANGÚSTIA QUE ESTÁ AFETANDO OS JOVENS | Cortes do História Pública', 'description': '-Canal Principal: \nhttps://www.youtube.com/c/HistóriaPúblicaOficial\n\n-Quer saber o que é comunismo, assista:\nhttps://www.youtube.com/watch?v=cg5winGpx80\n\n-Assista às lives, procure /historiapublica na roxinha\n\n-Discord da Soberana: https://discord.gg/sd4wAHPTJe\n\n-Redes Sociais: https://linktr.ee/historiapublica\n\nDeixe o like!\nSe inscreva!\nAtive o sino!\n\nLinks:\nhttps://www.bbc.com/portuguese/articles/c84m3j2nx7po', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/wqDeHsY2ObY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wqDeHsY2ObY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wqDeHsY2ObY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wqDeHsY2ObY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/wqDeHsY2ObY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Cortes do História Pública', 'playlistId': 'UUAMExYqcweM7PUebKfmLdFA', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'wqDeHsY2ObY'}, 'videoOwnerChannelTitle': 'Cortes do História Pública', 'videoOwnerChannelId': 'UCAMExYqcweM7PUebKfmLdFA'}",,,UCAMExYqcweM7PUebKfmLdFA,Cortes do História Pública,2023-04-28T18:30:48Z,UUAMExYqcweM7PUebKfmLdFA,wqDeHsY2ObY,EAAaBlBUOkNESQ,2023-06-07 17:00:20.685502
