kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,Xyq2B1-Md4tDONMByEzIzt-TQxQ,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLks0MU4taG9IYXRB,"{'publishedAt': '2023-06-07T16:00:04Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Nova patrulha Rússia-China irrita o Japão', 'description': 'Os principais aliados na Guerra Fria 2.0 pontificada pelos EUA e pela China estão em flexão de suas musculaturas militares, gerando queixas de lado a lado por exercícios que vão do mar Báltico ao Pacífico.\n\nNesta quarta (7), o Japão protestou contra patrulhas conjuntas de bombardeiros com capacidade nuclear da Rússia e da China em águas próximas ao arquipélago. Pequim e Moscou são aliados e, desde pouco antes da Guerra da Ucrânia, proclamaram o aprofundamento de laços, incluindo cooperação militar. (Igor Gielow)\n\nAssine a TV Folha\nhttps://goo.gl/EBg4ag\n\nLeia mais na Folha\nhttps://www1.folha.uol.com.br/mundo/2023/06/russia-china-e-ocidente-se-desafiam-em-jogos-de-guerra-do-baltico-ao-pacifico.shtml\n\nInstagram\nhttps://www.instagram.com/folhadespaulo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/K41N-hoHatA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/K41N-hoHatA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/K41N-hoHatA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/K41N-hoHatA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/K41N-hoHatA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'K41N-hoHatA'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-07T16:00:04Z,UUmYuiV9wAR3i8p19Ygc7izg,K41N-hoHatA,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,uYsRxVaObDmyn4jzbqgyBpxlm9I,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLnRBOXoyaV9YdlBJ,"{'publishedAt': '2023-06-06T23:17:33Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Qual o impacto econômico da gripe aviária? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tA9z2i_XvPI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tA9z2i_XvPI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tA9z2i_XvPI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/tA9z2i_XvPI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/tA9z2i_XvPI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'tA9z2i_XvPI'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-06T23:17:33Z,UUmYuiV9wAR3i8p19Ygc7izg,tA9z2i_XvPI,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,ktrfnHi4t7eieXCH5onSzXeDrGM,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLlQ0NkIyUXYzcmFB,"{'publishedAt': '2023-06-06T23:16:33Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Humanos pegam gripe aviária? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/T46B2Qv3raA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T46B2Qv3raA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T46B2Qv3raA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/T46B2Qv3raA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/T46B2Qv3raA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'T46B2Qv3raA'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-06T23:16:33Z,UUmYuiV9wAR3i8p19Ygc7izg,T46B2Qv3raA,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,3oC3JnEPh6gt_DQq8L4zQJOmnbE,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLnl5dzJGU0JDZTBJ,"{'publishedAt': '2023-06-06T23:15:55Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Como está a situação da gripe aviária? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/yyw2FSBCe0I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yyw2FSBCe0I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yyw2FSBCe0I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/yyw2FSBCe0I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/yyw2FSBCe0I/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'yyw2FSBCe0I'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-06T23:15:55Z,UUmYuiV9wAR3i8p19Ygc7izg,yyw2FSBCe0I,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,7wZM7-olkawdusT2-NaTDRCOHIs,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLlRXbEd1VjhMazNF,"{'publishedAt': '2023-06-06T21:39:27Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Como é que é? | O Brasil pode viver uma epidemia de gripe aviária?', 'description': 'O Mapa (Ministério da Agricultura e Pecuária) publicou no fim de maio portaria decretando estado de emergência zoossanitária em todo o país, após os casos de infecção pelo vírus da influenza aviária de alta patogenicidade (H5N1). O estado de emergência deve vigorar pelo prazo de 180 dias, podendo ser prorrogado por prazo indeterminado.\n\nA transmissão da gripe aviária ocorre por meio de contato direto com aves infectadas pelo vírus, vivas ou mortas, ou contato indireto por meio de objetos como sapatos, superfícies, produtos ou dejetos, como ninhos, ovos, fezes ou urina. Não há casos registrados em humanos.\n\nPara apontar as consequências sociais e econômicas da infecção, Isabella Faria conversa com a repórter Ana Paula Branco.\n\nAo vivo, de segunda a sexta-feira, direto da Redação da Folha, no centro de São Paulo, o programa Como é que é? convida especialistas de diferentes áreas, além de repórteres, editores e colunistas do jornal, para discutir política, economia, cultura, educação, tecnologia e tudo o que for assunto no país.\n\nA transmissão ocorre pelos canais do jornal no Youtube, no Facebook e na Twitch.\n\nDepois da exibição ao vivo, todos os episódios também ficam disponíveis em formato de áudio nos principais agregadores de podcast.\n\nLeia mais na Folha\nhttps://folha.com/4mbvkp92\n\nVeja outros programas:\nhttps://www1.folha.uol.com.br/folha-topicos/como-e-que-e/\n\nAssine a TV Folha\nhttps://goo.gl/EBg4ag\n\nInstagram\nhttps://www.instagram.com/folhadespaulo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/TWlGuV8Lk3E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TWlGuV8Lk3E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TWlGuV8Lk3E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/TWlGuV8Lk3E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/TWlGuV8Lk3E/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'TWlGuV8Lk3E'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-06T21:39:27Z,UUmYuiV9wAR3i8p19Ygc7izg,TWlGuV8Lk3E,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,13MgBLoAdBMSJ4aVAvlrjUMxKgg,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLklORmVJblNSQXdF,"{'publishedAt': '2023-06-06T12:48:55Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Explosão destrói represa e alaga estrada em Kherson | CENAS DA GUERRA', 'description': 'A explosão de uma represa no sul da Ucrânia na madrugada desta terça (6) alagou estradas na região de Kherson. Milhares de pessoas precisaram ser retiradas, e a há riscos à maior usina nuclear da Europa.\n\nAssine a TV Folha\nhttps://goo.gl/EBg4ag\n\nLeia mais na Folha\nhttp://www.folha.com.br\n\nInstagram\nhttps://www.instagram.com/folhadespaulo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/INFeInSRAwE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/INFeInSRAwE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/INFeInSRAwE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/INFeInSRAwE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/INFeInSRAwE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'INFeInSRAwE'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-06T12:48:55Z,UUmYuiV9wAR3i8p19Ygc7izg,INFeInSRAwE,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,385O6w39RBzOxIV4oVIZnc00v7o,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLkNtR0h0X1hQS25z,"{'publishedAt': '2023-06-06T11:37:45Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Imagens aéreas mostram destruição em represa no sul da Ucrânia | CENAS DA GUERRA', 'description': 'Em um dos mais dramáticos incidentes da Guerra da Ucrânia em seus 15 meses, uma represa vital no sul do país invadido pelos russos foi destruída na madrugada desta terça (6). Milhares de pessoas começaram a ser evacuadas devido à inundação, e a ação ameaça afetar a maior usina nuclear da Europa.\n\nRussos e ucranianos se acusam mutuamente pelo incidente na represa de Nova Kakhovka, que fica na porção ocupada por Moscou em Kherson, no sul da Ucrânia. Não está claro o que aconteceu, se uma explosão planejada como Kiev acusava os invasores de planejar havia meses ou, como dizem os invasores, um ataque com artilharia durante a contraofensiva iniciada pelo governo de Volodimir Zelenski no domingo (4). (Igor Gielow)\n\nAssine a TV Folha\nhttps://goo.gl/EBg4ag\n\nLeia mais na Folha\nhttps://www1.folha.uol.com.br/mundo/2023/06/destruicao-de-represa-gera-caos-e-ameaca-usina-nuclear-na-ucrania.shtml\n\nInstagram\nhttps://www.instagram.com/folhadespaulo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/CmGHt_XPKns/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CmGHt_XPKns/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CmGHt_XPKns/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CmGHt_XPKns/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CmGHt_XPKns/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'CmGHt_XPKns'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-06T11:37:45Z,UUmYuiV9wAR3i8p19Ygc7izg,CmGHt_XPKns,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,UA0P6hn1ie7TAdbCZGqyRflyHhM,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLkVzRklGaktDTV9B,"{'publishedAt': '2023-06-05T23:26:21Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Livros são censurados no Brasil? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'EsFIFjKCM_A'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-05T23:26:21Z,UUmYuiV9wAR3i8p19Ygc7izg,EsFIFjKCM_A,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,owKR5vPebeW1Fprr3nhQBLtqZMI,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLkpidndLRUR5dVZr,"{'publishedAt': '2023-06-05T23:25:51Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Quais os tipos de livros mais censurados nos EUA? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'JbvwKEDyuVk'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-05T23:25:51Z,UUmYuiV9wAR3i8p19Ygc7izg,JbvwKEDyuVk,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
youtube#playlistItem,PNdZ0eDQhLwg31dkilyAPm2QZXg,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLjQtcEpZOFZLUGlJ,"{'publishedAt': '2023-06-05T23:25:06Z', 'channelId': 'UCmYuiV9wAR3i8p19Ygc7izg', 'title': 'Do que se trata a censura a livros nos EUA? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Folha de S.Paulo', 'playlistId': 'UUmYuiV9wAR3i8p19Ygc7izg', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': '4-pJY8VKPiI'}, 'videoOwnerChannelTitle': 'Folha de S.Paulo', 'videoOwnerChannelId': 'UCmYuiV9wAR3i8p19Ygc7izg'}",,,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,2023-06-05T23:25:06Z,UUmYuiV9wAR3i8p19Ygc7izg,4-pJY8VKPiI,EAAaBlBUOkNESQ,2023-06-07 17:09:39.830460
