kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,4yTN6otY1HYZMRxbPjABXGqrhiQ,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLlJjTnI3eHFjQ3VZ,"{'publishedAt': '2023-06-15T23:06:09Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'A integração da cultura e da educação é decisiva no ambiente escolar!', 'description': 'Venha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/RcNr7xqcCuY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RcNr7xqcCuY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RcNr7xqcCuY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RcNr7xqcCuY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RcNr7xqcCuY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'RcNr7xqcCuY'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-15T23:06:09Z,UUFwzvNKpQWKMbiOHJ26IEnQ,RcNr7xqcCuY,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,yKh85UCY1soGQvhSrPdv4ag-2L8,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLkQtMGEyaG9HMk5v,"{'publishedAt': '2023-06-15T22:19:14Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Boulos vai cima dos planos de saúde', 'description': 'Venha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/D-0a2hoG2No/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/D-0a2hoG2No/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/D-0a2hoG2No/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/D-0a2hoG2No/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/D-0a2hoG2No/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'D-0a2hoG2No'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-15T22:19:14Z,UUFwzvNKpQWKMbiOHJ26IEnQ,D-0a2hoG2No,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,tR4-qAqKqfykIIvGTm_8pEGKDxw,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLlpESlpvdWVNT19r,"{'publishedAt': '2023-06-15T21:00:28Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Porque precisamos do Marco da Cultura | Boulos na Câmara', 'description': 'Fala sobre o Marco Regulatório da Cultura na Comissão de Finanças e Tributação da Câmara, em 15/06/23.\\n\\nVenha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ZDJZoueMO_k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZDJZoueMO_k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZDJZoueMO_k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ZDJZoueMO_k/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ZDJZoueMO_k'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-15T21:00:28Z,UUFwzvNKpQWKMbiOHJ26IEnQ,ZDJZoueMO_k,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,e6uI88dX7_T9cx3kia9RYYJ4s40,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLklXV0U0TTRIM0Rv,"{'publishedAt': '2023-06-15T15:35:09Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'É agiotagem o que os bancos estão fazendo no Brasil | Boulos na Câmara', 'description': 'Discurso na Comissão de Finanças e Tributação da Câmara dos deputados, em 14/06/23.\\n\\nVenha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/IWWE4M4H3Do/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IWWE4M4H3Do/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IWWE4M4H3Do/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IWWE4M4H3Do/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IWWE4M4H3Do/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'IWWE4M4H3Do'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-15T15:35:09Z,UUFwzvNKpQWKMbiOHJ26IEnQ,IWWE4M4H3Do,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,x5_MP42Vz_QbIeQdIeIoLR8r5sU,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLlFmSVlDTTNfVmZF,"{'publishedAt': '2023-06-15T14:04:10Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Pra cima da Via Mobilidade', 'description': 'Venha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/QfIYCM3_VfE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QfIYCM3_VfE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QfIYCM3_VfE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/QfIYCM3_VfE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/QfIYCM3_VfE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'QfIYCM3_VfE'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-15T14:04:10Z,UUFwzvNKpQWKMbiOHJ26IEnQ,QfIYCM3_VfE,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,WmwM-C6N93duCXWv0E_WX21upm4,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLllwb1hVbk1YamEw,"{'publishedAt': '2023-06-15T13:48:44Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Fim do aumento abusivo e da carência absurda | Boulos na Câmara', 'description': 'Discurso no Plenário da Câmara, em 14/06/23.\\n\\nVenha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/YpoXUnMXja0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YpoXUnMXja0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YpoXUnMXja0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/YpoXUnMXja0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/YpoXUnMXja0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'YpoXUnMXja0'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-15T13:48:44Z,UUFwzvNKpQWKMbiOHJ26IEnQ,YpoXUnMXja0,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,FhSPSSKtxPwiNpe-nyaoojQ7Qp8,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLmRSX0F1S3RJTVo0,"{'publishedAt': '2023-06-14T22:27:31Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Bancos tem que abrir conta gratuita. É LEI!', 'description': 'Venha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/dR_AuKtIMZ4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dR_AuKtIMZ4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dR_AuKtIMZ4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dR_AuKtIMZ4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dR_AuKtIMZ4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'dR_AuKtIMZ4'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-14T22:27:31Z,UUFwzvNKpQWKMbiOHJ26IEnQ,dR_AuKtIMZ4,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,UF1JvB0mtmKJ2oKL00pyZd0VkVo,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLlV4MV91X3BFMU9n,"{'publishedAt': '2023-06-13T23:41:58Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Vamos pessoalmente fiscalizar a Via Mobilidade | Boulos na Câmara', 'description': 'Discurso no plenário da Câmara, em 13/06/2023.\\n\\nVenha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Ux1_u_pE1Og/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ux1_u_pE1Og/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ux1_u_pE1Og/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Ux1_u_pE1Og/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Ux1_u_pE1Og/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Ux1_u_pE1Og'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-13T23:41:58Z,UUFwzvNKpQWKMbiOHJ26IEnQ,Ux1_u_pE1Og,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,emx6qLdEmQi3n957ijxt4u6rG3M,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLmZkendacEQtT2s4,"{'publishedAt': '2023-06-13T22:09:27Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Quando o tweet envelhece bem demais 👌🏼 😂', 'description': 'Venha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/fdzwZpD-Ok8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fdzwZpD-Ok8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fdzwZpD-Ok8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/fdzwZpD-Ok8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/fdzwZpD-Ok8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'fdzwZpD-Ok8'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-13T22:09:27Z,UUFwzvNKpQWKMbiOHJ26IEnQ,fdzwZpD-Ok8,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
youtube#playlistItem,nmtIYoxJySLr9Y716PjUXQ5zZng,VVVGd3p2TktwUVdLTWJpT0hKMjZJRW5RLnh2Y2M2SERYOFBn,"{'publishedAt': '2023-06-13T20:15:04Z', 'channelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ', 'title': 'Agora é batalhar pela isenção dos motoboys!', 'description': 'Venha debater comigo nas redes sociais:\\nhttps://twitter.com/GuilhermeBoulos\\nhttps://facebook.com/guilhermeboulos.oficial\\nhttps://instagram.com/guilhermeboulos.oficial\\nhttps://tiktok.com/@guilhermeboulos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/xvcc6HDX8Pg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xvcc6HDX8Pg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xvcc6HDX8Pg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xvcc6HDX8Pg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xvcc6HDX8Pg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Guilherme Boulos', 'playlistId': 'UUFwzvNKpQWKMbiOHJ26IEnQ', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'xvcc6HDX8Pg'}, 'videoOwnerChannelTitle': 'Guilherme Boulos', 'videoOwnerChannelId': 'UCFwzvNKpQWKMbiOHJ26IEnQ'}",,,UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,2023-06-13T20:15:04Z,UUFwzvNKpQWKMbiOHJ26IEnQ,xvcc6HDX8Pg,EAAaBlBUOkNESQ,2023-06-15 23:52:24.146525
