kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,aLf3qgbYMC9IQ9OwiBBG1CJFnWk,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLkVadFdJeXVwSFlZ,"{'publishedAt': '2023-06-07T15:00:56Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'CHOQUE DE CULTURA ABORDA DIREITA X ESQUERDA COM FILMES NACIONAIS', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/EZtWIyupHYY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EZtWIyupHYY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EZtWIyupHYY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/EZtWIyupHYY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/EZtWIyupHYY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'EZtWIyupHYY'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-07T15:00:56Z,UUqbz_4hrf2D58UFBOleuFnQ,EZtWIyupHYY,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,_A-Cfw2vjnHD-0o-DRJ-ZMEveZk,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLi1DSFQwUi1yWWVV,"{'publishedAt': '2023-06-06T15:00:00Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'COMEDIANTE EXPÕE DANILO GENTILI NO CASO LEO LINS', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/-CHT0R-rYeU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-CHT0R-rYeU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-CHT0R-rYeU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/-CHT0R-rYeU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/-CHT0R-rYeU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': '-CHT0R-rYeU'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-06T15:00:00Z,UUqbz_4hrf2D58UFBOleuFnQ,-CHT0R-rYeU,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,QVbY_-jeKfgOoP8QBiTs_aTQplU,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLlNXZWR1RTZKVTRJ,"{'publishedAt': '2023-06-05T15:00:21Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'COMO A BLAZE USA INFLUENCIADORES E SOME COM DINHEIRO DOS USUÁRIOS', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'SWeduE6JU4I'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-05T15:00:21Z,UUqbz_4hrf2D58UFBOleuFnQ,SWeduE6JU4I,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,LHos2A-UQ0T8FVjrs_2NO4qI97E,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLl9abjRkc3RwOXYw,"{'publishedAt': '2023-06-04T15:00:17Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'CARRO DE LUXO DÁ AULA SOBRE CONSCIÊNCIA DE CLASSE', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': '_Zn4dstp9v0'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-04T15:00:17Z,UUqbz_4hrf2D58UFBOleuFnQ,_Zn4dstp9v0,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,i9YGgm9GN-6oPSrsLaagTXxDq6Y,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLjg5SldKQkg5YzZV,"{'publishedAt': '2023-06-03T15:00:05Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'RICOS DE ALPHAVILLE MOSTRAM AS DIFICULDADES DA RIQUEZA', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': '89JWJBH9c6U'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-03T15:00:05Z,UUqbz_4hrf2D58UFBOleuFnQ,89JWJBH9c6U,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,5HKs5J3BBxoLIA08kw0q52cnRZY,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLmRzNHloOXA3OEs4,"{'publishedAt': '2023-06-02T15:00:29Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'JORNALISTA MOSTRA RELAÇÕES DA LAVA JATO COM OS ESTADOS UNIDOS DA AMÉRICA', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ds4yh9p78K8'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-02T15:00:29Z,UUqbz_4hrf2D58UFBOleuFnQ,ds4yh9p78K8,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,pV_-NIAxNYA1XNd6OHZG2cpoXZs,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLktBNktTZU1PR2ln,"{'publishedAt': '2023-06-01T15:01:25Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'PABLO MARÇAL EXPLICA POR QUE VOCÊ É UM WINDOWS XP', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'KA6KSeMOGig'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-06-01T15:01:25Z,UUqbz_4hrf2D58UFBOleuFnQ,KA6KSeMOGig,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,UTqO-P_VwhgX55OPINM6_l8am94,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLm8tZlJXRnZ1SmJB,"{'publishedAt': '2023-05-31T15:33:19Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'GALÃS FEIOS DEFENDEM A NECESSIDADE DO NOVO TETO DE GASTOS', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'o-fRWFvuJbA'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-05-31T15:33:19Z,UUqbz_4hrf2D58UFBOleuFnQ,o-fRWFvuJbA,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,GdaKkttyrBLlfGgdlebkpoMJkgk,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLmw5X0FHMXRCTEk4,"{'publishedAt': '2023-05-30T15:00:38Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'PROFESSOR COMENTA A REFORMA DO ENSINO MÉDIO', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'l9_AG1tBLI8'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-05-30T15:00:38Z,UUqbz_4hrf2D58UFBOleuFnQ,l9_AG1tBLI8,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
youtube#playlistItem,xCpOrOl1U-NU1zYYIwtWLO5jJ9c,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLjFpMDYxS3BHbFNB,"{'publishedAt': '2023-05-29T15:00:01Z', 'channelId': 'UCqbz_4hrf2D58UFBOleuFnQ', 'title': 'PETER JORDAN DÁ SUA OPINIÃO SOBRE LACRAÇÃO EM HOLLYWOOD', 'description': 'Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!\n\nComente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? \nGostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda \n\nCaso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com\n\nQuer ver mais coisas relacionadas ao COLUNISMO?\nAcesse o Instagram e o Spotify ""História Cabeluda""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1i061KpGlSA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1i061KpGlSA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1i061KpGlSA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1i061KpGlSA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/1i061KpGlSA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'História Cabeluda', 'playlistId': 'UUqbz_4hrf2D58UFBOleuFnQ', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': '1i061KpGlSA'}, 'videoOwnerChannelTitle': 'História Cabeluda', 'videoOwnerChannelId': 'UCqbz_4hrf2D58UFBOleuFnQ'}",,,UCqbz_4hrf2D58UFBOleuFnQ,História Cabeluda,2023-05-29T15:00:01Z,UUqbz_4hrf2D58UFBOleuFnQ,1i061KpGlSA,EAAaBlBUOkNESQ,2023-06-07 16:53:02.317756
