kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,6mVkw-rkvckU-dQAWly-sNvSLSU,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLmxWaFBna1EySW00,"{'publishedAt': '2023-06-07T20:09:03Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'Lula e Bolsonaro fazem s...xo!!!! #shorts #lula #bolsonaro', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/lVhPgkQ2Im4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lVhPgkQ2Im4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lVhPgkQ2Im4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lVhPgkQ2Im4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lVhPgkQ2Im4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'lVhPgkQ2Im4'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-07T20:09:03Z,UUZYyHef3eBoBEztAOY_Fe_g,lVhPgkQ2Im4,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,m0cNN5pL5Q8Dro0xWpqbjvf4kKw,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLkJSWnVnNG9IenZ3,"{'publishedAt': '2023-06-07T19:31:52Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'MBL RESPONDENDO ATAQUES | ANÁLISES RENAIS | Renan Santos', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/BRZug4oHzvw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BRZug4oHzvw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BRZug4oHzvw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BRZug4oHzvw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BRZug4oHzvw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'BRZug4oHzvw'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-07T19:31:52Z,UUZYyHef3eBoBEztAOY_Fe_g,BRZug4oHzvw,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,CvgwjMIeZnHBAIbMfALcsBDB69U,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLnVYX3cwVnBoRmxv,"{'publishedAt': '2023-06-07T16:29:21Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'CHOQUEI ATACA ARTHUR DO VAL! | E Detalhe | Arthur do Val', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/uX_w0VphFlo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uX_w0VphFlo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uX_w0VphFlo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/uX_w0VphFlo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/uX_w0VphFlo/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'uX_w0VphFlo'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-07T16:29:21Z,UUZYyHef3eBoBEztAOY_Fe_g,uX_w0VphFlo,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,zKN0WX7HpyCJte63EhYxBLXmY5U,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLldVbHdTU0pISzZ3,"{'publishedAt': '2023-06-07T15:31:39Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'MBL NEWS 07-06-23', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/WUlwSSJHK6w/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WUlwSSJHK6w/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WUlwSSJHK6w/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WUlwSSJHK6w/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WUlwSSJHK6w/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'WUlwSSJHK6w'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-07T15:31:39Z,UUZYyHef3eBoBEztAOY_Fe_g,WUlwSSJHK6w,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,cZGZJUT59FTwVKHA4BDZ8x2Uh_0,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLmh4RXZWLXgtMERR,"{'publishedAt': '2023-06-07T13:52:44Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'GOVERNO LULA É UMA BOMBA RELÓGIO | Expresso MBL | Renato Battista', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/hxEvV-x-0DQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hxEvV-x-0DQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hxEvV-x-0DQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hxEvV-x-0DQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hxEvV-x-0DQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'hxEvV-x-0DQ'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-07T13:52:44Z,UUZYyHef3eBoBEztAOY_Fe_g,hxEvV-x-0DQ,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,HQ7RFM4VeDf9kgnjJaSAM-YWLJ8,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLmwybjkyTDR5Vlc4,"{'publishedAt': '2023-06-06T23:36:30Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'MBL RESPONDE CNN AO VIVO | MBL NEWS | Renan Santos', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/l2n92L4yVW8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/l2n92L4yVW8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/l2n92L4yVW8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/l2n92L4yVW8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/l2n92L4yVW8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'l2n92L4yVW8'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-06T23:36:30Z,UUZYyHef3eBoBEztAOY_Fe_g,l2n92L4yVW8,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,KKJ_rJ9iqEey6Ym_S4DSXBoAMBE,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLkw1czNzb1JLejBZ,"{'publishedAt': '2023-06-06T21:01:25Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'ESTÁ DECLARADA A GUERRA ENTRE STF E LIRA! #stf  #ArthurLira #direita #explore #lula #shorts', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/L5s3soRKz0Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/L5s3soRKz0Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/L5s3soRKz0Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/L5s3soRKz0Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/L5s3soRKz0Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'L5s3soRKz0Y'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-06T21:01:25Z,UUZYyHef3eBoBEztAOY_Fe_g,L5s3soRKz0Y,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,j7pQPaIovUAKaMrzjB1vTMBBV90,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLm5hRGtEeEdsOWpF,"{'publishedAt': '2023-06-06T20:11:23Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'FELIPE NETO ENTRA EM DESESPERO COM CASO BLAZE | ANÁLISES RENAIS | Renan Santos', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/naDkDxGl9jE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/naDkDxGl9jE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/naDkDxGl9jE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/naDkDxGl9jE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/naDkDxGl9jE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'naDkDxGl9jE'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-06T20:11:23Z,UUZYyHef3eBoBEztAOY_Fe_g,naDkDxGl9jE,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,Ryi5Ma6TUQkCuxm3_Z8lq8spIT4,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLjZOUldQQXFhaVpr,"{'publishedAt': '2023-06-06T16:26:10Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'ARTHUR RESPONDE EMICIDA AO VIVO | E Detalhe | Arthur do Val', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/6NRWPAqaiZk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6NRWPAqaiZk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6NRWPAqaiZk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6NRWPAqaiZk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6NRWPAqaiZk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': '6NRWPAqaiZk'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-06T16:26:10Z,UUZYyHef3eBoBEztAOY_Fe_g,6NRWPAqaiZk,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
youtube#playlistItem,yH3G0ZgsSrlAaK51LK29uvzV13Y,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLkVFRnQyRXdGWUZZ,"{'publishedAt': '2023-06-06T14:25:45Z', 'channelId': 'UCZYyHef3eBoBEztAOY_Fe_g', 'title': 'TUDO SOBRE FELIPE NETO E A BLAZE | Expresso MBL | Renato Battista', 'description': '►Não esqueça de deixar seu like e se inscrever no canal!\n\n✅Entre no Clube MBL! http://clube.mbl.org.br\n✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br\n✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl\n✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast\n\n00:00:00 Introdução', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/EEFt2EwFYFY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EEFt2EwFYFY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EEFt2EwFYFY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/EEFt2EwFYFY/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'MBLiveTV - Lives do MBL', 'playlistId': 'UUZYyHef3eBoBEztAOY_Fe_g', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'EEFt2EwFYFY'}, 'videoOwnerChannelTitle': 'MBLiveTV - Lives do MBL', 'videoOwnerChannelId': 'UCZYyHef3eBoBEztAOY_Fe_g'}",,,UCZYyHef3eBoBEztAOY_Fe_g,MBLiveTV - Lives do MBL,2023-06-06T14:25:45Z,UUZYyHef3eBoBEztAOY_Fe_g,EEFt2EwFYFY,EAAaBlBUOkNESQ,2023-06-07 17:57:46.559580
