kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,qcKrg3CvdUcX5PyrkvQ0tE-JZEo,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLkkwbWFaeE1fMV9r,"{'publishedAt': '2023-06-07T18:57:59Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Trate de trabalhar porque alguém precisa pagar essa conta #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/I0maZxM_1_k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I0maZxM_1_k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I0maZxM_1_k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/I0maZxM_1_k/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/I0maZxM_1_k/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'I0maZxM_1_k'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-07T18:57:59Z,UUkSjy-IOEq-eMtarZl2uH1Q,I0maZxM_1_k,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,3R0o0QJ_uU1E_nH36XZPdm61Nwg,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLlRBOVFCekZfZEhJ,"{'publishedAt': '2023-06-07T15:22:24Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Respondi Emicida | Vídeo Completo aqui no Canal #shorts', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/TA9QBzF_dHI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TA9QBzF_dHI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TA9QBzF_dHI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/TA9QBzF_dHI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/TA9QBzF_dHI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'TA9QBzF_dHI'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-07T15:22:24Z,UUkSjy-IOEq-eMtarZl2uH1Q,TA9QBzF_dHI,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,Fq0td5CM1crtR006h9QQMEGcNvs,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjRSM2R1RC11NU8w,"{'publishedAt': '2023-06-07T13:00:04Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Respondi Emicida!', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4R3duD-u5O0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4R3duD-u5O0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4R3duD-u5O0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4R3duD-u5O0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4R3duD-u5O0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': '4R3duD-u5O0'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-07T13:00:04Z,UUkSjy-IOEq-eMtarZl2uH1Q,4R3duD-u5O0,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,KiREJ0as8_7ka52DjVPmKzyPB_o,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmNuLUljd1R6RVZZ,"{'publishedAt': '2023-06-06T16:40:48Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Está proibido falar dela | Vídeo completo no meu canal #shorts', 'description': 'Vídeo completo: https://youtu.be/BQ5mY_r060w\n\nInscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/cn-IcwTzEVY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cn-IcwTzEVY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cn-IcwTzEVY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/cn-IcwTzEVY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/cn-IcwTzEVY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'cn-IcwTzEVY'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-06T16:40:48Z,UUkSjy-IOEq-eMtarZl2uH1Q,cn-IcwTzEVY,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,tlI8Uzn6yHaBPa1XK-VtPKB3Cg4,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLkJRNW1ZX3IwNjB3,"{'publishedAt': '2023-06-06T13:00:06Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'O Cara Fez Uma HOMENAGEM à TC', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/BQ5mY_r060w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BQ5mY_r060w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BQ5mY_r060w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BQ5mY_r060w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BQ5mY_r060w/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'BQ5mY_r060w'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-06T13:00:06Z,UUkSjy-IOEq-eMtarZl2uH1Q,BQ5mY_r060w,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,c-FhRcmgj1iS9cuDnlame64F_YQ,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmFIeVIwT2xxTmpn,"{'publishedAt': '2023-06-06T01:13:55Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Já estão preparados pra revolução? #shorts', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'aHyR0OlqNjg'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-06T01:13:55Z,UUkSjy-IOEq-eMtarZl2uH1Q,aHyR0OlqNjg,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,HF-Wsd5m2v58_iaELKAMhdFGAw4,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjJCSE9lS0lJZV8w,"{'publishedAt': '2023-06-05T16:18:58Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Felipe Neto DESTRUIU Danilo Gentili | Vídeo Completo aqui no Canal #shorts', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': '2BHOeKIIe_0'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-05T16:18:58Z,UUkSjy-IOEq-eMtarZl2uH1Q,2BHOeKIIe_0,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,RSNatg4Sj_1c5UPjhu4NnQqLWDo,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmIxZkxsUlY0VWZF,"{'publishedAt': '2023-06-05T13:00:32Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Felipe Neto DESTRUIU Danilo Gentili!', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'b1fLlRV4UfE'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-05T13:00:32Z,UUkSjy-IOEq-eMtarZl2uH1Q,b1fLlRV4UfE,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,MZYasksp1y68K0hzZbYD0Oq06t0,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmNEaXVSMTZXQV9z,"{'publishedAt': '2023-06-02T21:59:46Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'A sociedade está cada vez mais doente #shorts', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'cDiuR16WA_s'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-02T21:59:46Z,UUkSjy-IOEq-eMtarZl2uH1Q,cDiuR16WA_s,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
youtube#playlistItem,TU9mNlFjPAfMitBC60HXEtw4O0s,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjFGUkpJNi1IdEww,"{'publishedAt': '2023-06-02T15:23:32Z', 'channelId': 'UCkSjy-IOEq-eMtarZl2uH1Q', 'title': 'Produtor da Lana Del Rey XINGOU os Brasileiros | Vídeo Completo aqui no canal #shorts', 'description': 'Inscreva-se no canal:\nhttps://www.youtube.com/mamaefalei?sub_confirmation=1\n\nMe siga em: https://arthurdoval.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Mamaefalei', 'playlistId': 'UUkSjy-IOEq-eMtarZl2uH1Q', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': '1FRJI6-HtL0'}, 'videoOwnerChannelTitle': 'Mamaefalei', 'videoOwnerChannelId': 'UCkSjy-IOEq-eMtarZl2uH1Q'}",,,UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,2023-06-02T15:23:32Z,UUkSjy-IOEq-eMtarZl2uH1Q,1FRJI6-HtL0,EAAaBlBUOkNESQ,2023-06-07 17:58:09.819039
