kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,QiYbWi2Sf4hpxpi8tlSLjKoKmP4,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LlBzbENqRWNsVm5z,"{'publishedAt': '2023-06-01T21:51:10Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'A arte do DINHEIRO: como enganam e vendem suas emoções! (IA, Bitcoin, e Estética do Dinheiro)', 'description': 'A estética do dinheiro: a estética que controla os controladores. \nHumanizar o Dinheiro: a arte de enganar suas emoções! (IA, Bitcoin, e Estética do Dinheiro)\nA história das moedas, a história do dinheiro - a construção de desejos - A humanização do dinheiro: como empresas usam avatares para se conectar com o público = Como a estética do dinheiro afeta nossas crenças e valores - É sobre tudo estar milimetricamente calculado para o dinheiro - inclusive esse texto que está usando palavras chaves de busca para otimizar a pesquisa mesmo sabendo que provavelmente você não vai ler até aqui e... esse episódio é sobre tudo isso: A loucura da razão econômica - o capitalismo é um delírio? \n\nPARTICIPE da nossa comunidade de Estética: (link no comentário fixado)\n\nPor lá você consegue mais episódios EXCLUSIVOS sobre Estética, estética do Comunismo, aulas e lives fechadas e ajuda sobretudo a FINANCIAR esta série de Estética que você assistiu. \n\nFontes no comentário fixado! \n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \nEDIÇÃO: Antídoto | Carbono12\nRoteiro: Kenji e Tila Barrionuevo \n\n\n\n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/PslCjEclVns/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PslCjEclVns/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PslCjEclVns/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/PslCjEclVns/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/PslCjEclVns/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'PslCjEclVns'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-06-01T21:51:10Z,UUqBY-VQ2BxHOWnVpuC7swrw,PslCjEclVns,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,ZY7qk4Y3ZXnEHYgVKBxW6UzU-Wk,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LnVPNjN1R0FkUDVr,"{'publishedAt': '2023-05-15T22:04:10Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'Redução do trabalho: coisa de VAGABUNDO?', 'description': 'Direitos trabalhistas, luta do trabalho, jornada de 4 dias, coisa de comunista?\n\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'uO63uGAdP5k'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-05-15T22:04:10Z,UUqBY-VQ2BxHOWnVpuC7swrw,uO63uGAdP5k,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,8yeOmspMK6g9YZWhlRW0fE7L1F4,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LkpaQ2pVbW5XNkYw,"{'publishedAt': '2023-05-10T21:41:09Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'Como a extrema direta SEQUESTROU um meme pra radicalizar jovens?(SAPO PEPE  🐸 desmascarado!)', 'description': 'Como o meme do Sapo Pepe 🐸 foi ROUBADO pela EXTREMA DIREITA? - é assim que Pepe the Frog nasceu e a Extrema Direita cooptou abocanhando jovens pro espectro politico do odio.\nComo a extrema direita radicaliza jovens com piadas? Reagindo a canal QmQ)\n\nCanal reagido: https://www.youtube.com/watch?v=7N36qTF2vCg\n\nPUBLI  \nCupom: REFLEXAO\nLink: https://www.manual.com.br/queda-de-cabelo?coupon=REFLEXAO&utm_source=youtube&utm_medium=promo&utm_campaign=NORMOSE-MAIO\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'JZCjUmnW6F0'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-05-10T21:41:09Z,UUqBY-VQ2BxHOWnVpuC7swrw,JZCjUmnW6F0,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,gVaz7nJowF8NyP5OACnZ8XhaPEQ,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LlpyU0o1YnZpNnUw,"{'publishedAt': '2023-05-10T02:03:48Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'Arte depravada e o medo do conservador! (Homenagem a Rita Lee) - Part. Antídoto.', 'description': 'A arte feia, baixa e depravada... é o que a gente mais precisa. Rita, você me ensinou a depravar. Mas ser gente boa! Obrigado. Essa é uma singela homenagem! \n\nMinha e do Antídoto - olha a homenagem dele: \nhttps://www.youtube.com/watch?v=95flrtFckvY&t=506s\n\nPUBLI MANUAL \nCupom: REFLEXAO\nLink: https://www.manual.com.br/queda-de-cabelo?coupon=REFLEXAO&utm_source=youtube&utm_medium=promo&utm_campaign=NORMOSE-MAIO\n\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ZrSJ5bvi6u0'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-05-10T02:03:48Z,UUqBY-VQ2BxHOWnVpuC7swrw,ZrSJ5bvi6u0,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,kNCyM7m9l5OikSbnnLFLgp5ksX4,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LjR2NDNDb1k4S3JV,"{'publishedAt': '2023-05-06T15:58:45Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'PL da fake news já era? Como manipularam a opinião pública?', 'description': 'A PL da fake news já era? Como a opinião pública foi manipulada?\nO que fazer a partir de agora?\n\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': '4v43CoY8KrU'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-05-06T15:58:45Z,UUqBY-VQ2BxHOWnVpuC7swrw,4v43CoY8KrU,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,k9mmFFQHvdg-N9ZBay8R4Hszx0U,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LkVsUGtUVDlqUlZ3,"{'publishedAt': '2023-05-03T16:13:07Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'foi assim que o PT voltou ao poder - Explicando 2023 pro meu eu do passado', 'description': 'explicando tudo: Como chegamos até aqui? O lula vice do alckmin, que porra é essa? Um vídeo atrasado, mas não sem tempo. E você: o que diria a seu EU do passado?\n\nPUBLI NORDVPN: \nEsse vídeo tem patrocínio de NORDVPN: https://nordvpn.com/normose\nUse o código do cupom: NORMOSE e obtenha 4 meses grátis!\n❤️ Atenção - engaje e garanta o click pra Nord estar mais conosco\nhttps://nordvpn.com/normose\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n5. Derrube o Bolsonaro! \nAgora Normose é uma equipe! Contribua! \n__\n☸  Gostou das artes? Siga as artes de João Tila!\n☸ arte e design: joão tila  \n☸ instagram e twitter: @tilabgf \n☸  site: tilabgf.com\n\nedição: studio77\n___\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ElPkTT9jRVw'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-05-03T16:13:07Z,UUqBY-VQ2BxHOWnVpuC7swrw,ElPkTT9jRVw,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,4yWFsIzrUI1msrnbrdWigmYojmA,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LnYyWTEycXh3bEM0,"{'publishedAt': '2023-05-01T23:17:08Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'URGENTE CENSURA: destruindo todas mentiras da Lei da Fake News! É o fim da liberdade?', 'description': 'O que é PL2630? Por que ela é chamada de Lei da Fake News? E lei da Censura? O que esse projeto promete e qual a verdade? Por que Youtube tá mentindo pra você sobre a lei? Aqui vai TODO o TOP MENTIRAS que te contaram! \n\nEM BREVE: CORTES COM CADA PARTE SEPARADA (dá um desconto - ficamos 48 horas montando o roteiro) \n\nRoteiro: Kenji Normose + Ady Ferrer + João Senzi + Colaboradores que preferem manter anonimato.  \n\nSim, o vídeo tem pequenos cortes devido a pressa de edita-lo antes do PL - ao contrário das grandes empresas, aqui somos um pequenino time de um esforço enorme. Foque no conteúdo. \n\nCONFIRA AS FONTES NO COMENTÁRIO FIXADO! _________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'v2Y12qxwlC4'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-05-01T23:17:08Z,UUqBY-VQ2BxHOWnVpuC7swrw,v2Y12qxwlC4,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,_5I9dI033Wv9eh2jXbMF-TqG-3I,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LnkyY2o5eFI5YUZB,"{'publishedAt': '2023-04-28T21:29:58Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'a mentira sobre o ""DAR PALCO"" -  largue essa frase pronta!', 'description': 'Silvio Almeida dá aula de como combater bolsonarista. O que você acha? Comente sua ação nas redes! Como agir com extremistas?\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n5. Derrube o Bolsonaro! \nAgora Normose é uma equipe! Contribua! \n__\n☸  Gostou das artes? Siga as artes de João Tila!\n☸ arte e design: joão tila  \n☸ instagram e twitter: @tilabgf \n☸  site: tilabgf.com\n\nedição: studio77\n___\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'y2cj9xR9aFA'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-04-28T21:29:58Z,UUqBY-VQ2BxHOWnVpuC7swrw,y2cj9xR9aFA,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,YJeTPd6Puo3KetysRnM6A-4aiU0,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3Lldfb1k4eDBQeTF3,"{'publishedAt': '2023-04-25T21:30:33Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'Por que Paulo Freire é tão perigoso?', 'description': 'paulo freire é um perigo. este vídeo explica o por quê. Este é o poder da educação popular. _________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \nAgora Normose é uma equipe! Contribua! \n_____\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'W_oY8x0Py1w'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-04-25T21:30:33Z,UUqBY-VQ2BxHOWnVpuC7swrw,W_oY8x0Py1w,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
youtube#playlistItem,0EZ60_gd6QV3wNJzV8rnwZ7Gtvo,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3Lmh5Ry1HS2NaWllJ,"{'publishedAt': '2023-04-21T22:04:50Z', 'channelId': 'UCqBY-VQ2BxHOWnVpuC7swrw', 'title': 'SPAM: a indústria bilionária que não para de te ligar', 'description': 'um vídeo sobre spam. essas ligações infernais mereceram um vídeo só pra elas. eu sei, é um vídeo bem diferente. hiperfoco, sabe como é. \n\nCURSOS EBAC\nCupom: NORMOSE (para R$ 200 de desconto)\nLink: http://bit.ly/3JQPhUF\n_________________________________________________________\nComo manter o Normose existindo?\nPIX tem mantido esse canal vivo! \nPIX: normosepix@gmail.com \n\n1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! \n\nhttps://www.catarse.me/normose\n\n2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!\n\nPIX: normosepix@gmail.com \nPicpay: @normose \n\nComo ajudar o Normose não financeiramente? \n\n1. Dê like nos vídeos \n2. Comente algo para engajar \n3. Compartilhe no Zap ou \n4. Traga um amigo \n__\n___\nVamos conversar? pra trocar ideia e mandar idéias: \n☸  Twitter: @normose_ https://is.gd/twittanois\u200b\u200b\u200b\u200b\u200b\n☸  Instagram: @_normose https://is.gd/seguenois\u200b\u200b', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NORMOSE', 'playlistId': 'UUqBY-VQ2BxHOWnVpuC7swrw', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'hyG-GKcZZYI'}, 'videoOwnerChannelTitle': 'NORMOSE', 'videoOwnerChannelId': 'UCqBY-VQ2BxHOWnVpuC7swrw'}",,,UCqBY-VQ2BxHOWnVpuC7swrw,NORMOSE,2023-04-21T22:04:50Z,UUqBY-VQ2BxHOWnVpuC7swrw,hyG-GKcZZYI,EAAaBlBUOkNESQ,2023-06-07 16:52:29.759318
