kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,WK4GppiafHhqXSJTF8Lr8s198aE,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLlpjNmRLS1NVRHBv,"{'publishedAt': '2023-06-07T21:07:00Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'FELIPE NETO E XUXU JUNTOS SÓ PODIA DAR ... / E A VERDADE APARECEU DE NOVO!', 'description': 'QUER TER UMA VIDA GRANDEMENTE ABENÇOADA POR DEUS ATRAVÉS DE UMA ORAÇÃO EFICAZ?, ENTÃO DESCUBRA COMO: https://ei7.xyz/NoAlvo \n\nENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com 😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo \n\nConfira estes benefícios dos Clubes dos canais!\nhttps://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join\n\n💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR\n\n😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 \n\nNão esqueça de: \n💥 DEIXAR O LIKE 👍🏻 \n💥 COMPARTILHAR O VÍDEO 🗣 \n💥 SE INSCREVA NO CANAL 🛑 \n💥 ATIVE O SININHO 🛎 \n💥 DEIXE SEU COMENTÁRIO 🗯 \nAMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!\n\nAssista até o final!\n\n00:00 : Bem-vindo ao NoAlvo\n00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!\n00:45 : PROFECIA\n04:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!\n\n#xuxa #felipeneto #profecia', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Zc6dKKSUDpo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Zc6dKKSUDpo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Zc6dKKSUDpo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Zc6dKKSUDpo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Zc6dKKSUDpo/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Zc6dKKSUDpo'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-07T21:07:00Z,UUgTqVajBNAjIlatXhXHHCLA,Zc6dKKSUDpo,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,Vo7gnWOzOcAKDtKf3V3XBV1WQ-k,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLl9Zem51QUZabGNr,"{'publishedAt': '2023-06-07T16:11:15Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'Jesus tem um recado para você #jesus #deus #biblia', 'description': '#jesus #deus #biblia', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_YznuAFZlck/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_YznuAFZlck/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_YznuAFZlck/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_YznuAFZlck/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_YznuAFZlck/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': '_YznuAFZlck'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-07T16:11:15Z,UUgTqVajBNAjIlatXhXHHCLA,_YznuAFZlck,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,P2rq6OW4DtN18cpQONIHeZ1jmWk,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLkh0T0ktdGdadlZV,"{'publishedAt': '2023-06-07T10:07:00Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'É DE ARREPIAR, O TESTEMUNHO QUE TODOS PRECISAM OUVIR, #profecia #biblia #deus', 'description': '🎯 Seja muito bem vindo ao canal NoAlvo!\n\n🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!\n\n🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão\npara assim ter a verdadeira paz de Deus em sua vida?\n\n🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵\nhttps://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/ \n\n📲 Acompanhe nas redes sociais:\nFacebook: https://www.facebook.com/canalNoAlvo\nInstagram: https://www.instagram.com/canal_noalvo/\nSite: https://canalnoalvo.com/\n\nENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com\n\nConfira estes benefícios dos Clubes dos canais!\nhttps://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join\n\n😍 agradecemos ao canal ..., canal deles: https://\n\n💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR\n\n😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 \n\nNão esqueça de: \n💥 DEIXAR O LIKE 👍🏻 \n💥 COMPARTILHAR O VÍDEO 🗣 \n💥 SE INSCREVA NO CANAL 🛑 \n💥 ATIVE O SININHO 🛎 \n💥 DEIXE SEU COMENTÁRIO 🗯 \nAMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!\n\nAssista até o final!\n\n00:00 : Bem-vindo ao NoAlvo\n00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/HtOI-tgZvVU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HtOI-tgZvVU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HtOI-tgZvVU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/HtOI-tgZvVU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/HtOI-tgZvVU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'HtOI-tgZvVU'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-07T10:07:00Z,UUgTqVajBNAjIlatXhXHHCLA,HtOI-tgZvVU,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,-KAilblkVvVbOdEIbU2fbp9M2hY,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLkRQTjBKYm81cUhv,"{'publishedAt': '2023-06-06T19:46:09Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'BÍBLIA É BANIDA DAS ESCOLAS + JESSE AGUIAR ASSUMIU', 'description': '🎯 Seja muito bem vindo ao canal NoAlvo!\n\n🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!\n\n🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão\npara assim ter a verdadeira paz de Deus em sua vida?\n\n🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵\nhttps://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/ \n\n📲 Acompanhe nas redes sociais:\nFacebook: https://www.facebook.com/canalNoAlvo\nInstagram: https://www.instagram.com/canal_noalvo/\nSite: https://canalnoalvo.com/\n\nENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com\n\nConfira estes benefícios dos Clubes dos canais!\nhttps://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join\n\n💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR\n\n😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 \n\nNão esqueça de: \n💥 DEIXAR O LIKE 👍🏻 \n💥 COMPARTILHAR O VÍDEO 🗣 \n💥 SE INSCREVA NO CANAL 🛑 \n💥 ATIVE O SININHO 🛎 \n💥 DEIXE SEU COMENTÁRIO 🗯 \nAMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!\n\nAssista até o final!\n\n00:00 : Bem-vindo ao NoAlvo\n00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/DPN0Jbo5qHo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DPN0Jbo5qHo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DPN0Jbo5qHo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DPN0Jbo5qHo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DPN0Jbo5qHo/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'DPN0Jbo5qHo'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-06T19:46:09Z,UUgTqVajBNAjIlatXhXHHCLA,DPN0Jbo5qHo,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,LH4y28S9rT6g7PpB4v6iBeLD_HQ,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLmxuRlhoeVNNUGhV,"{'publishedAt': '2023-06-06T13:59:10Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'Esse efeito é top 😁 #humor', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/lnFXhySMPhU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lnFXhySMPhU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lnFXhySMPhU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lnFXhySMPhU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lnFXhySMPhU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'lnFXhySMPhU'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-06T13:59:10Z,UUgTqVajBNAjIlatXhXHHCLA,lnFXhySMPhU,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,bdT02cjrKCfQk5nh9D1OkxeMLFc,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLjhoeGJlbmY4VlJB,"{'publishedAt': '2023-06-04T10:03:00Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'As VEZES É DIFICIL ENTENDER 😭  #shorts #biblia #Deus #jesus', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': '8hxbenf8VRA'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-04T10:03:00Z,UUgTqVajBNAjIlatXhXHHCLA,8hxbenf8VRA,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,KXjN_m4HVV1cHjBtaYjDi7qOeB4,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLl9KV3ZhQk42eno0,"{'publishedAt': '2023-06-04T10:03:00Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'Três p3cad0s que Jesus cometeu #Deus #Jesus  #biblia #profecia', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': '_JWvaBN6zz4'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-04T10:03:00Z,UUgTqVajBNAjIlatXhXHHCLA,_JWvaBN6zz4,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,ZL7GaHkwvS41tppdJEVAYW4OQE0,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLllOVWlfNUlUYktV,"{'publishedAt': '2023-06-03T17:03:39Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'A VERDADE QUE TODOS DEVEM VER, O QUE ACONTECEU COM YUDI TAMASHIRO', 'description': '🎯 Seja muito bem vindo ao canal NoAlvo!\n\n🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!\n\n🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão\npara assim ter a verdadeira paz de Deus em sua vida?\n\n🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵\nhttps://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/ \n\n📲 Acompanhe nas redes sociais:\nFacebook: https://www.facebook.com/canalNoAlvo\nInstagram: https://www.instagram.com/canal_noalvo/\nSite: https://canalnoalvo.com/\n\nENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com\n\nConfira estes benefícios dos Clubes dos canais!\nhttps://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join\n\n💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR\n\n😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 \n\nNão esqueça de: \n💥 DEIXAR O LIKE 👍🏻 \n💥 COMPARTILHAR O VÍDEO 🗣 \n💥 SE INSCREVA NO CANAL 🛑 \n💥 ATIVE O SININHO 🛎 \n💥 DEIXE SEU COMENTÁRIO 🗯 \nAMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!\n\nAssista até o final!\n\n00:00 : Bem-vindo ao NoAlvo\n00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!\n\nA VERDADE QUE TODOS DEVEM VER, O QUE ACONTECEU COM YUDI TAMASHIRO @yudi.tamashiro #YudiTamashiro #Deus #Jesus #profecia', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'YNUi_5ITbKU'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-03T17:03:39Z,UUgTqVajBNAjIlatXhXHHCLA,YNUi_5ITbKU,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,p3LSFTWevoRwrIc8H3tRnBkPKgg,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLk9KSWp4b0tSc2VJ,"{'publishedAt': '2023-06-03T15:03:00Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'HUMOR, EU ORANDO A DEUS PEDI O SEGUINTE! #humor #casamento #deus #jesus #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'OJIjxoKRseI'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-03T15:03:00Z,UUgTqVajBNAjIlatXhXHHCLA,OJIjxoKRseI,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
youtube#playlistItem,xqD34ipOSwhxruUpXPSTRSFrViE,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLmFjZi1RcVJ2ckRr,"{'publishedAt': '2023-06-03T10:03:00Z', 'channelId': 'UCgTqVajBNAjIlatXhXHHCLA', 'title': 'SERÁ QUE VOCÊ ACERTA??? #Deus #biblia #Jesus #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'NoAlvo', 'playlistId': 'UUgTqVajBNAjIlatXhXHHCLA', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'acf-QqRvrDk'}, 'videoOwnerChannelTitle': 'NoAlvo', 'videoOwnerChannelId': 'UCgTqVajBNAjIlatXhXHHCLA'}",,,UCgTqVajBNAjIlatXhXHHCLA,NoAlvo,2023-06-03T10:03:00Z,UUgTqVajBNAjIlatXhXHHCLA,acf-QqRvrDk,EAAaBlBUOkNESQ,2023-06-07 18:14:59.253619
