kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,f4Rkm9Lyhq5tzIA9jFuD_0Dr-NM,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLm1SVnVXT2dpSjFJ,"{'publishedAt': '2023-06-07T13:00:40Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'Carlos Bolsonaro | Véio da Havan | Empresários Bolsonaristas e Jair Bolsonaro na CPMI', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/mRVuWOgiJ1I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mRVuWOgiJ1I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mRVuWOgiJ1I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mRVuWOgiJ1I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mRVuWOgiJ1I/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'mRVuWOgiJ1I'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-07T13:00:40Z,UU5ZXYxeWlROKbL7JziJ0bIQ,mRVuWOgiJ1I,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,z4YhHE55auVoYOo_rkTTflly2ls,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLndLb2J3SGo0WkRn,"{'publishedAt': '2023-06-07T02:30:22Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'STF concede HC e Tacla Duran vem ao Brasil DEPOR contra Moro e Dallagnol dia 19 de junho', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/wKobwHj4ZDg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wKobwHj4ZDg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wKobwHj4ZDg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wKobwHj4ZDg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/wKobwHj4ZDg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'wKobwHj4ZDg'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-07T02:30:22Z,UU5ZXYxeWlROKbL7JziJ0bIQ,wKobwHj4ZDg,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,HqJisLaK__7g28dhaL86ZGZ9MfY,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLkRwbW1Fb0xUSFp3,"{'publishedAt': '2023-06-07T00:45:00Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'ESQUEMA de Bolsonaro com FUNDO ÁRABE vai sendo REVELADO', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/DpmmEoLTHZw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DpmmEoLTHZw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DpmmEoLTHZw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DpmmEoLTHZw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DpmmEoLTHZw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'DpmmEoLTHZw'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-07T00:45:00Z,UU5ZXYxeWlROKbL7JziJ0bIQ,DpmmEoLTHZw,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,hA_BLhT1Xtz9LWjz0Fc9SAlC55I,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLlJFbXF4aWtjVktJ,"{'publishedAt': '2023-06-06T23:15:01Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'SEM SAÍDA Dallagnol pode FUGIR do Brasil JUNTO com Sérgio Moro', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/REmqxikcVKI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/REmqxikcVKI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/REmqxikcVKI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/REmqxikcVKI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/REmqxikcVKI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'REmqxikcVKI'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-06T23:15:01Z,UU5ZXYxeWlROKbL7JziJ0bIQ,REmqxikcVKI,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,SL8MCujHHlfagVyOyuro9UBNuGI,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLnV4OUt0Mk5ydnd3,"{'publishedAt': '2023-06-06T20:45:03Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'ARMAÇÃO do Moro! Laudo CONFIRMA que VOZ em ligação para GENRO de Moro não era do JUIZ Appio', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ux9Kt2Nrvww/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ux9Kt2Nrvww/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ux9Kt2Nrvww/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ux9Kt2Nrvww/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ux9Kt2Nrvww/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ux9Kt2Nrvww'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-06T20:45:03Z,UU5ZXYxeWlROKbL7JziJ0bIQ,ux9Kt2Nrvww,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,ItuXDDs2Ow3ZxF6lT7NWUzuOuDA,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLll5aGYxT1ZRQ2M0,"{'publishedAt': '2023-06-06T16:36:00Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'Após TRAIÇÃO e ABANDONO de Jair Bolsonaro | Ricardo Salles ATACA Valdemar e o PRÓPRIO PARTIDO', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Yyhf1OVQCc4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Yyhf1OVQCc4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Yyhf1OVQCc4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Yyhf1OVQCc4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Yyhf1OVQCc4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Yyhf1OVQCc4'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-06T16:36:00Z,UU5ZXYxeWlROKbL7JziJ0bIQ,Yyhf1OVQCc4,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,_Z-yajWwih8OiBbB_rcot-JpNc4,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLkV4ZHJpbDhTVmZv,"{'publishedAt': '2023-06-06T02:30:05Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'Lira CONTINUA chantagem ""O CONGRESSO NÃO É PROGRESSISTA DE ESQUERDA É LIBERAL E CONSERVADOR""', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Exdril8SVfo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Exdril8SVfo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Exdril8SVfo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Exdril8SVfo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Exdril8SVfo/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Exdril8SVfo'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-06T02:30:05Z,UU5ZXYxeWlROKbL7JziJ0bIQ,Exdril8SVfo,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,0uLa7-EF-WrhkbAlP1_QR-DocA0,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLmhiWWpsbkNPTDBF,"{'publishedAt': '2023-06-05T22:48:00Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'STF vai DERRUBAR marco temporal e DIREITA BOLSONARISTA terá outra DERROTA', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'hbYjlnCOL0E'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-05T22:48:00Z,UU5ZXYxeWlROKbL7JziJ0bIQ,hbYjlnCOL0E,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,_7LwepF5YO3ojjepYyP8iKkQF28,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLlhZVHlKMVptR3dF,"{'publishedAt': '2023-06-05T20:00:16Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'Novas PROVAS CONTRA Moro e Dallagnol! ""PAGAMOS 300 mil reais para MORO e CIA"" Diz fonte exclusiva', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'XYTyJ1ZmGwE'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-05T20:00:16Z,UU5ZXYxeWlROKbL7JziJ0bIQ,XYTyJ1ZmGwE,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
youtube#playlistItem,eLvCJSQxeA86tvsMrowfDKEOZKw,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLlZsSnlxR1dnWHEw,"{'publishedAt': '2023-06-04T15:00:31Z', 'channelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ', 'title': 'MUITA gente não vai GOSTAR desse VIDEO', 'description': 'LINK DA LOJA DO HISTORIADOR: \n\nhttps://bagy.app/lojadohistoriador\n\nAPOIE O MEU TRABALHO PATROCINE O CANAL\n\nMEU APOIA.SE: https://apoia.se/1528668533880165\n\nCONTA ITAU\nAG: 9295\nCONTA: 43558-1\nCARLOS BATISTA ALVES NETO\n\nCONTA CAIXA ECONÔMICA FEDERAL\nAG: 2186\nCONTA CORRENTE: 00031093-6\nOP:001\nCARLOS BATISTA ALVES NETO\n\n\n#OHISTORIADOR\n#CARLITONETO\n @O Historiador', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'O Historiador', 'playlistId': 'UU5ZXYxeWlROKbL7JziJ0bIQ', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'VlJyqGWgXq0'}, 'videoOwnerChannelTitle': 'O Historiador', 'videoOwnerChannelId': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}",,,UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,2023-06-04T15:00:31Z,UU5ZXYxeWlROKbL7JziJ0bIQ,VlJyqGWgXq0,EAAaBlBUOkNESQ,2023-06-07 16:46:41.556326
