kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,khjzF0M3ssg_gj_PI85qkV8Rc9o,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLk5fcVlBcjFvblpN,"{'publishedAt': '2023-06-07T15:50:10Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'CABRA MACHO? GRAVE! LIRA E EX: ""ONDE NÃO HÁ CORPO NÃO HÁ CRIME""! GRANA E AMEAÇAS: MÍDIA IRÁ ABAFAR?', 'description': '07/06/23 - PORTAL DO JOSÉ ATACADO! SEGUIMOS SEM RETIRAR UM ÁTOMO DO QUE PUBLICAMOS!\nLIRA CABRA MACHO? ETERNO?\nBOLSONARO: DIA 22, IMPRETÁVEL.\nSIGAMOS.\n#bolsonaro #lula #lira \n\nUOL ATACA PORTAL DO JOSÉ\nhttps://noticias.uol.com.br/confere/ultimas-noticias/2023/06/06/video-tira-de-contexto-descoberta-de-joias-sauditas-na-casa-de-piquet.htm\n\nPORTAL DO JOSÉ NÃO MENTE!\nhttps://www.youtube.com/watch?v=U2-PhJkmXUY&t=50s\n\nMATÉRIAS\nhttps://oglobo.globo.com/politica/noticia/2023/06/relogio-esculturas-de-diamantes-e-ouro-alem-das-joias-acervo-de-bolsonaro-tem-cinco-itens-na-mira-na-pf-veja-imagens.ghtml\n\nUOL DESMENTE UOL?\nhttps://noticias.uol.com.br/politica/ultimas-noticias/2023/06/05/alem-de-joias-bolsonaro-recebeu-relogio-e-escultura-com-diamantes.htm\n\nLIRA\nhttps://twitter.com/ICLNoticias/status/1666448790771957763?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet\n\nhttps://www1.folha.uol.com.br/poder/2021/01/lira-me-esganou-fez-ameaca-para-mudar-depoimento-e-me-usou-como-laranja-diz-ex-mulher-de-candidato-na-camara.shtml\n\nhttps://ojornalextra.com.br/noticias/politica/2022/09/82535-ex-esposa-de-arthur-lira-desafia-censura-e-avisa-que-vai-resistir\n\n\nhttps://oglobo.globo.com/blogs/malu-gaspar/post/2023/06/ajudante-de-ordens-de-bolsonaro-mauro-cid-tinha-minuta-para-convocar-exercito-no-celular.ghtml', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/N_qYAr1onZM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/N_qYAr1onZM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/N_qYAr1onZM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/N_qYAr1onZM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/N_qYAr1onZM/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'N_qYAr1onZM'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-07T15:50:10Z,UUELku_rf-FHbWhLIwsKLGGA,N_qYAr1onZM,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,LC-IA9RGaskOiT0QFOvtNZZYrYI,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLkRSejhsdDJVR2Nz,"{'publishedAt': '2023-06-06T20:45:10Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'DIA 22! FOGUETÓRIO NO BRASIL! BOLSONARO NÃO ESCAPARÁ! LULA NÃO DEVE IR A MARCHA COM EVANGÉLICOS?', 'description': '06/06/23 MUITA COISA ACONTECENDO NO BRASIL\n#bolsonaro #lula #evangélicos', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/DRz8lt2UGcs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DRz8lt2UGcs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DRz8lt2UGcs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DRz8lt2UGcs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DRz8lt2UGcs/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'DRz8lt2UGcs'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-06T20:45:10Z,UUELku_rf-FHbWhLIwsKLGGA,DRz8lt2UGcs,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,SGlmTqx1QMMdmyZVbMBNwtkH3ak,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLm4zTjQzWWxaQ0g0,"{'publishedAt': '2023-06-06T14:18:07Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'CHEGOU! BOLSONARO: 16 DIAS PARA O FIM! ADEUS, ACIMA DE TUDO! MÍDIA AINDA PROTEGERÁ O CONDENADO LIRA?', 'description': '06/06/23 - ESTÁ CHEGANDO A HORA. DIA 22 BOLSONARO 22 VAI COMEÇAR A PRESTAR CONTAS AO BRASIL. CRIMES RESURGEM COM FORÇA!\nCASSAÇÃO É A PRIMEIRA PORTA A SER ABERTA!\nLIRA SEGUE PROTEGIDO. ATÉ QUANDO?\nSIGAMOS.\n#bolsonaro #lula #lira \n\nhttps://www.youtube.com/watch?v=JavbTt1OqXY&t=57s\n\nhttps://www.youtube.com/watch?v=dZWH_Ma9Wqk\n\nhttps://g1.globo.com/politica/noticia/2023/06/05/tse-marca-para-o-dia-22-julgamento-de-acao-que-pode-tornar-bolsonaro-inelegivel.ghtml\n\nhttps://oglobo.globo.com/politica/noticia/2023/06/joias-esculturas-de-diamantes-e-ouro-acervo-de-bolsonaro-tem-oito-presentes-sob-investigacao-da-pf-saiba-quais.ghtml\n\nhttps://www1.folha.uol.com.br/poder/2022/08/lira-disputara-eleicao-amparado-em-decisao-provisoria-que-ja-dura-4-anos.shtml\n\nhttps://www1.folha.uol.com.br/poder/2021/11/desembargador-que-livrou-lira-de-virar-ficha-suja-e-alvo-da-pf.shtml', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/n3N43YlZCH4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/n3N43YlZCH4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/n3N43YlZCH4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/n3N43YlZCH4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/n3N43YlZCH4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'n3N43YlZCH4'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-06T14:18:07Z,UUELku_rf-FHbWhLIwsKLGGA,n3N43YlZCH4,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,rc9bspmRWeo9PqQZXxov4MxUZv4,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLnhnWDRaczZPWk1F,"{'publishedAt': '2023-06-05T20:45:11Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'BOLSONARO E NOVAS JOIAS ROUBADAS: MÍDIA ABAFARÁ? FRAUDE DE DELIS REVELADA! QUE FEIO! 10 ANOS HOJE!', 'description': '05/06/23 Muitas novidades e revelações hoje!\nSigamos.\n\n#bolsonaro #lula #dilma \n\n10 ANOS\nhttps://www.youtube.com/watch?v=_bKvf789J1c\n\nDILMA\nhttps://www.youtube.com/watch?v=ahEY59WxWRE\n\nhttps://www.youtube.com/watch?v=hqmyTKrqoZk\n\nLIVRO\nhttps://m.media-amazon.com/images/I/51A1YxFYFoL.jpg\n\nhttps://economia.uol.com.br/noticias/redacao/2020/11/05/fux-adia-julgamento-de-divisao-dos-royalties-do-petroleo.htm\n\nhttps://economia.uol.com.br/noticias/redacao/2020/12/01/royalties-petroleo-saude-educacao-constitucionais-pgr.htm\n\nhttps://cnf.org.br/diretoria-atual/\n\nA FRAUDE DE DELIS\nhttps://oglobo.globo.com/blogs/lauro-jardim/post/2023/06/gsi-identifica-que-seguranca-apontado-como-agressor-de-delis-ortiz-e-do-exercito.ghtml\nhttps://g1.globo.com/politica/blog/andreia-sadi/post/2023/05/31/jornalista-delis-ortiz-fala-sobre-agressao-no-itamaraty-assustador.ghtml', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'xgX4Zs6OZME'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-05T20:45:11Z,UUELku_rf-FHbWhLIwsKLGGA,xgX4Zs6OZME,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,F0xBNyUl-mcQeeA_qlPlIeLSVwA,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLlUyLVBoSmttWFVZ,"{'publishedAt': '2023-06-05T15:23:09Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'FLAGRA PESADO! BOLSONARO: NOVAS JOIAS ROUBADAS APARECEM! TONY GARCIA? LULA ENQUADRA LIRA? DALLAGNOL?', 'description': '05/06/23 - NOVAS JOIAS ROUBADAS APARECEM! NEM ORAÇÕES SALVARÃO BOLSONARO DA CADEIA!\nSIGAMOS!\n#bolsonaro #lula #michelle \n\nLADRÃO OU ESQUECIDÃO?\nhttps://oglobo.globo.com/politica/noticia/2023/06/relogio-esculturas-de-diamantes-e-ouro-alem-das-joias-acervo-de-bolsonaro-tem-cinco-itens-na-mira-na-pf-veja-imagens.ghtml\n\nhttps://noticias.uol.com.br/politica/ultimas-noticias/2023/06/05/alem-de-joias-bolsonaro-recebeu-relogio-e-escultura-com-diamantes.htm\n\nhttps://congressoemfoco.uol.com.br/projeto-bula/reportagem/em-quatro-anos-bolsonaro-e-equipe-fizeram-150-viagens-a-arabia-saudita/\n\nDALLAGNOL NO LIXÃO?\nhttps://www.youtube.com/watch?v=PLqo7XbHFlc\n\nTONY GARCIA: BOMBA NO AR!\nhttps://www.youtube.com/watch?v=imxeLv_9blg', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'U2-PhJkmXUY'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-05T15:23:09Z,UUELku_rf-FHbWhLIwsKLGGA,U2-PhJkmXUY,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,QC4irSylXFANvQQEw0bhdCT4zMA,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLjQydUZaQzZ2cTZR,"{'publishedAt': '2023-06-04T20:48:10Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'DESTINO CRUEL? BOLSONARO SABE QUE SERÁ APANHADO! FUZILAMENTO? LULA: FOLHA INICIA CAMPANHA CONTRA!', 'description': '04/06/23 - BOLSONARO E SEUS SEGUIDORES ANDAM SEM SABER PARA ONDE. ACABOU O PRAZO DE VALIDADE. \nNo vácuo o que resta a essa gente senão prestar contas com a justiça?\nBOLSONARO virou um espantalho bem remunerado. Mas seu fôlego parece ser curto. Veremos em 2024.\nA China provoca muito medo no bolsonarismo. Explicarei a razão.\nEnquanto isso, Deus parece estar castigando os vigaristas da fé. Dessa vez é mais um picareta que está sendo cobrado pela justiça.\nSigamos.\n#lula #bolsonaro #economia \n\nmedo de fuzilamento\nhttps://oglobo.globo.com/mundo/china-condena-ex-chefe-financeiro-morte-por-corrupcao-24824182\n\nhttps://noticias.uol.com.br/cotidiano/ultimas-noticias/2023/06/03/igreja-leilao-justica-imoveis.htm', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': '42uFZC6vq6Q'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-04T20:48:10Z,UUELku_rf-FHbWhLIwsKLGGA,42uFZC6vq6Q,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,m3TL-Y7VfAFvGwfBIONrFsLKRsU,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLnpxcUo4X2wxRWFV,"{'publishedAt': '2023-06-04T15:30:07Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': '""BOLSONARO É UM PORCO"" ! FRASE DE SALLES REVELA CRISE PESADA! ANTES DA CADEIA ""MITO"" TENTA SOBREVIDA', 'description': '04/06/23 - QUE FRASE! Para começar o domingo, nada como vermos o chiqueirinho em plena chafurdância!\nSigamos.\n#bolsonaro #lula #direita \n\nhttps://www.em.com.br/app/noticia/politica/2023/06/03/interna_politica,1502769/ricardo-salles-quem-com-os-porcos-anda-farelo-come.shtml\n\nhttps://www.youtube.com/watch?v=4_kNLk1saW4', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'zqqJ8_l1EaU'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-04T15:30:07Z,UUELku_rf-FHbWhLIwsKLGGA,zqqJ8_l1EaU,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,vNaFFbvsh2pu0QyMmHXgkA67Zac,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLmNlWUVqOVdyUlJz,"{'publishedAt': '2023-06-03T20:46:09Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'ROUBAR FICOU COMPLICADO! BOLSONARO CERCADO E LIRA NA MIRA! LULA E DINO PODEM DAR PANCADA DO SÉCULO!', 'description': '03/06/23 - ROUBAR DINHEIRO PÚBLICO JÁ FOI MAIS FÁCIL. O DILEMA HOJE para políticos desonestos é como conseguirão roubar sem serem presos descobertos e presos no final.\nA fila está se movimentando\nSigamos.\n#lula #bolsonaro #lira \n\nINACREDITÁVEL?\n""Quero o meu dinheiro""\nhttp://media.folha.uol.com.br/brasil/2008/02/23/deputados.mp3\n\nLIRA É FODA MESMO?\nhttps://www.youtube.com/watch?v=6iwceqT4x5o\n\nOLHA O GG\nhttps://www.youtube.com/watch?v=MFPgPQLpvK4\n\nhttps://www.facebook.com/photo/?fbid=1432503126861160&set=arthur-lira-e-gilberto-gon%C3%A7alves\n\nhttps://www.metropoles.com/brasil/pf-identifica-funcionario-do-mec-em-esquema-na-compra-de-kit-robotica\n\nhttps://amazonasatual.com.br/fnde-reservou-r-146-milhoes-para-kit-robotica-em-alagoas-e-pernambuco/\n\nhttps://www.metropoles.com/brasil/cgu-apura-compra-de-carros-de-luxo-e-outras-3-irregularidades-no-fnde\n\nhttps://www.youtube.com/watch?v=tyV1w79wt40\n\nhttps://educacao.uol.com.br/noticias/2022/04/07/fnde-indicados-do-centrao-compraram-carros-de-luxo-apos-pregao-diz-jornal.htm', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ceYEj9WrRRs'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-03T20:46:09Z,UUELku_rf-FHbWhLIwsKLGGA,ceYEj9WrRRs,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,4ux4IsZZrxEaZU0JIgp4KEV4qxY,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLjZZTlFxODc2TjI0,"{'publishedAt': '2023-06-03T14:15:09Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'DOR NO BOLSO! BOLSONARO: NOVOS PREJUÍZOS! ""VAI FICAR NA MISÉRIA""! ZANIN NO STF: BOMBARDEIO INTENSO.', 'description': '03/06/23 - TIVEMOS UM PROBLEMINHA. VÍDEO SAIU DO AR E ESTAMOS VOLTANDO.\n#lula #bolsonaro #zanin', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/6YNQq876N24/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6YNQq876N24/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6YNQq876N24/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6YNQq876N24/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6YNQq876N24/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': '6YNQq876N24'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-03T14:15:09Z,UUELku_rf-FHbWhLIwsKLGGA,6YNQq876N24,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
youtube#playlistItem,1j9ffTUwvEiXxXxme508BFkpSEA,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLlE4Vk5tOERrWW9V,"{'publishedAt': '2023-06-02T20:45:11Z', 'channelId': 'UCELku_rf-FHbWhLIwsKLGGA', 'title': 'BILHÕES! BOLSONARO: CRIMES DE NOVO? ""ACHO QUE IREI ME FERRAR""! ZANIN VAI PASSAR! STF: SERÁ MINISTRO!', 'description': '02/06/23 - TÁ FEIA A COISA PARA O MITO. Tem criminoso que após tantos crimes, já não teme mais nada. Eles apenas esperam a hora do juízo final. \nEste momento está mais próximo do que nunca.\nSigamos\n#lula #bolsonaro #lira \n\nNOVOS CRIMES\nhttps://g1.globo.com/politica/noticia/2023/06/02/cgu-ve-pagamento-indevido-de-quase-r-2-bilhoes-em-auxilios-do-governo-bolsonaro-a-caminhoneiros-e-taxistas-em-2022.ghtml\n\nhttps://www.em.com.br/app/noticia/politica/2023/06/02/interna_politica,1502277/bolsonaro-apos-lula-escolher-zanin-para-stf-competencia-do-presidente.shtml', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Portal do José', 'playlistId': 'UUELku_rf-FHbWhLIwsKLGGA', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Q8VNm8DkYoU'}, 'videoOwnerChannelTitle': 'Portal do José', 'videoOwnerChannelId': 'UCELku_rf-FHbWhLIwsKLGGA'}",,,UCELku_rf-FHbWhLIwsKLGGA,Portal do José,2023-06-02T20:45:11Z,UUELku_rf-FHbWhLIwsKLGGA,Q8VNm8DkYoU,EAAaBlBUOkNESQ,2023-06-07 16:47:52.511202
