kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,KiOchXqzb7lQRZ2WOUr--qdz17E,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnVtQ3d5RXBpTExB,"{'publishedAt': '2023-06-07T00:57:08Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'LULE SE LASCOU ARTISTAS DO L DETONARAM CASA CAIU', 'description': 'O descontentamento com o governo é visível, antes quem apoiou agora mostra indignação.\nEm Brasília, índios manifestam e mostram cada vez mais o descontentamento nacional.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/umCwyEpiLLA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/umCwyEpiLLA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/umCwyEpiLLA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/umCwyEpiLLA/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'umCwyEpiLLA'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-07T00:57:08Z,UUlcnA1vAsnWmmkX-4Le_mrQ,umCwyEpiLLA,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,rAU_weFbKp2Nncj9WplG_qhEdVI,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnBvLVo2MUQ3dEVz,"{'publishedAt': '2023-06-06T21:16:40Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'MANIFESTAÇÃO DE ÍNDIOS EM BRASÍLIA 06/06/23', 'description': 'Manifestação de índios em Brasília contra PL 490.\n\n#manifestação #indios', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/po-Z61D7tEs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/po-Z61D7tEs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/po-Z61D7tEs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/po-Z61D7tEs/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'po-Z61D7tEs'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-06T21:16:40Z,UUlcnA1vAsnWmmkX-4Le_mrQ,po-Z61D7tEs,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,ZXmjzWpKC7a3uGmBnllq2FfgM-U,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjFoS240WmsweHpr,"{'publishedAt': '2023-06-04T00:57:08Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'GENTE EU NÃO FIZ AS UNHAS KKK MULHER CALÇA BOTINHA EM MICHELLE AO VIVO', 'description': 'Michelle ganha botinha e calça ao vivo.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': '1hKn4Zk0xzk'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-04T00:57:08Z,UUlcnA1vAsnWmmkX-4Le_mrQ,1hKn4Zk0xzk,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,N0suvsn5jdg0A_ePNWodL0iWOrY,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjctWTZxN0FBQ09B,"{'publishedAt': '2023-06-03T16:27:07Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'O CARA É DOIDÃO MESMO SÓ ELE CONSEGUE! OLHA NO QUE DEU!', 'description': 'De moto nas ruas Bolsonaro faz passeio e têm o apoio da população.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': '7-Y6q7AACOA'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-03T16:27:07Z,UUlcnA1vAsnWmmkX-4Le_mrQ,7-Y6q7AACOA,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,5_dIaJH4d3PwYE7iFDiQu407Gu8,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLndVZUYtT21IQ2pJ,"{'publishedAt': '2023-06-03T14:47:57Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'Mirian leitão ataca Lula e pula fora do Barco!', 'description': 'Todos estão começando a criticar o governo lula e a globo e seus apresentadores surpreendentemente começam atacar este governo.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': 'wUeF-OmHCjI'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-03T14:47:57Z,UUlcnA1vAsnWmmkX-4Le_mrQ,wUeF-OmHCjI,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,K5dy8v6usIqXdMzJ9sWEZBWIlng,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnliUEx4bGRlM3Fr,"{'publishedAt': '2023-06-03T12:56:54Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'Primeira Dama Michelle exalta o AGRO', 'description': 'Michelle Bolsonaro manda recado ao AGRO\n#agro\n#agronegocio #michelle', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ybPLxlde3qk'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-03T12:56:54Z,UUlcnA1vAsnWmmkX-4Le_mrQ,ybPLxlde3qk,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,Jr2c4i5yTkIdGuCExEy0ZwSe2B8,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLmZ0cUl2QTRXbktB,"{'publishedAt': '2023-06-02T23:37:10Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'MICHELLE, 🇧🇷 BOLSONARO 🇧🇷 E TARCÍSIO 🇧🇷 SÓ PODIA DÁ NISSO! OLHA O QUE ACONTECEU!', 'description': 'Em São Paulo Tarcísio e Jair Bolsonaro arrastaram multidão e participaram de uma cerimônia militar, No outro lado Michelle juntamente com o PL mulher foi ovacionada no Mato Grosso.\n\n\nÉ incrível a popularidade destes três.\n\n\n#michellebolsonaro #bolsonaro #tarcisiodefreitas', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ftqIvA4WnKA'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-02T23:37:10Z,UUlcnA1vAsnWmmkX-4Le_mrQ,ftqIvA4WnKA,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,yo-bSTtk5lAO29XyB4lU6CtaAmQ,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjFqOU5CS1lNTl8w,"{'publishedAt': '2023-06-02T01:37:11Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'BOLSONARO E TARCÍSIO FAZEM ALEGRIA DA TORCIDA NO ESTÁDIO', 'description': 'Bolsonaro e Tarcísio no Morumbi juntos fazem a festa do povo.\n\n#tarcisiodefreitas #morumbi #bolsonaro', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': '1j9NBKYMN_0'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-02T01:37:11Z,UUlcnA1vAsnWmmkX-4Le_mrQ,1j9NBKYMN_0,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,GJ6imkEJg1Yuw_QW5uk6hcKc8Dw,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjEtSWRLdnNERmdj,"{'publishedAt': '2023-06-01T16:07:10Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'Jornalista MULHER APANH@ que sirva de lição! Venezuela é NORMAL', 'description': 'Acontecimento ocorreu em Brasília na semana da visita dos presidentes dos países sul-americanos.\n\n#Globo #jornalista #nicolásmaduro', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': '1-IdKvsDFgc'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-06-01T16:07:10Z,UUlcnA1vAsnWmmkX-4Le_mrQ,1-IdKvsDFgc,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
youtube#playlistItem,IgNgB9XeDLGqxDDpOJQKGvPiTfQ,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLmZ6X0JMelNkUW1B,"{'publishedAt': '2023-05-31T13:02:07Z', 'channelId': 'UClcnA1vAsnWmmkX-4Le_mrQ', 'title': 'Jornalista da GLOBO APANHA de capanga de MADURO amigo de Lula!', 'description': 'Vários sites noticiaram e Globo repudiou agressão.\n\nhttps://www.google.com/amp/s/g1.globo.com/google/amp/politica/noticia/2023/05/30/jornalistas-sao-agredidos-por-segurancas-de-maduro-e-do-gsi-itamaraty-lamenta.ghtml\n\nhttps://www.google.com/search?client=ms-android-xiaomi-terr1-rso2&hl=pt-BR&sxsrf=APwXEdeDSHVNdBXvwLC0hdhoA2ka2vkDKQ:1685500297456&q=delis+ortiz&tbm=isch&sa=X&ved=2ahUKEwjApP7zwZ7_AhX3sJUCHX3iA6IQ0pQJegQICBAB&biw=393&bih=736&dpr=2.75#imgrc=7EpzUCdUlU4sAM&imgdii=nK1vhpkt8uqZ7M\n\n#maduro #Delisortis #jornalista', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Rodolfo Delmond', 'playlistId': 'UUlcnA1vAsnWmmkX-4Le_mrQ', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'fz_BLzSdQmA'}, 'videoOwnerChannelTitle': 'Rodolfo Delmond', 'videoOwnerChannelId': 'UClcnA1vAsnWmmkX-4Le_mrQ'}",,,UClcnA1vAsnWmmkX-4Le_mrQ,Rodolfo Delmond,2023-05-31T13:02:07Z,UUlcnA1vAsnWmmkX-4Le_mrQ,fz_BLzSdQmA,EAAaBlBUOkNESQ,2023-06-07 17:58:40.570587
