kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,3JKlyvavXmIkvVp9U6jzs-TZ8uI,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLjJ5a19ZT2VfOE1B,"{'publishedAt': '2023-06-07T21:00:04Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'FAÇA COM QUE A FÉ VENÇA A INCREDULIDADE - Pastor Silas Malafaia', 'description': 'Bem-vindo ao meu canal do YouTube!\n\nIncansável pregador do evangelho desde a sua juventude, o pastor Silas Malafaia é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa Vitória em Cristo, que está há 40 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, às 9h, pela RedeTV, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.\n\nFacebook: https://www.facebook.com/SilasMalafaia/ \n\nInstagram: https://www.instagram.com/silasmalafaia/\n\nTwitter: https://twitter.com/pastormalafaia \n\n#SilasMalafaia', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2yk_YOe_8MA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2yk_YOe_8MA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2yk_YOe_8MA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2yk_YOe_8MA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2yk_YOe_8MA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': '2yk_YOe_8MA'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-06-07T21:00:04Z,UUEoslUVXeGLIFtyp9ZfnGug,2yk_YOe_8MA,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,Z1FC3IpFzIJRT8z4uSXRb7_AGWE,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLlotZGFzQVBOWGxr,"{'publishedAt': '2023-06-05T09:00:17Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'SEGREDO PARA NÃO PERDER O PROPÓSITO | SILAS MALAFAIA - MOTIVACIONAL', 'description': 'Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. \n\nME SIGA NAS OUTRAS REDES: \n- Instagram: http://bit.ly/InstagramSilasMalafaia \n- Facebook: http://bit.ly/FacebookSilasMalafaia \n- Twitter: http://bit.ly/TwitterSilasMalafaia \n\nSITE: http://bit.ly/SiteSilasMalafaia \n\n#silasmalafaia #motivacional', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Z-dasAPNXlk'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-06-05T09:00:17Z,UUEoslUVXeGLIFtyp9ZfnGug,Z-dasAPNXlk,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,jOozK0fd8IIlVBYQl7epBw4-XJI,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmU2cklDSWFON1Jn,"{'publishedAt': '2023-06-03T12:34:33Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'PROGRAMA VITÓRIA EM CRISTO | 03.06.23', 'description': 'PROGRAMA VITÓRIA EM CRISTO | 03.06.23', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'e6rICIaN7Rg'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-06-03T12:34:33Z,UUEoslUVXeGLIFtyp9ZfnGug,e6rICIaN7Rg,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,NDNm2KmGOMIYHOVwQJazPhb5iAo,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLlpacUNFMVpBR3V3,"{'publishedAt': '2023-06-02T21:00:15Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'A TEMPESTADE TEM HORA PARA ACABAR- Pastor Silas Malafaia', 'description': 'Uma palavra profética para você!\n\nAssista à mensagem completa: https://www.youtube.com/watch?v=jObItCvClcQ', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': 'ZZqCE1ZAGuw'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-06-02T21:00:15Z,UUEoslUVXeGLIFtyp9ZfnGug,ZZqCE1ZAGuw,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,WusIrYzczhQF1CDFq7GvlfHxslQ,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLi1RbGd2UU9sLWlB,"{'publishedAt': '2023-06-01T09:00:00Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'HÁ UM DEUS QUE TRABALHA EM SEU FAVOR | SILAS MALAFAIA - MOTIVACIONAL', 'description': 'Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. \n\nME SIGA NAS OUTRAS REDES: \n- Instagram: http://bit.ly/InstagramSilasMalafaia \n- Facebook: http://bit.ly/FacebookSilasMalafaia \n- Twitter: http://bit.ly/TwitterSilasMalafaia \n\nSITE: http://bit.ly/SiteSilasMalafaia \n\n#silasmalafaia #motivacional', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': '-QlgvQOl-iA'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-06-01T09:00:00Z,UUEoslUVXeGLIFtyp9ZfnGug,-QlgvQOl-iA,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,giNdveLlY2b6o7WsxYF8JqKbGwA,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLjZEYVhfYXBkU2Fj,"{'publishedAt': '2023-05-31T18:30:14Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'O MAIOR INIMIGO QUE TEMOS NÃO É O DIABO - Pastor Silas Malafaia', 'description': 'O maior inimigo que temos não é o diabo, é a falta de conhecimento. \n\nAssista à mensagem completa: https://youtube.com/live/6RcDBY0B-t0', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/6DaX_apdSac/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6DaX_apdSac/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6DaX_apdSac/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6DaX_apdSac/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6DaX_apdSac/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': '6DaX_apdSac'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-05-31T18:30:14Z,UUEoslUVXeGLIFtyp9ZfnGug,6DaX_apdSac,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,uZre3dstnkr6u53FfYsUx5ReuBw,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLkM3SUN3azNvV3p3,"{'publishedAt': '2023-05-29T09:00:07Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'ESTÁ CHEGANDO A HORA DA VIRADA! | SILAS MALAFAIA - MOTIVACIONAL', 'description': 'Não murmure e não perca o ânimo, porque está chegando a hora da virada!\n\nUma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. \n\nME SIGA NAS OUTRAS REDES: \n- Instagram: http://bit.ly/InstagramSilasMalafaia \n- Facebook: http://bit.ly/FacebookSilasMalafaia \n- Twitter: http://bit.ly/TwitterSilasMalafaia \n\nSITE: http://bit.ly/SiteSilasMalafaia \n\n#silasmalafaia #motivacional', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'C7ICwk3oWzw'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-05-29T09:00:07Z,UUEoslUVXeGLIFtyp9ZfnGug,C7ICwk3oWzw,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,s3zjQGxt3Oq35wCeYgv2s0y9SU8,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmFVeFNxQWxCV0VZ,"{'publishedAt': '2023-05-27T12:39:27Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'PROGRAMA VITÓRIA EM CRISTO | 27.05.23', 'description': 'PROGRAMA VITÓRIA EM CRISTO | 27.05.23', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'aUxSqAlBWEY'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-05-27T12:39:27Z,UUEoslUVXeGLIFtyp9ZfnGug,aUxSqAlBWEY,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,xYMLKtaIWa4jS8CXATFyWX6vXlc,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmVvS0ppcFBoS21F,"{'publishedAt': '2023-05-26T21:00:16Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': 'POR QUE AS PEDRADAS QUE LEVAMOS DOEM? - Pastor Silas Malafaia', 'description': 'Por que as pedradas que levamos na vida doem tanto?\n\n\n\nAssista à mensagem completa em https://youtube.com/live/N3BiazXnkPY', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'eoKJipPhKmE'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-05-26T21:00:16Z,UUEoslUVXeGLIFtyp9ZfnGug,eoKJipPhKmE,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
youtube#playlistItem,Q-iNX09WK1yrdSF8jV0Ttq2owME,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLllfOXNnbkpLUDl3,"{'publishedAt': '2023-05-26T17:33:06Z', 'channelId': 'UCEoslUVXeGLIFtyp9ZfnGug', 'title': '21º CONGRESSO FOGO PARA O BRASIL', 'description': 'Bem-vindo ao meu canal YouTube. Você pode se inscrever clicando aqui http://smarturl.it/silasmalafaiayoutube\n\nOuça minhas mensagens no celular: http://smarturl.it/mensagenspastorsilas \n\nIncansável pregador do evangelho desde a sua juventude, pastor Silas é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa\xa0Vitória em Cristo, que está há 35 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, das 12h às 13h, pela TV Bandeirantes, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.\n\nFacebook: https://www.facebook.com/SilasMalafaia/ \n\nInstagram: https://www.instagram.com/pastormalafaiaoficial/ \n\nTwitter: https://twitter.com/pastormalafaia', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Silas Malafaia Oficial', 'playlistId': 'UUEoslUVXeGLIFtyp9ZfnGug', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'Y_9sgnJKP9w'}, 'videoOwnerChannelTitle': 'Silas Malafaia Oficial', 'videoOwnerChannelId': 'UCEoslUVXeGLIFtyp9ZfnGug'}",,,UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,2023-05-26T17:33:06Z,UUEoslUVXeGLIFtyp9ZfnGug,Y_9sgnJKP9w,EAAaBlBUOkNESQ,2023-06-07 18:14:31.032662
