kind,etag,id,snippet,contentDetails,status,channelId,channelTitle,publishedAt,playlistId,videoId,nextPageToken,extraction_date
youtube#playlistItem,jYTQZ6UDkZ8xR7Ft6UILkyiHv2I,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLlZfRi1zcWNDd1Vz,"{'publishedAt': '2023-06-15T20:22:45Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Salles quebrou os argumentos do professor da UnB', 'description': 'Sales mostra vídeo do Incra e a deputada Gleisi Hoffmann se revolta com as verdades divulgadas.\\n\\nE no ringue parlamentar um embate memorável entre razão e emoção gerou um grande espetáculo democratico.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/V_F-sqcCwUs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/V_F-sqcCwUs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/V_F-sqcCwUs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/V_F-sqcCwUs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/V_F-sqcCwUs/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 0, 'resourceId': {'kind': 'youtube#video', 'videoId': 'V_F-sqcCwUs'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-15T20:22:45Z,UU3au34_LvMZIK4GtvHNfxmA,V_F-sqcCwUs,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,cXFOMnHgTzJIDsypor5BjEzvGzc,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLnQyWTE3cVEtME13,"{'publishedAt': '2023-06-14T20:41:40Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Todo o esquema do MST FOI REVELADO', 'description': 'Jornalistas continuam caindo no poço profundo da descrença e levando consigo grandes veículos de comunicação. \\n\\nJá na CPI do MST novas revelações bombásticas contam outra história sobre esse polêmico movimento social.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/t2Y17qQ-0Mw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/t2Y17qQ-0Mw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/t2Y17qQ-0Mw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/t2Y17qQ-0Mw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/t2Y17qQ-0Mw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 1, 'resourceId': {'kind': 'youtube#video', 'videoId': 't2Y17qQ-0Mw'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-14T20:41:40Z,UU3au34_LvMZIK4GtvHNfxmA,t2Y17qQ-0Mw,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,722z1_kx4LLtvbRsrpQ8u19vclY,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLmVYUl9Ed1lLX1Zr,"{'publishedAt': '2023-06-13T20:57:19Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Magno Malta permite expor o polêmico vídeo do senador Marcos do Val', 'description': 'CPMI do dia 8 votou os requerimentos e parlamentares lutaram para haver imparcialidade na condução dos trabalhos.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/eXR_DwYK_Vk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eXR_DwYK_Vk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eXR_DwYK_Vk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/eXR_DwYK_Vk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/eXR_DwYK_Vk/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 2, 'resourceId': {'kind': 'youtube#video', 'videoId': 'eXR_DwYK_Vk'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-13T20:57:19Z,UU3au34_LvMZIK4GtvHNfxmA,eXR_DwYK_Vk,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,s80Oe1nk0uqjuABm64PhHCcG7t8,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLjR1akw0Z2xFLVdv,"{'publishedAt': '2023-06-12T20:09:58Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'A INCRÍVEL AULA dada por ALEXANDRE GARCIA', 'description': 'O mundo parece doente já que diariamente o trem social sinaliza sair dos trilhos.\\n\\nNesses tempos incertos devemos dar ouvidos aos mais velhos, pois a sabedoria de quem viveu muitas guerras sempre deve ser o alimento para as novas gerações', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4ujL4glE-Wo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4ujL4glE-Wo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4ujL4glE-Wo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4ujL4glE-Wo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4ujL4glE-Wo/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 3, 'resourceId': {'kind': 'youtube#video', 'videoId': '4ujL4glE-Wo'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-12T20:09:58Z,UU3au34_LvMZIK4GtvHNfxmA,4ujL4glE-Wo,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,Bb-piAP9NUOxrHFEfo6wKTrjA28,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLl9qWFVRMEFMbVBB,"{'publishedAt': '2023-06-10T17:48:24Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Deputado do PT tentou LACRAR mas foi LACRADO', 'description': 'Dois assuntos polêmicos ganharam destaque na Assembleia Legislativa do Paraná. \\n\\nO primeiro é o inusitado pedido de Lula para que a Força Aérea consiga um novo avião. \\n\\nO segundo assunto foi a apreensão de drogas no avião que pertence a Igreja do Evangelho Quadrangular, liderada por Josué Bengtson, tio de Damares.\\n\\nUm homem, que não teve a identidade revelada, mas que fazia a manutenção da aeronave foi preso em flagrante pela Polícia Federal. \\n\\nA aeronave foi apreendida, porém o piloto do avião não foi preso, pois, conforme informou a Polícia Federal em nota, ""não foi verificada participação dele no crime"".\\n\\nAinda não foi apontado nenhum vínculo com o líder da Igreja Quadrangular e tudo indica que o homem estava tentando passar a mercadoria como peças de equipamento agrícolas.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_jXUQ0ALmPA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_jXUQ0ALmPA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_jXUQ0ALmPA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_jXUQ0ALmPA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_jXUQ0ALmPA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 4, 'resourceId': {'kind': 'youtube#video', 'videoId': '_jXUQ0ALmPA'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-10T17:48:24Z,UU3au34_LvMZIK4GtvHNfxmA,_jXUQ0ALmPA,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,hupCQ5912TOGZ-bDbcK2N2r4aIk,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLnFCNUZnZ2cyUHZF,"{'publishedAt': '2023-06-09T20:04:20Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Colunista do Estadão especialista em negócios faz uma análise que irá chocar os progressistas', 'description': 'O gás efervescente dos discursos petistas perdeu seu efeito e o que resta é só desolação e arrependimento. \\n\\nPor isso os jornais, preocupados agora com o futuro, apontam que no norte há um céu escuro. \\n\\nColunista do Estadão especialista em negócios faz uma análise que irá chocar os progressistas.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/qB5Fggg2PvE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qB5Fggg2PvE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qB5Fggg2PvE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/qB5Fggg2PvE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/qB5Fggg2PvE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 5, 'resourceId': {'kind': 'youtube#video', 'videoId': 'qB5Fggg2PvE'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-09T20:04:20Z,UU3au34_LvMZIK4GtvHNfxmA,qB5Fggg2PvE,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,4EpTEFU2ubMAHeqYy27aiKctpRI,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLm5mUFh5Nlo5aVc4,"{'publishedAt': '2023-06-08T19:27:27Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Marcel van Hattem segura a TRISTEZA ao ver seu PAÍS TOMADO', 'description': 'A liderança da Câmara dos Deputados aprovou a cassação do mandato do deputado federal Deltan Dallagnol. Essa medida ratifica a decisão previamente tomada pelo Tribunal Superior Eleitoral (TSE), que resultou na cassação do deputado. A decisão foi adotada por consenso.\\n\\nO PT foi o autor da ação que culminou na cassação do deputado. \\n\\nA votação no Tribunal Superior Eleitoral (TSE) contra o deputado Deltan Dallagnol foi concluída em cerca de um minuto. Apenas o ministro relator do caso, Benedito Gonçalves, deu explicações sobre o seu voto, com os demais ministros seguindo o mesmo entendimento.\\n\\nDallagnol refutou as alegações de que estava respondendo a processos administrativos durante as eleições. \\n\\nO advogado Antônio Carlos de Almeida Castro, mais conhecido como Kakay, expressou sua satisfação com a decisão que confirmou a cassação do mandato de Deltan . \\n\\nAtuando como advogado para várias empresas e políticos envolvidos na Operação Lava Jato, Kakay expressou repetidamente críticas ao uso de delações premiadas na investigação, iniciativa que sempre condenou. Kakay defendeu o doleiro Alberto Youssef, considerado o principal operador do esquema investigado.\\n\\nOs parlamentares foram à tribuna falar sobre esse absurdo.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/nfPXy6Z9iW8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nfPXy6Z9iW8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nfPXy6Z9iW8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/nfPXy6Z9iW8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/nfPXy6Z9iW8/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 6, 'resourceId': {'kind': 'youtube#video', 'videoId': 'nfPXy6Z9iW8'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-08T19:27:27Z,UU3au34_LvMZIK4GtvHNfxmA,nfPXy6Z9iW8,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,If85AOyO8lgX7dOsG_S-yyG8rM8,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLk51QkNKbk40dGhB,"{'publishedAt': '2023-06-07T19:34:58Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Eles mostraram quem são os ANTIDEMOCRÁTICOS', 'description': 'A reunião da Comissão onde os parlamentares analisaram o plano de trabalho da relatora Eliziane Gama gerou embates.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NuBCJnN4thA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NuBCJnN4thA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NuBCJnN4thA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NuBCJnN4thA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/NuBCJnN4thA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 7, 'resourceId': {'kind': 'youtube#video', 'videoId': 'NuBCJnN4thA'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-07T19:34:58Z,UU3au34_LvMZIK4GtvHNfxmA,NuBCJnN4thA,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,X1dS8RdG1b5ZAleaIhu7tvVKGSo,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLnRzUGxZeVBFeHpB,"{'publishedAt': '2023-06-06T20:03:57Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'CPMI: Nova descoberta pode mudar TUDO', 'description': 'A reunião da Comissão onde os parlamentares analisaram o plano de trabalho da relatora Eliziane Gama gerou embates. \\n\\nE também houve promessa de trazer à luz fatos que podem abalar os rumos da CPMI.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tsPlYyPExzA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tsPlYyPExzA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tsPlYyPExzA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/tsPlYyPExzA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/tsPlYyPExzA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 8, 'resourceId': {'kind': 'youtube#video', 'videoId': 'tsPlYyPExzA'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-06T20:03:57Z,UU3au34_LvMZIK4GtvHNfxmA,tsPlYyPExzA,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
youtube#playlistItem,QV8g00ikvE3xKGJf5HgC9nHTWmE,VVUzYXUzNF9Mdk1aSUs0R3R2SE5meG1BLkROZjROVWsyb1Y0,"{'publishedAt': '2023-06-05T20:14:25Z', 'channelId': 'UC3au34_LvMZIK4GtvHNfxmA', 'title': 'Povo reage à publicação do TSE', 'description': 'Estamos vivendo em uma ditadura e muitos já admitem isso nas redes sociais.\\n\\nMas há retorno, já que as pessoas ainda podem encher a página do TSE de críticas.\\n\\nPix para apoiar o canal: contato.verdadepolitica@gmail.com\\nSeja membro do canal: https://www.youtube.com/channel/UC3au34_LvMZIK4GtvHNfxmA/join\\nTwitter: https://twitter.com/PontesVPBR\\nFacebook: https://www.facebook.com/canalverdadepolitica', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/DNf4NUk2oV4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DNf4NUk2oV4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DNf4NUk2oV4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DNf4NUk2oV4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DNf4NUk2oV4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Verdade Política', 'playlistId': 'UU3au34_LvMZIK4GtvHNfxmA', 'position': 9, 'resourceId': {'kind': 'youtube#video', 'videoId': 'DNf4NUk2oV4'}, 'videoOwnerChannelTitle': 'Verdade Política', 'videoOwnerChannelId': 'UC3au34_LvMZIK4GtvHNfxmA'}",,,UC3au34_LvMZIK4GtvHNfxmA,Verdade Política,2023-06-05T20:14:25Z,UU3au34_LvMZIK4GtvHNfxmA,DNf4NUk2oV4,EAAaBlBUOkNESQ,2023-06-15 23:50:11.936707
