kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,bZ7ParMN8OU5-WjyKCP-YWk3GDI,UgyItkQzTufhYQbtAw94AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'piMixZhm71vgnLpXfYV5YDRsDQ0', 'id': 'UgyItkQzTufhYQbtAw94AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Se for de Bolsonaro é crime…<br>Se for de Lula tá valendo…<br>Simples assim…🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻', 'textOriginal': 'Se for de Bolsonaro é crime…\\nSe for de Lula tá valendo…\\nSimples assim…🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻', 'authorDisplayName': 'Simples Assim Simples', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOyHtqN1yIaVsKjGeM0lqwEefxVZjrWL8RtzA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCh98vrkF2453bozpW5W5DuQ', 'authorChannelId': {'value': 'UCh98vrkF2453bozpW5W5DuQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T00:08:28Z', 'updatedAt': '2022-11-11T00:08:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCh98vrkF2453bozpW5W5DuQ,2022-11-11T00:08:28Z,"Se for de Bolsonaro é crime…
Se for de Lula tá valendo…
Simples assim…🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,xVcy14TGhkwSVqE68xid2F_LnXw,UgyUFVNzPoXqRe-V3Gl4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_uWlBUISJ38Ucog6ajSP4Sy_BD0', 'id': 'UgyUFVNzPoXqRe-V3Gl4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Agora o PT quer tornar Bolsonaro inelegível. E todos os abusos de autoridade e as barbaridades cometidas nessa eleição em favor do PR não deixam o Loola inelegível? Onde vamos parar?', 'textOriginal': 'Agora o PT quer tornar Bolsonaro inelegível. E todos os abusos de autoridade e as barbaridades cometidas nessa eleição em favor do PR não deixam o Loola inelegível? Onde vamos parar?', 'authorDisplayName': 'Valéria Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP6MBraA2lggUhILkNGxsiHEteGPTJozoiZZw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4RLUK0gn1xgrpl-KPe6hXw', 'authorChannelId': {'value': 'UC4RLUK0gn1xgrpl-KPe6hXw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T22:29:41Z', 'updatedAt': '2022-11-04T22:30:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4RLUK0gn1xgrpl-KPe6hXw,2022-11-04T22:29:41Z,Agora o PT quer tornar Bolsonaro inelegível. E todos os abusos de autoridade e as barbaridades cometidas nessa eleição em favor do PR não deixam o Loola inelegível? Onde vamos parar?,QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,pKEQ1ExyfOuvPvxktW8NDYeY8qo,UgwttLy3ryd7FKoH-jF4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'grYtsIhuD1UYhtxZEzE2T35QC28', 'id': 'UgwttLy3ryd7FKoH-jF4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Seria crime se fosse pra apoiar Bolsonaro. Como eram eleitores do ladrão de 9 dedos, tudo bem, o Xandão deixa. Segundo o TSE Moraes, tudo é permitido à esquerda.', 'textOriginal': 'Seria crime se fosse pra apoiar Bolsonaro. Como eram eleitores do ladrão de 9 dedos, tudo bem, o Xandão deixa. Segundo o TSE Moraes, tudo é permitido à esquerda.', 'authorDisplayName': 'Valéria Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP6MBraA2lggUhILkNGxsiHEteGPTJozoiZZw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4RLUK0gn1xgrpl-KPe6hXw', 'authorChannelId': {'value': 'UC4RLUK0gn1xgrpl-KPe6hXw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T22:28:14Z', 'updatedAt': '2022-11-04T22:28:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4RLUK0gn1xgrpl-KPe6hXw,2022-11-04T22:28:14Z,"Seria crime se fosse pra apoiar Bolsonaro. Como eram eleitores do ladrão de 9 dedos, tudo bem, o Xandão deixa. Segundo o TSE Moraes, tudo é permitido à esquerda.",QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,g2d_ksfBXYoaeke-hnBCHfi0JG4,Ugwlwspe9B941RCQ5zV4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sSgUwCWsyJDua7_aqudbly86AU4', 'id': 'Ugwlwspe9B941RCQ5zV4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Nordestino elegem lula,isso significa que deixar um povo analfabeto funcional funciona', 'textOriginal': 'Nordestino elegem lula,isso significa que deixar um povo analfabeto funcional funciona', 'authorDisplayName': 'Manoel Messias Augusto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOjQ8ADPAdpJR5hf5i0flP1vSvmypc4tqaNoA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIvItAsb4nUKM8kvDzmY_zA', 'authorChannelId': {'value': 'UCIvItAsb4nUKM8kvDzmY_zA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-31T01:30:15Z', 'updatedAt': '2022-10-31T01:30:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCIvItAsb4nUKM8kvDzmY_zA,2022-10-31T01:30:15Z,"Nordestino elegem lula,isso significa que deixar um povo analfabeto funcional funciona",QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,AGlPBET061LtdqhPUo-A2xaCQfI,UgxA5y9zdqJJOfGzKmJ4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MpLL4oViRu2abdHKZiGO24yc33w', 'id': 'UgxA5y9zdqJJOfGzKmJ4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'É crime, para a Associação do Transportadores de Pedestres e donos de empresa de transporte público. Para o passageiro é um direito.<br>Uma dúvida: este jornalista anda de ônibus?', 'textOriginal': 'É crime, para a Associação do Transportadores de Pedestres e donos de empresa de transporte público. Para o passageiro é um direito.\\nUma dúvida: este jornalista anda de ônibus?', 'authorDisplayName': 'Menya Musashi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNQ21v7vKTAbtmO_p1_F4SNVKd7abbH7F0dHQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCe1A11WDYpAtrlFoGnea4Yw', 'authorChannelId': {'value': 'UCe1A11WDYpAtrlFoGnea4Yw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T17:13:15Z', 'updatedAt': '2022-10-26T17:13:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCe1A11WDYpAtrlFoGnea4Yw,2022-10-26T17:13:15Z,"É crime, para a Associação do Transportadores de Pedestres e donos de empresa de transporte público. Para o passageiro é um direito.
Uma dúvida: este jornalista anda de ônibus?",QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,NxY0KQsrFDPH67ZhfDmcwZFV-0M,UgxUY9ziaNhR1JOsq-Z4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jNJi8_ZGTrR87LIxTXHcsY82SrQ', 'id': 'UgxUY9ziaNhR1JOsq-Z4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Onde os insensatos governam o povo padece.', 'textOriginal': 'Onde os insensatos governam o povo padece.', 'authorDisplayName': 'Janeth Ferreira da Fonseca', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP65n9HbM78ciSrfhUfYT51BCtA_kYAg1G90MlV355WSpx8OjtByb6DD2_mxbjI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWyCclw46KVk5BRyfVvkW1A', 'authorChannelId': {'value': 'UCWyCclw46KVk5BRyfVvkW1A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T11:42:53Z', 'updatedAt': '2022-10-24T11:42:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCWyCclw46KVk5BRyfVvkW1A,2022-10-24T11:42:53Z,Onde os insensatos governam o povo padece.,QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,PtKK1ZM-7XeOMbdIyR8KTl0P-RU,UgyK4_I7o4iojY8fF3B4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GjOOhl2wzjXo32tJK7dvcmn_JPE', 'id': 'UgyK4_I7o4iojY8fF3B4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'O afrodescendente que recebeu tapinhas de Luladrão no rosto devia ser impedido de julgar nesta eleição seu nome poderia ser em lugar de Bene... Mal...', 'textOriginal': 'O afrodescendente que recebeu tapinhas de Luladrão no rosto devia ser impedido de julgar nesta eleição seu nome poderia ser em lugar de Bene... Mal...', 'authorDisplayName': 'José Trindade', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO26CiUXAgKAf0rRpoVfNan3F4FN3XNVx8Ulw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClPIKrn3N7QKB-HvCMecHYg', 'authorChannelId': {'value': 'UClPIKrn3N7QKB-HvCMecHYg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T21:56:04Z', 'updatedAt': '2022-10-23T21:56:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClPIKrn3N7QKB-HvCMecHYg,2022-10-23T21:56:04Z,O afrodescendente que recebeu tapinhas de Luladrão no rosto devia ser impedido de julgar nesta eleição seu nome poderia ser em lugar de Bene... Mal...,QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,Z-27H5oAWrRStD7v_giuDIhbspY,Ugw1VIe3ycKczanv3s14AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MKIpK6k6JBo1xdhm4xMKVjNVhZk', 'id': 'Ugw1VIe3ycKczanv3s14AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Sempre somos nós que pagamos!', 'textOriginal': 'Sempre somos nós que pagamos!', 'authorDisplayName': 'Eliane Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOvKGdomTjXlu0CtBwtPYR2nv2YNpLU5Ms_Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjb1aM7a46qU7xI_gj2OzBA', 'authorChannelId': {'value': 'UCjb1aM7a46qU7xI_gj2OzBA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T17:36:35Z', 'updatedAt': '2022-10-23T17:36:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjb1aM7a46qU7xI_gj2OzBA,2022-10-23T17:36:35Z,Sempre somos nós que pagamos!,QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,4Qo3KdX1cZl64sGm9savk3oUCNg,UgyhCR6ek20sr_88RbR4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SEj-lBPxFQRcusxG7r6u_qMBlZU', 'id': 'UgyhCR6ek20sr_88RbR4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Obrigado por lembrar do nosso Piauí', 'textOriginal': 'Obrigado por lembrar do nosso Piauí', 'authorDisplayName': 'Mateus Sousa Lira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP3OR_eOu5gK9h00Ybz1MMQ2xhoT5KdlqkzOg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWbC6o0vLIAF16KNSLcvHCg', 'authorChannelId': {'value': 'UCWbC6o0vLIAF16KNSLcvHCg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T18:00:11Z', 'updatedAt': '2022-10-22T18:00:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCWbC6o0vLIAF16KNSLcvHCg,2022-10-22T18:00:11Z,Obrigado por lembrar do nosso Piauí,QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
youtube#commentThread,EQBtciLNp34fcdNBcVlPRNtoMxg,Ugxa2Nx88FeyWMNHsXt4AaABAg,"{'videoId': 'yRAr5xHQ3m0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5kqGdU2Frg_vuzCFGWWE2ZJDv20', 'id': 'Ugxa2Nx88FeyWMNHsXt4AaABAg', 'snippet': {'videoId': 'yRAr5xHQ3m0', 'textDisplay': 'Eu tbm conheço isto como voto de cabresto, pelo que sei é proibido, quando a gente pensa que todos  os absurdos já foram gastos, aparece mais um tanto!!', 'textOriginal': 'Eu tbm conheço isto como voto de cabresto, pelo que sei é proibido, quando a gente pensa que todos  os absurdos já foram gastos, aparece mais um tanto!!', 'authorDisplayName': 'mariacleusa clemente', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNZp4BwynYQI-2UYP9lRIYQgwSYXsnZRJeHEg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_EZXRFWHJ1OeC4DEfw3gJQ', 'authorChannelId': {'value': 'UC_EZXRFWHJ1OeC4DEfw3gJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T17:53:52Z', 'updatedAt': '2022-10-22T17:53:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_EZXRFWHJ1OeC4DEfw3gJQ,2022-10-22T17:53:52Z,"Eu tbm conheço isto como voto de cabresto, pelo que sei é proibido, quando a gente pensa que todos  os absurdos já foram gastos, aparece mais um tanto!!",QURTSl9pMmpVQVRyTzRnRlN3NldNZ3Z4V3BzUnY5dnVSREtDdEQ1RGt1V2hWUE9lZUprTkx0SUpYMGh3QnBFUXo2X1dTQmk0RmNzcTh4QQ==,2023-06-07 23:28:29.779613
