kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,NwIJ4y-irwbiTXSgGL0RA-ngwOY,UgzEi2Uw01POrB79jOB4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dbHp2-QX6x9fssfzvwBS4KunOGA', 'id': 'UgzEi2Uw01POrB79jOB4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Não vai ter mais episódios? A esquerda tá ficando grande na internet, estão perdendo de surfar nesse crescimento, o Brasil precisa escutar a ideia de vocês, sugiro criarem um canal especifico para o Conexão Xangai, e pede pro Elias divulgar quando ele for nos podcasts massacrar algum liberaloide.', 'textOriginal': 'Não vai ter mais episódios? A esquerda tá ficando grande na internet, estão perdendo de surfar nesse crescimento, o Brasil precisa escutar a ideia de vocês, sugiro criarem um canal especifico para o Conexão Xangai, e pede pro Elias divulgar quando ele for nos podcasts massacrar algum liberaloide.', 'authorDisplayName': 'ninjachao', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNC3ndAcKPPAtDZEz-wE2Bo7V7LbT6nGUE8V25CKhVIHL_iTkNaLZ0yvHvwGSe3=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnYCb3kEYx4dRvu68nmwf4g', 'authorChannelId': {'value': 'UCnYCb3kEYx4dRvu68nmwf4g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-14T10:57:05Z', 'updatedAt': '2023-05-14T10:57:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCnYCb3kEYx4dRvu68nmwf4g,2023-05-14T10:57:05Z,"Não vai ter mais episódios? A esquerda tá ficando grande na internet, estão perdendo de surfar nesse crescimento, o Brasil precisa escutar a ideia de vocês, sugiro criarem um canal especifico para o Conexão Xangai, e pede pro Elias divulgar quando ele for nos podcasts massacrar algum liberaloide.",QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,_UWDVf8Z0iqOa3FO39SyH3-V7oY,UgwZ6iVpbzmyIrehmzV4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Z2Ls0b-fYEfeN5PFiDyFWUA3_ww', 'id': 'UgwZ6iVpbzmyIrehmzV4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Me senti bem representado pelo que o Preto Zezé falou sobre os jovens, ainda mais porque aprendi ingles, mandarim, japonês sozinho na internet. A coisa que mais revolta no meu ponto de vista é ver espaços públicos que gente de baixa renda &quot;pode&quot; ter acesso sendo altamente elitista, pega as universidades federais e estaduais como USP e Unicamp a demanda pra moradia estudantil são muito grande porque o pobre de SP-capital ver a chance de fazer a faculdade sem se preocupar em fica 3 horas no transporte publico.', 'textOriginal': 'Me senti bem representado pelo que o Preto Zezé falou sobre os jovens, ainda mais porque aprendi ingles, mandarim, japonês sozinho na internet. A coisa que mais revolta no meu ponto de vista é ver espaços públicos que gente de baixa renda ""pode"" ter acesso sendo altamente elitista, pega as universidades federais e estaduais como USP e Unicamp a demanda pra moradia estudantil são muito grande porque o pobre de SP-capital ver a chance de fazer a faculdade sem se preocupar em fica 3 horas no transporte publico.', 'authorDisplayName': 'Overlord Artorius', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMTUs03SFsASaM93-vdHiMffWTNuYFzicewbs3l=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCY24XqeyR-9P3fPd65soOGg', 'authorChannelId': {'value': 'UCY24XqeyR-9P3fPd65soOGg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-10T02:33:52Z', 'updatedAt': '2023-01-10T02:33:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCY24XqeyR-9P3fPd65soOGg,2023-01-10T02:33:52Z,"Me senti bem representado pelo que o Preto Zezé falou sobre os jovens, ainda mais porque aprendi ingles, mandarim, japonês sozinho na internet. A coisa que mais revolta no meu ponto de vista é ver espaços públicos que gente de baixa renda ""pode"" ter acesso sendo altamente elitista, pega as universidades federais e estaduais como USP e Unicamp a demanda pra moradia estudantil são muito grande porque o pobre de SP-capital ver a chance de fazer a faculdade sem se preocupar em fica 3 horas no transporte publico.",QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,0gHKnKbWdYbYpWHL1MgxW-IoZPI,UgzvU5B_-MvTh74UVfZ4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eCbqCo9FmQH0QRKgb8l-vn57W20', 'id': 'UgzvU5B_-MvTh74UVfZ4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Virou o jornal que assistimos aqui em casa. Gosto muito da perspicácia do Elias em perceber com lucidez e otimismo o potencial de organização que os trabalhadores do Brasil tem e vem emergindo, como a CUFA, que ele mesmo cita. Essencial também a inteligência do Roncaglia para 1- captar os excelentes pontos trazidos pelo Uallace e Preto Zezé, destaque para a sacada dele em apontar o potencial tecnológico que existe e deve ser o novo foco de investimentos em infraestrutura; 2- fazer a conexão com a atual situação política e 3- trazer o conhecimento de ponta produzido pelos especialistas e pesquisadores.', 'textOriginal': 'Virou o jornal que assistimos aqui em casa. Gosto muito da perspicácia do Elias em perceber com lucidez e otimismo o potencial de organização que os trabalhadores do Brasil tem e vem emergindo, como a CUFA, que ele mesmo cita. Essencial também a inteligência do Roncaglia para 1- captar os excelentes pontos trazidos pelo Uallace e Preto Zezé, destaque para a sacada dele em apontar o potencial tecnológico que existe e deve ser o novo foco de investimentos em infraestrutura; 2- fazer a conexão com a atual situação política e 3- trazer o conhecimento de ponta produzido pelos especialistas e pesquisadores.', 'authorDisplayName': 'Sciarbeluc Sa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMJEto3lrWilHNgIdn7Ks9z1dJqiizGEm7Uv2QdJw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8ni0Kqq8pG6vhGoTIg1gVw', 'authorChannelId': {'value': 'UC8ni0Kqq8pG6vhGoTIg1gVw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-10T16:24:12Z', 'updatedAt': '2022-12-10T16:38:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8ni0Kqq8pG6vhGoTIg1gVw,2022-12-10T16:24:12Z,"Virou o jornal que assistimos aqui em casa. Gosto muito da perspicácia do Elias em perceber com lucidez e otimismo o potencial de organização que os trabalhadores do Brasil tem e vem emergindo, como a CUFA, que ele mesmo cita. Essencial também a inteligência do Roncaglia para 1- captar os excelentes pontos trazidos pelo Uallace e Preto Zezé, destaque para a sacada dele em apontar o potencial tecnológico que existe e deve ser o novo foco de investimentos em infraestrutura; 2- fazer a conexão com a atual situação política e 3- trazer o conhecimento de ponta produzido pelos especialistas e pesquisadores.",QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,y1g_UIwuicK5zeGHinglBIACriI,Ugw0P17qBZNfolvCW354AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'o753oeDHUJtOWX0iOFZKgIgpfHM', 'id': 'Ugw0P17qBZNfolvCW354AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Mais um excelente vídeo! Muito conhecimento num lugar só!', 'textOriginal': 'Mais um excelente vídeo! Muito conhecimento num lugar só!', 'authorDisplayName': 'William C.F', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOJEmAOrDSD1TrLatn3IBuLdTIj1sx1M9SFpcYU6Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8Exjost0jVJv7VRZzUd7tg', 'authorChannelId': {'value': 'UC8Exjost0jVJv7VRZzUd7tg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-07T16:41:01Z', 'updatedAt': '2022-12-07T16:41:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8Exjost0jVJv7VRZzUd7tg,2022-12-07T16:41:01Z,Mais um excelente vídeo! Muito conhecimento num lugar só!,QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,mk2FH6_R0X9_pzTNgr4KMuWXeO0,UgyycxdYdfXmKOR9-WR4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JKfFlZvsdrIGwn7XbNWwelP1kF0', 'id': 'UgyycxdYdfXmKOR9-WR4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Amei a entrevista eita povo qualificado descente inteligente, culto, popular ,', 'textOriginal': 'Amei a entrevista eita povo qualificado descente inteligente, culto, popular ,', 'authorDisplayName': 'clelia carvalho Carvalho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNRACtKbl2kSUen1KcPqEetH8w8BSHoJ_ggsg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNpwBm_RR7OKVZg7hcMyZ5A', 'authorChannelId': {'value': 'UCNpwBm_RR7OKVZg7hcMyZ5A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-06T14:47:54Z', 'updatedAt': '2022-12-06T14:47:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNpwBm_RR7OKVZg7hcMyZ5A,2022-12-06T14:47:54Z,"Amei a entrevista eita povo qualificado descente inteligente, culto, popular ,",QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,-wuqwAO3W-5EB_1MQE4oi2nCCys,Ugw0-4Gu9z18V-5Cdgx4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 's_qqPppfRP0my6oKGouXbdpAd-M', 'id': 'Ugw0-4Gu9z18V-5Cdgx4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Excelente programa! tragam mais gente da base, isso enriquece e populariza o debate!', 'textOriginal': 'Excelente programa! tragam mais gente da base, isso enriquece e populariza o debate!', 'authorDisplayName': 'Anderson Errerias', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNl-bGZP6sKTLdavjtfxup7Rx_ZPYeEg5LSVBL9gQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnAGw8XSPVR1ruqYfvBtu6Q', 'authorChannelId': {'value': 'UCnAGw8XSPVR1ruqYfvBtu6Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-18T05:42:53Z', 'updatedAt': '2022-11-18T05:42:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCnAGw8XSPVR1ruqYfvBtu6Q,2022-11-18T05:42:53Z,"Excelente programa! tragam mais gente da base, isso enriquece e populariza o debate!",QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,TJL8z0XZtLGEpKVXTXDTa4ylptk,UgyZffpmTwCVNAiiTGF4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xQ4oF917IQt0TSfoCu9x_Bgkir0', 'id': 'UgyZffpmTwCVNAiiTGF4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Quanta groselha 🤣🤣🤣🤣🤣', 'textOriginal': 'Quanta groselha 🤣🤣🤣🤣🤣', 'authorDisplayName': 'The Merge Investor', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Gishy33QB74qNxN5-hbhokF8gg98hctZwF7F9AfI42myxXCDb8Fa180VYHIsc2-ocsh8pEhZGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3_S8Vm04XTj_iKuCpRwaMQ', 'authorChannelId': {'value': 'UC3_S8Vm04XTj_iKuCpRwaMQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-15T18:27:50Z', 'updatedAt': '2022-11-15T18:27:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3_S8Vm04XTj_iKuCpRwaMQ,2022-11-15T18:27:50Z,Quanta groselha 🤣🤣🤣🤣🤣,QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,9z74CaC40_zIhVfQHEi-xH_jTHw,UgzuPuD3X5UGPuuil2J4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'n9kVc1RE8-m2UMIdXJuO6z4mCxo', 'id': 'UgzuPuD3X5UGPuuil2J4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Sensacional! Nova inscrita. Bjs.', 'textOriginal': 'Sensacional! Nova inscrita. Bjs.', 'authorDisplayName': 'Andréa Rosário Miranda', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO7vCXQKSW6oD8C6NSE0BI2DVtTQ_hOxJk8Dw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGkwfIc3Gse9-vla1hdkLmA', 'authorChannelId': {'value': 'UCGkwfIc3Gse9-vla1hdkLmA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-07T22:23:13Z', 'updatedAt': '2022-11-07T22:23:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCGkwfIc3Gse9-vla1hdkLmA,2022-11-07T22:23:13Z,Sensacional! Nova inscrita. Bjs.,QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,33YaVPCybLogB0YGDoa-h2BlcsA,UgyxxJXmIOoNTsAtqvd4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6nAUVkj3sX8OgUR8nOvqMwVn-qo', 'id': 'UgyxxJXmIOoNTsAtqvd4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Meus queridos, sugiro que agreguem uma economista às conversas de vocês, para também termos uma voz feminina na luta anti-medievalista.', 'textOriginal': 'Meus queridos, sugiro que agreguem uma economista às conversas de vocês, para também termos uma voz feminina na luta anti-medievalista.', 'authorDisplayName': 'Mercante Mercante', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNVJeZQzhpnYfaZM1K5Hc-FNYnuam0WBzGeJOvXkXU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8NLO94WA4H_OaPVhHLXD9g', 'authorChannelId': {'value': 'UC8NLO94WA4H_OaPVhHLXD9g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-06T13:44:11Z', 'updatedAt': '2022-11-06T13:44:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8NLO94WA4H_OaPVhHLXD9g,2022-11-06T13:44:11Z,"Meus queridos, sugiro que agreguem uma economista às conversas de vocês, para também termos uma voz feminina na luta anti-medievalista.",QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
youtube#commentThread,SRPbJvFLaJMeGusljQkFd8rwSxU,UgwHog6DmHhsF6ko76t4AaABAg,"{'videoId': 'l0RtB_OqKzI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YCNETILiozzn81fduTnNnDJIomQ', 'id': 'UgwHog6DmHhsF6ko76t4AaABAg', 'snippet': {'videoId': 'l0RtB_OqKzI', 'textDisplay': 'Mil SALVES à Preto Zezé !!', 'textOriginal': 'Mil SALVES à Preto Zezé !!', 'authorDisplayName': 'Ana Helena do Nascimento', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNoHd7pmRIiHjF7xuCOQsLueR8LzB45o_nuOkb7rQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgtfck8Q3vfW8dWMbG4vNgA', 'authorChannelId': {'value': 'UCgtfck8Q3vfW8dWMbG4vNgA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-29T18:30:42Z', 'updatedAt': '2022-10-29T18:30:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgtfck8Q3vfW8dWMbG4vNgA,2022-10-29T18:30:42Z,Mil SALVES à Preto Zezé !!,QURTSl9pMXNPaldMTDNHNUc1ZGt1MTZLcUlsblJlUU1hOHgxaXdWbEFFOW1RZTZ5MzVGdy1ua2I1YWhNZ0ZNN01QdS1Zc2s0Y0d4WEowaw==,2023-06-07 23:38:18.986551
