kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,XXw_YDj_HaFhKJeaAK8H0zfL95c,UgzN6gDseoaas8vUerp4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ga5Mpbpux4P69TsjcI9-YSR4vro', 'id': 'UgzN6gDseoaas8vUerp4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Falou bem bemvindo siqueira, esse projeto de astronauta mentiroso. Como disse o Clodovil “VOCES BRASILEIROS ACREDITARAM QUE ESSE ASTRONAUTA FOI AO ESPAÇO ?”Ele foi de manhã de tarde ja estava aqui, só por DEUS ter que acreditar nesses vagabundos', 'textOriginal': 'Falou bem bemvindo siqueira, esse projeto de astronauta mentiroso. Como disse o Clodovil “VOCES BRASILEIROS ACREDITARAM QUE ESSE ASTRONAUTA FOI AO ESPAÇO ?”Ele foi de manhã de tarde ja estava aqui, só por DEUS ter que acreditar nesses vagabundos', 'authorDisplayName': 'Ildecyr Lage', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOLP0eabeLfq2rPLGHCvnS5VV4X9gwiTPKZ1A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCACgtGy7uphUaaw98dPpNGQ', 'authorChannelId': {'value': 'UCACgtGy7uphUaaw98dPpNGQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-06T11:56:51Z', 'updatedAt': '2023-02-06T11:56:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCACgtGy7uphUaaw98dPpNGQ,2023-02-06T11:56:51Z,"Falou bem bemvindo siqueira, esse projeto de astronauta mentiroso. Como disse o Clodovil “VOCES BRASILEIROS ACREDITARAM QUE ESSE ASTRONAUTA FOI AO ESPAÇO ?”Ele foi de manhã de tarde ja estava aqui, só por DEUS ter que acreditar nesses vagabundos",QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,TC85xnlCAsNn4xZsm6968DNyE5U,UgxNU3tBzEcfBEWf2hF4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NNmUjKvni4TD8nyPsj4bkLRIb9g', 'id': 'UgxNU3tBzEcfBEWf2hF4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Verdade eles que aguarda o juízo de Deus será tremendo 🙏', 'textOriginal': 'Verdade eles que aguarda o juízo de Deus será tremendo 🙏', 'authorDisplayName': 'Aparecida Liberato', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMIUaz_uMHLxEpA-xO5DOFc6LuJAXNlqrTkaA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMpJvUkA-KmQwJBRLq_ZYUg', 'authorChannelId': {'value': 'UCMpJvUkA-KmQwJBRLq_ZYUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-19T23:22:04Z', 'updatedAt': '2023-01-19T23:22:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCMpJvUkA-KmQwJBRLq_ZYUg,2023-01-19T23:22:04Z,Verdade eles que aguarda o juízo de Deus será tremendo 🙏,QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,J7bQgZEhaBVzlA5fvMTLL73tkvI,Ugxf2zZUnjBewtXrgNR4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3b_9J4tZU11CUhSYVDb4cRFttfI', 'id': 'Ugxf2zZUnjBewtXrgNR4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Esses pastor epocrita que vive usando da boa fé do povo brazileiro para fazerem suas riquezas e agora vem se engresa na política eles são mercenários da fé é muito difícil para nós que buscamos o evangelho', 'textOriginal': 'Esses pastor epocrita que vive usando da boa fé do povo brazileiro para fazerem suas riquezas e agora vem se engresa na política eles são mercenários da fé é muito difícil para nós que buscamos o evangelho', 'authorDisplayName': 'Cloves Lemos de Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN_cZ53BATbkfMbSnsPIIcKmqJx7RrryOxadLw6-NCR2DgIFWJs3yhjsZ9CRxgB=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwcqQ7TT0wARkhdsPfLnCPg', 'authorChannelId': {'value': 'UCwcqQ7TT0wARkhdsPfLnCPg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-18T20:30:24Z', 'updatedAt': '2023-01-18T20:30:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwcqQ7TT0wARkhdsPfLnCPg,2023-01-18T20:30:24Z,Esses pastor epocrita que vive usando da boa fé do povo brazileiro para fazerem suas riquezas e agora vem se engresa na política eles são mercenários da fé é muito difícil para nós que buscamos o evangelho,QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,r2V-Xs3J3e4A_AXTbB_FXvq3m7o,UgyNTARsGcq8QHfSPnN4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'y1zVCjFqxTPADSA49NNFaZ6w31g', 'id': 'UgyNTARsGcq8QHfSPnN4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'BEMVINDO SEQUEIRA VOCÊ É MARAVILHOSO!!! DESCULPE O TROCADILHO😂😂😂: VOCÊ É SEMPRE BEM VINDO!!!', 'textOriginal': 'BEMVINDO SEQUEIRA VOCÊ É MARAVILHOSO!!! DESCULPE O TROCADILHO😂😂😂: VOCÊ É SEMPRE BEM VINDO!!!', 'authorDisplayName': 'Lóres Jacinto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNuaOPV0UIHkUTKkMnYRJZq4Rsf2bc0U9vX7Uy8Gg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCthehKTMHBIolAC4sXSNFzQ', 'authorChannelId': {'value': 'UCthehKTMHBIolAC4sXSNFzQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-18T16:15:41Z', 'updatedAt': '2022-11-18T16:15:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCthehKTMHBIolAC4sXSNFzQ,2022-11-18T16:15:41Z,BEMVINDO SEQUEIRA VOCÊ É MARAVILHOSO!!! DESCULPE O TROCADILHO😂😂😂: VOCÊ É SEMPRE BEM VINDO!!!,QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,TCzFfLRuk1TFRbJM98lhsZjZAOE,UgzK3189IlGfOooNRsB4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zQuCHdWtVC9JahcoXa_2z1lxUBQ', 'id': 'UgzK3189IlGfOooNRsB4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': '# Essa maldita Boiada Cristã católicos e protestantes.... Através do voto... conseguiram destruí o Brasil...# Maldito Cristianismo EU digo NÃO', 'textOriginal': '# Essa maldita Boiada Cristã católicos e protestantes.... Através do voto... conseguiram destruí o Brasil...# Maldito Cristianismo EU digo NÃO', 'authorDisplayName': 'SIMONE KRISTINA NUNES', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNv3aC7PTvGp98LM33ev808yZEpcFxASOBGTA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXQLg97FG76_ggEjPjUG6hg', 'authorChannelId': {'value': 'UCXQLg97FG76_ggEjPjUG6hg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-16T20:04:03Z', 'updatedAt': '2022-11-16T20:04:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXQLg97FG76_ggEjPjUG6hg,2022-11-16T20:04:03Z,# Essa maldita Boiada Cristã católicos e protestantes.... Através do voto... conseguiram destruí o Brasil...# Maldito Cristianismo EU digo NÃO,QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,IMdSn6YuWvNyYuxIudY7Jnttfs4,UgxSf9k6c_eoJzVTx7p4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bzFSyiZ8PLZJ3fXsevKdPDbJPRE', 'id': 'UgxSf9k6c_eoJzVTx7p4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Tô passando aqui pra ver todo mundo se lascando com lula que nem assumiu ainda e já tá ferrando tudo kkkkkk cristão que vota em lula é do satanás sim e ponto final ,não ao aborto , não ao socialismo, esse rapaz não entende nada sobre a fé, nem nascido de Deus tu és !', 'textOriginal': 'Tô passando aqui pra ver todo mundo se lascando com lula que nem assumiu ainda e já tá ferrando tudo kkkkkk cristão que vota em lula é do satanás sim e ponto final ,não ao aborto , não ao socialismo, esse rapaz não entende nada sobre a fé, nem nascido de Deus tu és !', 'authorDisplayName': 'Google Google', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOCmbhnz2Q0MBY7nMKJAuS7uR4vTREpNlEnZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZM33-g2cJ_FDVW9Ja9-IBQ', 'authorChannelId': {'value': 'UCZM33-g2cJ_FDVW9Ja9-IBQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-14T15:50:39Z', 'updatedAt': '2022-11-14T15:50:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZM33-g2cJ_FDVW9Ja9-IBQ,2022-11-14T15:50:39Z,"Tô passando aqui pra ver todo mundo se lascando com lula que nem assumiu ainda e já tá ferrando tudo kkkkkk cristão que vota em lula é do satanás sim e ponto final ,não ao aborto , não ao socialismo, esse rapaz não entende nada sobre a fé, nem nascido de Deus tu és !",QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,EGVtqRfYy6JiNuclRZd4kGkvBqY,UgziuZ2BOFPRUrXXyFt4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BaRb8sEUhk9_PXu0Jihp0f6tJMw', 'id': 'UgziuZ2BOFPRUrXXyFt4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Atualmente são poucos religiosos que seguem<br>um aí se diz católico na  <br>campanha política abertamente um puta<br>canalha OK.', 'textOriginal': 'Atualmente são poucos religiosos que seguem\\num aí se diz católico na  \\ncampanha política abertamente um puta\\ncanalha OK.', 'authorDisplayName': 'Jose Alves barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOfS1HAs020SO6mzO2P-gF7_3PcqzfvirOFLDpg7rCtkFgiN6TMO8Pu-xqCWt_n=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChrjY_p4CQ9hVyk9jfeIYtA', 'authorChannelId': {'value': 'UChrjY_p4CQ9hVyk9jfeIYtA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T21:26:57Z', 'updatedAt': '2022-11-11T21:26:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChrjY_p4CQ9hVyk9jfeIYtA,2022-11-11T21:26:57Z,"Atualmente são poucos religiosos que seguem
um aí se diz católico na  
campanha política abertamente um puta
canalha OK.",QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,MumOOfzczxjBJVFThjmQeMlk0WM,UgyoNmsteJ-qEgV7B7N4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4VftnvSEiaMw7DycQlHMnmxIOdU', 'id': 'UgyoNmsteJ-qEgV7B7N4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Vc anda muito linguarudo, não se esqueça que quem colocava o líder,ou o governante ,era primeiro ,o sacerdote , aconteceu com Sauú,depois foi trocado pelo sacerdote por Davi,e susseci amente... então o religioso tem o direito hoje de discutir política sim,, Há um versículo bíblico muito importante,&quot;,Horai,pelas autoridades,&quot;então ,podemos sim de iscutir política,sseu ignorante,, Só não sou à favor da baderna ,e desrespeito com , democracia,se Lula venceu Que O nosso bom Deus o abençoe,e vida que segue ,o ser humano ganhou sua carta de alforria após Jesus Cristo , então quem és tú pra julgar alguém,', 'textOriginal': 'Vc anda muito linguarudo, não se esqueça que quem colocava o líder,ou o governante ,era primeiro ,o sacerdote , aconteceu com Sauú,depois foi trocado pelo sacerdote por Davi,e susseci amente... então o religioso tem o direito hoje de discutir política sim,, Há um versículo bíblico muito importante,"",Horai,pelas autoridades,""então ,podemos sim de iscutir política,sseu ignorante,, Só não sou à favor da baderna ,e desrespeito com , democracia,se Lula venceu Que O nosso bom Deus o abençoe,e vida que segue ,o ser humano ganhou sua carta de alforria após Jesus Cristo , então quem és tú pra julgar alguém,', 'authorDisplayName': 'Silvia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/IDMWT8X9sFrEL0Xgo5dhWdfiabHP0kmKfRs6jY_ecykt_sqaNCOkVQNHrFoIS5bagS_OgwUgJmw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjDYVvlxX49kt3FugaBAM7g', 'authorChannelId': {'value': 'UCjDYVvlxX49kt3FugaBAM7g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-10T18:55:51Z', 'updatedAt': '2022-11-10T18:55:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjDYVvlxX49kt3FugaBAM7g,2022-11-10T18:55:51Z,"Vc anda muito linguarudo, não se esqueça que quem colocava o líder,ou o governante ,era primeiro ,o sacerdote , aconteceu com Sauú,depois foi trocado pelo sacerdote por Davi,e susseci amente... então o religioso tem o direito hoje de discutir política sim,, Há um versículo bíblico muito importante,"",Horai,pelas autoridades,""então ,podemos sim de iscutir política,sseu ignorante,, Só não sou à favor da baderna ,e desrespeito com , democracia,se Lula venceu Que O nosso bom Deus o abençoe,e vida que segue ,o ser humano ganhou sua carta de alforria após Jesus Cristo , então quem és tú pra julgar alguém,",QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,aCsKQlCBISE0ESLeShSqkmsE8Tw,UgxLkY_fKHn86NKNWXt4AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '71Sdr4dWIUGUjkTBx6ndt7DO3ng', 'id': 'UgxLkY_fKHn86NKNWXt4AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'politico sempre esteve dentro igreja cristão sempre apoio politica so nao sei porque tanto aue nessa eleição', 'textOriginal': 'politico sempre esteve dentro igreja cristão sempre apoio politica so nao sei porque tanto aue nessa eleição', 'authorDisplayName': 'Ivonete Correa gomes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN1lULxuZk0I_KL27fjWlmd-vmbNntmHB-KmbCRc8D2Xy3--jUtJLeo4v1YisG2=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0X-FutCIqx2uiGIZScwzrQ', 'authorChannelId': {'value': 'UC0X-FutCIqx2uiGIZScwzrQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-09T21:30:27Z', 'updatedAt': '2022-11-09T21:30:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0X-FutCIqx2uiGIZScwzrQ,2022-11-09T21:30:27Z,politico sempre esteve dentro igreja cristão sempre apoio politica so nao sei porque tanto aue nessa eleição,QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
youtube#commentThread,_HiQshYdU4aTLBBH3o65Z0JldW4,UgxR8S4K8eP0szFdLH54AaABAg,"{'videoId': 'oF15fd7USNc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4wQPD3OXTInbkS-12XrC7x1rGVg', 'id': 'UgxR8S4K8eP0szFdLH54AaABAg', 'snippet': {'videoId': 'oF15fd7USNc', 'textDisplay': 'Sou evangélica concordo plenamente!', 'textOriginal': 'Sou evangélica concordo plenamente!', 'authorDisplayName': 'Maria Tereza de jesus', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMmhS_K7A7tVDkDGGvphWQItPyeKuulYr2FOjBp1s-_PiyKvjiePWVNPYfB_gcV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2o06HWWuYhe-Y3DpReczaQ', 'authorChannelId': {'value': 'UC2o06HWWuYhe-Y3DpReczaQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-09T20:05:59Z', 'updatedAt': '2022-11-09T20:05:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2o06HWWuYhe-Y3DpReczaQ,2022-11-09T20:05:59Z,Sou evangélica concordo plenamente!,QURTSl9pM3RGcklkS1F4UlVvZlJBd3J1cHRYeWRyb2VEeW16NFNQYllra0lrM0NFYnlRdjBLN2o0OFpTMjJ2cllsRGhxMWN0ZFRuTGRHbw==,2023-06-08 00:04:29.723473
