kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,WvgLlTb7BrvkkfZ1Pqjh96sLvlk,UgyjECYTqJGVd2Ass8J4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pFA5pZd7OKUnOrRLU51qGTB1d1A', 'id': 'UgyjECYTqJGVd2Ass8J4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Amigas, amigos\\r<br>\\r<br>Para os que quiserem ajudar esse canal a seguir e crescer ainda mais, pedimos a colaboração mensal no endereço <a href=""https://www.catarse.me/bobfernandes"">https://www.catarse.me/bobfernandes\\r</a><br>\\r<br>As assinaturas começam com 20 reais, mas é possível apoiar com menos, com qualquer quantia. Basta escolher a opção &quot;apoiar sem recompensa&quot; no endereço <a href=""https://www.catarse.me/projects/97580/subscriptions/start"">https://www.catarse.me/projects/97580/subscriptions/start\\r</a><br>\\r<br>A chamada &quot;recompensa&quot; é receber em primeira mão, via email, os vídeos publicados no canal, o texto dos comentários semanais e a participação na Live Chat exclusiva uma vez por mês.', 'textOriginal': 'Amigas, amigos\\r\\n\\r\\nPara os que quiserem ajudar esse canal a seguir e crescer ainda mais, pedimos a colaboração mensal no endereço https://www.catarse.me/bobfernandes\\r\\n\\r\\nAs assinaturas começam com 20 reais, mas é possível apoiar com menos, com qualquer quantia. Basta escolher a opção ""apoiar sem recompensa"" no endereço https://www.catarse.me/projects/97580/subscriptions/start\\r\\n\\r\\nA chamada ""recompensa"" é receber em primeira mão, via email, os vídeos publicados no canal, o texto dos comentários semanais e a participação na Live Chat exclusiva uma vez por mês.', 'authorDisplayName': 'Bob Fernandes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMhrBxHbF-XACdWqXsa7nLdkTgZmBCYNk2qEox4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ', 'authorChannelId': {'value': 'UCfpLDZ2PrbFnNrIzRHiU8ZQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 32, 'publishedAt': '2022-10-29T14:33:31Z', 'updatedAt': '2022-10-29T14:33:31Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '57qrnZCfv5mSOJ0s35YEgdVeWLw', 'id': 'UgyjECYTqJGVd2Ass8J4AaABAg.9hlmIRTkuXi9k49APEuNQr', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Y', 'textOriginal': 'Y', 'parentId': 'UgyjECYTqJGVd2Ass8J4AaABAg', 'authorDisplayName': 'Rita Maria Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNZd7Y5DNlicI0MB-es9AXgPIzlyJ5h7Pjrpop-x08=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUk-Np1n33OgTdAgE5KBcJQ', 'authorChannelId': {'value': 'UCUk-Np1n33OgTdAgE5KBcJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-25T20:10:30Z', 'updatedAt': '2022-12-25T20:10:30Z'}}]}",UCfpLDZ2PrbFnNrIzRHiU8ZQ,2022-10-29T14:33:31Z,"Amigas, amigos

Para os que quiserem ajudar esse canal a seguir e crescer ainda mais, pedimos a colaboração mensal no endereço https://www.catarse.me/bobfernandes

As assinaturas começam com 20 reais, mas é possível apoiar com menos, com qualquer quantia. Basta escolher a opção ""apoiar sem recompensa"" no endereço https://www.catarse.me/projects/97580/subscriptions/start

A chamada ""recompensa"" é receber em primeira mão, via email, os vídeos publicados no canal, o texto dos comentários semanais e a participação na Live Chat exclusiva uma vez por mês.",QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,X4CCnymNF20Q-h91c1MuMX9oKN8,UgyOOZj7WEyX9ZqXnCl4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pgCYgepJ4Vd-NUG5HIIMXwP-9mw', 'id': 'UgyOOZj7WEyX9ZqXnCl4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Que entrevista maneira!<br>Excelentes, o Bob e o Casagrande!', 'textOriginal': 'Que entrevista maneira!\\nExcelentes, o Bob e o Casagrande!', 'authorDisplayName': 'Luciano Freitas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO9QPeRwC2_-vx2ItWCgSfpYOTxz2xjaHQE7sF2cQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZ1sbeUK_JARJB0WXVZm0uQ', 'authorChannelId': {'value': 'UCZ1sbeUK_JARJB0WXVZm0uQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-01-28T01:10:25Z', 'updatedAt': '2023-01-28T01:11:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZ1sbeUK_JARJB0WXVZm0uQ,2023-01-28T01:10:25Z,"Que entrevista maneira!
Excelentes, o Bob e o Casagrande!",QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,PQZEzumEyIfPgNkLqGV_yk-Nz5g,UgwtqtPM4-DWIlnEelh4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SBvbXSma6TKCKEG7OBUKomurgnM', 'id': 'UgwtqtPM4-DWIlnEelh4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Muito bonito seu trabalho Casão!  Parabéns 👏👏👏', 'textOriginal': 'Muito bonito seu trabalho Casão!  Parabéns 👏👏👏', 'authorDisplayName': 'Marilda Ed.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN0rwX0qjw2JmYkLIqVQNloR0OqPajBaP5Mwdic=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwe84adTz8iFn8ziWzTe8lg', 'authorChannelId': {'value': 'UCwe84adTz8iFn8ziWzTe8lg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-17T02:59:50Z', 'updatedAt': '2023-01-17T02:59:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwe84adTz8iFn8ziWzTe8lg,2023-01-17T02:59:50Z,Muito bonito seu trabalho Casão!  Parabéns 👏👏👏,QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,7RBGPuK4Kbd1dHF21ZxdXDw9W1g,Ugy-Q9VGqYzergFLs_x4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'RMOLShXOPDzUwwHtfQo25OHeugc', 'id': 'Ugy-Q9VGqYzergFLs_x4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Grande Casão! Sou sua fã!', 'textOriginal': 'Grande Casão! Sou sua fã!', 'authorDisplayName': 'Marilda Ed.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN0rwX0qjw2JmYkLIqVQNloR0OqPajBaP5Mwdic=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwe84adTz8iFn8ziWzTe8lg', 'authorChannelId': {'value': 'UCwe84adTz8iFn8ziWzTe8lg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-17T02:14:15Z', 'updatedAt': '2023-01-17T02:14:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwe84adTz8iFn8ziWzTe8lg,2023-01-17T02:14:15Z,Grande Casão! Sou sua fã!,QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,xV8mpsZnYc6tZX95epTR4j6KH7s,UgzBtOMmAAnUtI1xQGd4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OaT4rabOlPyDWkP-0nQF5STsSMY', 'id': 'UgzBtOMmAAnUtI1xQGd4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Grande bate bola.', 'textOriginal': 'Grande bate bola.', 'authorDisplayName': 'Rosangela Favilli', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMx9hXFmMX3QQXRIVtyOlKapytl7srCS1Hg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCrBgQ6hsfJWcUZKjnMVntBA', 'authorChannelId': {'value': 'UCrBgQ6hsfJWcUZKjnMVntBA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-02T12:27:07Z', 'updatedAt': '2023-01-02T12:27:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCrBgQ6hsfJWcUZKjnMVntBA,2023-01-02T12:27:07Z,Grande bate bola.,QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,tQji9sar_2M1YZzAi1m0_ECAcxU,UgwCh_KLiMY1uU29hxx4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JgDFUX1VNdL_nq6en9uIEfkQce8', 'id': 'UgwCh_KLiMY1uU29hxx4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'CAsa grande vc é fod*!!!&lt;3!!!', 'textOriginal': 'CAsa grande vc é fod*!!!<3!!!', 'authorDisplayName': 'mhopimentel', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNBw06EXmDCmNJS9Nu_5OV15zGZWWFe-BKLqlYakg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkFW4wiDS7kH2TE-Y9cgd3g', 'authorChannelId': {'value': 'UCkFW4wiDS7kH2TE-Y9cgd3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-01T15:06:38Z', 'updatedAt': '2023-01-01T15:06:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkFW4wiDS7kH2TE-Y9cgd3g,2023-01-01T15:06:38Z,CAsa grande vc é fod*!!!<3!!!,QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,CzewKRtGRt2_bg3s6mxnQy3jHzs,UgzSVRW50ZzLrKrQwex4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZIEFBm217U1RbZ0P8IwCyDTEcZI', 'id': 'UgzSVRW50ZzLrKrQwex4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Entrevista maravilhosa!', 'textOriginal': 'Entrevista maravilhosa!', 'authorDisplayName': 'Ana Galdino', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOgL1FMnGjMeo5HAUR3RaPa946W-1Yhj2YkG66YEiA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkskv10D50xJxMIcGcBZd-A', 'authorChannelId': {'value': 'UCkskv10D50xJxMIcGcBZd-A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-24T21:51:31Z', 'updatedAt': '2022-12-24T21:51:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkskv10D50xJxMIcGcBZd-A,2022-12-24T21:51:31Z,Entrevista maravilhosa!,QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,itox7oB5De2S_dxxp_VZsimLr-4,Ugxa6z09tOoWMeyopl94AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mQO-no81_elsqyswB55DXlYVhrQ', 'id': 'Ugxa6z09tOoWMeyopl94AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Também não gosto do Robinho.<br>Cometeu um crime.<br>Deveria estar preso.', 'textOriginal': 'Também não gosto do Robinho.\\nCometeu um crime.\\nDeveria estar preso.', 'authorDisplayName': 'Maria Jose Carvalho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNJT63JDc4Dn5xxcIEHYENWy-_sDYz66YkToQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSqQ9-YHGY1DmQODbIo7EJg', 'authorChannelId': {'value': 'UCSqQ9-YHGY1DmQODbIo7EJg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-24T18:25:17Z', 'updatedAt': '2022-12-24T18:25:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCSqQ9-YHGY1DmQODbIo7EJg,2022-12-24T18:25:17Z,"Também não gosto do Robinho.
Cometeu um crime.
Deveria estar preso.",QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,9VpCz0Q8yU5m2Rq9h9UsVVES-_w,Ugy2M7M9PWIMvaJ-pAx4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SgB-15JG9qJfLuqLfF1dmG3yoaE', 'id': 'Ugy2M7M9PWIMvaJ-pAx4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Tá pra cobrar sim, ele é negro e não faz nada para o preconceito do negro.', 'textOriginal': 'Tá pra cobrar sim, ele é negro e não faz nada para o preconceito do negro.', 'authorDisplayName': 'Maria Jose Carvalho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNJT63JDc4Dn5xxcIEHYENWy-_sDYz66YkToQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSqQ9-YHGY1DmQODbIo7EJg', 'authorChannelId': {'value': 'UCSqQ9-YHGY1DmQODbIo7EJg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-24T18:24:20Z', 'updatedAt': '2022-12-24T18:24:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCSqQ9-YHGY1DmQODbIo7EJg,2022-12-24T18:24:20Z,"Tá pra cobrar sim, ele é negro e não faz nada para o preconceito do negro.",QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
youtube#commentThread,bG6_cDYyWbTPwVRXWSYcZORofW8,UgyDXJQEP7hdLckd0Ft4AaABAg,"{'videoId': 'dtu47JTs6mg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UiSKnNZOlEEuo225zxE8APXqf8w', 'id': 'UgyDXJQEP7hdLckd0Ft4AaABAg', 'snippet': {'videoId': 'dtu47JTs6mg', 'textDisplay': 'Prefiro Maradona ao Pelé. <br>Não gosto da personalidade dele!!!', 'textOriginal': 'Prefiro Maradona ao Pelé. \\nNão gosto da personalidade dele!!!', 'authorDisplayName': 'Maria Jose Carvalho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNJT63JDc4Dn5xxcIEHYENWy-_sDYz66YkToQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSqQ9-YHGY1DmQODbIo7EJg', 'authorChannelId': {'value': 'UCSqQ9-YHGY1DmQODbIo7EJg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-24T18:22:54Z', 'updatedAt': '2022-12-24T18:22:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCSqQ9-YHGY1DmQODbIo7EJg,2022-12-24T18:22:54Z,"Prefiro Maradona ao Pelé. 
Não gosto da personalidade dele!!!",QURTSl9pMXY5RC1HdzFGTE9UeW5Ma0dmcUducUhnN1JXRm9MZldHamlZLXlqWXV0VkVCNUxielAtVGNCVUJ1WlZIVGMtTDRzVVZJYVRVaU1nb2tOWGhZcUVpYzZuMmtR,2023-06-08 00:10:17.428373
