kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,4C65iDivymRL-nw5J0hZ7Q5hq2A,UgxqyGM9SXtf2sT2nHV4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9cKvSoF_GyMJCL27yZ8NuxYvmLE', 'id': 'UgxqyGM9SXtf2sT2nHV4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Assine a Brasil Paralelo: <a href=""https://sitebp.la/3gH5uRs"">https://sitebp.la/3gH5uRs</a>', 'textOriginal': 'Assine a Brasil Paralelo: https://sitebp.la/3gH5uRs', 'authorDisplayName': 'Brasil Paralelo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/bfo3JYgwO_BZzCfyy3lRz5hmAVn2uqR7ol0hBujyAcymFQTk1yJtg0NbeMDWa8dafxK8TS5qf1Y=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKDjjeeBmdaiicey2nImISw', 'authorChannelId': {'value': 'UCKDjjeeBmdaiicey2nImISw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 8, 'publishedAt': '2022-10-25T22:03:39Z', 'updatedAt': '2022-10-25T22:03:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKDjjeeBmdaiicey2nImISw,2022-10-25T22:03:39Z,Assine a Brasil Paralelo: https://sitebp.la/3gH5uRs,,2023-06-08 01:23:05.408236
youtube#commentThread,NR4ET_ifIEAiUYO_5b5fs4dXU2Q,UgySDh5fJgZbPoX-j8N4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2LCEfgNvpHY4Gk7DnWoKDIT5slg', 'id': 'UgySDh5fJgZbPoX-j8N4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Programa maravilhoso, parabéns 🌻🌷☘️', 'textOriginal': 'Programa maravilhoso, parabéns 🌻🌷☘️', 'authorDisplayName': 'Dilma', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM2Dc-1wEnnex4o6g21f0PKg-fq8g1HTTqf--GVdxE=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCziWOb1OcWIUSGHGyyLyxGw', 'authorChannelId': {'value': 'UCziWOb1OcWIUSGHGyyLyxGw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T02:30:09Z', 'updatedAt': '2022-10-27T02:30:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCziWOb1OcWIUSGHGyyLyxGw,2022-10-27T02:30:09Z,"Programa maravilhoso, parabéns 🌻🌷☘️",,2023-06-08 01:23:05.408236
youtube#commentThread,fyz8on5pjFBXOVd1AzhsDrWo3eA,Ugy3Z-5eD5g0hV1waEl4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '22oHMcDcN9fJPj17_3ccYnMGYiU', 'id': 'Ugy3Z-5eD5g0hV1waEl4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Sou mulher autista nivel 1 de suporte e é super dificil o reconhecimento para o diagnóstico devido a mascara que aprendemos durante toda uma vida.', 'textOriginal': 'Sou mulher autista nivel 1 de suporte e é super dificil o reconhecimento para o diagnóstico devido a mascara que aprendemos durante toda uma vida.', 'authorDisplayName': 'Gessica Peres', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNWRw5R6eQzcgQ23GvD0in4tCxw3wr2AvKZkKQZNg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEtFH96dtlEXHerFhxCs1pw', 'authorChannelId': {'value': 'UCEtFH96dtlEXHerFhxCs1pw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-10-27T00:09:49Z', 'updatedAt': '2022-10-27T00:09:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEtFH96dtlEXHerFhxCs1pw,2022-10-27T00:09:49Z,Sou mulher autista nivel 1 de suporte e é super dificil o reconhecimento para o diagnóstico devido a mascara que aprendemos durante toda uma vida.,,2023-06-08 01:23:05.408236
youtube#commentThread,e80Q6kovtrYnRARy8nrNhjkGJrA,UgwK2n6eYOV65DTgTZt4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8m_zdZogzZdTsu-ZaLhUqxIDs3E', 'id': 'UgwK2n6eYOV65DTgTZt4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'excelente.', 'textOriginal': 'excelente.', 'authorDisplayName': 'Sergio Ferreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMZxm6Ho59qcmlEzgl22wQ9B2H41ICmJzNW-EXYcrQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8Md2ixt77NCCefCqFSUKjg', 'authorChannelId': {'value': 'UC8Md2ixt77NCCefCqFSUKjg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T14:11:05Z', 'updatedAt': '2022-10-26T14:11:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8Md2ixt77NCCefCqFSUKjg,2022-10-26T14:11:05Z,excelente.,,2023-06-08 01:23:05.408236
youtube#commentThread,1ww5DT1GcrKhzMXSxAMbXCCPTr8,Ugxc_-h7F8RvTrpRQ5J4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'belaxk3_8G4g594gmz9quon8omc', 'id': 'Ugxc_-h7F8RvTrpRQ5J4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Muito interessante trazer sobre estes níveis. O sobrinho de uma amiga minha acabou desenvolvendo o autismo entre três, quatro ou cinco anos. Eu não me lembro bem com quantos anos ele tinha naquela época. Mas começaram a perceber depois que ele estava com uma certa idade pequena ainda. E é muito bom saber que talvez ele tinha um nível baixo e não notaram. Pelo visto só se notou depois que aumentou um pouco!!! Muito interessante!!! Demais!!! 🙂😊😉👍🏻', 'textOriginal': 'Muito interessante trazer sobre estes níveis. O sobrinho de uma amiga minha acabou desenvolvendo o autismo entre três, quatro ou cinco anos. Eu não me lembro bem com quantos anos ele tinha naquela época. Mas começaram a perceber depois que ele estava com uma certa idade pequena ainda. E é muito bom saber que talvez ele tinha um nível baixo e não notaram. Pelo visto só se notou depois que aumentou um pouco!!! Muito interessante!!! Demais!!! 🙂😊😉👍🏻', 'authorDisplayName': 'Metaphrastes - Alessandro Berto Pereira da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNycE68RgZ_Su97bFDVTNK-6gHynyPEv1smm_BV8A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4OWelSsBuE3n1eNfFJeZhA', 'authorChannelId': {'value': 'UC4OWelSsBuE3n1eNfFJeZhA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T13:26:37Z', 'updatedAt': '2022-10-26T13:26:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4OWelSsBuE3n1eNfFJeZhA,2022-10-26T13:26:37Z,"Muito interessante trazer sobre estes níveis. O sobrinho de uma amiga minha acabou desenvolvendo o autismo entre três, quatro ou cinco anos. Eu não me lembro bem com quantos anos ele tinha naquela época. Mas começaram a perceber depois que ele estava com uma certa idade pequena ainda. E é muito bom saber que talvez ele tinha um nível baixo e não notaram. Pelo visto só se notou depois que aumentou um pouco!!! Muito interessante!!! Demais!!! 🙂😊😉👍🏻",,2023-06-08 01:23:05.408236
youtube#commentThread,D4c813sPYiJYT-tzA14MuV13hXE,Ugw53fDTJWQp3CYWtJh4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0-9g1134BvZe1V20xwjlMLfXyrA', 'id': 'Ugw53fDTJWQp3CYWtJh4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Os esquerdopatas servem ao demônio.👹Mentem, roubam, e matam pelo partido, por poder e por dinheiro, e tem trouxa que apoia as ideologias esquerdopatas a inveja e a hipocrisia, e desconhece o lado negro do socialismo/comunismo/marxismo e teologia da libertação.👍', 'textOriginal': 'Os esquerdopatas servem ao demônio.👹Mentem, roubam, e matam pelo partido, por poder e por dinheiro, e tem trouxa que apoia as ideologias esquerdopatas a inveja e a hipocrisia, e desconhece o lado negro do socialismo/comunismo/marxismo e teologia da libertação.👍', 'authorDisplayName': 'Edson Almeida De Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMrniH2EJL70JJoCbJybvUgOW-SY0PqoxU_9JvM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcD8gw000wkP7ndmWAq5HLg', 'authorChannelId': {'value': 'UCcD8gw000wkP7ndmWAq5HLg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T10:29:01Z', 'updatedAt': '2022-10-26T10:29:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcD8gw000wkP7ndmWAq5HLg,2022-10-26T10:29:01Z,"Os esquerdopatas servem ao demônio.👹Mentem, roubam, e matam pelo partido, por poder e por dinheiro, e tem trouxa que apoia as ideologias esquerdopatas a inveja e a hipocrisia, e desconhece o lado negro do socialismo/comunismo/marxismo e teologia da libertação.👍",,2023-06-08 01:23:05.408236
youtube#commentThread,E_D9KMwAF3aVZCVhclY2ffRfG_M,UgxtZqoBgsOLNJFsKEJ4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xmpl4pLH7X2qn05sYJD-3lGb92M', 'id': 'UgxtZqoBgsOLNJFsKEJ4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': '<a href=""https://www.youtube.com/watch?v=gefgMlTpzGU&amp;t=8m20s"">8:20</a> ele falou que a crianaça tem interesses &quot;muitos restritos&quot;. Caramba !!! O certo seria &quot;muito restritos&quot;.  Assim não dá !!!!!!!!!!!!!!!', 'textOriginal': '8:20 ele falou que a crianaça tem interesses ""muitos restritos"". Caramba !!! O certo seria ""muito restritos"".  Assim não dá !!!!!!!!!!!!!!!', 'authorDisplayName': 'Christomb Charcot', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO8ZeUvAADvnlMvjnSlSeaPTCcoBphV33amy7HO=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjxzO0uOqlMxeswLgsrVKow', 'authorChannelId': {'value': 'UCjxzO0uOqlMxeswLgsrVKow'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T09:09:51Z', 'updatedAt': '2022-10-26T09:09:51Z'}}, 'canReply': True, 'totalReplyCount': 4, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'QlGchnVLv_vApVxO2e5T1419GO8', 'id': 'UgxtZqoBgsOLNJFsKEJ4AaABAg.9hdTs6hrewX9i3AYfW5uwA', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': '@Nícolas Coelho quanto tempo não vejo alguém falar essa palavra.', 'textOriginal': '@Nícolas Coelho quanto tempo não vejo alguém falar essa palavra.', 'parentId': 'UgxtZqoBgsOLNJFsKEJ4AaABAg', 'authorDisplayName': 'KAUÃ FERREIRA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOHxjjleyGER7OiRMTi84WhGQbrK_sz-ge42BF1=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZsgyPhrkGMd5KQEMnOHK0w', 'authorChannelId': {'value': 'UCZsgyPhrkGMd5KQEMnOHK0w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-05T18:00:31Z', 'updatedAt': '2022-11-05T18:00:31Z'}}, {'kind': 'youtube#comment', 'etag': 'OpXhi_JrzzpRZhwxW8i7q7IR55s', 'id': 'UgxtZqoBgsOLNJFsKEJ4AaABAg.9hdTs6hrewX9herIu8w3zr', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'tcholinha', 'textOriginal': 'tcholinha', 'parentId': 'UgxtZqoBgsOLNJFsKEJ4AaABAg', 'authorDisplayName': 'Nícolas Coelho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP0B2uSUfoaVmCYyssvIKnjU4m6V5Q-ztTyL3wE=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3dwXCsMDW1p3yQF8SZRaJg', 'authorChannelId': {'value': 'UC3dwXCsMDW1p3yQF8SZRaJg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T22:02:36Z', 'updatedAt': '2022-10-26T22:02:36Z'}}, {'kind': 'youtube#comment', 'etag': 'tVv6o3qX7Coy8K8BUTj1FKrcKR0', 'id': 'UgxtZqoBgsOLNJFsKEJ4AaABAg.9hdTs6hrewX9heGbYkwJ_s', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': '@Jorge Levi Você, seu pai e sua mãe.', 'textOriginal': '@Jorge Levi Você, seu pai e sua mãe.', 'parentId': 'UgxtZqoBgsOLNJFsKEJ4AaABAg', 'authorDisplayName': 'Christomb Charcot', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO8ZeUvAADvnlMvjnSlSeaPTCcoBphV33amy7HO=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjxzO0uOqlMxeswLgsrVKow', 'authorChannelId': {'value': 'UCjxzO0uOqlMxeswLgsrVKow'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T16:33:14Z', 'updatedAt': '2022-10-26T16:33:14Z'}}, {'kind': 'youtube#comment', 'etag': 'VGPrzPnBVUZlA9Oba1izmF4SI68', 'id': 'UgxtZqoBgsOLNJFsKEJ4AaABAg.9hdTs6hrewX9hdvYxjbgDq', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'vc tem toc oral.', 'textOriginal': 'vc tem toc oral.', 'parentId': 'UgxtZqoBgsOLNJFsKEJ4AaABAg', 'authorDisplayName': 'Jorge Levi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/kzvNJzn3y6dNhRkXi3rcIZ5oA9WDKk_7Dc-giS8Bs-7OY6pDQFHFKWaM8h1VRIzHtka7UltU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcmPKM0c49IQHnM-DSYNxDQ', 'authorChannelId': {'value': 'UCcmPKM0c49IQHnM-DSYNxDQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T13:20:30Z', 'updatedAt': '2022-10-26T13:20:30Z'}}]}",UCjxzO0uOqlMxeswLgsrVKow,2022-10-26T09:09:51Z,"8:20 ele falou que a crianaça tem interesses ""muitos restritos"". Caramba !!! O certo seria ""muito restritos"".  Assim não dá !!!!!!!!!!!!!!!",,2023-06-08 01:23:05.408236
youtube#commentThread,MoXRPlulAdZmyPl4ZjfnlXbdbuk,UgyGXAFg_rAIeMQljWx4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xNj5AuBn310EgsY4JhMM6CXvnPY', 'id': 'UgyGXAFg_rAIeMQljWx4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Uma mulher com TPM já é difícil de entender, imagina com autismo.', 'textOriginal': 'Uma mulher com TPM já é difícil de entender, imagina com autismo.', 'authorDisplayName': 'Washington Quadros', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMp5hS32T3WARiO2dKnOhCeh9Kugf27B41Z0A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC937B_06RhK1zNB2tmSUXTw', 'authorChannelId': {'value': 'UC937B_06RhK1zNB2tmSUXTw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 4, 'publishedAt': '2022-10-26T08:46:36Z', 'updatedAt': '2022-10-26T08:46:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC937B_06RhK1zNB2tmSUXTw,2022-10-26T08:46:36Z,"Uma mulher com TPM já é difícil de entender, imagina com autismo.",,2023-06-08 01:23:05.408236
youtube#commentThread,cnb6z051uuyQsxpZFopPxGFkhDc,Ugzw_8qscVGfwnrlO-l4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'yVH8zSBOQ1_BHcdcE51RkLsmU1E', 'id': 'Ugzw_8qscVGfwnrlO-l4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Parabéns Brasil Paralelo excelente entrevista', 'textOriginal': 'Parabéns Brasil Paralelo excelente entrevista', 'authorDisplayName': 'Elivan Pereira mendes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN0MMqVzM7XwSM2c0J552RkE5LOabOtCfuLyw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCx2oFHaCw6s_Q7YSlj4uYsw', 'authorChannelId': {'value': 'UCx2oFHaCw6s_Q7YSlj4uYsw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-26T08:40:50Z', 'updatedAt': '2022-10-26T08:40:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCx2oFHaCw6s_Q7YSlj4uYsw,2022-10-26T08:40:50Z,Parabéns Brasil Paralelo excelente entrevista,,2023-06-08 01:23:05.408236
youtube#commentThread,F-Gw7gSdkc4EP6mvQChcqoq53sQ,UgzDQFmoJjIpTJsO5kV4AaABAg,"{'videoId': 'gefgMlTpzGU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ryNG4-kYxI49av4J4XjyaEVsF3c', 'id': 'UgzDQFmoJjIpTJsO5kV4AaABAg', 'snippet': {'videoId': 'gefgMlTpzGU', 'textDisplay': 'Segundo os “especialistas “ eu sou mega autista. Minha opinião, com lugar de fala, uma bobagem danada. Estão confundindo personalidade com autismo e vontade de ganhar dinheiro vendendo soluções e terapias. Modinha e bobagem.', 'textOriginal': 'Segundo os “especialistas “ eu sou mega autista. Minha opinião, com lugar de fala, uma bobagem danada. Estão confundindo personalidade com autismo e vontade de ganhar dinheiro vendendo soluções e terapias. Modinha e bobagem.', 'authorDisplayName': 'DanSte ', 'authorProfileImageUrl': 'https://yt3.ggpht.com/6XcQ3wDb9axEgDIyIpNuM0sH-OO9AF512d_Y9wDk3nQxZzb47gSQWYWh1dI_RPEdKFm7MLAB=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEzItw4WstqHa4W5Sp0tgSA', 'authorChannelId': {'value': 'UCEzItw4WstqHa4W5Sp0tgSA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T07:33:47Z', 'updatedAt': '2022-10-26T07:33:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEzItw4WstqHa4W5Sp0tgSA,2022-10-26T07:33:47Z,"Segundo os “especialistas “ eu sou mega autista. Minha opinião, com lugar de fala, uma bobagem danada. Estão confundindo personalidade com autismo e vontade de ganhar dinheiro vendendo soluções e terapias. Modinha e bobagem.",,2023-06-08 01:23:05.408236
