kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,ok-hU8brO3CpQFiNIdrO_vBwMHg,Ugz5HNJCWnc6BKq3rcF4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'poJYBLCD8DJSiBqXb9tzjUSgfvs', 'id': 'Ugz5HNJCWnc6BKq3rcF4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Vocês da comunidade LGBTQ+ principalmente vocês trans merece sim ser respeitada e tere mas espaço na sociedade... Mas eu acho que você está falando besteira sem sentido nenhum, por exemplo o Brasil já houve vários presidentes tanto da direita como da esquerda e sempre morreram pessoas negras principalmente pessoas negras LGBTQ+ nesse país... Se vocês estivessem cuidado disso mas logo logo talvez coisa não seria tão sério agora jogar isso encima da direita aí já é demais né 🙄🙄🤦🏼\\u200d♂️🤦🏼\\u200d♂️', 'textOriginal': 'Vocês da comunidade LGBTQ+ principalmente vocês trans merece sim ser respeitada e tere mas espaço na sociedade... Mas eu acho que você está falando besteira sem sentido nenhum, por exemplo o Brasil já houve vários presidentes tanto da direita como da esquerda e sempre morreram pessoas negras principalmente pessoas negras LGBTQ+ nesse país... Se vocês estivessem cuidado disso mas logo logo talvez coisa não seria tão sério agora jogar isso encima da direita aí já é demais né 🙄🙄🤦🏼\\u200d♂️🤦🏼\\u200d♂️', 'authorDisplayName': '༒𝕴𝖘𝖆𝖆𝖈_𝕱𝖊𝖗𝖗𝖊𝖎𝖗𝖆_𝕾𝖎𝖑𝖛𝖆꧂', 'authorProfileImageUrl': 'https://yt3.ggpht.com/O1uH5-_JI3Wts4A6d_4S3X0dUSK-K7Psid_AAVdLyp5ruKvK1T00XSWYIkruY-xnJa6fehmhhvM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRZpf7cSi2lcgpkMFv0j8mQ', 'authorChannelId': {'value': 'UCRZpf7cSi2lcgpkMFv0j8mQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-07T02:34:16Z', 'updatedAt': '2023-06-07T02:34:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRZpf7cSi2lcgpkMFv0j8mQ,2023-06-07T02:34:16Z,"Vocês da comunidade LGBTQ+ principalmente vocês trans merece sim ser respeitada e tere mas espaço na sociedade... Mas eu acho que você está falando besteira sem sentido nenhum, por exemplo o Brasil já houve vários presidentes tanto da direita como da esquerda e sempre morreram pessoas negras principalmente pessoas negras LGBTQ+ nesse país... Se vocês estivessem cuidado disso mas logo logo talvez coisa não seria tão sério agora jogar isso encima da direita aí já é demais né 🙄🙄🤦🏼‍♂️🤦🏼‍♂️",,2023-06-08 00:52:45.425090
youtube#commentThread,5UCAiRdiivEzyt-CF8evJ3BZ7hY,UgyDp8blx14UrjH63zB4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xY7S095JnvjEw1tWmFxAnCQe-4Q', 'id': 'UgyDp8blx14UrjH63zB4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': '❤️❤️❤️❤️❤️👏✨✨✨', 'textOriginal': '❤️❤️❤️❤️❤️👏✨✨✨', 'authorDisplayName': 'Amanda F', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOBGq6b-gzURBdQKMxAnPb0sjRp2s-PJWC40y1p=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEBwWhJZ3Fxp1lp6vVFQ2eA', 'authorChannelId': {'value': 'UCEBwWhJZ3Fxp1lp6vVFQ2eA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-14T00:05:38Z', 'updatedAt': '2023-04-14T00:05:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEBwWhJZ3Fxp1lp6vVFQ2eA,2023-04-14T00:05:38Z,❤️❤️❤️❤️❤️👏✨✨✨,,2023-06-08 00:52:45.425090
youtube#commentThread,LhqmHi2fEVm6bj7uJ8t2NedkFHA,Ugz3YFwDVhY7pVeZKLt4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5Liej0I4GlEmEWccotRsb8Vvuqo', 'id': 'Ugz3YFwDVhY7pVeZKLt4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Seria bom se prendessem os corruptos...', 'textOriginal': 'Seria bom se prendessem os corruptos...', 'authorDisplayName': 'Lucas Cardoso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNK5Yasex_pS-2TxGlZbXmOjHq-UQDCBwi0c3BqEw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPgo2hTT5BjR2d0gttieU_A', 'authorChannelId': {'value': 'UCPgo2hTT5BjR2d0gttieU_A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-13T22:00:04Z', 'updatedAt': '2023-03-13T22:00:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPgo2hTT5BjR2d0gttieU_A,2023-03-13T22:00:04Z,Seria bom se prendessem os corruptos...,,2023-06-08 00:52:45.425090
youtube#commentThread,CV2_Q1vpxpDu6-SEouYdjH48Gmo,UgxuxhVljgzy-m9S5bt4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GsSPfnrEsN4oHT5f_IxoMfG5Bf8', 'id': 'UgxuxhVljgzy-m9S5bt4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Esquerda 🤮', 'textOriginal': 'Esquerda 🤮', 'authorDisplayName': 'Thales de melo Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNFjU69z7icXCTdU17DY_3-WMd0i6AyH1I7Ecsj8w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClIoORrSQoJ0Joh2y2jg07A', 'authorChannelId': {'value': 'UClIoORrSQoJ0Joh2y2jg07A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-06T09:52:03Z', 'updatedAt': '2023-03-06T09:52:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClIoORrSQoJ0Joh2y2jg07A,2023-03-06T09:52:03Z,Esquerda 🤮,,2023-06-08 00:52:45.425090
youtube#commentThread,FTAtApJxl3_HQ8Hih_I1jphyVpA,Ugwh3lw8jXDMZdYho9F4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9-ip3ONHwxlw8C0agVJiseUIBjc', 'id': 'Ugwh3lw8jXDMZdYho9F4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': '😂😂😂😂😂😂😂😂', 'textOriginal': '😂😂😂😂😂😂😂😂', 'authorDisplayName': 'Flávia Félix', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNQJ7uLs0UM2paswpQ_X9Wo-z-WPzLNC0aS=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXhmMmSlac0qug4dq8jMv9w', 'authorChannelId': {'value': 'UCXhmMmSlac0qug4dq8jMv9w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-05T13:19:46Z', 'updatedAt': '2023-03-05T13:19:46Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXhmMmSlac0qug4dq8jMv9w,2023-03-05T13:19:46Z,😂😂😂😂😂😂😂😂,,2023-06-08 00:52:45.425090
youtube#commentThread,SXE7UZDGd3vVxnhcAbyLh7ABEHU,UgwHsj5O2RxSLIYDfLB4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UlnH2fbrdTIe0-1vpeoLBzXX1Yk', 'id': 'UgwHsj5O2RxSLIYDfLB4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Quanta asneira', 'textOriginal': 'Quanta asneira', 'authorDisplayName': 'Roberto Lomba', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNiZn0Kl_4f-2dankKG9jFtSKfV7ngtGDTYq9GT1g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEnwBs3miIhOWzShwmr1agg', 'authorChannelId': {'value': 'UCEnwBs3miIhOWzShwmr1agg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-06T13:25:27Z', 'updatedAt': '2022-12-06T13:25:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEnwBs3miIhOWzShwmr1agg,2022-12-06T13:25:27Z,Quanta asneira,,2023-06-08 00:52:45.425090
youtube#commentThread,4Buh0dwAY9rRefpmyKwltI-Od8U,Ugz3HwWYQmkk3bm_aIt4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zeTr_A-OWE0qaomfrSYU0akI6lc', 'id': 'Ugz3HwWYQmkk3bm_aIt4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Sério está foi eleita com esta ideologia', 'textOriginal': 'Sério está foi eleita com esta ideologia', 'authorDisplayName': 'Edson Lourenço', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMCW1IdyR9PbeQxQQF5ryu6bDyczFT14-WUoQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCa8bUXCH4B1cE5sNoX1uQCg', 'authorChannelId': {'value': 'UCa8bUXCH4B1cE5sNoX1uQCg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-26T01:29:08Z', 'updatedAt': '2022-11-26T01:29:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCa8bUXCH4B1cE5sNoX1uQCg,2022-11-26T01:29:08Z,Sério está foi eleita com esta ideologia,,2023-06-08 00:52:45.425090
youtube#commentThread,-XF5-SgkOfaEt6MSIXxY612eZSo,UgznNxNL1Lbdi6bdMQB4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gSaDVMjThppktBI-fvlDjBZk5hc', 'id': 'UgznNxNL1Lbdi6bdMQB4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Horror é ter um presidente que liderou o maior esquema de corrupção deste país! Ou é normal pra vocês ?', 'textOriginal': 'Horror é ter um presidente que liderou o maior esquema de corrupção deste país! Ou é normal pra vocês ?', 'authorDisplayName': 'Dom', 'authorProfileImageUrl': 'https://yt3.ggpht.com/dhezOCUj9UIbRxnapo47LNRCvDONCvBGkzklEbYLLFCWWyuNVdOBb-HGdhn4YTq_rDdKocos2Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnV4pa6gK7Kr1Rma2KlJ0Cw', 'authorChannelId': {'value': 'UCnV4pa6gK7Kr1Rma2KlJ0Cw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-18T02:59:20Z', 'updatedAt': '2022-11-18T02:59:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCnV4pa6gK7Kr1Rma2KlJ0Cw,2022-11-18T02:59:20Z,Horror é ter um presidente que liderou o maior esquema de corrupção deste país! Ou é normal pra vocês ?,,2023-06-08 00:52:45.425090
youtube#commentThread,Ib8JEL42M461kx4Yc9l01_yw660,Ugwag_UVArzv98JXvDd4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'd8d-0-VSnHAaoKYu4N79BAo64jo', 'id': 'Ugwag_UVArzv98JXvDd4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Fora comunismo', 'textOriginal': 'Fora comunismo', 'authorDisplayName': 'Cafezinho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ryGFf16hvvyfQUHYgCqWNfo0paoTB1wLU12uvTCq51Vmc7xNa325ts8pUTC_QJqIC20VuPHH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuQpiQbNMbpvGnGvwlhdOkQ', 'authorChannelId': {'value': 'UCuQpiQbNMbpvGnGvwlhdOkQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-06T03:30:41Z', 'updatedAt': '2022-11-06T03:30:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuQpiQbNMbpvGnGvwlhdOkQ,2022-11-06T03:30:41Z,Fora comunismo,,2023-06-08 00:52:45.425090
youtube#commentThread,iHSdPRrbuCuHOv71JT-UZZzd2so,Ugz7rPDCs6bmgxE9-Rl4AaABAg,"{'videoId': '0qz5GTEJyuQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SQlOEO5JViBN4kJHBIC2IWEetTs', 'id': 'Ugz7rPDCs6bmgxE9-Rl4AaABAg', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Eu gosto dessa mulher, sabe o que fala. Grande Erika.', 'textOriginal': 'Eu gosto dessa mulher, sabe o que fala. Grande Erika.', 'authorDisplayName': 'Heliano Antonio Alves da Silva Lili', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMOKuViWwLfQQ3soDPXMZwoWDqAisCTjnEEhA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1gcD-19ITzM5Xi8_HVb2Jg', 'authorChannelId': {'value': 'UC1gcD-19ITzM5Xi8_HVb2Jg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-05T03:04:00Z', 'updatedAt': '2022-11-05T03:04:00Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'U3yZDt7-kQE3Td3UbtjUhyryIQk', 'id': 'Ugz7rPDCs6bmgxE9-Rl4AaABAg.9i1ZxKU4src9nLOlJaKR7P', 'snippet': {'videoId': '0qz5GTEJyuQ', 'textDisplay': 'Mulher?', 'textOriginal': 'Mulher?', 'parentId': 'Ugz7rPDCs6bmgxE9-Rl4AaABAg', 'authorDisplayName': 'Leandro Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPHC4g-D4CuHaiwudOH682v6PQpDfqXW1hSWw7O=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZPVh7ZctyHkasYe-61rnGw', 'authorChannelId': {'value': 'UCZPVh7ZctyHkasYe-61rnGw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2023-03-17T02:28:01Z', 'updatedAt': '2023-03-17T02:28:01Z'}}]}",UC1gcD-19ITzM5Xi8_HVb2Jg,2022-11-05T03:04:00Z,"Eu gosto dessa mulher, sabe o que fala. Grande Erika.",,2023-06-08 00:52:45.425090
