kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,OeuDgfTOsmxfAbn5nLkQDTGxvAI,UgxC2QlEv4qVjCokSLp4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pz1vmQZI2MT1n9xFefWLbvtz6_0', 'id': 'UgxC2QlEv4qVjCokSLp4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'NÃO PERMITAM QUE CALEM A NOSSA VOZ!<br><a href=""https://go.canalhipocritas.com.br/campaign/yt-coments"">https://go.canalhipocritas.com.br/campaign/yt-coments</a>', 'textOriginal': 'NÃO PERMITAM QUE CALEM A NOSSA VOZ!\\nhttps://go.canalhipocritas.com.br/campaign/yt-coments', 'authorDisplayName': 'Canal Hipocritas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/UKGv0PaEUAEpbpJ8od02-Pv1Ffe-VNlk4LYJgYEFkGWtDwCWz6YMyCD6fbFSbuuPRShB6nhZ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCARDgcz77ogd21gfi7kiWUQ', 'authorChannelId': {'value': 'UCARDgcz77ogd21gfi7kiWUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 462, 'publishedAt': '2022-10-28T17:24:31Z', 'updatedAt': '2022-10-28T17:24:31Z'}}, 'canReply': True, 'totalReplyCount': 20, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '1Gn8BLFovl5JKKDsaFiI0NvC3Rw', 'id': 'UgxC2QlEv4qVjCokSLp4AaABAg.9hjW3vgTnqB9htrNcO2Rce', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'CHUPAAAAAA É LULA PRESIDENTE', 'textOriginal': 'CHUPAAAAAA É LULA PRESIDENTE', 'parentId': 'UgxC2QlEv4qVjCokSLp4AaABAg', 'authorDisplayName': 'fernando augusto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOQYvBmJ7wtDomNAKvGPSbVflnsnBSzVHsR6y2PXgpMUFm_NYvRKdoR5iz4O7uo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChtHTHlduUTW4OQ2nuENMEA', 'authorChannelId': {'value': 'UChtHTHlduUTW4OQ2nuENMEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-01T17:51:51Z', 'updatedAt': '2022-11-01T17:51:51Z'}}, {'kind': 'youtube#comment', 'etag': 'tJwz-7xrN3YxbiZM7PtAcTfBUFE', 'id': 'UgxC2QlEv4qVjCokSLp4AaABAg.9hjW3vgTnqB9htrLurL9Go', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'CHUPAAAAAA É LULA PRESIDENTE PORRA', 'textOriginal': 'CHUPAAAAAA É LULA PRESIDENTE PORRA', 'parentId': 'UgxC2QlEv4qVjCokSLp4AaABAg', 'authorDisplayName': 'fernando augusto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOQYvBmJ7wtDomNAKvGPSbVflnsnBSzVHsR6y2PXgpMUFm_NYvRKdoR5iz4O7uo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChtHTHlduUTW4OQ2nuENMEA', 'authorChannelId': {'value': 'UChtHTHlduUTW4OQ2nuENMEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-01T17:51:37Z', 'updatedAt': '2022-11-01T17:51:37Z'}}, {'kind': 'youtube#comment', 'etag': 'RTQzjfUHZMSJWcnL04CvCyEWyEY', 'id': 'UgxC2QlEv4qVjCokSLp4AaABAg.9hjW3vgTnqB9hpGeKzS3Iy', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'E agora? Forças Armadas vão nos salvar?', 'textOriginal': 'E agora? Forças Armadas vão nos salvar?', 'parentId': 'UgxC2QlEv4qVjCokSLp4AaABAg', 'authorDisplayName': 'Juventude Salvacionista', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO0tGcS2PIjgVdwhffC_HcXnmigV_Pty4lz8OEb04ycKs1wriWZc4GXwRt41kfm=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKO7oTwLUwoqMfgZ6ojE1Rw', 'authorChannelId': {'value': 'UCKO7oTwLUwoqMfgZ6ojE1Rw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T23:05:15Z', 'updatedAt': '2022-10-30T23:05:15Z'}}, {'kind': 'youtube#comment', 'etag': 'hSFcOBUk-dbZNsouhXLpc_--7MU', 'id': 'UgxC2QlEv4qVjCokSLp4AaABAg.9hjW3vgTnqB9hmF3vLEXOH', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Bolsonaro22 trazendo prosperidade para o nordeste!pq o Governo do Pt sempre explorou o nordeste deixando sem água! Água é vida', 'textOriginal': 'Bolsonaro22 trazendo prosperidade para o nordeste!pq o Governo do Pt sempre explorou o nordeste deixando sem água! Água é vida', 'parentId': 'UgxC2QlEv4qVjCokSLp4AaABAg', 'authorDisplayName': 'Fat Borin', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMorsvE-5dsoPsaecJjOj8T5Kzm13XOvv55JA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPs64ikKQrF35R-j8CLZqTw', 'authorChannelId': {'value': 'UCPs64ikKQrF35R-j8CLZqTw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T18:53:41Z', 'updatedAt': '2022-10-29T18:53:41Z'}}, {'kind': 'youtube#comment', 'etag': 'C2ldPgNn3JpscWI0frfZnSCDMOU', 'id': 'UgxC2QlEv4qVjCokSLp4AaABAg.9hjW3vgTnqB9hmEvHymoaS', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Acreditem no nosso presidente! Ele é do bem Bolsonaro22 👏🙌🇧🇷🙏🙏🙏🙏🙏', 'textOriginal': 'Acreditem no nosso presidente! Ele é do bem Bolsonaro22 👏🙌🇧🇷🙏🙏🙏🙏🙏', 'parentId': 'UgxC2QlEv4qVjCokSLp4AaABAg', 'authorDisplayName': 'Fat Borin', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMorsvE-5dsoPsaecJjOj8T5Kzm13XOvv55JA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPs64ikKQrF35R-j8CLZqTw', 'authorChannelId': {'value': 'UCPs64ikKQrF35R-j8CLZqTw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T18:52:22Z', 'updatedAt': '2022-10-29T18:52:22Z'}}]}",UCARDgcz77ogd21gfi7kiWUQ,2022-10-28T17:24:31Z,"NÃO PERMITAM QUE CALEM A NOSSA VOZ!
https://go.canalhipocritas.com.br/campaign/yt-coments",QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,qY9camcbv9nnYi6CJl7MntHlauc,Ugx_jKRo2hmujZIxOCJ4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JFu219_J5GiNgmTPRUJ5r1_F6lA', 'id': 'Ugx_jKRo2hmujZIxOCJ4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'HIPÓCRITAS POETISANDO. AMEIIII! SHOW!!! VCS são SEMPRE DEMAISSSS!!!💚', 'textOriginal': 'HIPÓCRITAS POETISANDO. AMEIIII! SHOW!!! VCS são SEMPRE DEMAISSSS!!!💚', 'authorDisplayName': 'Elenilde Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOod_t-YsTb6w1YvPbKQXGtwY-M2TUFDtqkVLLHQA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVB_XznwpaQ0J9XtWWeny-g', 'authorChannelId': {'value': 'UCVB_XznwpaQ0J9XtWWeny-g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-25T17:46:39Z', 'updatedAt': '2023-05-25T17:46:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVB_XznwpaQ0J9XtWWeny-g,2023-05-25T17:46:39Z,HIPÓCRITAS POETISANDO. AMEIIII! SHOW!!! VCS são SEMPRE DEMAISSSS!!!💚,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,5pH6wG2qqhAzaUkRDUyXjJXTcDo,UgxEGyQ86V-xH2AOeIF4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BoWXCtWDkX4NlDngHW4Ko88zv4k', 'id': 'UgxEGyQ86V-xH2AOeIF4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Parabéns 🎉💛💚🇧🇷', 'textOriginal': 'Parabéns 🎉💛💚🇧🇷', 'authorDisplayName': 'Ana Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Zx0GfHolWwc5lehu2cYv1KO6GnsG2Gc140cu4KFIELnCrAhoEcsbBKA8X2tGc2EMBH2bYZWeEw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNZWJJJMXhWMUNVCS9lJecA', 'authorChannelId': {'value': 'UCNZWJJJMXhWMUNVCS9lJecA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-06T05:45:28Z', 'updatedAt': '2023-05-06T05:45:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNZWJJJMXhWMUNVCS9lJecA,2023-05-06T05:45:28Z,Parabéns 🎉💛💚🇧🇷,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,30hoq4-oSvRgi836dW34eWB0QVY,Ugzns6jqmB94IPG0RJt4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4UybRUy0Wcti9bKikQGTko8AZVo', 'id': 'Ugzns6jqmB94IPG0RJt4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Dói o coraçāo ouvir o que de fato acontece no nosso país. Acredito que a verdade vai acordar muita gente que foi enganada. Obrigada. Que Deus ilumine seus caminhos.', 'textOriginal': 'Dói o coraçāo ouvir o que de fato acontece no nosso país. Acredito que a verdade vai acordar muita gente que foi enganada. Obrigada. Que Deus ilumine seus caminhos.', 'authorDisplayName': 'Anna', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPL1HdiyFTm86CxK9VKnGk3aXwj31oWViOJyp4_Sc1-zEgv-NZRUNA48LOtndZK=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSiHn0YxjbN6TUovmXMqJ_Q', 'authorChannelId': {'value': 'UCSiHn0YxjbN6TUovmXMqJ_Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-10T21:54:56Z', 'updatedAt': '2023-03-10T21:54:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCSiHn0YxjbN6TUovmXMqJ_Q,2023-03-10T21:54:56Z,Dói o coraçāo ouvir o que de fato acontece no nosso país. Acredito que a verdade vai acordar muita gente que foi enganada. Obrigada. Que Deus ilumine seus caminhos.,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,D6zLFoRyy4jvfcQltEpHvjHukC8,Ugwjm_ymUWZrQN9ZWKh4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uazZAmsfEsiLd3hLYB9AVAS1wG4', 'id': 'Ugwjm_ymUWZrQN9ZWKh4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Excelente vídeo', 'textOriginal': 'Excelente vídeo', 'authorDisplayName': 'Luiz cabral', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPfdfRpGeFYU64tuZZcPBou_PsepzJGug89RG4y5A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcIRzAL7FKYyrBc5F2cybzg', 'authorChannelId': {'value': 'UCcIRzAL7FKYyrBc5F2cybzg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-04T06:39:52Z', 'updatedAt': '2023-03-04T06:39:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcIRzAL7FKYyrBc5F2cybzg,2023-03-04T06:39:52Z,Excelente vídeo,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,FuTRIHv5DnrNuobWpcIG62WHAwM,UgwN0islj2jPdSgc-_94AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JtE5e1YhtK3g_daGpXUteMrhfwo', 'id': 'UgwN0islj2jPdSgc-_94AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Me emocionei com esse poema', 'textOriginal': 'Me emocionei com esse poema', 'authorDisplayName': 'Sônia Maria Melo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNBYctO2bdcEQ7Rv2x8uA-8ABimTVIUnphh7Evmqg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgEC8C6HScVAo8gQsyvKgLQ', 'authorChannelId': {'value': 'UCgEC8C6HScVAo8gQsyvKgLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-01T01:18:59Z', 'updatedAt': '2023-03-01T01:18:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgEC8C6HScVAo8gQsyvKgLQ,2023-03-01T01:18:59Z,Me emocionei com esse poema,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,uPW0_NmGmDy1NRN5NeJHt_mWqR4,UgwnAzX60C8P0mlVSSp4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rKJWupmaPTDLj1mPkjRyFJ3b0Yk', 'id': 'UgwnAzX60C8P0mlVSSp4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Você é sensacional!👏👏👏👏👏👏', 'textOriginal': 'Você é sensacional!👏👏👏👏👏👏', 'authorDisplayName': 'Sônia Maria Melo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNBYctO2bdcEQ7Rv2x8uA-8ABimTVIUnphh7Evmqg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgEC8C6HScVAo8gQsyvKgLQ', 'authorChannelId': {'value': 'UCgEC8C6HScVAo8gQsyvKgLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-01T01:17:25Z', 'updatedAt': '2023-03-01T01:17:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgEC8C6HScVAo8gQsyvKgLQ,2023-03-01T01:17:25Z,Você é sensacional!👏👏👏👏👏👏,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,-CU5fFx7sZfaPAEH6xB7vewyhtA,UgxpL0e7yAbI37tv4ap4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZPrzU3XwfvJPbKUYxA5fvjpz9bI', 'id': 'UgxpL0e7yAbI37tv4ap4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Que tristeza Meu  Deus. Saber que um ser humano (monstro) causou tanta desgraça num país tão maravilhoso como o<br>Nosso. O povo trabalhador e de boa fé nas mãos dessa quadrilha de bandidos da pior espécie. Da espécie que arrasa com a vida de milhões de pessoas. Canalha e toda a sua corja de bandidos ainda vão receber o que merecem. A JUSTIÇA AINDA VIRÁ! E NENHUM VAI ESCAPAR.', 'textOriginal': 'Que tristeza Meu  Deus. Saber que um ser humano (monstro) causou tanta desgraça num país tão maravilhoso como o\\nNosso. O povo trabalhador e de boa fé nas mãos dessa quadrilha de bandidos da pior espécie. Da espécie que arrasa com a vida de milhões de pessoas. Canalha e toda a sua corja de bandidos ainda vão receber o que merecem. A JUSTIÇA AINDA VIRÁ! E NENHUM VAI ESCAPAR.', 'authorDisplayName': 'Nilza Boeng', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNTjaN5Pzv4FsfF-NSVLUjzgMW9fEdBer5g8Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqdsMqBttbfb5vTC2o3sVgw', 'authorChannelId': {'value': 'UCqdsMqBttbfb5vTC2o3sVgw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-28T17:23:55Z', 'updatedAt': '2023-02-28T17:26:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCqdsMqBttbfb5vTC2o3sVgw,2023-02-28T17:23:55Z,"Que tristeza Meu  Deus. Saber que um ser humano (monstro) causou tanta desgraça num país tão maravilhoso como o
Nosso. O povo trabalhador e de boa fé nas mãos dessa quadrilha de bandidos da pior espécie. Da espécie que arrasa com a vida de milhões de pessoas. Canalha e toda a sua corja de bandidos ainda vão receber o que merecem. A JUSTIÇA AINDA VIRÁ! E NENHUM VAI ESCAPAR.",QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,w3hcX06dWr1K6lZfgfxtGvAHW3I,UgxuRXhzZeYBkXnT4Ct4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UtzhYt_RO6XYyPMUYg7Wx_iQCnk', 'id': 'UgxuRXhzZeYBkXnT4Ct4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Emocionante', 'textOriginal': 'Emocionante', 'authorDisplayName': 'Elizete Guimarães', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOCX61rBGxqvaahcjtpj6gQ3z2r6mfy18R0yw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuOFAC9Go3qKLWmn5ZFK34w', 'authorChannelId': {'value': 'UCuOFAC9Go3qKLWmn5ZFK34w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-28T13:20:07Z', 'updatedAt': '2023-02-28T13:20:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuOFAC9Go3qKLWmn5ZFK34w,2023-02-28T13:20:07Z,Emocionante,QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
youtube#commentThread,EKvu5R18cTsKjvMY5_57V0Bmy08,UgwAS5p4Pka8lrN96CF4AaABAg,"{'videoId': 'gkDmfJe21Ro', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5l8wYiWkMYUkPrxn0WmmGO-3D-Y', 'id': 'UgwAS5p4Pka8lrN96CF4AaABAg', 'snippet': {'videoId': 'gkDmfJe21Ro', 'textDisplay': 'Emocionante, intrigante, suplicante e infelizmente, agora, irrelevante por conta da maioria de um povo ignorante que elegeu um meliante para um cargo tão importante.<br><br>Rbasca77', 'textOriginal': 'Emocionante, intrigante, suplicante e infelizmente, agora, irrelevante por conta da maioria de um povo ignorante que elegeu um meliante para um cargo tão importante.\\n\\nRbasca77', 'authorDisplayName': 'Rodrigo Fernandes Basquerote', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPsrZR3ho1xD6UPGDODYnUsYZl6CE9nmk3KF85X0A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMUlcNTyVT6KVEiHFI4Y2zA', 'authorChannelId': {'value': 'UCMUlcNTyVT6KVEiHFI4Y2zA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-25T20:49:32Z', 'updatedAt': '2023-02-25T20:49:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCMUlcNTyVT6KVEiHFI4Y2zA,2023-02-25T20:49:32Z,"Emocionante, intrigante, suplicante e infelizmente, agora, irrelevante por conta da maioria de um povo ignorante que elegeu um meliante para um cargo tão importante.

Rbasca77",QURTSl9pMlpGVE1MbW9DQVZFVmFTWXdWZ2tkRENwMDZ0eWFVdThlSE8yY1A0bXdxYmotTEVFaFpMTHpqUmxUZzIzUUxFdVBWMk1GSXNKemNTZVRJQTh1RzN6UTkxekRrLXc=,2023-06-08 01:28:48.200837
