kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,11gi6al_NK0vTnKzFrJpG9mQfSw,UgyqImEeHbbRX5XVge14AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wxpOu5Dzz5l2ljGCTA8siKVWALg', 'id': 'UgyqImEeHbbRX5XVge14AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Clima? Pensava q era so com Aristides ( flex?)', 'textOriginal': 'Clima? Pensava q era so com Aristides ( flex?)', 'authorDisplayName': 'cat', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOZzgjc-eIRgXYu61ndlhPVBLTyk3nsfkmksinilQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGfy640eIi2lcJ4HPSL2C2A', 'authorChannelId': {'value': 'UCGfy640eIi2lcJ4HPSL2C2A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-02T18:53:08Z', 'updatedAt': '2023-01-02T18:53:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCGfy640eIi2lcJ4HPSL2C2A,2023-01-02T18:53:08Z,Clima? Pensava q era so com Aristides ( flex?),QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,DCTh8KzYsadFkRllgnXo-LQe890,UgzPpWdOlvBCZXt7ngh4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OSy1mAKXrpBlzkzfw2bSATrwx9I', 'id': 'UgzPpWdOlvBCZXt7ngh4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Se as facções criminosas , colocarem roupas iguais do exército, como é que fica?', 'textOriginal': 'Se as facções criminosas , colocarem roupas iguais do exército, como é que fica?', 'authorDisplayName': 'Mario Alves Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPI2j-JcosyceuBnCh7AXEKx5Vu9iMt6vg3ng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfGbXNUVVNcYh-3AvBomNiQ', 'authorChannelId': {'value': 'UCfGbXNUVVNcYh-3AvBomNiQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-22T09:11:35Z', 'updatedAt': '2022-12-22T09:11:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfGbXNUVVNcYh-3AvBomNiQ,2022-12-22T09:11:35Z,"Se as facções criminosas , colocarem roupas iguais do exército, como é que fica?",QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,sD0gnVtnmWYqv5FFi8JboQLiajc,UgzF3HluYxEDjojkZ8t4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'IjQMrxe90xifETf-UZowYinFqJc', 'id': 'UgzF3HluYxEDjojkZ8t4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Sendo assim, diga para Bolsonaro, oferecer um presente para Putin da Rússia, para que ele ajude o Brasil, nessa hora tão difícil.', 'textOriginal': 'Sendo assim, diga para Bolsonaro, oferecer um presente para Putin da Rússia, para que ele ajude o Brasil, nessa hora tão difícil.', 'authorDisplayName': 'Mario Alves Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPI2j-JcosyceuBnCh7AXEKx5Vu9iMt6vg3ng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfGbXNUVVNcYh-3AvBomNiQ', 'authorChannelId': {'value': 'UCfGbXNUVVNcYh-3AvBomNiQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-19T12:13:19Z', 'updatedAt': '2022-12-19T12:13:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfGbXNUVVNcYh-3AvBomNiQ,2022-12-19T12:13:19Z,"Sendo assim, diga para Bolsonaro, oferecer um presente para Putin da Rússia, para que ele ajude o Brasil, nessa hora tão difícil.",QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,xPn6y16Vt96MDaQc8MbDk9pLKDw,UgxQRCrJ-R7W7cPzvVl4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eKRcmJye4CX5PyrR3oOvASXrwrs', 'id': 'UgxQRCrJ-R7W7cPzvVl4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Se a esquerda assumir o poder, ela vai dar um presente para o mundo comunista,  o presente é a amazônia, e muito mais.', 'textOriginal': 'Se a esquerda assumir o poder, ela vai dar um presente para o mundo comunista,  o presente é a amazônia, e muito mais.', 'authorDisplayName': 'Mario Alves Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPI2j-JcosyceuBnCh7AXEKx5Vu9iMt6vg3ng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfGbXNUVVNcYh-3AvBomNiQ', 'authorChannelId': {'value': 'UCfGbXNUVVNcYh-3AvBomNiQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-19T12:10:24Z', 'updatedAt': '2022-12-19T12:10:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfGbXNUVVNcYh-3AvBomNiQ,2022-12-19T12:10:24Z,"Se a esquerda assumir o poder, ela vai dar um presente para o mundo comunista,  o presente é a amazônia, e muito mais.",QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,WNmIBP-zwe_p_PrWvnPHa1C5FWw,Ugx1esDqFRZRUvn5ToN4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jnnQgAZpM3G24fQ_ZjrzaOuSpQ8', 'id': 'Ugx1esDqFRZRUvn5ToN4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'PINTOU UM CLIMA', 'textOriginal': 'PINTOU UM CLIMA', 'authorDisplayName': 'La Fuerza Del Brujerizmo en Brasil', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqORR7ONz0pNfK2hPJK2m0vt5ipv6dH0RcD6uS-sAIu0WqEVEPHOPn4qJ5WPL16n=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCM3InaWBMrksI3wvmu-szGA', 'authorChannelId': {'value': 'UCM3InaWBMrksI3wvmu-szGA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-03T17:50:05Z', 'updatedAt': '2022-12-03T17:50:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCM3InaWBMrksI3wvmu-szGA,2022-12-03T17:50:05Z,PINTOU UM CLIMA,QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,SptY6GB-IVxQbnipCgDVJRhWsCI,UgzdAmABD0UYqvVTZp94AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'InjwWVxzI5KawZP1npgDC9cI_Yg', 'id': 'UgzdAmABD0UYqvVTZp94AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'BOTA OS LAUDOS DO FÁBIO FARIAS NO COLO DOS GENERAIS...ELES NÃO FORAM CONVIDADOS PARA AJUDAR NA FISCALIZAÇÃO??? ENTÃO.??', 'textOriginal': 'BOTA OS LAUDOS DO FÁBIO FARIAS NO COLO DOS GENERAIS...ELES NÃO FORAM CONVIDADOS PARA AJUDAR NA FISCALIZAÇÃO??? ENTÃO.??', 'authorDisplayName': 'G M', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNR6nOv19F_BtvNae-kPipnErqP5ThlfDNfBA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9TiCipEaagYlAFw5pG9qSQ', 'authorChannelId': {'value': 'UC9TiCipEaagYlAFw5pG9qSQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T19:54:57Z', 'updatedAt': '2022-10-29T19:54:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC9TiCipEaagYlAFw5pG9qSQ,2022-10-29T19:54:57Z,BOTA OS LAUDOS DO FÁBIO FARIAS NO COLO DOS GENERAIS...ELES NÃO FORAM CONVIDADOS PARA AJUDAR NA FISCALIZAÇÃO??? ENTÃO.??,QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,scihXEEPxrNQlMUmzCK1iCL7cA8,UgxzRP8dg02mKMH9OsJ4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uKc8x60IbIS_C5k0lcc5Dp3Pfco', 'id': 'UgxzRP8dg02mKMH9OsJ4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Presidente, só existe uma forma de não ser roubado! Exija voto em papel, pelo menos para presidente, o que é totalmente viável e fácil de implementar em uma semana!', 'textOriginal': 'Presidente, só existe uma forma de não ser roubado! Exija voto em papel, pelo menos para presidente, o que é totalmente viável e fácil de implementar em uma semana!', 'authorDisplayName': 'Avelar Gmail', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM7uajmXSgaDy4Tu2CpFomV_mOFdz0FowNPaQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCS7u4kV9RSqZ11LLoyv38UQ', 'authorChannelId': {'value': 'UCS7u4kV9RSqZ11LLoyv38UQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T11:54:18Z', 'updatedAt': '2022-10-27T11:54:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCS7u4kV9RSqZ11LLoyv38UQ,2022-10-27T11:54:18Z,"Presidente, só existe uma forma de não ser roubado! Exija voto em papel, pelo menos para presidente, o que é totalmente viável e fácil de implementar em uma semana!",QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,FHw3nLjd6xIkxg1RC03NJC2EvkI,Ugw0x_Xi8WAGQXoFaKN4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'IJBXwNcfe1oNQE2g7R-1iSsP1SQ', 'id': 'Ugw0x_Xi8WAGQXoFaKN4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO<br>RESPONDE O JANONES CARLUXO', 'textOriginal': 'RESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO\\nRESPONDE O JANONES CARLUXO', 'authorDisplayName': 'Smellslike teenspirit', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOui3W6Roygll_W8DMA1NJLkGXD1vbyX7LY8A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCs5Tq9mE-i-6bDSHbMxeM6w', 'authorChannelId': {'value': 'UCs5Tq9mE-i-6bDSHbMxeM6w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T22:42:17Z', 'updatedAt': '2022-10-25T22:42:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCs5Tq9mE-i-6bDSHbMxeM6w,2022-10-25T22:42:17Z,"RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO
RESPONDE O JANONES CARLUXO",QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,bdQhi1EQx3xD6kbtc-qV5wSDn7A,Ugy3aI3KqUi3UbAlzEh4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'oJ9o4yIBNkH8VZbmntYMOSn6QQg', 'id': 'Ugy3aI3KqUi3UbAlzEh4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Aqui somos todos Bolsonaro 22 🇧🇷🇧🇷 22 🇧🇷🇧🇷 22 🇧🇷🇧🇷 22', 'textOriginal': 'Aqui somos todos Bolsonaro 22 🇧🇷🇧🇷 22 🇧🇷🇧🇷 22 🇧🇷🇧🇷 22', 'authorDisplayName': 'Maria Magali Dos Santos Rocha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNnOFESiolqKNzR6dXPt2X_DTNroeCWRAfssw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcNdhNoUoAx_oGHRr7R1SEA', 'authorChannelId': {'value': 'UCcNdhNoUoAx_oGHRr7R1SEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T22:26:36Z', 'updatedAt': '2022-10-25T22:26:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcNdhNoUoAx_oGHRr7R1SEA,2022-10-25T22:26:36Z,Aqui somos todos Bolsonaro 22 🇧🇷🇧🇷 22 🇧🇷🇧🇷 22 🇧🇷🇧🇷 22,QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
youtube#commentThread,6PbvgeE-JdqnVzH5RBW93T_b2mo,Ugw0rFWwzD9ijLU1BBV4AaABAg,"{'videoId': '-x0FJ9kL8gw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jEw5njGpFZTdt9hHrthi1YDfKeI', 'id': 'Ugw0rFWwzD9ijLU1BBV4AaABAg', 'snippet': {'videoId': '-x0FJ9kL8gw', 'textDisplay': 'Mães...votem em outro!!!!! Esse homem olha p crianças como se fossem mulheres. É o Anticristo', 'textOriginal': 'Mães...votem em outro!!!!! Esse homem olha p crianças como se fossem mulheres. É o Anticristo', 'authorDisplayName': 'Mia Marcia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNS4pJnmHPkxlOP-1Pnqo7Tl3GgwLRyQ_IvdbDKmQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-OC0z78qLgGvdoq6F4nmkA', 'authorChannelId': {'value': 'UC-OC0z78qLgGvdoq6F4nmkA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T15:28:55Z', 'updatedAt': '2022-10-25T15:28:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-OC0z78qLgGvdoq6F4nmkA,2022-10-25T15:28:55Z,Mães...votem em outro!!!!! Esse homem olha p crianças como se fossem mulheres. É o Anticristo,QURTSl9pM0hqUGJXNy1sdGNrNmdEb2pzT1l3bkswMHR3d3hjSGhkdEpzRk5ralUtTS1oV2IzN1QyMXBZQ0t0NEFwZWluWDU4azV6ZlZWMA==,2023-06-08 01:45:02.349020
