kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,TW8GU9CRWkuhuunnM-NTiMWPKp0,UgxWf7FwohioNney6bJ4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ioyywbybb_WeXiiPV9yOkI0T84o', 'id': 'UgxWf7FwohioNney6bJ4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'Amei a dona que separou política de religião', 'textOriginal': 'Amei a dona que separou política de religião', 'authorDisplayName': 'César Martins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNwQBPNZJyKOLmTb-n8-v6mGTgoUkNT3T1PHg0ccn0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1HEFxeRpvKN51pJF3gDjKQ', 'authorChannelId': {'value': 'UC1HEFxeRpvKN51pJF3gDjKQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-08T16:18:43Z', 'updatedAt': '2023-03-08T16:18:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1HEFxeRpvKN51pJF3gDjKQ,2023-03-08T16:18:43Z,Amei a dona que separou política de religião,,2023-06-08 01:45:48.557359
youtube#commentThread,uatRLc_s0zygwkoXLRhLF0ahgi4,UgwLwFSdS8uplxnGIJZ4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jmTUPUaxTmLYBTHjNfNsgXGVUsM', 'id': 'UgwLwFSdS8uplxnGIJZ4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'Fala chavoso, estou assistindo documentário, sou Policial Militar, morador da vila Brasilândia a 34 anos. Estou gostando muito, estou no quinto epsódio, no dia que precisar ouvir um policial estou a disposição.', 'textOriginal': 'Fala chavoso, estou assistindo documentário, sou Policial Militar, morador da vila Brasilândia a 34 anos. Estou gostando muito, estou no quinto epsódio, no dia que precisar ouvir um policial estou a disposição.', 'authorDisplayName': 'diego santana de souza felix', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN1__wjYXXazBXT4XkEoeFicS1gqfv1RFZHM_6cFg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCz6OWZcp0EVhsAE8p1n6X9Q', 'authorChannelId': {'value': 'UCz6OWZcp0EVhsAE8p1n6X9Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-04T20:26:51Z', 'updatedAt': '2023-01-04T20:26:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCz6OWZcp0EVhsAE8p1n6X9Q,2023-01-04T20:26:51Z,"Fala chavoso, estou assistindo documentário, sou Policial Militar, morador da vila Brasilândia a 34 anos. Estou gostando muito, estou no quinto epsódio, no dia que precisar ouvir um policial estou a disposição.",,2023-06-08 01:45:48.557359
youtube#commentThread,9wLijG_AeDhZvJsrVgfRzi03EgI,UgxIdS7FnDyML9qFR2x4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4ki0-kIgoaPJeXdHCd-AOHOB11Y', 'id': 'UgxIdS7FnDyML9qFR2x4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'parabéns dnv pelo trampooo', 'textOriginal': 'parabéns dnv pelo trampooo', 'authorDisplayName': 'Gabriela Spínola', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM7ZUv-k67vA3ZMu_SZ4ZLDV7ZqXKBzHYaE3Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6n6QPwQ-BejOB5iIfQi6Yw', 'authorChannelId': {'value': 'UC6n6QPwQ-BejOB5iIfQi6Yw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-12T15:42:31Z', 'updatedAt': '2022-12-12T15:42:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6n6QPwQ-BejOB5iIfQi6Yw,2022-12-12T15:42:31Z,parabéns dnv pelo trampooo,,2023-06-08 01:45:48.557359
youtube#commentThread,p8kymiwrXEn3y5yXf8wEZKoj73Q,UgztmzFnCQp5vrSY93B4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dxQyrWNZ8ByIWzZVoOjfIGSHknc', 'id': 'UgztmzFnCQp5vrSY93B4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'Mais pra ajudar a engajar.', 'textOriginal': 'Mais pra ajudar a engajar.', 'authorDisplayName': 'eduardo froio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP5HiVYuzeV65T6O4Mj7uGbgGyPC97yW0LVMg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCt_-kPUuugshm2dyOkMQHvw', 'authorChannelId': {'value': 'UCt_-kPUuugshm2dyOkMQHvw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-20T22:23:40Z', 'updatedAt': '2022-11-20T22:23:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCt_-kPUuugshm2dyOkMQHvw,2022-11-20T22:23:40Z,Mais pra ajudar a engajar.,,2023-06-08 01:45:48.557359
youtube#commentThread,5CMSFf8gDvPsJS-RPcQXJqUlk4o,UgxSN0Bkbvlk4v_Ql-d4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SLm8koAof-bw0B2f29ZYHf8ZxBI', 'id': 'UgxSN0Bkbvlk4v_Ql-d4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'Top', 'textOriginal': 'Top', 'authorDisplayName': 'eduardo froio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP5HiVYuzeV65T6O4Mj7uGbgGyPC97yW0LVMg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCt_-kPUuugshm2dyOkMQHvw', 'authorChannelId': {'value': 'UCt_-kPUuugshm2dyOkMQHvw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-20T22:23:20Z', 'updatedAt': '2022-11-20T22:23:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCt_-kPUuugshm2dyOkMQHvw,2022-11-20T22:23:20Z,Top,,2023-06-08 01:45:48.557359
youtube#commentThread,ZqEHnYuCDZ3bGOt-RzVwREabYZw,UgzZb0OkIiFDq7tRQLB4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'nfQ9QXRb4L2ZPQDzB5oW2_ORgac', 'id': 'UgzZb0OkIiFDq7tRQLB4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'Top', 'textOriginal': 'Top', 'authorDisplayName': 'eduardo froio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP5HiVYuzeV65T6O4Mj7uGbgGyPC97yW0LVMg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCt_-kPUuugshm2dyOkMQHvw', 'authorChannelId': {'value': 'UCt_-kPUuugshm2dyOkMQHvw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-20T22:23:16Z', 'updatedAt': '2022-11-20T22:23:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCt_-kPUuugshm2dyOkMQHvw,2022-11-20T22:23:16Z,Top,,2023-06-08 01:45:48.557359
youtube#commentThread,6HFYpYbzalSfgK2kHNzK6kDFw1g,UgzF87GwfiPxZAoGjsF4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YglEGfA_qn9om84nQSbn478ycv4', 'id': 'UgzF87GwfiPxZAoGjsF4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'Top', 'textOriginal': 'Top', 'authorDisplayName': 'eduardo froio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP5HiVYuzeV65T6O4Mj7uGbgGyPC97yW0LVMg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCt_-kPUuugshm2dyOkMQHvw', 'authorChannelId': {'value': 'UCt_-kPUuugshm2dyOkMQHvw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-20T22:23:11Z', 'updatedAt': '2022-11-20T22:23:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCt_-kPUuugshm2dyOkMQHvw,2022-11-20T22:23:11Z,Top,,2023-06-08 01:45:48.557359
youtube#commentThread,J1U5yzu9F_9FZ5TimgvohsUyJpE,UgwPfE2FfIBCrW_ngeh4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UW1TUe10QJefyPGEWa4njnkCZ9U', 'id': 'UgwPfE2FfIBCrW_ngeh4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'maravilhoso esse seu trabalho, chavoso!!!', 'textOriginal': 'maravilhoso esse seu trabalho, chavoso!!!', 'authorDisplayName': 'Bolsa de bolota branca', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOtpxZ3A9xQCd0rVI3MVnmICUAipv5I8833jod1TrzWhsj21M9_G9WKfb2OPxl4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC62LwkPW0Sopti0qiqHwU7g', 'authorChannelId': {'value': 'UC62LwkPW0Sopti0qiqHwU7g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T20:09:31Z', 'updatedAt': '2022-11-02T20:09:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC62LwkPW0Sopti0qiqHwU7g,2022-11-02T20:09:31Z,"maravilhoso esse seu trabalho, chavoso!!!",,2023-06-08 01:45:48.557359
youtube#commentThread,M-ykBvYji_NpPUVQwBoL0344feE,UgyLKLoYCjgiUwtJ1814AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4_uULKltBD7yp_Q9bC8w3caDg-A', 'id': 'UgyLKLoYCjgiUwtJ1814AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'O voto é muito importante por isso tem que ser estudado e não influenciado.', 'textOriginal': 'O voto é muito importante por isso tem que ser estudado e não influenciado.', 'authorDisplayName': 'Geovanna Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOBkIYVK0klLPoFtJy-TEx-yAcDsSwiL2HS_8-6efCjqsX6TP93Wc-8cVeUYa-X=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCpS-p4QD_JuCN8KG4W0Dh0A', 'authorChannelId': {'value': 'UCpS-p4QD_JuCN8KG4W0Dh0A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T04:05:46Z', 'updatedAt': '2022-10-23T04:05:46Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCpS-p4QD_JuCN8KG4W0Dh0A,2022-10-23T04:05:46Z,O voto é muito importante por isso tem que ser estudado e não influenciado.,,2023-06-08 01:45:48.557359
youtube#commentThread,aLBuXC1mZOlQ3QiO9k0RGxK6Uks,Ugw9a9RHtlyK14C7bwd4AaABAg,"{'videoId': 'KTYbyGj4BnE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HUXn6Ks4_g72Le-ZEZJPdqdm6xs', 'id': 'Ugw9a9RHtlyK14C7bwd4AaABAg', 'snippet': {'videoId': 'KTYbyGj4BnE', 'textDisplay': 'A Cleide é incrível 🥺', 'textOriginal': 'A Cleide é incrível 🥺', 'authorDisplayName': 'Nicolle Cristine', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOY2Q3fhvxWk_teuUGQQyQTlJr00DMCnE6tPSVt3g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFbgQlkF4KnADH_afkOPDLA', 'authorChannelId': {'value': 'UCFbgQlkF4KnADH_afkOPDLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T21:24:40Z', 'updatedAt': '2022-10-21T21:24:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFbgQlkF4KnADH_afkOPDLA,2022-10-21T21:24:40Z,A Cleide é incrível 🥺,,2023-06-08 01:45:48.557359
