kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,DXc-E4oy1qume6EA_ngD4I8mXVc,UgxGF-LQUdgaGjrlyl94AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YX8KckblzcUA7ZiH9TawbF2cWLY', 'id': 'UgxGF-LQUdgaGjrlyl94AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Pastor do diabo.', 'textOriginal': 'Pastor do diabo.', 'authorDisplayName': 'Fernando Cardoso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOqKYC3L0iJs2PPVblUSN4vQEH4pKQTcmzDtcJM88JZ3Nt6pcSFPbMAtqY4RpdZ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRzPrjShKc4slmkn6NuZVPg', 'authorChannelId': {'value': 'UCRzPrjShKc4slmkn6NuZVPg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T12:10:13Z', 'updatedAt': '2022-10-28T12:10:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRzPrjShKc4slmkn6NuZVPg,2022-10-28T12:10:13Z,Pastor do diabo.,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,cDkSbN-zvH1CG1zHh99CFFH7ajo,Ugxdtu5LdqPBnyeD16B4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FGNQfDxmaXp1x27tcZ2YW70Q3T0', 'id': 'Ugxdtu5LdqPBnyeD16B4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Ninguém respeita a quem não se respeita.', 'textOriginal': 'Ninguém respeita a quem não se respeita.', 'authorDisplayName': 'Hercilia Peres', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMZrNAMB24Q5xVrRelAtbA92lvfBfT2yy6eiQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkYkbjYhkyRiEIH2LMe8VOA', 'authorChannelId': {'value': 'UCkYkbjYhkyRiEIH2LMe8VOA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T04:01:45Z', 'updatedAt': '2022-10-28T04:01:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkYkbjYhkyRiEIH2LMe8VOA,2022-10-28T04:01:45Z,Ninguém respeita a quem não se respeita.,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,Uh_7q_X_08QyCyB4ZRr5U-Th8cc,UgxRcfePxoVHEKdEsZh4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'VpGleBLj7lmYsq7zTerOUxU426Y', 'id': 'UgxRcfePxoVHEKdEsZh4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Roberto Jefferson pode ser qualquer coisa mais inocente? Tá de brincadeira!  Tá querendo enganar quem, depois de tudo o que saiu na mídia?', 'textOriginal': 'Roberto Jefferson pode ser qualquer coisa mais inocente? Tá de brincadeira!  Tá querendo enganar quem, depois de tudo o que saiu na mídia?', 'authorDisplayName': 'Hercilia Peres', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMZrNAMB24Q5xVrRelAtbA92lvfBfT2yy6eiQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkYkbjYhkyRiEIH2LMe8VOA', 'authorChannelId': {'value': 'UCkYkbjYhkyRiEIH2LMe8VOA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T04:00:54Z', 'updatedAt': '2022-10-28T04:00:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkYkbjYhkyRiEIH2LMe8VOA,2022-10-28T04:00:54Z,"Roberto Jefferson pode ser qualquer coisa mais inocente? Tá de brincadeira!  Tá querendo enganar quem, depois de tudo o que saiu na mídia?",QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,-op028FIwcdajCl_ufIJMa93gDk,UgwoTzFXp52SWSAysQ14AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'H-izEpUJ_PEK4ATJVerrCLSxUb8', 'id': 'UgwoTzFXp52SWSAysQ14AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'PQP kkkkkkkk<br>Miiiisericordia', 'textOriginal': 'PQP kkkkkkkk\\nMiiiisericordia', 'authorDisplayName': 'lurdesbortolato', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNtnx5d9sT0Gg0ETOVaZ_ohzcIbKQ2E-CH0BA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCc619Lx_zO098bbv4EUs3LQ', 'authorChannelId': {'value': 'UCc619Lx_zO098bbv4EUs3LQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T01:35:30Z', 'updatedAt': '2022-10-28T01:35:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCc619Lx_zO098bbv4EUs3LQ,2022-10-28T01:35:30Z,"PQP kkkkkkkk
Miiiisericordia",QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,pYNuy-SgW6UkxT6y3fZoD73WuaA,Ugzo50yjj8oNSLjp4nh4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kOfac5xiHJc8WdIeMVF84BXelsQ', 'id': 'Ugzo50yjj8oNSLjp4nh4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'BOZO O JIM JONES BRASILEIROS E ELE E SEUS  ASSECLAS  VÃO TER O MESMO DESTINO. EU LI UM AMEM?.', 'textOriginal': 'BOZO O JIM JONES BRASILEIROS E ELE E SEUS  ASSECLAS  VÃO TER O MESMO DESTINO. EU LI UM AMEM?.', 'authorDisplayName': 'Franco Pesca amadora', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMOxVrV76J2-QPsUyHFoThgGGxavC7BFgL9QQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKjZ-Cz95khiPQRA9nazfSg', 'authorChannelId': {'value': 'UCKjZ-Cz95khiPQRA9nazfSg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T17:00:56Z', 'updatedAt': '2022-10-27T17:00:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKjZ-Cz95khiPQRA9nazfSg,2022-10-27T17:00:56Z,BOZO O JIM JONES BRASILEIROS E ELE E SEUS  ASSECLAS  VÃO TER O MESMO DESTINO. EU LI UM AMEM?.,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,hxKwmKj_RSkkXfH8qpvLc2Qf0U4,UgzmDnqA4yT2-ZdbJYd4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '106V-SJ6pydDdeiujq_m0lW6wv0', 'id': 'UgzmDnqA4yT2-ZdbJYd4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Kkkkkkk', 'textOriginal': 'Kkkkkkk', 'authorDisplayName': 'Anna Cláudia Buarque', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPc7rDsHJ7ORCE6U2tpdo33AGPMQUN_SGKhnpBGEzsw54z4gBhgDaOzIx1WJ-zs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRvrILPgHlisrEjhdhyCEJw', 'authorChannelId': {'value': 'UCRvrILPgHlisrEjhdhyCEJw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T16:46:55Z', 'updatedAt': '2022-10-27T16:46:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRvrILPgHlisrEjhdhyCEJw,2022-10-27T16:46:55Z,Kkkkkkk,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,lDSI0WDHYRP5GajoZ8gIqYdywKY,Ugxn7wr1KQywPwH6FmR4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'oEwggo8oOwP71SSISlG8Oa1hndo', 'id': 'Ugxn7wr1KQywPwH6FmR4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Como um palhaço pode ser tão estúpido? Cara bizarro o Otoni de lixo.', 'textOriginal': 'Como um palhaço pode ser tão estúpido? Cara bizarro o Otoni de lixo.', 'authorDisplayName': 'Cie e seus bichanos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/cbjbhhu4INpbIzBZ3wwlAze4LNrqhkrZXTTCx89p8ieifD24mMH9sywu4BoxjJYfWgl9CKLSrg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcQeJWxgmb_pFl7pGspAVxw', 'authorChannelId': {'value': 'UCcQeJWxgmb_pFl7pGspAVxw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T15:05:24Z', 'updatedAt': '2022-10-27T15:05:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcQeJWxgmb_pFl7pGspAVxw,2022-10-27T15:05:24Z,Como um palhaço pode ser tão estúpido? Cara bizarro o Otoni de lixo.,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,PFI5u6c3DtxgRgqITQW-BNbcXVY,Ugwi8s4ewJWvN8UZPUR4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'v54SXAIpXRdIHFfv8f-SoDPbJQg', 'id': 'Ugwi8s4ewJWvN8UZPUR4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Que pena que não prenderam o padre kelmon por falsidade de batina', 'textOriginal': 'Que pena que não prenderam o padre kelmon por falsidade de batina', 'authorDisplayName': 'David Willian da silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFPzx9mauJzBToLgSswsBcIb5iThkOP7PaxvsyjovwkPly2ZCVQEIKsz3i0IpS=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRHupLklFOudzH8rY6UXN8w', 'authorChannelId': {'value': 'UCRHupLklFOudzH8rY6UXN8w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T10:10:18Z', 'updatedAt': '2022-10-27T10:10:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRHupLklFOudzH8rY6UXN8w,2022-10-27T10:10:18Z,Que pena que não prenderam o padre kelmon por falsidade de batina,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,HbEc3YgVC4AI7f3S70Ge0r8tkb4,UgzRyrLIVMgo1hbLJVJ4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hPyOXnAnvNYzDzVhz0kSKTb5Bio', 'id': 'UgzRyrLIVMgo1hbLJVJ4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Que nojo escutar tanta mentira e merda desse falso messias do Planalto', 'textOriginal': 'Que nojo escutar tanta mentira e merda desse falso messias do Planalto', 'authorDisplayName': 'David Willian da silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFPzx9mauJzBToLgSswsBcIb5iThkOP7PaxvsyjovwkPly2ZCVQEIKsz3i0IpS=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRHupLklFOudzH8rY6UXN8w', 'authorChannelId': {'value': 'UCRHupLklFOudzH8rY6UXN8w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T10:04:48Z', 'updatedAt': '2022-10-27T10:04:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRHupLklFOudzH8rY6UXN8w,2022-10-27T10:04:48Z,Que nojo escutar tanta mentira e merda desse falso messias do Planalto,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
youtube#commentThread,cFztAJ08-e5Nzu_Cov9akr9SvbY,Ugz3FKySUAq5jivFx2Z4AaABAg,"{'videoId': 'XfkZbaDBGMs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kLu5CpIGpx-AW53vXyDR9D2DAb4', 'id': 'Ugz3FKySUAq5jivFx2Z4AaABAg', 'snippet': {'videoId': 'XfkZbaDBGMs', 'textDisplay': 'Aqui onde moro é o horário de mentira eleitoral gratuita do mito nas rádios', 'textOriginal': 'Aqui onde moro é o horário de mentira eleitoral gratuita do mito nas rádios', 'authorDisplayName': 'David Willian da silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFPzx9mauJzBToLgSswsBcIb5iThkOP7PaxvsyjovwkPly2ZCVQEIKsz3i0IpS=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRHupLklFOudzH8rY6UXN8w', 'authorChannelId': {'value': 'UCRHupLklFOudzH8rY6UXN8w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T10:03:40Z', 'updatedAt': '2022-10-27T10:03:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRHupLklFOudzH8rY6UXN8w,2022-10-27T10:03:40Z,Aqui onde moro é o horário de mentira eleitoral gratuita do mito nas rádios,QURTSl9pMlE0NGdwNTNpMUNITTBfbVRUeXozcmpvUUtOQ0E5bW1uTDdYWUZURHFwVXUxRlJHaENHWlM0NTlFTGZJQXF5V2d5Y3FWZndmMA==,2023-06-08 01:48:36.714544
