kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,-ZDrrZP33eLabjO-ZFwx2OiuKL4,Ugzqnt1vsiDwLT82DH54AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dwo-SfhC4yR2LXKW1l5sO7Nzfzk', 'id': 'Ugzqnt1vsiDwLT82DH54AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'Que tal um documentário sobre o democrata da Venezuela e como os pets passaram a fazer parte do cardápio ou como deve ser maravilhoso viver em um país onde 94% da população se encontra a baixo da linha da pobreza?', 'textOriginal': 'Que tal um documentário sobre o democrata da Venezuela e como os pets passaram a fazer parte do cardápio ou como deve ser maravilhoso viver em um país onde 94% da população se encontra a baixo da linha da pobreza?', 'authorDisplayName': 'Jackeline Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNjGP65qsE_V2LUEiTIieQiBTQrc4dTtaQ_zg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCP1xDW6Izq5RJpTB_PiiDCw', 'authorChannelId': {'value': 'UCP1xDW6Izq5RJpTB_PiiDCw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-04T12:01:31Z', 'updatedAt': '2023-06-04T12:01:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCP1xDW6Izq5RJpTB_PiiDCw,2023-06-04T12:01:31Z,Que tal um documentário sobre o democrata da Venezuela e como os pets passaram a fazer parte do cardápio ou como deve ser maravilhoso viver em um país onde 94% da população se encontra a baixo da linha da pobreza?,QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,RdsLpZYByJhlQ-MqcQGo2UorVtg,UgzlDAT4EBWbFBZERGd4AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gmRQRWBUnvyggp7AcKg_h33_YJQ', 'id': 'UgzlDAT4EBWbFBZERGd4AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'E AGORA O BRASIL TEM UM NOVO PROBLEMA, PIOR QUE A DIREITA: É A EXTREMA ESQUERDA: ALTAMENTE FASCISTA, STALINISTA, CASTRISTA, REMAR TUDO DE NOVO PARA PODER NÃO ELEGER MAIS ESSES LOUCOS COMO: BOLSONARO, LULA, BOULOS E CIRO.', 'textOriginal': 'E AGORA O BRASIL TEM UM NOVO PROBLEMA, PIOR QUE A DIREITA: É A EXTREMA ESQUERDA: ALTAMENTE FASCISTA, STALINISTA, CASTRISTA, REMAR TUDO DE NOVO PARA PODER NÃO ELEGER MAIS ESSES LOUCOS COMO: BOLSONARO, LULA, BOULOS E CIRO.', 'authorDisplayName': 'transport around the world', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqON6jzsOEy9cI3PPpznddInADcZiX0bRLlq_Q1DkIfMCwsBV7KEfPP6sAI433Vn=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjaC0FpFGIBasOBdwLEC_XA', 'authorChannelId': {'value': 'UCjaC0FpFGIBasOBdwLEC_XA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-16T15:43:18Z', 'updatedAt': '2023-05-16T15:43:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjaC0FpFGIBasOBdwLEC_XA,2023-05-16T15:43:18Z,"E AGORA O BRASIL TEM UM NOVO PROBLEMA, PIOR QUE A DIREITA: É A EXTREMA ESQUERDA: ALTAMENTE FASCISTA, STALINISTA, CASTRISTA, REMAR TUDO DE NOVO PARA PODER NÃO ELEGER MAIS ESSES LOUCOS COMO: BOLSONARO, LULA, BOULOS E CIRO.",QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,4JA5DCD7RvBRwOFTjj-6lTCPhEI,Ugxa9Gx_lE6eEM7wDY14AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'EwVndVwQX91J-21i5IqSRysgeX8', 'id': 'Ugxa9Gx_lE6eEM7wDY14AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'A extrema esquerda não respeita a democracia é só olhar os presidentes de esquerda como Nicolas maduro, Evo Morales, Daniel Ortega e olha oque eles trouxeram para seus países a ditadura', 'textOriginal': 'A extrema esquerda não respeita a democracia é só olhar os presidentes de esquerda como Nicolas maduro, Evo Morales, Daniel Ortega e olha oque eles trouxeram para seus países a ditadura', 'authorDisplayName': 'Jesus Cristo era negro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/bOaT6g6Rv3w1wdCauJsWa55Bzfi3iadXagO5DjziJDoVTQZdjEgmp_XtdzX7MfSzOFFqOtvL=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_DwHOxU7Prlun2-5fg54Fg', 'authorChannelId': {'value': 'UC_DwHOxU7Prlun2-5fg54Fg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-16T02:52:21Z', 'updatedAt': '2023-05-16T02:52:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_DwHOxU7Prlun2-5fg54Fg,2023-05-16T02:52:21Z,"A extrema esquerda não respeita a democracia é só olhar os presidentes de esquerda como Nicolas maduro, Evo Morales, Daniel Ortega e olha oque eles trouxeram para seus países a ditadura",QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,AlUxrSqI2FADVIqr49bg2JLJsnA,UgzXD0GhkoohofqHWN94AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uXsxWh7ei_g6UddUXZTbUBnnu1M', 'id': 'UgzXD0GhkoohofqHWN94AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': '&quot;forças políticas tradicionais&quot; ou seja meus amigos, o Establishment. O sistema em peso se uniu para derrotar Bolsonaro e tudo que ele representa. Se alguém ainda tinha dúvidas de que a política brasileira era um teatro, aonde todos fingiam ser inimigos políticos, mas que no fundo eram todos amigos e lutavam pelos mesmos interesses, essa eleição de 2022 provou isso. Ai daquele que ousar lutar ou bater de frente com o sistema. O resultado dessa &quot;aliança democrática&quot; será catastrófico lá na frente.', 'textOriginal': '""forças políticas tradicionais"" ou seja meus amigos, o Establishment. O sistema em peso se uniu para derrotar Bolsonaro e tudo que ele representa. Se alguém ainda tinha dúvidas de que a política brasileira era um teatro, aonde todos fingiam ser inimigos políticos, mas que no fundo eram todos amigos e lutavam pelos mesmos interesses, essa eleição de 2022 provou isso. Ai daquele que ousar lutar ou bater de frente com o sistema. O resultado dessa ""aliança democrática"" será catastrófico lá na frente.', 'authorDisplayName': 'Gabriel Lucas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/CNooJUXeCiC-OYlgp5iXNlh88xpCTljCGW973ay5HD29iH-smCuEXMozuxx942QuV0PE33ET7g8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWMHifCw8NfwpXRkHoSOUFg', 'authorChannelId': {'value': 'UCWMHifCw8NfwpXRkHoSOUFg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-05-05T14:05:23Z', 'updatedAt': '2023-05-05T14:22:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCWMHifCw8NfwpXRkHoSOUFg,2023-05-05T14:05:23Z,"""forças políticas tradicionais"" ou seja meus amigos, o Establishment. O sistema em peso se uniu para derrotar Bolsonaro e tudo que ele representa. Se alguém ainda tinha dúvidas de que a política brasileira era um teatro, aonde todos fingiam ser inimigos políticos, mas que no fundo eram todos amigos e lutavam pelos mesmos interesses, essa eleição de 2022 provou isso. Ai daquele que ousar lutar ou bater de frente com o sistema. O resultado dessa ""aliança democrática"" será catastrófico lá na frente.",QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,9M6wGxBD9v0lIxJ1SKkE6WcRNNg,UgzqbAsMGRahtwhf6Yd4AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2Wh4s9UuZ6rqYKYqUvBTHUIgeLg', 'id': 'UgzqbAsMGRahtwhf6Yd4AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'Vish cai num canal q defende bandido Ladrão', 'textOriginal': 'Vish cai num canal q defende bandido Ladrão', 'authorDisplayName': 'Wanderson D. Rami', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Zq77mR6AhYWy8HOuWhEoI52QBhTCeNILBjxiGIwCeMZjv7V_RF5U4VMdDOjDuOOOeCJn-HYprg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCvr4thDMXyMYj5hszmHP5NA', 'authorChannelId': {'value': 'UCvr4thDMXyMYj5hszmHP5NA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-14T19:55:52Z', 'updatedAt': '2023-04-14T19:55:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCvr4thDMXyMYj5hszmHP5NA,2023-04-14T19:55:52Z,Vish cai num canal q defende bandido Ladrão,QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,whPaool92rquUC1VxVSAhvEGEIc,Ugwe3y2eB2areIzio454AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'M2Zsx4Y9KvSLEd6KaPQZkEDOGO4', 'id': 'Ugwe3y2eB2areIzio454AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'Ir pra Cuba ninguém quer?<br>Pacotes fácil e sem burocracia!<br>preferir  Rússia 59% pra homem &lt; 40 aninhos, incluso café da manhã na Ucrânia!<br>Temos pacotes pra missionários na Venezuela! Top das galáxias de emoção!<br>Estamos preparando Coreria do Norte seja dono de 100000 alqueires! Ps are tudo ou se não vc vai conhecer o o hum do Kim Jon!<br>Diversão pra toda família!<br>😮', 'textOriginal': 'Ir pra Cuba ninguém quer?\\nPacotes fácil e sem burocracia!\\npreferir  Rússia 59% pra homem < 40 aninhos, incluso café da manhã na Ucrânia!\\nTemos pacotes pra missionários na Venezuela! Top das galáxias de emoção!\\nEstamos preparando Coreria do Norte seja dono de 100000 alqueires! Ps are tudo ou se não vc vai conhecer o o hum do Kim Jon!\\nDiversão pra toda família!\\n😮', 'authorDisplayName': 'Zeno Dolinski', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO3JGXTkc6xVTEu2BbuWrb8BGlSzwNlM8AOng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChpCOPUajBJlUjK80aIHqbQ', 'authorChannelId': {'value': 'UChpCOPUajBJlUjK80aIHqbQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-04-04T04:56:01Z', 'updatedAt': '2023-04-04T04:56:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChpCOPUajBJlUjK80aIHqbQ,2023-04-04T04:56:01Z,"Ir pra Cuba ninguém quer?
Pacotes fácil e sem burocracia!
preferir  Rússia 59% pra homem < 40 aninhos, incluso café da manhã na Ucrânia!
Temos pacotes pra missionários na Venezuela! Top das galáxias de emoção!
Estamos preparando Coreria do Norte seja dono de 100000 alqueires! Ps are tudo ou se não vc vai conhecer o o hum do Kim Jon!
Diversão pra toda família!
😮",QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,Nl7cuu4zTcz1rExwbyoVKzcGmW8,UgxVbwidabOOAZAoup14AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'F6jq8IjGlGKjyO0MC8hKPpTH3S4', 'id': 'UgxVbwidabOOAZAoup14AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'Democracia aqui quem dita é Xandão!<br>Nem Lula nem ninguém!', 'textOriginal': 'Democracia aqui quem dita é Xandão!\\nNem Lula nem ninguém!', 'authorDisplayName': 'Zeno Dolinski', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO3JGXTkc6xVTEu2BbuWrb8BGlSzwNlM8AOng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChpCOPUajBJlUjK80aIHqbQ', 'authorChannelId': {'value': 'UChpCOPUajBJlUjK80aIHqbQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-04T04:40:10Z', 'updatedAt': '2023-04-04T04:57:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChpCOPUajBJlUjK80aIHqbQ,2023-04-04T04:40:10Z,"Democracia aqui quem dita é Xandão!
Nem Lula nem ninguém!",QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,gCfgN7xDImA_8TsmUi0dPViwW7U,UgzeQSOApVZYr6S-sWV4AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'v7Jo2rx51OAJRhymWfalAXjyCpw', 'id': 'UgzeQSOApVZYr6S-sWV4AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'É Lula lá na sua...<br>Lula é lindo saci da esquerda ou da direita extrema direita bom sei lá saci subiu no unicórnio e vai soltar fogo pelas ventas!<br>Toma toxicidade!', 'textOriginal': 'É Lula lá na sua...\\nLula é lindo saci da esquerda ou da direita extrema direita bom sei lá saci subiu no unicórnio e vai soltar fogo pelas ventas!\\nToma toxicidade!', 'authorDisplayName': 'Zeno Dolinski', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO3JGXTkc6xVTEu2BbuWrb8BGlSzwNlM8AOng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChpCOPUajBJlUjK80aIHqbQ', 'authorChannelId': {'value': 'UChpCOPUajBJlUjK80aIHqbQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-04T04:39:17Z', 'updatedAt': '2023-04-04T04:39:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChpCOPUajBJlUjK80aIHqbQ,2023-04-04T04:39:17Z,"É Lula lá na sua...
Lula é lindo saci da esquerda ou da direita extrema direita bom sei lá saci subiu no unicórnio e vai soltar fogo pelas ventas!
Toma toxicidade!",QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,GP0gHjvx98YzdnFiEkPplR9YtqI,Ugxy44ViOjpTiimn62p4AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1J42oy5L4sDo6JlESavo2YgkGv8', 'id': 'Ugxy44ViOjpTiimn62p4AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': '😂😂😂😂 mais uma vez a mídia mostra que tem um lado.', 'textOriginal': '😂😂😂😂 mais uma vez a mídia mostra que tem um lado.', 'authorDisplayName': 'Matheus Urani', 'authorProfileImageUrl': 'https://yt3.ggpht.com/TlLODQdkHeqbE8QNEqStg1bb4f98boDsQiadNsTCdY_E8fpo69ggBfBByD9ZolN_17ZhnsFCdw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3pl6nJgPy8yg9TeP_D5XbA', 'authorChannelId': {'value': 'UC3pl6nJgPy8yg9TeP_D5XbA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-03-27T00:19:54Z', 'updatedAt': '2023-03-27T00:19:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3pl6nJgPy8yg9TeP_D5XbA,2023-03-27T00:19:54Z,😂😂😂😂 mais uma vez a mídia mostra que tem um lado.,QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
youtube#commentThread,8WrpU2NUCtbVGI_cmW6xEYE3Uog,UgwRhn_jL42xDY1rbS54AaABAg,"{'videoId': 'pRpxc1QKhio', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uFm8YkkD0em3OXdVoF_9HmBN1lg', 'id': 'UgwRhn_jL42xDY1rbS54AaABAg', 'snippet': {'videoId': 'pRpxc1QKhio', 'textDisplay': 'tse roubou a eleição voces continua mentindo', 'textOriginal': 'tse roubou a eleição voces continua mentindo', 'authorDisplayName': '777 Edition', 'authorProfileImageUrl': 'https://yt3.ggpht.com/SlnrkK614vue_D-3vCIEGrt9vo7RDrKpTCPSKvqS5rmuHKfkB71qEpJp8N7af77yFB2yvstMAkU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYFcH8NiPQvPonlav-iUYgQ', 'authorChannelId': {'value': 'UCYFcH8NiPQvPonlav-iUYgQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-18T23:04:47Z', 'updatedAt': '2023-03-18T23:04:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYFcH8NiPQvPonlav-iUYgQ,2023-03-18T23:04:47Z,tse roubou a eleição voces continua mentindo,QURTSl9pMGU2Znpjb1dRWXEwQ29kQktkUURRajByaG4wZ18zUGFxb1RJSDVpRnhWUUY4MWI3dUNwaGIwTVBybUo1YWZ0YmtjSTE2eko5RQ==,2023-06-08 11:52:12.018985
