kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,QdQP9Z-a3vUBV07phXrQ4uBJ4As,UgxLxW3mG0uikqA6h554AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fc4Wrq3Qow49hz90Rd3h7oRGkNc', 'id': 'UgxLxW3mG0uikqA6h554AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Você, está explicando existia no governo do bozó, ainda falava, Deus pátria e família,', 'textOriginal': 'Você, está explicando existia no governo do bozó, ainda falava, Deus pátria e família,', 'authorDisplayName': 'Elza Terezinha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOWKIUjAbJCTgD0AZZiXoJHkigCULiQjkBMVRgjf7DuU324mkZ4ENqQVs_hJsJT=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbtwFY2wLgLoN12TUoHX4-A', 'authorChannelId': {'value': 'UCbtwFY2wLgLoN12TUoHX4-A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-31T12:56:30Z', 'updatedAt': '2023-03-31T12:56:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbtwFY2wLgLoN12TUoHX4-A,2023-03-31T12:56:30Z,"Você, está explicando existia no governo do bozó, ainda falava, Deus pátria e família,",QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,mgqxsJFHrpAoMDfVEaFd3-flnZk,UgwR3oV5zjiYb3WrwVx4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4_JHqoUPgQcXLG77_g8u_6aDnjQ', 'id': 'UgwR3oV5zjiYb3WrwVx4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Mas até com o padre Júlio Lancelot ? Vão mexer e defamar ? São muitosujos .', 'textOriginal': 'Mas até com o padre Júlio Lancelot ? Vão mexer e defamar ? São muitosujos .', 'authorDisplayName': 'Cilene Araújo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP7tCv-ZcgSlznnIlI3lD1L00U8_xK2wo2thgnkRUw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCL-H53LpdC5DmqVYCnovA7A', 'authorChannelId': {'value': 'UCL-H53LpdC5DmqVYCnovA7A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-27T00:55:35Z', 'updatedAt': '2023-03-27T00:55:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCL-H53LpdC5DmqVYCnovA7A,2023-03-27T00:55:35Z,Mas até com o padre Júlio Lancelot ? Vão mexer e defamar ? São muitosujos .,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,iPxd9fbbC7ZohU1qQjUZvQqxYXQ,UgxwJ1ezJM5G9aOvVQ54AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'cNj3n-KnD-JaTmU2CIsIywll3PU', 'id': 'UgxwJ1ezJM5G9aOvVQ54AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Verdade!', 'textOriginal': 'Verdade!', 'authorDisplayName': 'Cilene Araújo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP7tCv-ZcgSlznnIlI3lD1L00U8_xK2wo2thgnkRUw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCL-H53LpdC5DmqVYCnovA7A', 'authorChannelId': {'value': 'UCL-H53LpdC5DmqVYCnovA7A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-27T00:53:58Z', 'updatedAt': '2023-03-27T00:53:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCL-H53LpdC5DmqVYCnovA7A,2023-03-27T00:53:58Z,Verdade!,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,gMAWeIGcuPJNdruB2vW3TGSSLOk,UgyzsZ0T5JqLBDaLMHB4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0EcS58vYUOnSDzD0FEydxydcQso', 'id': 'UgyzsZ0T5JqLBDaLMHB4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Vocês alertaram o horror que viria, com o bolsonarismo.', 'textOriginal': 'Vocês alertaram o horror que viria, com o bolsonarismo.', 'authorDisplayName': 'Lou Cherobim', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO9HIOCL_wr9vaEhOZzp2RkfqI9OWnKug8Krw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCw11YAG7GQ75z_ezgVtmNMA', 'authorChannelId': {'value': 'UCw11YAG7GQ75z_ezgVtmNMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-12T11:29:51Z', 'updatedAt': '2023-01-12T11:29:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCw11YAG7GQ75z_ezgVtmNMA,2023-01-12T11:29:51Z,"Vocês alertaram o horror que viria, com o bolsonarismo.",QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,FZEZXYksHj0UYWASvG-v6glR-Ws,Ugz08uoudePVdLyf55h4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jntG_FriQRE9akTwwsEPTCODzvM', 'id': 'Ugz08uoudePVdLyf55h4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Só amor constrói', 'textOriginal': 'Só amor constrói', 'authorDisplayName': 'Francisco Martins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOWAYfdONcq0IvOc0u_ue0NfdVpkRoYBqXS6g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXXqqgyqrHlYkL6TmR9TeHQ', 'authorChannelId': {'value': 'UCXXqqgyqrHlYkL6TmR9TeHQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-23T00:34:08Z', 'updatedAt': '2022-12-23T00:34:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXXqqgyqrHlYkL6TmR9TeHQ,2022-12-23T00:34:08Z,Só amor constrói,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,23EFWCmQ7PVx7OIewzC4oxiQJgE,UgzHNhgIUo8j3ebIW-V4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'RMZucKR5OMstRAUfmpfDnsiRS3w', 'id': 'UgzHNhgIUo8j3ebIW-V4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Parabéns, continue na luta Eduardo !', 'textOriginal': 'Parabéns, continue na luta Eduardo !', 'authorDisplayName': 'Adalberto Cordeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNK0ArQT1k75N-P0tBtfKlyS3Y5AQOlJtZcYQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCY99Rs_iZ3LxE9vgj43cjsA', 'authorChannelId': {'value': 'UCY99Rs_iZ3LxE9vgj43cjsA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T01:14:47Z', 'updatedAt': '2022-10-05T01:14:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCY99Rs_iZ3LxE9vgj43cjsA,2022-10-05T01:14:47Z,"Parabéns, continue na luta Eduardo !",QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,XGnlVJ077-ZNNEll7n-UqgUx-Wc,UgxEcnOXLeP06BKECOF4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '21H0uhmvhNRCoBHFvx_80amwrY0', 'id': 'UgxEcnOXLeP06BKECOF4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Deus tenha misericórdia de nosso  Brasil.', 'textOriginal': 'Deus tenha misericórdia de nosso  Brasil.', 'authorDisplayName': 'DINALVAVELOSO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOmkxHQT67wdFmKr7RwmSVOoyEU4C-qiv2rinDULQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3JzOfvN5zwMT9EpDkkAy-w', 'authorChannelId': {'value': 'UC3JzOfvN5zwMT9EpDkkAy-w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T01:01:19Z', 'updatedAt': '2022-10-05T01:01:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3JzOfvN5zwMT9EpDkkAy-w,2022-10-05T01:01:19Z,Deus tenha misericórdia de nosso  Brasil.,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,-r13fJmRgQ5c43S6D3v0uIlxfwY,UgzRXi4uTiY7ih8o_414AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NVXlhJKkbwbbAmDlzTfMdiCBzV4', 'id': 'UgzRXi4uTiY7ih8o_414AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Com o avravante de ser padre', 'textOriginal': 'Com o avravante de ser padre', 'authorDisplayName': 'Maria Caldas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMksXW38O-1VU80mB-lFs3T9aYZQUVPnlLg3fY9_DyCahA_Q4vrL3-uSrL3SZ4U=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJFIFIw6r2v-vmFQaLIkHWA', 'authorChannelId': {'value': 'UCJFIFIw6r2v-vmFQaLIkHWA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T00:56:08Z', 'updatedAt': '2022-10-05T00:56:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCJFIFIw6r2v-vmFQaLIkHWA,2022-10-05T00:56:08Z,Com o avravante de ser padre,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,nQ3qAUmVfgZMgwQMRiUkvSg8yow,UgyJPhsFvhx-s_V6C7F4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'N9bOhvSMNYr8XEerrOxhSXifRQE', 'id': 'UgyJPhsFvhx-s_V6C7F4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Triste demais e o mais triste e vê que muitos estão se deixando se levar por esse discurso de ódio.', 'textOriginal': 'Triste demais e o mais triste e vê que muitos estão se deixando se levar por esse discurso de ódio.', 'authorDisplayName': 'Jane Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/wmuS9YYIM_uFVLIc21Bq5D_bi0GMmdRkCnNI_JzdBywnoF9sc9-RWOkuO453-PsjmK7PlAb7=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcmvHxzO-WwnHHTqWTrZSZg', 'authorChannelId': {'value': 'UCcmvHxzO-WwnHHTqWTrZSZg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T00:42:36Z', 'updatedAt': '2022-10-05T00:42:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcmvHxzO-WwnHHTqWTrZSZg,2022-10-05T00:42:36Z,Triste demais e o mais triste e vê que muitos estão se deixando se levar por esse discurso de ódio.,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
youtube#commentThread,9nXURWjR0KAim9UdsGMyEmyXI4c,UgyJvtfzCZ4CpYaO2zR4AaABAg,"{'videoId': 'kh4Z_a2cnxA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tN9RMEYf4oUiOf20dpOiyU4bHRA', 'id': 'UgyJvtfzCZ4CpYaO2zR4AaABAg', 'snippet': {'videoId': 'kh4Z_a2cnxA', 'textDisplay': 'Vamos cortas a cabeça da serpente do mal bolsonarista enquanto há tempo', 'textOriginal': 'Vamos cortas a cabeça da serpente do mal bolsonarista enquanto há tempo', 'authorDisplayName': 'Nando Brasil', 'authorProfileImageUrl': 'https://yt3.ggpht.com/tr34HFs8vwDM7uyw6Qqrx56qnrMi0OXg3BEDVh2eYy3JnEDjgM0lEju95HovlhCfyQ4KKM7A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCxOiMUQzOb45_kwERWgHNlw', 'authorChannelId': {'value': 'UCxOiMUQzOb45_kwERWgHNlw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T00:23:29Z', 'updatedAt': '2022-10-05T00:23:29Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCxOiMUQzOb45_kwERWgHNlw,2022-10-05T00:23:29Z,Vamos cortas a cabeça da serpente do mal bolsonarista enquanto há tempo,QURTSl9pMldmazJBcExienFKd0J2U3JrY0stNlFJbm9zWWU2d211SktNRWlOU0ZhYXpyYmhXOEtybWg1bHFHN0xucGFiak1sQzdUVHNhMA==,2023-06-08 11:58:03.640596
