kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,YXWsGvCWDn_y8TTnOBsgp4701FQ,Ugws4m0mFNno2KEY02t4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bkw4QU_ElCHYKgm59av8BZFFC14', 'id': 'Ugws4m0mFNno2KEY02t4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'Será que somos tão ingênuos assim???\\r<br>Eu vejo a Globo xingar e criticar o Bolsonaro TODO SANTO DIA e NADA acontece, e quando a Jovem Pan critica e fala a verdade sobre os roubos que ocorreram no Brasil quando o Lula estava na presidência,  a Jovem Pan é CENSURADA pelo PT e Alexandre de Morais!!! \\r<br>Depois o Lula é democrático e o Bolsonaro ditador....SÉRIO ISSO???\\r<br>Votar em um ladrão que saqueou o Brasil e agora se mostra ditador de censura é a solução??? \\r<br>Não concordo com tudo que o Bolsonaro faz ou fala, mas compará-los igualmente é lamentável. \\r<br>CORRUPÇÃO TAMBÉM MATA.... E MUITO!\\r<br>VOTO 10 TARCÍSIO E 22 COM PAULO GUEDES', 'textOriginal': 'Será que somos tão ingênuos assim???\\r\\nEu vejo a Globo xingar e criticar o Bolsonaro TODO SANTO DIA e NADA acontece, e quando a Jovem Pan critica e fala a verdade sobre os roubos que ocorreram no Brasil quando o Lula estava na presidência,  a Jovem Pan é CENSURADA pelo PT e Alexandre de Morais!!! \\r\\nDepois o Lula é democrático e o Bolsonaro ditador....SÉRIO ISSO???\\r\\nVotar em um ladrão que saqueou o Brasil e agora se mostra ditador de censura é a solução??? \\r\\nNão concordo com tudo que o Bolsonaro faz ou fala, mas compará-los igualmente é lamentável. \\r\\nCORRUPÇÃO TAMBÉM MATA.... E MUITO!\\r\\nVOTO 10 TARCÍSIO E 22 COM PAULO GUEDES', 'authorDisplayName': 'Melissa Sterpeloni', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMe-kfVxv2JjRoPi-_hhboLFzviO1w1894RFQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnSZUjNmrmqprlmYhqvpzIQ', 'authorChannelId': {'value': 'UCnSZUjNmrmqprlmYhqvpzIQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T10:42:55Z', 'updatedAt': '2022-10-28T10:42:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCnSZUjNmrmqprlmYhqvpzIQ,2022-10-28T10:42:55Z,"Será que somos tão ingênuos assim???
Eu vejo a Globo xingar e criticar o Bolsonaro TODO SANTO DIA e NADA acontece, e quando a Jovem Pan critica e fala a verdade sobre os roubos que ocorreram no Brasil quando o Lula estava na presidência,  a Jovem Pan é CENSURADA pelo PT e Alexandre de Morais!!! 
Depois o Lula é democrático e o Bolsonaro ditador....SÉRIO ISSO???
Votar em um ladrão que saqueou o Brasil e agora se mostra ditador de censura é a solução??? 
Não concordo com tudo que o Bolsonaro faz ou fala, mas compará-los igualmente é lamentável. 
CORRUPÇÃO TAMBÉM MATA.... E MUITO!
VOTO 10 TARCÍSIO E 22 COM PAULO GUEDES",,2023-06-08 12:02:15.870738
youtube#commentThread,Y7Ueyb-Umi08nf83FPlumbXwHjE,UgzIolNKWG_FJtpwSgd4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8kP4iMlV3lzvKIxxIoHy-c8tArY', 'id': 'UgzIolNKWG_FJtpwSgd4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'O melhor candidato! Oportunidade imperdível! Ainda mais que nossa infraestrutura está sobrecarregada e caindo aos pedaços', 'textOriginal': 'O melhor candidato! Oportunidade imperdível! Ainda mais que nossa infraestrutura está sobrecarregada e caindo aos pedaços', 'authorDisplayName': 'Humberto Bertolini', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN8oGZxzmbRcuLGSDHSqqJTl9BJ7phfRUc2FaJmRvc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPplsSTQ8IQBlimy96kYPSw', 'authorChannelId': {'value': 'UCPplsSTQ8IQBlimy96kYPSw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T18:13:42Z', 'updatedAt': '2022-10-27T18:13:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPplsSTQ8IQBlimy96kYPSw,2022-10-27T18:13:42Z,O melhor candidato! Oportunidade imperdível! Ainda mais que nossa infraestrutura está sobrecarregada e caindo aos pedaços,,2023-06-08 12:02:15.870738
youtube#commentThread,bpVqgLXhZ-Q2ydcIowWOBx3xH8A,UgyurmmZW25WSMqi6FJ4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3I5S-wEzEckUGnE2ZSGMSqRDvBc', 'id': 'UgyurmmZW25WSMqi6FJ4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'Zoaram com a voz dele? Que canalhice do Estadão!!!!', 'textOriginal': 'Zoaram com a voz dele? Que canalhice do Estadão!!!!', 'authorDisplayName': 'Humberto Bertolini', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN8oGZxzmbRcuLGSDHSqqJTl9BJ7phfRUc2FaJmRvc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPplsSTQ8IQBlimy96kYPSw', 'authorChannelId': {'value': 'UCPplsSTQ8IQBlimy96kYPSw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T18:12:56Z', 'updatedAt': '2022-10-27T18:12:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPplsSTQ8IQBlimy96kYPSw,2022-10-27T18:12:56Z,Zoaram com a voz dele? Que canalhice do Estadão!!!!,,2023-06-08 12:02:15.870738
youtube#commentThread,aYpFxqgFG9C8qKsjSIfffSvT7h0,Ugwe0-zo4KbOrKG23UZ4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DarKq95lMwKX9-UVmiWm2FmWCrc', 'id': 'Ugwe0-zo4KbOrKG23UZ4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'Hoje pela manhã ouvi o haisem abaki falando sobre a denuncia do partido do Bolsonaro sobre inserção de propaganda não veiculadas e ouvi que na opinião dele parecia não acreditar então, amanhã eu que toda manhã ouça essa rádio partidária , gostaria de ouvir o haisem falando que a sua opinião estava errada.', 'textOriginal': 'Hoje pela manhã ouvi o haisem abaki falando sobre a denuncia do partido do Bolsonaro sobre inserção de propaganda não veiculadas e ouvi que na opinião dele parecia não acreditar então, amanhã eu que toda manhã ouça essa rádio partidária , gostaria de ouvir o haisem falando que a sua opinião estava errada.', 'authorDisplayName': 'Paulo Medeiros Maquiné', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMPSpGqy2omk6ZQ4sOw5gMdiqrBDVEZsWFPkd5hAg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCr_hCEYKYaP2VnYSTcPK2Ng', 'authorChannelId': {'value': 'UCr_hCEYKYaP2VnYSTcPK2Ng'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T19:11:02Z', 'updatedAt': '2022-10-26T19:11:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCr_hCEYKYaP2VnYSTcPK2Ng,2022-10-26T19:11:02Z,"Hoje pela manhã ouvi o haisem abaki falando sobre a denuncia do partido do Bolsonaro sobre inserção de propaganda não veiculadas e ouvi que na opinião dele parecia não acreditar então, amanhã eu que toda manhã ouça essa rádio partidária , gostaria de ouvir o haisem falando que a sua opinião estava errada.",,2023-06-08 12:02:15.870738
youtube#commentThread,EybA0ucuvGU7iSKrZXJsYkD7PD8,UgxS2TNtTQlqheDAsAd4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pSbWfEDpQzA3nYQcfTsvWEyObkk', 'id': 'UgxS2TNtTQlqheDAsAd4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'O sistema é foda, zuaram até a voz do Governador de SP', 'textOriginal': 'O sistema é foda, zuaram até a voz do Governador de SP', 'authorDisplayName': 'Francis Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNEjT25_HI-sl2PSEeYRi_URs6w2Vbsl42WJaGcwNw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCu9SqGl5uB06rmqZ1MoId6g', 'authorChannelId': {'value': 'UCu9SqGl5uB06rmqZ1MoId6g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-25T22:57:15Z', 'updatedAt': '2022-10-25T22:57:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCu9SqGl5uB06rmqZ1MoId6g,2022-10-25T22:57:15Z,"O sistema é foda, zuaram até a voz do Governador de SP",,2023-06-08 12:02:15.870738
youtube#commentThread,a9igoKYiNa6lhpCuwk_f3ynJWEM,UgyNrt5b7YTycIZWrQN4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'H63gMrEa4YS2YP8c6tleKBI8s2M', 'id': 'UgyNrt5b7YTycIZWrQN4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': '10', 'textOriginal': '10', 'authorDisplayName': 'Alvarenga', 'authorProfileImageUrl': 'https://yt3.ggpht.com/t8M0zjG9FSu3muc24czgQTz70C1VXgx9i6OpNmLlYQ-MxaCVhH2b7jwn6uQz_m7Vf8p98pDqbw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCo0rfDaPfz4bKSymouVCJIg', 'authorChannelId': {'value': 'UCo0rfDaPfz4bKSymouVCJIg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:57:09Z', 'updatedAt': '2022-10-25T21:57:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCo0rfDaPfz4bKSymouVCJIg,2022-10-25T21:57:09Z,10,,2023-06-08 12:02:15.870738
youtube#commentThread,uS4NqeKI76uPSsRV0hR-vZivUGk,UgydMsxvhL-XsQtkU414AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'cklvOd3VU9Gvq_553cKV2GqZfV0', 'id': 'UgydMsxvhL-XsQtkU414AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'A idiota só faz comentários provocativos, alianada!', 'textOriginal': 'A idiota só faz comentários provocativos, alianada!', 'authorDisplayName': 'AG', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFuQ9Ac1RSJph58v0JgbHTSfuOsN6kIYf_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTqKCmCQFDpxDXp_-jmziUQ', 'authorChannelId': {'value': 'UCTqKCmCQFDpxDXp_-jmziUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:22:23Z', 'updatedAt': '2022-10-25T21:22:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTqKCmCQFDpxDXp_-jmziUQ,2022-10-25T21:22:23Z,"A idiota só faz comentários provocativos, alianada!",,2023-06-08 12:02:15.870738
youtube#commentThread,MyZbraej3aBg_95UBQ4Fk-O91_g,UgwP0Adt2rbK5-zWtGp4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-IN0NDlBBuwYUNKegqCox14djyk', 'id': 'UgwP0Adt2rbK5-zWtGp4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'Porcaria de jornalistas, esse candidato é para o governo, perguntem sobre o Estado, sem vergonha!', 'textOriginal': 'Porcaria de jornalistas, esse candidato é para o governo, perguntem sobre o Estado, sem vergonha!', 'authorDisplayName': 'AG', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFuQ9Ac1RSJph58v0JgbHTSfuOsN6kIYf_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTqKCmCQFDpxDXp_-jmziUQ', 'authorChannelId': {'value': 'UCTqKCmCQFDpxDXp_-jmziUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:21:21Z', 'updatedAt': '2022-10-25T21:21:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTqKCmCQFDpxDXp_-jmziUQ,2022-10-25T21:21:21Z,"Porcaria de jornalistas, esse candidato é para o governo, perguntem sobre o Estado, sem vergonha!",,2023-06-08 12:02:15.870738
youtube#commentThread,1p0sGZpOvUCm9dTvDfQRqL05dJA,UgzmGKM8IzyiCP3etyV4AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QHG9DmmOY2GCu1Ix_QWBl5F93Pg', 'id': 'UgzmGKM8IzyiCP3etyV4AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'Que lixo é esse , estão sempre atrás do presidente!!!!', 'textOriginal': 'Que lixo é esse , estão sempre atrás do presidente!!!!', 'authorDisplayName': 'AG', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFuQ9Ac1RSJph58v0JgbHTSfuOsN6kIYf_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTqKCmCQFDpxDXp_-jmziUQ', 'authorChannelId': {'value': 'UCTqKCmCQFDpxDXp_-jmziUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:20:09Z', 'updatedAt': '2022-10-25T21:20:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTqKCmCQFDpxDXp_-jmziUQ,2022-10-25T21:20:09Z,"Que lixo é esse , estão sempre atrás do presidente!!!!",,2023-06-08 12:02:15.870738
youtube#commentThread,Mxj4WIbhk4dakJjlbIeMj_RFcow,UgyTQaszsET9Rh3Jic14AaABAg,"{'videoId': 'eblXcmioVsU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'z1E9H67FbP7D_xNAGOiay57H884', 'id': 'UgyTQaszsET9Rh3Jic14AaABAg', 'snippet': {'videoId': 'eblXcmioVsU', 'textDisplay': 'Que porcaria de entrevistadores é essa ?????  è o presidente que querem atacar...nem vergonha têm, não passarão!!!', 'textOriginal': 'Que porcaria de entrevistadores é essa ?????  è o presidente que querem atacar...nem vergonha têm, não passarão!!!', 'authorDisplayName': 'AG', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFuQ9Ac1RSJph58v0JgbHTSfuOsN6kIYf_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTqKCmCQFDpxDXp_-jmziUQ', 'authorChannelId': {'value': 'UCTqKCmCQFDpxDXp_-jmziUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:19:18Z', 'updatedAt': '2022-10-25T21:19:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTqKCmCQFDpxDXp_-jmziUQ,2022-10-25T21:19:18Z,"Que porcaria de entrevistadores é essa ?????  è o presidente que querem atacar...nem vergonha têm, não passarão!!!",,2023-06-08 12:02:15.870738
