kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,PuIj6CU9f__2UR_QxS2XKqjKrUw,UgxtudaMbSnV8n6wOLZ4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wcYfOPCXCmSF7OyAR-zLj87qfzc', 'id': 'UgxtudaMbSnV8n6wOLZ4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Parabens vou de lula', 'textOriginal': 'Parabens vou de lula', 'authorDisplayName': 'Isaias Mello', 'authorProfileImageUrl': 'https://yt3.ggpht.com/vbNKKkxE-faE0jbnAm5PyIJA0K_f72tQKyYeRk9kbp_5UCZwMSsoPQ-EhTBZJYbqPY6paRCL=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCts-pj4I5NmnuPfbj5VdJiA', 'authorChannelId': {'value': 'UCts-pj4I5NmnuPfbj5VdJiA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-23T16:37:21Z', 'updatedAt': '2022-10-23T16:37:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCts-pj4I5NmnuPfbj5VdJiA,2022-10-23T16:37:21Z,Parabens vou de lula,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,vSz7s91lxTFgd1egsWsF4tixh3E,UgwxCOruvo-x4UprlZV4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'akZ13khlr1CxYN68_NFtpmnYxiU', 'id': 'UgwxCOruvo-x4UprlZV4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Pois é mano. Mas os ciristas votaram no Ciro ou ainda pior, no Bolsonaro. E F… dia de hoje 22/10 o bozo tá chegando no Lula e corremos o risco de uma novo 64, no voto, 15 ministros no stf maioria do Bozó, senado com maioria do cara e câmara dos deputados dominada. Mais anos e anos de miséria e esculacho. Tamo junto. Valeu aí Ciristas pela sua postura egoista, seu voto teria mudado tudo.', 'textOriginal': 'Pois é mano. Mas os ciristas votaram no Ciro ou ainda pior, no Bolsonaro. E F… dia de hoje 22/10 o bozo tá chegando no Lula e corremos o risco de uma novo 64, no voto, 15 ministros no stf maioria do Bozó, senado com maioria do cara e câmara dos deputados dominada. Mais anos e anos de miséria e esculacho. Tamo junto. Valeu aí Ciristas pela sua postura egoista, seu voto teria mudado tudo.', 'authorDisplayName': 'Fabian Zanotto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOMDJRNCX-fwhpiYo1ceUfsllX23l_wUURSPf7diA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCP_3MlyEkMnPPa4A7LBlp3A', 'authorChannelId': {'value': 'UCP_3MlyEkMnPPa4A7LBlp3A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T07:16:12Z', 'updatedAt': '2022-10-22T07:16:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCP_3MlyEkMnPPa4A7LBlp3A,2022-10-22T07:16:12Z,"Pois é mano. Mas os ciristas votaram no Ciro ou ainda pior, no Bolsonaro. E F… dia de hoje 22/10 o bozo tá chegando no Lula e corremos o risco de uma novo 64, no voto, 15 ministros no stf maioria do Bozó, senado com maioria do cara e câmara dos deputados dominada. Mais anos e anos de miséria e esculacho. Tamo junto. Valeu aí Ciristas pela sua postura egoista, seu voto teria mudado tudo.",QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,TefKopmCaoaJ_tR2vt1kTs2ebdI,UgzV8QXi3eSe2LefGVl4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '93y8qlW4dVyFDjPps8pnyMIEEU8', 'id': 'UgzV8QXi3eSe2LefGVl4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': '<a href=""https://www.youtube.com/watch?v=0D85Ldy7ivc&amp;t=2m08s"">2:08</a> nossa que falsidade kkkkkkkkkk imagina acreditar nisso em pleno 2022, mente igual seu candidato, aprendeu bem com o criminoso que vc vota', 'textOriginal': '2:08 nossa que falsidade kkkkkkkkkk imagina acreditar nisso em pleno 2022, mente igual seu candidato, aprendeu bem com o criminoso que vc vota', 'authorDisplayName': 'Rafael Dias', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOTFHSAlZ_Yjci_zpPu6nN-HU0_ycRWmRA3YtyuoQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZH0fUHFkOFpS4Onz-8Wf3w', 'authorChannelId': {'value': 'UCZH0fUHFkOFpS4Onz-8Wf3w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-17T00:00:34Z', 'updatedAt': '2022-10-17T00:00:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZH0fUHFkOFpS4Onz-8Wf3w,2022-10-17T00:00:34Z,"2:08 nossa que falsidade kkkkkkkkkk imagina acreditar nisso em pleno 2022, mente igual seu candidato, aprendeu bem com o criminoso que vc vota",QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,vfTMhOPNDKnHhkOWiXci-NrjXfY,UgwLZxFqCDeKfyE_yIR4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SgeMgwcJzlvI9DgoJKDpI12M96A', 'id': 'UgwLZxFqCDeKfyE_yIR4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Voto pragmático.', 'textOriginal': 'Voto pragmático.', 'authorDisplayName': 'Leandro Silva de Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOC4ZziJAtN-hoMnZAYhpTrWHVTjQ99uhwXIQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCc8SGBTfBeWnW9KljkHx_0Q', 'authorChannelId': {'value': 'UCc8SGBTfBeWnW9KljkHx_0Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T17:13:55Z', 'updatedAt': '2022-10-11T17:13:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCc8SGBTfBeWnW9KljkHx_0Q,2022-10-11T17:13:55Z,Voto pragmático.,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,D-_sEdB_sROC-MfRzd3kDVZaAPs,UgzkhFgCq7mVWWXCehh4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OlTG7UVrmdM0aiQ1kBJF-YmoiMA', 'id': 'UgzkhFgCq7mVWWXCehh4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Mano não precisa justificativas pra votar em Lula basta ter bom senso e ter empatia com os irmãos vamo que vamo tirar esse exterminador do gente do poder 👊🏽', 'textOriginal': 'Mano não precisa justificativas pra votar em Lula basta ter bom senso e ter empatia com os irmãos vamo que vamo tirar esse exterminador do gente do poder 👊🏽', 'authorDisplayName': 'Robson Riva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOWjoBry1f7CmQWEdTnx6WS-hH2g0ub5nB07rKOog=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNx6MSIo6S7PxmWUddgiU7A', 'authorChannelId': {'value': 'UCNx6MSIo6S7PxmWUddgiU7A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T11:40:38Z', 'updatedAt': '2022-10-07T11:40:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNx6MSIo6S7PxmWUddgiU7A,2022-10-07T11:40:38Z,Mano não precisa justificativas pra votar em Lula basta ter bom senso e ter empatia com os irmãos vamo que vamo tirar esse exterminador do gente do poder 👊🏽,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,1fIMsaEZ0N_2BbpRxSiQyUB13Rg,UgzabC8IlHQJRMUhGzt4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'WwxsxZMxGxvjNA22Ek9IoipStgM', 'id': 'UgzabC8IlHQJRMUhGzt4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Lula ❤️ 🇧🇷', 'textOriginal': 'Lula ❤️ 🇧🇷', 'authorDisplayName': 'Thaty BC', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPx6QfTdqzbe7D2QLT9MIuYktHf9wtJcbee3m-a=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7oJHNLQHpyTEzHVi4u5BHA', 'authorChannelId': {'value': 'UC7oJHNLQHpyTEzHVi4u5BHA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T04:05:18Z', 'updatedAt': '2022-10-07T04:05:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7oJHNLQHpyTEzHVi4u5BHA,2022-10-07T04:05:18Z,Lula ❤️ 🇧🇷,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,K0BGL_qcebi7NytlaPnjxQjGjcU,UgzfFrNY0ha07Y-AZih4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dlHKM9ONIk76XSVQoh1Nmhc404I', 'id': 'UgzfFrNY0ha07Y-AZih4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'LULA 🥰🥰🥰🥰🥰', 'textOriginal': 'LULA 🥰🥰🥰🥰🥰', 'authorDisplayName': 'Thaty BC', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPx6QfTdqzbe7D2QLT9MIuYktHf9wtJcbee3m-a=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7oJHNLQHpyTEzHVi4u5BHA', 'authorChannelId': {'value': 'UC7oJHNLQHpyTEzHVi4u5BHA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T04:04:56Z', 'updatedAt': '2022-10-07T04:04:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7oJHNLQHpyTEzHVi4u5BHA,2022-10-07T04:04:56Z,LULA 🥰🥰🥰🥰🥰,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,pOKwWeAatk6jkAbC8LKczWu2RFQ,UgwgbPwkbLZNkZK9h7t4AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9aADy2Mm5-jjIhcAvTOHpEtC9I4', 'id': 'UgwgbPwkbLZNkZK9h7t4AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'O lula não é o cara q nossos país merecem,mas no momento é oq precisamos, mais 4 anos de bolsonaro não vai dá não.', 'textOriginal': 'O lula não é o cara q nossos país merecem,mas no momento é oq precisamos, mais 4 anos de bolsonaro não vai dá não.', 'authorDisplayName': 'GHOSTFACE', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMzNKEeK-VbTRhbHaAgpyWVL5e36T93dGvKF0j2cg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUtO3Zz9RJgo8YPXRJzfHGA', 'authorChannelId': {'value': 'UCUtO3Zz9RJgo8YPXRJzfHGA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T16:24:27Z', 'updatedAt': '2022-10-06T16:24:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUtO3Zz9RJgo8YPXRJzfHGA,2022-10-06T16:24:27Z,"O lula não é o cara q nossos país merecem,mas no momento é oq precisamos, mais 4 anos de bolsonaro não vai dá não.",QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,t9SdkoJ0H71X5425b2EYYboF-Wg,UgzXhtxrHQnjTxbMM994AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'goRnkba5Ze2jOfKzdKqU_SIn-bg', 'id': 'UgzXhtxrHQnjTxbMM994AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Parabéns ferrez sua voz tem peso.', 'textOriginal': 'Parabéns ferrez sua voz tem peso.', 'authorDisplayName': 'quem tu és', 'authorProfileImageUrl': 'https://yt3.ggpht.com/gVbQy0I0C5yjFFJ0ludRVSa_F8jZgbsg_SMFGrLtYmPqCrwnj-qxxUD-N0xXuF_2VqPRxRY0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC5bmorSVwgiVvjjfVYd735A', 'authorChannelId': {'value': 'UC5bmorSVwgiVvjjfVYd735A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T10:15:19Z', 'updatedAt': '2022-10-06T10:15:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC5bmorSVwgiVvjjfVYd735A,2022-10-06T10:15:19Z,Parabéns ferrez sua voz tem peso.,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
youtube#commentThread,Ptdz35w399F_4X03q6z0ENEWRCg,UgyLySzt26EsVLqzyt94AaABAg,"{'videoId': '0D85Ldy7ivc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'nQWeRO4-VtnegFNcOj25ObgEtKw', 'id': 'UgyLySzt26EsVLqzyt94AaABAg', 'snippet': {'videoId': '0D85Ldy7ivc', 'textDisplay': 'Vai na quebrada do rj e diz que andar com arma na rua é sinistro.', 'textOriginal': 'Vai na quebrada do rj e diz que andar com arma na rua é sinistro.', 'authorDisplayName': 'Leo Hominis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOAgiULFnZo2L7LBbI5EdIqdF1hHjxNJHGMTcgI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPuGYy5ija_4b5j2V_Ch2mA', 'authorChannelId': {'value': 'UCPuGYy5ija_4b5j2V_Ch2mA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T06:29:31Z', 'updatedAt': '2022-10-06T06:29:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPuGYy5ija_4b5j2V_Ch2mA,2022-10-06T06:29:31Z,Vai na quebrada do rj e diz que andar com arma na rua é sinistro.,QURTSl9pMXgzRThKMmFTZ2hKdXlGRWZBVndqTnNnNWV2TUhLcUVOUVVKblZscVdZQm9uOFdYUHBQNlg4aDhkMGRBVUJ3SG9qdjBQY0lKYw==,2023-06-08 12:11:29.420119
