kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,PTbzhVoPjahH9RGrwT8QS1pwdG0,Ugxe5Yww_uIaS8fsfpR4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zU0NXFX_RKPKq8caofkXefyyKIY', 'id': 'Ugxe5Yww_uIaS8fsfpR4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Não é pô isso que vcs tá assim por que são gado 🦬🐄🐄🦬🐐😹', 'textOriginal': 'Não é pô isso que vcs tá assim por que são gado 🦬🐄🐄🦬🐐😹', 'authorDisplayName': 'Neuzete Alves da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOv1fIH1LnwR7PEKN570H12_3ExqNHKrdzXJKxvDm3nkTEH0ZDHl_sAlM9wMjcY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCF1Z6V2N2FX0g8S6Ly6_Lfw', 'authorChannelId': {'value': 'UCF1Z6V2N2FX0g8S6Ly6_Lfw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-09T03:16:10Z', 'updatedAt': '2022-11-09T03:16:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCF1Z6V2N2FX0g8S6Ly6_Lfw,2022-11-09T03:16:10Z,Não é pô isso que vcs tá assim por que são gado 🦬🐄🐄🦬🐐😹,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,JbFNXs4glzBWJaCiKpfUbDlf1fw,Ugy2IiRri1us-7wMCQt4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UkNH1xSREhwN3H92AMx04eGUI4A', 'id': 'Ugy2IiRri1us-7wMCQt4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'É isso aí que o PT quer! Matar o povo de fome! Gente isso é terrível deu ruim para o esquerdista. Bora Brasil patriotas! Juntos por nossa liberdade e pela democracia brasileira. DEUS LIBERDADE PÁTRIA E FAMÍLIA. 🔥🔥🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'É isso aí que o PT quer! Matar o povo de fome! Gente isso é terrível deu ruim para o esquerdista. Bora Brasil patriotas! Juntos por nossa liberdade e pela democracia brasileira. DEUS LIBERDADE PÁTRIA E FAMÍLIA. 🔥🔥🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Charlene Ferreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPqX1NxMaZiAA9eyvtKfuxPZijlCyydRAThsA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtzcSD3whAcERHrGVObABnw', 'authorChannelId': {'value': 'UCtzcSD3whAcERHrGVObABnw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-06T11:25:49Z', 'updatedAt': '2022-11-06T11:25:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtzcSD3whAcERHrGVObABnw,2022-11-06T11:25:49Z,É isso aí que o PT quer! Matar o povo de fome! Gente isso é terrível deu ruim para o esquerdista. Bora Brasil patriotas! Juntos por nossa liberdade e pela democracia brasileira. DEUS LIBERDADE PÁTRIA E FAMÍLIA. 🔥🔥🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,twRe6HDZA9Lq_NGfUZ-yoRav8NQ,UgzMjNAEHYoMHdy8xk14AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Ky3ykwH-zufrcfBeKeu-Lx3w-8w', 'id': 'UgzMjNAEHYoMHdy8xk14AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Ouvi fraude com certeza nessas urnas', 'textOriginal': 'Ouvi fraude com certeza nessas urnas', 'authorDisplayName': 'joao maria', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOS46KmAWWcWnNwPW9RI29uMNm-zjYuz8apSdKLbbJ28mHE44HJEgSjWt06zfS6=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC87fpy3BTWGlvscYZI1q_OA', 'authorChannelId': {'value': 'UC87fpy3BTWGlvscYZI1q_OA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-06T00:46:14Z', 'updatedAt': '2022-11-06T00:46:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC87fpy3BTWGlvscYZI1q_OA,2022-11-06T00:46:14Z,Ouvi fraude com certeza nessas urnas,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,b8xwo--g3pNmbEICXFOO7nH65lk,Ugy-Lxha3b54arg40JJ4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QT61D3YllDuuWSIYEkxsl0-pVlI', 'id': 'Ugy-Lxha3b54arg40JJ4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'E <br>Assim mesmo', 'textOriginal': 'E \nAssim mesmo', 'authorDisplayName': 'Otani Leite', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMhffgyjC3Jd49yeB__xvkBhxkfMhg7CVUbLA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCR68FzpNfXnWO0flFMS-sPA', 'authorChannelId': {'value': 'UCR68FzpNfXnWO0flFMS-sPA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-05T02:02:55Z', 'updatedAt': '2022-11-05T02:02:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCR68FzpNfXnWO0flFMS-sPA,2022-11-05T02:02:55Z,"E 
Assim mesmo",QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,SREYTOxNFFs7Qz42xP0Au9CoZGg,UgzBQorgnk_XOqNN8hF4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZjcIu64PMUZOAxa0XGLR7TwyHrg', 'id': 'UgzBQorgnk_XOqNN8hF4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'mm', 'textOriginal': 'mm', 'authorDisplayName': 'Joao Franco', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMUfVh0FcyXkhshotETTtzxyRi3Hv0eiOeyGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCM6r5yGXpPiUdFbRRtOzidg', 'authorChannelId': {'value': 'UCM6r5yGXpPiUdFbRRtOzidg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T23:17:51Z', 'updatedAt': '2022-11-04T23:17:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCM6r5yGXpPiUdFbRRtOzidg,2022-11-04T23:17:51Z,mm,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,-vvBJ7SaThQjey49vUtKrmU2xpc,Ugy9x8aOUnSMiXT3rHN4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hqKVTmhPzF7fcb43iSMQiV5Wf3g', 'id': 'Ugy9x8aOUnSMiXT3rHN4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Deus é com nosso Brasil 👋👋', 'textOriginal': 'Deus é com nosso Brasil 👋👋', 'authorDisplayName': 'Anadir Nicolau Mioranza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMnIT3FYxgcu0wtXYjVuFLZrUP227d6jCLaDw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8MGCbZQb-4KTnJdCQr0d3g', 'authorChannelId': {'value': 'UC8MGCbZQb-4KTnJdCQr0d3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T23:14:37Z', 'updatedAt': '2022-11-04T23:14:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8MGCbZQb-4KTnJdCQr0d3g,2022-11-04T23:14:37Z,Deus é com nosso Brasil 👋👋,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,nh582-AREmatBBEiqz0Vh81AmQU,UgxXxjVcqBPxAv2L1NV4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Ows-FxwENUNkaUk5y8qL7_HGQFc', 'id': 'UgxXxjVcqBPxAv2L1NV4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Ai babacas caiu do cavalo', 'textOriginal': 'Ai babacas caiu do cavalo', 'authorDisplayName': 'Cida Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNB4BQr0vWPAw5iIaFL6uX9ddbK01ZvaJEqRQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCyWXV9akWjihBTPkheJfk5A', 'authorChannelId': {'value': 'UCyWXV9akWjihBTPkheJfk5A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T23:14:26Z', 'updatedAt': '2022-11-04T23:14:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCyWXV9akWjihBTPkheJfk5A,2022-11-04T23:14:26Z,Ai babacas caiu do cavalo,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,5ip8FM94LO1RmHZa26_zsa5SxGs,UgwJ3QKbjtmAg6HMjiB4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'r8mja7bZNbTtrrlcWkuG4bNV-5M', 'id': 'UgwJ3QKbjtmAg6HMjiB4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Estamos junto 22 Brasil 🇧🇷 🇧🇷 🇧🇷', 'textOriginal': 'Estamos junto 22 Brasil 🇧🇷 🇧🇷 🇧🇷', 'authorDisplayName': 'ARAUJO. FÉ  NA ROÇA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/mNIBBbtCIlylv9d-s1sXUkGDBWAch142KqFMEeO6yT6mlILUjFwHMbmKvHt3S8S__xTtUnHAvA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHjXJ4QfGJgojDGlCbJpZcw', 'authorChannelId': {'value': 'UCHjXJ4QfGJgojDGlCbJpZcw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T23:06:32Z', 'updatedAt': '2022-11-04T23:06:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHjXJ4QfGJgojDGlCbJpZcw,2022-11-04T23:06:32Z,Estamos junto 22 Brasil 🇧🇷 🇧🇷 🇧🇷,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,55sJ5DLXFWkRpO9MSE6M9ytnN88,UgxFRYgCRPcEAxtBGqp4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dB9eZFQQNkWql3HlewPebiUQ06o', 'id': 'UgxFRYgCRPcEAxtBGqp4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Gente eu é minha família estamos em oração e muito apreensiva vamos deixar a comemoração pra depois', 'textOriginal': 'Gente eu é minha família estamos em oração e muito apreensiva vamos deixar a comemoração pra depois', 'authorDisplayName': 'Maria Cícera Dos Santos Domiciano', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOVKV44bA6ImATakI5oO6NgY6ukl6UpsLUD4nX6iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNXS04dsC2NXlaLwlN0FpWw', 'authorChannelId': {'value': 'UCNXS04dsC2NXlaLwlN0FpWw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T22:01:39Z', 'updatedAt': '2022-11-04T22:01:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNXS04dsC2NXlaLwlN0FpWw,2022-11-04T22:01:39Z,Gente eu é minha família estamos em oração e muito apreensiva vamos deixar a comemoração pra depois,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
youtube#commentThread,YiHa-QRFDeucj9mnXbrvF8VFHQk,UgyGf29Oaq5ZM0GjKKl4AaABAg,"{'videoId': '6SwFus8hRoA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mwGiXgUCX6vlPQs2ZfndG9iypDM', 'id': 'UgyGf29Oaq5ZM0GjKKl4AaABAg', 'snippet': {'videoId': '6SwFus8hRoA', 'textDisplay': 'Cadê o emprego do bolsonaro fica aqui tudo desempregado você tem emprego', 'textOriginal': 'Cadê o emprego do bolsonaro fica aqui tudo desempregado você tem emprego', 'authorDisplayName': 'Milla Azevedo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNdFfNHyxLy7zomqewogWjwKs2S0ZohpaiPuw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCBBWaHcxrXEZjfyuQ7EE58g', 'authorChannelId': {'value': 'UCBBWaHcxrXEZjfyuQ7EE58g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T17:06:32Z', 'updatedAt': '2022-11-04T17:06:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCBBWaHcxrXEZjfyuQ7EE58g,2022-11-04T17:06:32Z,Cadê o emprego do bolsonaro fica aqui tudo desempregado você tem emprego,QURTSl9pMmdxZ0lwOU5iWHNTMUFWTHJwRUw4dWR2WlhqZ0pzZU9Nc0RPRjcxRGhYMFU0aHI5WmdtQUVYU3RNWGdiWmpiWTZwMFlQajhzTQ==,2023-06-07 11:50:24.226114
