kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,k2I1ErjmOZ4sRhBZo-cITf2ygLQ,UgyYBTpsHluai9HQ_Hd4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Sh7AxHO-yahxYTPrIpsDlYkwjfw', 'id': 'UgyYBTpsHluai9HQ_Hd4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Freekshow armado. Socorro', 'textOriginal': 'Freekshow armado. Socorro', 'authorDisplayName': 'Silvana', 'authorProfileImageUrl': 'https://yt3.ggpht.com/jREBeNay6dNU_8qrdweFnhIAVdNveA5TmnAaUk2whKanS08yTdj7rwuUUDFNO9HZnUjywq1VDg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCvT7s8cMFCJIfYZNE2nUJqQ', 'authorChannelId': {'value': 'UCvT7s8cMFCJIfYZNE2nUJqQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-11T04:58:14Z', 'updatedAt': '2022-12-11T04:58:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCvT7s8cMFCJIfYZNE2nUJqQ,2022-12-11T04:58:14Z,Freekshow armado. Socorro,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,7YWhJhgg3-GzWwXfh05slXGOp0g,UgxrNOSCWptYNbtSao14AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jAkRpF12CE4-TO_a63SuqpP1Cso', 'id': 'UgxrNOSCWptYNbtSao14AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Vídeo maravilhoso as que infelizmente, mesmo com a maioria fazendo a escolha certa, calaram a nossa voz ..', 'textOriginal': 'Vídeo maravilhoso as que infelizmente, mesmo com a maioria fazendo a escolha certa, calaram a nossa voz ..', 'authorDisplayName': 'Manuela Magalhães', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMqPAESfGCnGg10SuqmJa8CkE3lmwsa8pt-cfcW=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCfp-TQwQT_2IOzEgmheAMg', 'authorChannelId': {'value': 'UCCfp-TQwQT_2IOzEgmheAMg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-05T18:57:37Z', 'updatedAt': '2022-11-05T18:57:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCfp-TQwQT_2IOzEgmheAMg,2022-11-05T18:57:37Z,"Vídeo maravilhoso as que infelizmente, mesmo com a maioria fazendo a escolha certa, calaram a nossa voz ..",QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,k5G8N1NR0iQqANUKsJYaMatIvHQ,UgwA4eY73EIohDCf_k54AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0biFz3lE-MMEzxLjnljNSv2KwlM', 'id': 'UgwA4eY73EIohDCf_k54AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'O problema dessas afirmações, é que isso não faz nem uma diferença. POIS OS CRIMINOSOS PETISTAS COMPRAM VOTOS OU COMPRAM O RESULTADO DAS ELEIÇÕES!!!!<br>E O POVO QUE VENDE SEU VOTO NÃO ESTÁ NEM AÍ PRA MORAL E OS BONS COSTUMES, AFINAL SE TIVESSEM NÃO VENDERIAM SEU VOTO E VOTARIAM COM CONCIENTES DO MAL QUE FAZEM A NAÇÃO INTEIRA E QUE PADECERÃO JUNTOS !', 'textOriginal': 'O problema dessas afirmações, é que isso não faz nem uma diferença. POIS OS CRIMINOSOS PETISTAS COMPRAM VOTOS OU COMPRAM O RESULTADO DAS ELEIÇÕES!!!!\\nE O POVO QUE VENDE SEU VOTO NÃO ESTÁ NEM AÍ PRA MORAL E OS BONS COSTUMES, AFINAL SE TIVESSEM NÃO VENDERIAM SEU VOTO E VOTARIAM COM CONCIENTES DO MAL QUE FAZEM A NAÇÃO INTEIRA E QUE PADECERÃO JUNTOS !', 'authorDisplayName': 'Franci Sou', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNNBJSee1z5YbtACms_Z3Un2EsjO4D-IaLtwg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCLi--FWNhKG3CvM1XG72K9A', 'authorChannelId': {'value': 'UCLi--FWNhKG3CvM1XG72K9A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T15:45:21Z', 'updatedAt': '2022-10-27T15:47:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCLi--FWNhKG3CvM1XG72K9A,2022-10-27T15:45:21Z,"O problema dessas afirmações, é que isso não faz nem uma diferença. POIS OS CRIMINOSOS PETISTAS COMPRAM VOTOS OU COMPRAM O RESULTADO DAS ELEIÇÕES!!!!
E O POVO QUE VENDE SEU VOTO NÃO ESTÁ NEM AÍ PRA MORAL E OS BONS COSTUMES, AFINAL SE TIVESSEM NÃO VENDERIAM SEU VOTO E VOTARIAM COM CONCIENTES DO MAL QUE FAZEM A NAÇÃO INTEIRA E QUE PADECERÃO JUNTOS !",QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,kLDJKfvQpxY4JURWTlyUbXBKzmk,UgxsaAFCxll7rcjPmoF4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'y2M4NN7V-s-MxZOs5KSo0PsdTN8', 'id': 'UgxsaAFCxll7rcjPmoF4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Deus nos livre!!!!!!', 'textOriginal': 'Deus nos livre!!!!!!', 'authorDisplayName': 'Bebeth 51', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPsB6sRb5mQSMQfddSmWKK8iyAUf-1Hf9rGNg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE0mVIZBYj7-TivasZdsTyA', 'authorChannelId': {'value': 'UCE0mVIZBYj7-TivasZdsTyA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T21:54:07Z', 'updatedAt': '2022-10-26T21:54:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE0mVIZBYj7-TivasZdsTyA,2022-10-26T21:54:07Z,Deus nos livre!!!!!!,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,-5sbFPIW4gIAPhB3PCr9ORtj1x4,Ugx6vUv7fzudTFCeLMt4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Dj4QgCOYa9VTM1TLXJIRHLtq1uU', 'id': 'Ugx6vUv7fzudTFCeLMt4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'O exercito é a última esperança', 'textOriginal': 'O exercito é a última esperança', 'authorDisplayName': 'jlpa 1964', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNv6SrGvsElNxqwql61NMF2cA9jb6KjVC0bPQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOejHQCSFA0L_OGWVqif2Qg', 'authorChannelId': {'value': 'UCOejHQCSFA0L_OGWVqif2Qg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T21:08:20Z', 'updatedAt': '2022-10-23T21:08:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOejHQCSFA0L_OGWVqif2Qg,2022-10-23T21:08:20Z,O exercito é a última esperança,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,pH4cXhHJKVub737-x4BX_TXJqXc,UgzD_PEuSiQOZiN3WER4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'CkHYii3GZonbHKVVZwucqfRSavI', 'id': 'UgzD_PEuSiQOZiN3WER4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Bolsonaro reeleito 22', 'textOriginal': 'Bolsonaro reeleito 22', 'authorDisplayName': 'Isabella Avelar', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPvbdlme6PJqNZ7gjl_Zw65eLcBEk3Lwi8sTQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2naSEUR1z09rKYTz097I0w', 'authorChannelId': {'value': 'UC2naSEUR1z09rKYTz097I0w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T00:47:09Z', 'updatedAt': '2022-10-22T00:47:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2naSEUR1z09rKYTz097I0w,2022-10-22T00:47:09Z,Bolsonaro reeleito 22,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,7HieTWc4Kr3C5Ss1HrilC1kMuXI,UgxJxXIarQKhyPe7f9F4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GePrXp_vTil2lkvjdBvEWW6GH4M', 'id': 'UgxJxXIarQKhyPe7f9F4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Tem gente que prefere acreditar na ilusão! Porém a realidade sobrepõe.', 'textOriginal': 'Tem gente que prefere acreditar na ilusão! Porém a realidade sobrepõe.', 'authorDisplayName': 'Eduardo Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/XUUZvkPCpKQpNkDD67i93ry-dC10gREZDNtiv1qW0XfWcgbryz7Zr15QtKvDClMsqyqltqLJZw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFWfRMaxo7G7VZa_PaJc7PA', 'authorChannelId': {'value': 'UCFWfRMaxo7G7VZa_PaJc7PA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T15:23:48Z', 'updatedAt': '2022-10-21T15:23:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFWfRMaxo7G7VZa_PaJc7PA,2022-10-21T15:23:48Z,Tem gente que prefere acreditar na ilusão! Porém a realidade sobrepõe.,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,wgaitQsr4Vz6TV2g0qCg4GMRlxM,Ugz6D5vx_AEAWNN93194AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Pizu7lg2HaOLXQkQNGQFCZq8jtA', 'id': 'Ugz6D5vx_AEAWNN93194AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'TÁ SAPECADO JÁ VIRARAM CINZAS!!!O SANGUE DE JESUS TEM PODER NA NAÇÃO BRASILEIRA💚🇧🇷💛', 'textOriginal': 'TÁ SAPECADO JÁ VIRARAM CINZAS!!!O SANGUE DE JESUS TEM PODER NA NAÇÃO BRASILEIRA💚🇧🇷💛', 'authorDisplayName': 'VIVAVIDA💝', 'authorProfileImageUrl': 'https://yt3.ggpht.com/gTkeHXR_B9ZYDKk6mxMp_0h33XdML1hfxKxoVIhjeNQWdtQjBDwG_KDSDL9oBvOycjzapY5u=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCP9sa1JmxdTashlY2DbgCsg', 'authorChannelId': {'value': 'UCP9sa1JmxdTashlY2DbgCsg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T05:31:18Z', 'updatedAt': '2022-10-21T05:31:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCP9sa1JmxdTashlY2DbgCsg,2022-10-21T05:31:18Z,TÁ SAPECADO JÁ VIRARAM CINZAS!!!O SANGUE DE JESUS TEM PODER NA NAÇÃO BRASILEIRA💚🇧🇷💛,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,0gh4vaIEJBR7rHuNTH4dCcSM5s8,UgwxShFVH3wyV14ylpx4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'yAm3LrnVxQ5lzJquFNo-SuvNAFI', 'id': 'UgwxShFVH3wyV14ylpx4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Deus tenha misericórdia do nosso Brasil ,minha família vota ,22 Bolsonaro presidente,dia 30 vamos reeleger Jair messias Bolsonaro <a href=""http://presidente.se/"">presidente.Se</a> Deus quiser !💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🙏🙌👏👏👏👏👏👏👏👏👏👏👏👏👏👏', 'textOriginal': 'Deus tenha misericórdia do nosso Brasil ,minha família vota ,22 Bolsonaro presidente,dia 30 vamos reeleger Jair messias Bolsonaro presidente.Se Deus quiser !💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🙏🙌👏👏👏👏👏👏👏👏👏👏👏👏👏👏', 'authorDisplayName': 'Neusa Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/OPSMtyf-GErvaKkXtp7v-__NqzrJV6-sboTn8MCG_NcteyoZvNWZ0Cbn-X43IvsZk9dL1P9nSw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCM77MFtHw6y0MTgYzNTcFMA', 'authorChannelId': {'value': 'UCM77MFtHw6y0MTgYzNTcFMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T04:18:44Z', 'updatedAt': '2022-10-21T04:18:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCM77MFtHw6y0MTgYzNTcFMA,2022-10-21T04:18:44Z,"Deus tenha misericórdia do nosso Brasil ,minha família vota ,22 Bolsonaro presidente,dia 30 vamos reeleger Jair messias Bolsonaro presidente.Se Deus quiser !💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🙏🙌👏👏👏👏👏👏👏👏👏👏👏👏👏👏",QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
youtube#commentThread,_my0UyGgaqs3LBPWuM5ozKLeVfk,UgwCsNPhkpkXmE_ptnp4AaABAg,"{'videoId': 'ovvfkUv4Uf4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3-DsEEtB6IxWgWFa520SCpmF8NI', 'id': 'UgwCsNPhkpkXmE_ptnp4AaABAg', 'snippet': {'videoId': 'ovvfkUv4Uf4', 'textDisplay': 'Isso só pode ser um grande pesadelo!', 'textOriginal': 'Isso só pode ser um grande pesadelo!', 'authorDisplayName': 'Roberto Rangel', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPyfwN3QWzoaldyyfJW8EtyQU2O_NLcZHMHzg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeONUFvb_v-0FycBbe-e0Og', 'authorChannelId': {'value': 'UCeONUFvb_v-0FycBbe-e0Og'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T04:57:29Z', 'updatedAt': '2022-10-20T04:57:29Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeONUFvb_v-0FycBbe-e0Og,2022-10-20T04:57:29Z,Isso só pode ser um grande pesadelo!,QURTSl9pM3g3T1daQ1JtcFRuTFZMVFZfaEVmRWdHcGhxTS1GZjFuTXlIanoxZjJkd3JOSjU5c0pBM2NkMDV5OVIwclhUU3g4MWtSbkdqWQ==,2023-06-08 12:14:54.351414
