kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,y68cTEdxFm4X23QE-X0v6kdNyiA,Ugw4rXTPGmYNVj921mB4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HUPOm0xm8ucXTDUqR5WuOhIFePA', 'id': 'Ugw4rXTPGmYNVj921mB4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Toda a receita gerada pelo nosso jornal desde 1º de julho de 2021 está bloqueada por ordem do TSE. Ajude a Folha Política a continuar o seu trabalho. Doe por meio do PIX: ajude@<a href=""http://folhapolitica.org/"">folhapolitica.org</a> \\r<br>Depósitos / Transferências (Conta Bancária):\\r<br>Banco Itaú (341)\\r<br>Agência 1571\\r<br>c/c 10911-3\\r<br>Raposo Fernandes Marketing Digital LTDA (Administradora da Folha Política)\\r<br>CNPJ 20.010.215/0001-09', 'textOriginal': 'Toda a receita gerada pelo nosso jornal desde 1º de julho de 2021 está bloqueada por ordem do TSE. Ajude a Folha Política a continuar o seu trabalho. Doe por meio do PIX: ajude@folhapolitica.org \\r\\nDepósitos / Transferências (Conta Bancária):\\r\\nBanco Itaú (341)\\r\\nAgência 1571\\r\\nc/c 10911-3\\r\\nRaposo Fernandes Marketing Digital LTDA (Administradora da Folha Política)\\r\\nCNPJ 20.010.215/0001-09', 'authorDisplayName': 'Folha Política', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPv2BkrL_RF0yvJSwvUNlbfU43XXvde1WDvvXh4Bw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYiM773ssvNMaBHvaWWeIoQ', 'authorChannelId': {'value': 'UCYiM773ssvNMaBHvaWWeIoQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 17, 'publishedAt': '2022-10-07T18:02:57Z', 'updatedAt': '2022-10-07T18:02:57Z'}}, 'canReply': True, 'totalReplyCount': 2, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'PjGkCrD5QEyHbc-yzprhAMYVMP8', 'id': 'Ugw4rXTPGmYNVj921mB4AaABAg.9gtVm0W5fUl9gu4kmI8Ow_', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'A entendi ele pode perder o emprego e escravo do sistema', 'textOriginal': 'A entendi ele pode perder o emprego e escravo do sistema', 'parentId': 'Ugw4rXTPGmYNVj921mB4AaABAg', 'authorDisplayName': 'Maria Da Graca Ribeiro Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqML4XqD2u8EozQbkCJrPlBOIraeNI15cP4s1g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbOGznzhPMXMoZfLdWVKRtQ', 'authorChannelId': {'value': 'UCbOGznzhPMXMoZfLdWVKRtQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T23:26:05Z', 'updatedAt': '2022-10-07T23:26:05Z'}}, {'kind': 'youtube#comment', 'etag': 'Lm92ejSqslxRDvxiFv5xJ2VaYQk', 'id': 'Ugw4rXTPGmYNVj921mB4AaABAg.9gtVm0W5fUl9gu4WQwIEKi', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Especialidade de Datena e ficar em como do muro', 'textOriginal': 'Especialidade de Datena e ficar em como do muro', 'parentId': 'Ugw4rXTPGmYNVj921mB4AaABAg', 'authorDisplayName': 'Maria Da Graca Ribeiro Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqML4XqD2u8EozQbkCJrPlBOIraeNI15cP4s1g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbOGznzhPMXMoZfLdWVKRtQ', 'authorChannelId': {'value': 'UCbOGznzhPMXMoZfLdWVKRtQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T23:23:59Z', 'updatedAt': '2022-10-07T23:23:59Z'}}]}",UCYiM773ssvNMaBHvaWWeIoQ,2022-10-07T18:02:57Z,"Toda a receita gerada pelo nosso jornal desde 1º de julho de 2021 está bloqueada por ordem do TSE. Ajude a Folha Política a continuar o seu trabalho. Doe por meio do PIX: ajude@folhapolitica.org 
Depósitos / Transferências (Conta Bancária):
Banco Itaú (341)
Agência 1571
c/c 10911-3
Raposo Fernandes Marketing Digital LTDA (Administradora da Folha Política)
CNPJ 20.010.215/0001-09",QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,fxur74gjnojHvN4GUQRMpAW1OO8,UgyjBhOA7kjJqcCarTp4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mvSR4JzSn0AECR2-27isQcT_nFg', 'id': 'UgyjBhOA7kjJqcCarTp4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'DÁPENA É PAPAGAIO EM<br>CIMA DO MURO🇧🇷👍', 'textOriginal': 'DÁPENA É PAPAGAIO EM\\nCIMA DO MURO🇧🇷👍', 'authorDisplayName': 'VIM DO FUTURO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/eJazpYLH8ZglMc3oomy3op1u1sdD8pEia3rYcFNM5EqltYnvBBTmgKgIrdUZ9U-1wyPU57tUzA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGvgp914I7J06GedXdFrSgg', 'authorChannelId': {'value': 'UCGvgp914I7J06GedXdFrSgg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T09:35:16Z', 'updatedAt': '2022-11-03T09:35:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCGvgp914I7J06GedXdFrSgg,2022-11-03T09:35:16Z,"DÁPENA É PAPAGAIO EM
CIMA DO MURO🇧🇷👍",QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,nvSvkgAGEXPN0_HWHCy9i4NMGqo,UgxuBSUTd9ksWQOBpvh4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LB8S0TuvAUTFx7Vqyo-AYDqq-Pc', 'id': 'UgxuBSUTd9ksWQOBpvh4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Que conversinha de comadre!!! Puta que pariu!!! O cara deixou morrer 700 mil pessoas, e agora vai ai fazer discursinho para esse marginal!!', 'textOriginal': 'Que conversinha de comadre!!! Puta que pariu!!! O cara deixou morrer 700 mil pessoas, e agora vai ai fazer discursinho para esse marginal!!', 'authorDisplayName': 'yurippyy', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOnuKm4DLguEmSmFI56DNjPSN6l0WAc56VErg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtP6nY71rlPi-BF9xEmAfpg', 'authorChannelId': {'value': 'UCtP6nY71rlPi-BF9xEmAfpg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-17T10:48:32Z', 'updatedAt': '2022-10-17T10:48:32Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'CHPydBf-WoqUKq0dcfv5rU-igzM', 'id': 'UgxuBSUTd9ksWQOBpvh4AaABAg.9hHU03dIZ0a9hy725Iop7F', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': '✌️YURIPPYY👹🇧🇷👍', 'textOriginal': '✌️YURIPPYY👹🇧🇷👍', 'parentId': 'UgxuBSUTd9ksWQOBpvh4AaABAg', 'authorDisplayName': 'VIM DO FUTURO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/eJazpYLH8ZglMc3oomy3op1u1sdD8pEia3rYcFNM5EqltYnvBBTmgKgIrdUZ9U-1wyPU57tUzA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGvgp914I7J06GedXdFrSgg', 'authorChannelId': {'value': 'UCGvgp914I7J06GedXdFrSgg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T09:34:25Z', 'updatedAt': '2022-11-03T09:34:25Z'}}]}",UCtP6nY71rlPi-BF9xEmAfpg,2022-10-17T10:48:32Z,"Que conversinha de comadre!!! Puta que pariu!!! O cara deixou morrer 700 mil pessoas, e agora vai ai fazer discursinho para esse marginal!!",QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,VlqYXhxBjWykMRMc7dGOns4kEAA,Ugx5sqeBbaU2LM8vmjl4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rqKj9wiWESUGR9Mn5A8bOso0gYk', 'id': 'Ugx5sqeBbaU2LM8vmjl4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Não apoiar é o cacete?? Vai pra la!!!!', 'textOriginal': 'Não apoiar é o cacete?? Vai pra la!!!!', 'authorDisplayName': 'yurippyy', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOnuKm4DLguEmSmFI56DNjPSN6l0WAc56VErg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtP6nY71rlPi-BF9xEmAfpg', 'authorChannelId': {'value': 'UCtP6nY71rlPi-BF9xEmAfpg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-17T10:45:34Z', 'updatedAt': '2022-10-17T10:45:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtP6nY71rlPi-BF9xEmAfpg,2022-10-17T10:45:34Z,Não apoiar é o cacete?? Vai pra la!!!!,QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,MZhWPPkW-YKdl8KV6vejmS5toYM,UgyCT0iKDWljnIJYz-J4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Av7tGX6UcW61gMldcnW7x6onVPE', 'id': 'UgyCT0iKDWljnIJYz-J4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Que nojo!', 'textOriginal': 'Que nojo!', 'authorDisplayName': 'yurippyy', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOnuKm4DLguEmSmFI56DNjPSN6l0WAc56VErg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtP6nY71rlPi-BF9xEmAfpg', 'authorChannelId': {'value': 'UCtP6nY71rlPi-BF9xEmAfpg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-17T10:42:08Z', 'updatedAt': '2022-10-17T10:42:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtP6nY71rlPi-BF9xEmAfpg,2022-10-17T10:42:08Z,Que nojo!,QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,PwCdnBgtUIxI0LvkUXpc5C8zIP4,UgzQK6VL2OAweTta-op4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BKDpW1p2maI8rJdwKN7ShE9RHts', 'id': 'UgzQK6VL2OAweTta-op4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Datena continua Datena. Ficou em cima do muro e não entendo porque  a insistência em ter esse sujeito por perto. Mas política tem suas especificidades que nós, leigos, não entendemos. Continuo confiando no Capitão. É um xadrezista nato. <br>Deus, Pátria, Família e Liberdade.', 'textOriginal': 'Datena continua Datena. Ficou em cima do muro e não entendo porque  a insistência em ter esse sujeito por perto. Mas política tem suas especificidades que nós, leigos, não entendemos. Continuo confiando no Capitão. É um xadrezista nato. \\nDeus, Pátria, Família e Liberdade.', 'authorDisplayName': 'PAULO ANTONIO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPePZoK-vCQI47huTiQq8Mwg8jNv7yTZYJC6Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIaNF3YCouLzuP-VoefGLEQ', 'authorChannelId': {'value': 'UCIaNF3YCouLzuP-VoefGLEQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T11:51:06Z', 'updatedAt': '2022-10-10T11:51:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCIaNF3YCouLzuP-VoefGLEQ,2022-10-10T11:51:06Z,"Datena continua Datena. Ficou em cima do muro e não entendo porque  a insistência em ter esse sujeito por perto. Mas política tem suas especificidades que nós, leigos, não entendemos. Continuo confiando no Capitão. É um xadrezista nato. 
Deus, Pátria, Família e Liberdade.",QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,1ONQBlzu-K-uaF_HPB-iAqC4WwQ,UgzyKdeXiTb4lFXQ4eh4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'WtcHNWpH5unqGjf5WD0fVvSZPs4', 'id': 'UgzyKdeXiTb4lFXQ4eh4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Parabéns Datena temos que ser pelo melhor para o Brasil não podemos mais aceitar a esquerda no Poder', 'textOriginal': 'Parabéns Datena temos que ser pelo melhor para o Brasil não podemos mais aceitar a esquerda no Poder', 'authorDisplayName': 'Decio Pires', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMpHgJ3ApByr_akDSBacX8O5nTzWDc3wuVtRg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHiz5CzYvywA5JOzTDF54Bw', 'authorChannelId': {'value': 'UCHiz5CzYvywA5JOzTDF54Bw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T10:06:55Z', 'updatedAt': '2022-10-10T10:06:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHiz5CzYvywA5JOzTDF54Bw,2022-10-10T10:06:55Z,Parabéns Datena temos que ser pelo melhor para o Brasil não podemos mais aceitar a esquerda no Poder,QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,WakYo3PR2fy0D4aHdgzWqrctS14,UgxDpnaEqvfnxD01Doh4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5bivD58HH7MBsKz1tBWniYEEFio', 'id': 'UgxDpnaEqvfnxD01Doh4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'SOMOS TODOS BOLSONARO 2022A2026 👏 👏 👏', 'textOriginal': 'SOMOS TODOS BOLSONARO 2022A2026 👏 👏 👏', 'authorDisplayName': 'Rosa Maria', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOn3YhGFjA0w1u8fnNH4BSq1Ss3GrRDHsutCQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgGISasf_LotTDQa2Mh64xQ', 'authorChannelId': {'value': 'UCgGISasf_LotTDQa2Mh64xQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T01:34:41Z', 'updatedAt': '2022-10-10T01:34:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgGISasf_LotTDQa2Mh64xQ,2022-10-10T01:34:41Z,SOMOS TODOS BOLSONARO 2022A2026 👏 👏 👏,QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,uysYB1A55OiffVmpwr5jhXmn09c,UgzYPpwxyMyOqNKgTvl4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ioS9It5LtYfNkdIJRhLlzYE0nI0', 'id': 'UgzYPpwxyMyOqNKgTvl4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Datena em cima do muro ....cuidado pode cair do muro', 'textOriginal': 'Datena em cima do muro ....cuidado pode cair do muro', 'authorDisplayName': 'Maria Cardoso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNbv4IzIR5vop4DwE-hnLQJbDUK85gDbK5I4l7eI0RHLeqh6DdXku5wJJ4OSyaH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1iL27MnxddRQq668inL62g', 'authorChannelId': {'value': 'UC1iL27MnxddRQq668inL62g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T19:16:17Z', 'updatedAt': '2022-10-09T19:16:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1iL27MnxddRQq668inL62g,2022-10-09T19:16:17Z,Datena em cima do muro ....cuidado pode cair do muro,QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
youtube#commentThread,wrFrZQH3g4sVEohyoSIzV2Wi_J0,UgxeE4vxarh3hgJQ5RR4AaABAg,"{'videoId': 'ld0arQoh-gc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HZJ8c8zimeLObK5kHeL07t_l_AM', 'id': 'UgxeE4vxarh3hgJQ5RR4AaABAg', 'snippet': {'videoId': 'ld0arQoh-gc', 'textDisplay': 'Datena em cima do muro ....cuidado pode cair do muro', 'textOriginal': 'Datena em cima do muro ....cuidado pode cair do muro', 'authorDisplayName': 'Maria Cardoso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNbv4IzIR5vop4DwE-hnLQJbDUK85gDbK5I4l7eI0RHLeqh6DdXku5wJJ4OSyaH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1iL27MnxddRQq668inL62g', 'authorChannelId': {'value': 'UC1iL27MnxddRQq668inL62g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T19:15:52Z', 'updatedAt': '2022-10-09T19:15:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1iL27MnxddRQq668inL62g,2022-10-09T19:15:52Z,Datena em cima do muro ....cuidado pode cair do muro,QURTSl9pMDJEZEVORUpQUjBCemx0QzBWMWhTN0FDMWRTT0h5MHlCLVVmRDZEYlRROFhTWWhfNURyZVJHRFR4a1UtNVEwT3dZVVp1MzR5U2NlV25tcDAtZkVTVUxKWUV5dkE=,2023-06-08 12:29:28.763541
