kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,wzWS_OeM4zknG5HZVhTZGpMgdiI,UgxJHGokNgl06v7attB4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Q2mbwxNSU0NbSzlsiAnJpejCvUo', 'id': 'UgxJHGokNgl06v7attB4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'As Forças Armadas do Brasil,  NUNCA Terão como Comandante Supremo, o Ladrão do Erário e Chefe de quadrilha de Bandidos, o ex-presidente e ex presidiário Mentiroso e Mau Caráter Luiz Inácio Lula da Silva,  Julgado e Condenado em 3 (três) Instâncias Judiciais do Brasil; é o que nos Revela o ESPÍRITO SANTO de DEUS Vivo em Nome do SENHOR dos Exércitos JESUS CRISTO.', 'textOriginal': 'As Forças Armadas do Brasil,  NUNCA Terão como Comandante Supremo, o Ladrão do Erário e Chefe de quadrilha de Bandidos, o ex-presidente e ex presidiário Mentiroso e Mau Caráter Luiz Inácio Lula da Silva,  Julgado e Condenado em 3 (três) Instâncias Judiciais do Brasil; é o que nos Revela o ESPÍRITO SANTO de DEUS Vivo em Nome do SENHOR dos Exércitos JESUS CRISTO.', 'authorDisplayName': 'SOUZA LEMOS - Contabilidade Online', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNJCRrjNIUu7TqK6Xw2w44od0Ww46v0zX81AHsR=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCrhcW4At8zmze78rqkxmx_w', 'authorChannelId': {'value': 'UCrhcW4At8zmze78rqkxmx_w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-13T11:14:57Z', 'updatedAt': '2022-10-13T11:14:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCrhcW4At8zmze78rqkxmx_w,2022-10-13T11:14:57Z,"As Forças Armadas do Brasil,  NUNCA Terão como Comandante Supremo, o Ladrão do Erário e Chefe de quadrilha de Bandidos, o ex-presidente e ex presidiário Mentiroso e Mau Caráter Luiz Inácio Lula da Silva,  Julgado e Condenado em 3 (três) Instâncias Judiciais do Brasil; é o que nos Revela o ESPÍRITO SANTO de DEUS Vivo em Nome do SENHOR dos Exércitos JESUS CRISTO.",,2023-06-08 12:18:20.251252
youtube#commentThread,vfEjDyokE9PNNK_ZgMn5P22dSRk,UgwICB7D1Z4MxDUfjXN4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '51UWTifP3P8wlqRDDjThRRYKccs', 'id': 'UgwICB7D1Z4MxDUfjXN4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'ESSA PATRÍCIA É A MESMA QUE O BOLSONARO DISSE QUE ELA QUERIA OFERECER XEXO POR INFORMAÇÃO?', 'textOriginal': 'ESSA PATRÍCIA É A MESMA QUE O BOLSONARO DISSE QUE ELA QUERIA OFERECER XEXO POR INFORMAÇÃO?', 'authorDisplayName': 'ARTUR PASSOS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMRWF1AhqmN-HOQR_uleM4jt3B1hOSusfa0JEHLC-M=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkVS40roZ3PAO7FiawSabdA', 'authorChannelId': {'value': 'UCkVS40roZ3PAO7FiawSabdA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T00:41:16Z', 'updatedAt': '2022-10-11T00:41:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkVS40roZ3PAO7FiawSabdA,2022-10-11T00:41:16Z,ESSA PATRÍCIA É A MESMA QUE O BOLSONARO DISSE QUE ELA QUERIA OFERECER XEXO POR INFORMAÇÃO?,,2023-06-08 12:18:20.251252
youtube#commentThread,cUHt-RtnLswRuS_a4a6jtUeVos0,UgynRNowWtU3rQGIrl94AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '7soZjmbZFIMPRlwOZJXybfAgRsc', 'id': 'UgynRNowWtU3rQGIrl94AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'O que é mais fake news do que as pesquisas do Datafolha? E vcs contam com a prostituição do STF pra fazer de conta que está tudo bem.vcs precisam da volta do Lula homicida pra continuar a existir a vida pré falência de vcs', 'textOriginal': 'O que é mais fake news do que as pesquisas do Datafolha? E vcs contam com a prostituição do STF pra fazer de conta que está tudo bem.vcs precisam da volta do Lula homicida pra continuar a existir a vida pré falência de vcs', 'authorDisplayName': 'Ernesto teran Salazar Lacerda Barros Pinochet', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNHExRzkyHil0Xa_og9YjV4ZjFKm94Po7ua6f6mNFaI8GgjqPA0-S5A6NQx9m07=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC10afbnwri2064rE_L6gmAQ', 'authorChannelId': {'value': 'UC10afbnwri2064rE_L6gmAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T10:54:40Z', 'updatedAt': '2022-10-10T10:54:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC10afbnwri2064rE_L6gmAQ,2022-10-10T10:54:40Z,O que é mais fake news do que as pesquisas do Datafolha? E vcs contam com a prostituição do STF pra fazer de conta que está tudo bem.vcs precisam da volta do Lula homicida pra continuar a existir a vida pré falência de vcs,,2023-06-08 12:18:20.251252
youtube#commentThread,DquHzNUDZAM7gUpa-cO-jhu1aVk,Ugwd4ZuxK0us-kGUBgR4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'j9ws7FkJz433rFEX5FVB0bXWxmY', 'id': 'Ugwd4ZuxK0us-kGUBgR4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Ahhh vc é aquela q foi condenado por FK  ... ÇEI....', 'textOriginal': 'Ahhh vc é aquela q foi condenado por FK  ... ÇEI....', 'authorDisplayName': 'Helza Alves Nobre', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM-zV-1O2XdqcY_xcpdP106GdduAA64BWbjEVJ_E4A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwPuB5QQP6EgWxwr1dGdn_g', 'authorChannelId': {'value': 'UCwPuB5QQP6EgWxwr1dGdn_g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T12:12:31Z', 'updatedAt': '2022-10-09T12:12:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwPuB5QQP6EgWxwr1dGdn_g,2022-10-09T12:12:31Z,Ahhh vc é aquela q foi condenado por FK  ... ÇEI....,,2023-06-08 12:18:20.251252
youtube#commentThread,O7p-lyuomMoL37eRqAg6zOxAOrM,UgyYdraxz_3F7OLaYvh4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'AiOxGCDsCrTUjilHF6ywhh5oCwM', 'id': 'UgyYdraxz_3F7OLaYvh4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Adivinha quem é este HOMEM ?<br>homem que Defende os  governantes da Venezuela, Cuba, Bolívia ea Argentina,  paises que está em uma extrema pobreza.<br> Na Argentina seus governantes legalizaram  mais um tipo de Droga a Maconha, Lula passou mais de 2 bilhões  para Cuba e NICARÁGUA enquanto o Nordeste estava sem abastecimento mínimo de água,<br>não abriu um poço se quer.<br>E o pior...<br> Subornou o congresso para emprestar bilhões para CUBA e NICARÁGUA que no final  deu calote milionário no Brasil.<br>   Esses países vivem uma extrema corrupção, jornais são lacrados, homossexuais ,padres,  freiras e gays QUE NÃO CONCORDAM COM A DITADURA DELES são presos ou expulsos.  <br> <br>O partido do Lula é a favor disso tudo, LADRÃO DE CELULAR não tem que ser preso ok.<br><br>Partido do Lula nunca foram dos TRABALHADORES  mais sim,de  uma corrupção já mais vista na história.<br>Excelente semana🙏🏾', 'textOriginal': 'Adivinha quem é este HOMEM ?\\nhomem que Defende os  governantes da Venezuela, Cuba, Bolívia ea Argentina,  paises que está em uma extrema pobreza.\\n Na Argentina seus governantes legalizaram  mais um tipo de Droga a Maconha, Lula passou mais de 2 bilhões  para Cuba e NICARÁGUA enquanto o Nordeste estava sem abastecimento mínimo de água,\\nnão abriu um poço se quer.\\nE o pior...\\n Subornou o congresso para emprestar bilhões para CUBA e NICARÁGUA que no final  deu calote milionário no Brasil.\\n   Esses países vivem uma extrema corrupção, jornais são lacrados, homossexuais ,padres,  freiras e gays QUE NÃO CONCORDAM COM A DITADURA DELES são presos ou expulsos.  \\n \\nO partido do Lula é a favor disso tudo, LADRÃO DE CELULAR não tem que ser preso ok.\\n\\nPartido do Lula nunca foram dos TRABALHADORES  mais sim,de  uma corrupção já mais vista na história.\\nExcelente semana🙏🏾', 'authorDisplayName': 'Vanderson Rodrigues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMIE6i9Tctt2Nrb85BYfnKgkHXH7Z9B95p9AjZO-w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCf6hMRNtw5RrdSVQ1OYRgeg', 'authorChannelId': {'value': 'UCf6hMRNtw5RrdSVQ1OYRgeg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-08T02:02:53Z', 'updatedAt': '2022-10-08T02:02:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCf6hMRNtw5RrdSVQ1OYRgeg,2022-10-08T02:02:53Z,"Adivinha quem é este HOMEM ?
homem que Defende os  governantes da Venezuela, Cuba, Bolívia ea Argentina,  paises que está em uma extrema pobreza.
 Na Argentina seus governantes legalizaram  mais um tipo de Droga a Maconha, Lula passou mais de 2 bilhões  para Cuba e NICARÁGUA enquanto o Nordeste estava sem abastecimento mínimo de água,
não abriu um poço se quer.
E o pior...
 Subornou o congresso para emprestar bilhões para CUBA e NICARÁGUA que no final  deu calote milionário no Brasil.
   Esses países vivem uma extrema corrupção, jornais são lacrados, homossexuais ,padres,  freiras e gays QUE NÃO CONCORDAM COM A DITADURA DELES são presos ou expulsos.  
 
O partido do Lula é a favor disso tudo, LADRÃO DE CELULAR não tem que ser preso ok.

Partido do Lula nunca foram dos TRABALHADORES  mais sim,de  uma corrupção já mais vista na história.
Excelente semana🙏🏾",,2023-06-08 12:18:20.251252
youtube#commentThread,chYd1IXN-Z1wZBt3r8BNOHh3roU,Ugz9gjttNiY9fHDAldp4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9788cGtlhRej37bw8WuzyTV6tKw', 'id': 'Ugz9gjttNiY9fHDAldp4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': '&quot;CampanhaS, fake news&quot;  nem vou perder tempo ouvindo desinformação.', 'textOriginal': '""CampanhaS, fake news""  nem vou perder tempo ouvindo desinformação.', 'authorDisplayName': 'Dadá Kopinski', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOh3dO--mgeNk_I0yt_jYOWsgsyemYgLKC48qFH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnOT4oDuhnI3wdmUxmWVKYQ', 'authorChannelId': {'value': 'UCnOT4oDuhnI3wdmUxmWVKYQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-08T01:30:37Z', 'updatedAt': '2022-10-08T01:30:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCnOT4oDuhnI3wdmUxmWVKYQ,2022-10-08T01:30:37Z,"""CampanhaS, fake news""  nem vou perder tempo ouvindo desinformação.",,2023-06-08 12:18:20.251252
youtube#commentThread,ig0-d1hRRDxNaMJcf9vjSied36A,Ugy79bHTxSeWWAKDQMx4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'PNeRkqcDH-3i2SnU0iqPD9FQlP0', 'id': 'Ugy79bHTxSeWWAKDQMx4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Isaías. 5.20<br> 20 Ai dos que ao mal chamam bem e ao bem, mal; que fazem da escuridade luz e da luz, escuridade; põem o amargo por doce e o doce, por amargo!<br>21 Ai dos que são sábios a seus próprios olhos e prudentes em seu próprio conceito!<br>22 Ai dos que são heróis para beber vinho e valentes para misturar bebida forte,<br>23 os quais por suborno justificam o perverso e ao justo negam justiça!', 'textOriginal': 'Isaías. 5.20\\n 20 Ai dos que ao mal chamam bem e ao bem, mal; que fazem da escuridade luz e da luz, escuridade; põem o amargo por doce e o doce, por amargo!\\n21 Ai dos que são sábios a seus próprios olhos e prudentes em seu próprio conceito!\\n22 Ai dos que são heróis para beber vinho e valentes para misturar bebida forte,\\n23 os quais por suborno justificam o perverso e ao justo negam justiça!', 'authorDisplayName': 'Obras-Trabalhos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/r812yq29tCN9XGMNcKOeMIlkaGSE9SUyhHRbCivN0FZ8arQVMDmbHsSIiR8H_WiDUpdYgyvGYQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9ARWE4EVxtJHqzdyvnMLbQ', 'authorChannelId': {'value': 'UC9ARWE4EVxtJHqzdyvnMLbQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-07T12:42:45Z', 'updatedAt': '2022-10-07T12:42:45Z'}}, 'canReply': True, 'totalReplyCount': 3, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'QK9JPj7PNFEKYN0BM-s5qVYZfik', 'id': 'Ugy79bHTxSeWWAKDQMx4AaABAg.9gsw7tR__x_9hArXoQwZjo', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': '@ARTUR PASSOS <br>Verdade, porém essas palavras cabe  em qualquer nação ou povo cuja injustiça predomina.<br>Porque onde predomina a corrupção ,sobre-vêm desolação', 'textOriginal': '@ARTUR PASSOS \\nVerdade, porém essas palavras cabe  em qualquer nação ou povo cuja injustiça predomina.\\nPorque onde predomina a corrupção ,sobre-vêm desolação', 'parentId': 'Ugy79bHTxSeWWAKDQMx4AaABAg', 'authorDisplayName': 'Obras-Trabalhos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/r812yq29tCN9XGMNcKOeMIlkaGSE9SUyhHRbCivN0FZ8arQVMDmbHsSIiR8H_WiDUpdYgyvGYQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9ARWE4EVxtJHqzdyvnMLbQ', 'authorChannelId': {'value': 'UC9ARWE4EVxtJHqzdyvnMLbQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-14T21:08:10Z', 'updatedAt': '2022-10-14T21:08:10Z'}}, {'kind': 'youtube#comment', 'etag': 'XTee1AzOpui2JQjG0tPn4rTGJMc', 'id': 'Ugy79bHTxSeWWAKDQMx4AaABAg.9gsw7tR__x_9h0wzK09xxq', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Isso foi escrito para o povo judeu e não para o Brasil.', 'textOriginal': 'Isso foi escrito para o povo judeu e não para o Brasil.', 'parentId': 'Ugy79bHTxSeWWAKDQMx4AaABAg', 'authorDisplayName': 'ARTUR PASSOS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMRWF1AhqmN-HOQR_uleM4jt3B1hOSusfa0JEHLC-M=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkVS40roZ3PAO7FiawSabdA', 'authorChannelId': {'value': 'UCkVS40roZ3PAO7FiawSabdA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T00:43:21Z', 'updatedAt': '2022-10-11T00:43:21Z'}}, {'kind': 'youtube#comment', 'etag': 'L-KjJp0tB-mFajbg0HqMC2Kyd4I', 'id': 'Ugy79bHTxSeWWAKDQMx4AaABAg.9gsw7tR__x_9gxCW48d0UG', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Esses evangelicos bolsonaristas vai levar o país a maior fratura da democracia na historia do brasil e depois pagarão essa conta, escrevam isso. Não sabem sequer utilizar um texto bíblico em um contexto mais amplo, estamos lidando com fanatismo, anti-ciencia, delirio apocaliptico, milicia, trafico de armas, corrupão desenfreada maquiada com discurso anti corrupção, panico moral, em meio a crise economica, falta de emprego, desinsdustrialização do país, perda de credibilidade internacional. Acorda cambada de malucos. O bolsonarismo é um ensaio tupiniquim do talibã na versao evangélica. Que horror. A cultura brasileira sera eliminada com o Bolsonarismo evangelico raiz. Anotem.', 'textOriginal': 'Esses evangelicos bolsonaristas vai levar o país a maior fratura da democracia na historia do brasil e depois pagarão essa conta, escrevam isso. Não sabem sequer utilizar um texto bíblico em um contexto mais amplo, estamos lidando com fanatismo, anti-ciencia, delirio apocaliptico, milicia, trafico de armas, corrupão desenfreada maquiada com discurso anti corrupção, panico moral, em meio a crise economica, falta de emprego, desinsdustrialização do país, perda de credibilidade internacional. Acorda cambada de malucos. O bolsonarismo é um ensaio tupiniquim do talibã na versao evangélica. Que horror. A cultura brasileira sera eliminada com o Bolsonarismo evangelico raiz. Anotem.', 'parentId': 'Ugy79bHTxSeWWAKDQMx4AaABAg', 'authorDisplayName': 'Pastor Sérgio Emílio Meira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/X4qzHQ7mGPXneWTIpkK4jU3m60hBztcbpblA6Bc6x5ijEzVwCF5J9inqO46Vzh-w-pB1xu3N=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnLuG3bgXSplP4dC6dYbUPQ', 'authorChannelId': {'value': 'UCnLuG3bgXSplP4dC6dYbUPQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T04:31:34Z', 'updatedAt': '2022-10-09T04:31:34Z'}}]}",UC9ARWE4EVxtJHqzdyvnMLbQ,2022-10-07T12:42:45Z,"Isaías. 5.20
 20 Ai dos que ao mal chamam bem e ao bem, mal; que fazem da escuridade luz e da luz, escuridade; põem o amargo por doce e o doce, por amargo!
21 Ai dos que são sábios a seus próprios olhos e prudentes em seu próprio conceito!
22 Ai dos que são heróis para beber vinho e valentes para misturar bebida forte,
23 os quais por suborno justificam o perverso e ao justo negam justiça!",,2023-06-08 12:18:20.251252
youtube#commentThread,H-XIiKkAo9v0XTICpymkF6byPGs,Ugx4bzpivJPRQTO9H3h4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Uxej3jLKLMRMkhB6WrTVYV0CTZY', 'id': 'Ugx4bzpivJPRQTO9H3h4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'O povo já ganhou, mesmo que Bolsonaro não se reeleja. Vocês (marinhos, frias, mesquitas, 1.142 economistas, 1.500 advogados) já perderam, se quiserem aeroportos, portos e rodovias bem cuidadas nesse governo são os meios de saída do Brasil. Nos deixem levar nossa vida com Deus, Liberdade e Crescimento econômico.', 'textOriginal': 'O povo já ganhou, mesmo que Bolsonaro não se reeleja. Vocês (marinhos, frias, mesquitas, 1.142 economistas, 1.500 advogados) já perderam, se quiserem aeroportos, portos e rodovias bem cuidadas nesse governo são os meios de saída do Brasil. Nos deixem levar nossa vida com Deus, Liberdade e Crescimento econômico.', 'authorDisplayName': 'Jmacfil J', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPG__cJf1pAVbMJl3QW0yhtAMBEEDjzi7BahQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgglngcd8aONKzEV6_o3qmA', 'authorChannelId': {'value': 'UCgglngcd8aONKzEV6_o3qmA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T12:31:36Z', 'updatedAt': '2022-10-07T12:31:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgglngcd8aONKzEV6_o3qmA,2022-10-07T12:31:36Z,"O povo já ganhou, mesmo que Bolsonaro não se reeleja. Vocês (marinhos, frias, mesquitas, 1.142 economistas, 1.500 advogados) já perderam, se quiserem aeroportos, portos e rodovias bem cuidadas nesse governo são os meios de saída do Brasil. Nos deixem levar nossa vida com Deus, Liberdade e Crescimento econômico.",,2023-06-08 12:18:20.251252
youtube#commentThread,pYDC__9YZIDHcIZnoMhitQCN_2Q,Ugzx7qJmyr3uQfHInbZ4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'E3oao0CX-KTic3O1PZ_v-40rvCw', 'id': 'Ugzx7qJmyr3uQfHInbZ4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Eu espero que quebre o sigilo bancário de todos vcs da folha aí vamos ver as desculpas', 'textOriginal': 'Eu espero que quebre o sigilo bancário de todos vcs da folha aí vamos ver as desculpas', 'authorDisplayName': 'Gabriel Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP5Oi318ssn2M0KOUBxqFovABtX2GFzzQ7vhcbnXIQb1idGgUyrh0-1lmFUZaE7=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCoJHMGioglMj46ctuy-t3BA', 'authorChannelId': {'value': 'UCoJHMGioglMj46ctuy-t3BA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T07:42:45Z', 'updatedAt': '2022-10-07T07:42:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCoJHMGioglMj46ctuy-t3BA,2022-10-07T07:42:45Z,Eu espero que quebre o sigilo bancário de todos vcs da folha aí vamos ver as desculpas,,2023-06-08 12:18:20.251252
youtube#commentThread,bK5FS3m2XzHQ4fFEPPqOdUbssCk,UgzgUcprfI6EjsMYhHJ4AaABAg,"{'videoId': 'hRv5c7PeEuE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'C_gZ5I5kjNrjA6cwU8XD4al_W54', 'id': 'UgzgUcprfI6EjsMYhHJ4AaABAg', 'snippet': {'videoId': 'hRv5c7PeEuE', 'textDisplay': 'Kkkkk.... que bosta ! Imprensa militante  !', 'textOriginal': 'Kkkkk.... que bosta ! Imprensa militante  !', 'authorDisplayName': 'Eduardo Bosco', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNEGxWYjbLUI9NY8AeFZLSfdb7SErNo9DZPVEHT=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9DW5LMo8cHjFMYrRx9dKwg', 'authorChannelId': {'value': 'UC9DW5LMo8cHjFMYrRx9dKwg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T23:56:05Z', 'updatedAt': '2022-10-06T23:56:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC9DW5LMo8cHjFMYrRx9dKwg,2022-10-06T23:56:05Z,Kkkkk.... que bosta ! Imprensa militante  !,,2023-06-08 12:18:20.251252
