kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,_O4irUvHMC0k-Nwdk8Z_YHQkNnQ,UgztwSO1c_D3NCgWjz54AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'V-2DtBof9CMfh8KwmsGAahf_Rd8', 'id': 'UgztwSO1c_D3NCgWjz54AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Faz o L seus babaca', 'textOriginal': 'Faz o L seus babaca', 'authorDisplayName': 'Lolita Araujo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMNx94TU2ri6CTmLm5A9kmsG1oe-ySzMfENnw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEVv4cw1dtkOf2yDgkcf72w', 'authorChannelId': {'value': 'UCEVv4cw1dtkOf2yDgkcf72w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-01T23:56:54Z', 'updatedAt': '2023-03-01T23:56:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEVv4cw1dtkOf2yDgkcf72w,2023-03-01T23:56:54Z,Faz o L seus babaca,,2023-06-08 12:32:17.019280
youtube#commentThread,xZG4Egv84QqOjPdpkE-RfFpYfJs,UgxXfM36k8YllWCFcgh4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9Rr1rrtBgk5fRhifmYCkfm-4Dq8', 'id': 'UgxXfM36k8YllWCFcgh4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Zero para vc.', 'textOriginal': 'Zero para vc.', 'authorDisplayName': 'Mera Antunes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNYxWOls_4QZhGV7Epy0u7ny3EJpTlpG4OA-g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCA8AkSDXnnPtrEBLFdJuIcw', 'authorChannelId': {'value': 'UCA8AkSDXnnPtrEBLFdJuIcw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-22T20:25:36Z', 'updatedAt': '2023-01-22T20:25:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCA8AkSDXnnPtrEBLFdJuIcw,2023-01-22T20:25:36Z,Zero para vc.,,2023-06-08 12:32:17.019280
youtube#commentThread,7qjEqTKlgUTW8oMhn2Y4Kt-1xbs,Ugw35vZT8pyz7cZbULd4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'k-b4zJDtmPW8u5DBdj8bkMHEE28', 'id': 'Ugw35vZT8pyz7cZbULd4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Ele pegue essa picanha leve pra quem voto nele  como   carne a hora que  quero', 'textOriginal': 'Ele pegue essa picanha leve pra quem voto nele  como   carne a hora que  quero', 'authorDisplayName': 'Elenir morais bezerra', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPtE0bMS-C7c9FMGiG-pl8C1OCIzEjtXzd9-Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCz3o2mnwluvPV-_opLJovkA', 'authorChannelId': {'value': 'UCz3o2mnwluvPV-_opLJovkA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-14T23:41:32Z', 'updatedAt': '2023-01-14T23:41:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCz3o2mnwluvPV-_opLJovkA,2023-01-14T23:41:32Z,Ele pegue essa picanha leve pra quem voto nele  como   carne a hora que  quero,,2023-06-08 12:32:17.019280
youtube#commentThread,oBe0cXrXipWtUaqrzAyq9YBQUMk,Ugz_MxPIpyxq7sCM9HF4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QbfHyXLICfbWEG_vXGoH0Hv57c8', 'id': 'Ugz_MxPIpyxq7sCM9HF4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'E agora nem o salário mínimo vai ter aumento.', 'textOriginal': 'E agora nem o salário mínimo vai ter aumento.', 'authorDisplayName': 'Augusto Farias Neto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOL4ADoQoq6eCMC25l3aJtg1ZwImx4B04xhJa-_xqiE2xNrPoK-AFFMK6h8SsBH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCvlv2BMB5azk0i2HDc_m1tw', 'authorChannelId': {'value': 'UCvlv2BMB5azk0i2HDc_m1tw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-01-10T23:38:56Z', 'updatedAt': '2023-01-10T23:38:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCvlv2BMB5azk0i2HDc_m1tw,2023-01-10T23:38:56Z,E agora nem o salário mínimo vai ter aumento.,,2023-06-08 12:32:17.019280
youtube#commentThread,zqJdjFeg2CWHxjn3NoDY_scLY58,Ugxw4YSLIzd6ZaLUniJ4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'v-07y556-0MuhqIyYV602Em9L3w', 'id': 'Ugxw4YSLIzd6ZaLUniJ4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Picanha de Cachorro so se for', 'textOriginal': 'Picanha de Cachorro so se for', 'authorDisplayName': 'Eloha Alemanha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/MaKlYwUaylNhnS9L75TlLnaCJECWk9kaLw55V6XuEPxTJsPc5zLOWmkg0OR43CV1klL3ChEJ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCam-NkmU_dwmuWywNYhsLvw', 'authorChannelId': {'value': 'UCam-NkmU_dwmuWywNYhsLvw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-01-05T00:17:10Z', 'updatedAt': '2023-01-05T00:17:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCam-NkmU_dwmuWywNYhsLvw,2023-01-05T00:17:10Z,Picanha de Cachorro so se for,,2023-06-08 12:32:17.019280
youtube#commentThread,gmOtutpM04JlIJK2EMSOYJ2lb-A,UgwYjtJhMDHlQZ_M5Id4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Q_U5K7Q5u-OBEHrMVahSxWYZGVM', 'id': 'UgwYjtJhMDHlQZ_M5Id4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Muito bom esse vídeo É POVO👎🏻🚩👎🏻vai fazendo o ( L )', 'textOriginal': 'Muito bom esse vídeo É POVO👎🏻🚩👎🏻vai fazendo o ( L )', 'authorDisplayName': 'Maria Cristina', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMzesv7sBNI-mAHveG8KH6WJmqFg22cITj2Tw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCf8cDQP0Q7lctAOmGC7_iBw', 'authorChannelId': {'value': 'UCf8cDQP0Q7lctAOmGC7_iBw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-12-25T16:15:21Z', 'updatedAt': '2022-12-25T16:15:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCf8cDQP0Q7lctAOmGC7_iBw,2022-12-25T16:15:21Z,Muito bom esse vídeo É POVO👎🏻🚩👎🏻vai fazendo o ( L ),,2023-06-08 12:32:17.019280
youtube#commentThread,XukxgFxR4Z2loDX8j0osye973oo,Ugz_jFdiCUcxyvLqnvN4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'y_ePw_FVf64x06UkPiZFJ529Y64', 'id': 'Ugz_jFdiCUcxyvLqnvN4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Quem acredita  é  só  os cúmplices  dele....., espera deitado que de pé  vai cansar!!', 'textOriginal': 'Quem acredita  é  só  os cúmplices  dele....., espera deitado que de pé  vai cansar!!', 'authorDisplayName': 'Cenira.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/7P_0GMo6OYT-0of-K3j4sm6pgpKFKLiBv3Nz7fi-2J65tEOc5FPBFFcQL7teJrGR6m19E3lc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCv4iHQn0I3A-XkNXHPf1uFg', 'authorChannelId': {'value': 'UCv4iHQn0I3A-XkNXHPf1uFg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-23T04:08:07Z', 'updatedAt': '2022-12-23T04:08:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCv4iHQn0I3A-XkNXHPf1uFg,2022-12-23T04:08:07Z,"Quem acredita  é  só  os cúmplices  dele....., espera deitado que de pé  vai cansar!!",,2023-06-08 12:32:17.019280
youtube#commentThread,vrC3BD70W6ex9WfO16EIrY7dzAw,Ugwx7xQQkSQngfYMlTh4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LXdA4vmeI90NqD7VVEIMb7OnKQM', 'id': 'Ugwx7xQQkSQngfYMlTh4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Intervenção militar com Bolsonaro no Poder única forma de resgatar a nossa Soberania', 'textOriginal': 'Intervenção militar com Bolsonaro no Poder única forma de resgatar a nossa Soberania', 'authorDisplayName': 'Magda Aparecida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOK-fVfzawaWbFhdfsRaEF7bFJ68Z5qWpB0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbGNY4FCqQPsSzJFrqVzL5w', 'authorChannelId': {'value': 'UCbGNY4FCqQPsSzJFrqVzL5w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-21T13:38:59Z', 'updatedAt': '2022-12-21T13:38:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbGNY4FCqQPsSzJFrqVzL5w,2022-12-21T13:38:59Z,Intervenção militar com Bolsonaro no Poder única forma de resgatar a nossa Soberania,,2023-06-08 12:32:17.019280
youtube#commentThread,8oo7QiKks4XGS384aYzShIhrYDo,UgxJJYCrBiwYE96yjdB4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '7_OiZ4K0MkZVlqJ9xS7q7GRr3OU', 'id': 'UgxJJYCrBiwYE96yjdB4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Tu é um besta', 'textOriginal': 'Tu é um besta', 'authorDisplayName': 'Cantor e compositor Josué Queiroz', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOr0otMuAcbsLAbXIVUqWy7tfIehZxisk04Gx3ZwA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE-ODwsRhiM_yuZvcQNQtxQ', 'authorChannelId': {'value': 'UCE-ODwsRhiM_yuZvcQNQtxQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-12T04:40:17Z', 'updatedAt': '2022-12-12T04:40:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE-ODwsRhiM_yuZvcQNQtxQ,2022-12-12T04:40:17Z,Tu é um besta,,2023-06-08 12:32:17.019280
youtube#commentThread,9knEyH3jBw-lvf2MFR3tiZ3Cevg,Ugy6MEYLlL0S_XkyX3N4AaABAg,"{'videoId': 'gepfXU8v1Fo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FnTGeTD5C6U1lNRY89s2Xlpmb50', 'id': 'Ugy6MEYLlL0S_XkyX3N4AaABAg', 'snippet': {'videoId': 'gepfXU8v1Fo', 'textDisplay': 'Esse LADRÃO tem os neurônios comido pela cachaça.', 'textOriginal': 'Esse LADRÃO tem os neurônios comido pela cachaça.', 'authorDisplayName': 'Ana Cristina', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMMGMjYl6ra8EKLS1pUnBwmQPxp-VIO4vpsoIH10Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3DvJ-5cd5Ql8NuvZedalPQ', 'authorChannelId': {'value': 'UC3DvJ-5cd5Ql8NuvZedalPQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-09T02:21:56Z', 'updatedAt': '2022-11-09T02:21:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3DvJ-5cd5Ql8NuvZedalPQ,2022-11-09T02:21:56Z,Esse LADRÃO tem os neurônios comido pela cachaça.,,2023-06-08 12:32:17.019280
