kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,q48s3o2rueQObph1L-X3Rk5zTKI,UgxRC-OG-0JzkM70W3l4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mn4qpw21wH8cXEUPXKomyB6MkV4', 'id': 'UgxRC-OG-0JzkM70W3l4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Se inscreva no nosso curso “Como começar seu canal no Youtube” no ICL: <a href=""https://icl1.com.br/galas-padrao/"">https://icl1.com.br/galas-padrao/</a><br><br>Apoie a Galãs Feios pra gente poder continuar denunciando os golpes: <a href=""https://apoia.se/galasfeios"">https://apoia.se/galasfeios</a><br><br>Seja membro deste canal:<br><a href=""https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join"">https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join</a><br><br>Conta Galãs Feios Assessoria e Com.<br>Banco Itaú<br>Ag: 0188<br>CC: 17965-9<br>CNPJ: 15277493/0001-89<br><br>PIX: galasfeios@<a href=""http://gmail.com/"">gmail.com</a><br><br>PayPal: galasfeios@<a href=""http://gmail.com/"">gmail.com</a><br><br>Compre nossas camisetas e bonés: <a href=""https://www.elcabriton.com/galas-feios"">https://www.elcabriton.com/galas-feios</a>', 'textOriginal': 'Se inscreva no nosso curso “Como começar seu canal no Youtube” no ICL: https://icl1.com.br/galas-padrao/\\n\\nApoie a Galãs Feios pra gente poder continuar denunciando os golpes: https://apoia.se/galasfeios\\n\\nSeja membro deste canal:\\nhttps://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join\\n\\nConta Galãs Feios Assessoria e Com.\\nBanco Itaú\\nAg: 0188\\nCC: 17965-9\\nCNPJ: 15277493/0001-89\\n\\nPIX: galasfeios@gmail.com\\n\\nPayPal: galasfeios@gmail.com\\n\\nCompre nossas camisetas e bonés: https://www.elcabriton.com/galas-feios', 'authorDisplayName': 'Galãs Feios', 'authorProfileImageUrl': 'https://yt3.ggpht.com/C1a-DsdWODwXLFIn5gOMIcHEBRdDZOnzeK2YXVCr_hmcqBELiHZoBHULP2m1bjVkwhx9o46oAw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg', 'authorChannelId': {'value': 'UC2bZgihqibFD_vhaYEXQZFg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 42, 'publishedAt': '2022-10-22T14:01:34Z', 'updatedAt': '2022-10-22T14:01:34Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'N7We8xMkN1nzVcCOb1cn0IMxwWE', 'id': 'UgxRC-OG-0JzkM70W3l4AaABAg.9hUh4DwhEmT9hw8eKr10-6', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Eu voto e milao vai botar sua. Tonta ningem vai acriditar em voce xoxa', 'textOriginal': 'Eu voto e milao vai botar sua. Tonta ningem vai acriditar em voce xoxa', 'parentId': 'UgxRC-OG-0JzkM70W3l4AaABAg', 'authorDisplayName': 'Maria Madalena Costa Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZGvUJxDEvQlvlCirPrz2aQ', 'authorChannelId': {'value': 'UCZGvUJxDEvQlvlCirPrz2aQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T15:10:02Z', 'updatedAt': '2022-11-02T15:10:02Z'}}]}",UC2bZgihqibFD_vhaYEXQZFg,2022-10-22T14:01:34Z,"Se inscreva no nosso curso “Como começar seu canal no Youtube” no ICL: https://icl1.com.br/galas-padrao/

Apoie a Galãs Feios pra gente poder continuar denunciando os golpes: https://apoia.se/galasfeios

Seja membro deste canal:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Conta Galãs Feios Assessoria e Com.
Banco Itaú
Ag: 0188
CC: 17965-9
CNPJ: 15277493/0001-89

PIX: galasfeios@gmail.com

PayPal: galasfeios@gmail.com

Compre nossas camisetas e bonés: https://www.elcabriton.com/galas-feios",QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,KuATJaqugb4mT-TPo249nzABBFE,UgxLEAFHw496mvKaLbR4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NlpTLgwU8DUyA7WHNRhRLqtzqpc', 'id': 'UgxLEAFHw496mvKaLbR4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'E a Xuxa nem precisava', 'textOriginal': 'E a Xuxa nem precisava', 'authorDisplayName': 'Suzi Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPFzNaj0cjjK8MmGYGCsmXNDz89C_Unfz1hvQ-Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9gyNzouN9b4X-omSUHaXFQ', 'authorChannelId': {'value': 'UC9gyNzouN9b4X-omSUHaXFQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-30T02:00:04Z', 'updatedAt': '2023-03-30T02:00:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC9gyNzouN9b4X-omSUHaXFQ,2023-03-30T02:00:04Z,E a Xuxa nem precisava,QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,fgldHNlOeg4sxiG0k192Eqkh8Z4,UgzxXIbtE-C-v9-gymh4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Uu7CNxGbflHeuGA3KWk7ahNdvPg', 'id': 'UgzxXIbtE-C-v9-gymh4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': '<a href=""https://www.youtube.com/watch?v=JAc9oV0zowI&amp;t=4m55s"">4:55</a> Nossa essa frase é dar nojo como pode ter homens que abrem a boca para dizerem isso justificando uma patifaria dessas? Agora se fosse com uma filha neta deles aí o pau ia quebrar né bando de nojentos.😡😡🤮🤮', 'textOriginal': '4:55 Nossa essa frase é dar nojo como pode ter homens que abrem a boca para dizerem isso justificando uma patifaria dessas? Agora se fosse com uma filha neta deles aí o pau ia quebrar né bando de nojentos.😡😡🤮🤮', 'authorDisplayName': 'Vαηєssα Volkmαηη 💋', 'authorProfileImageUrl': 'https://yt3.ggpht.com/r5O7TTiCoEJ6_FoLfzSCcetRYA2fEtlWhaOhMcXls-TkmhWH4W9t1ExJLlbJ4o5bFjrC8RoqtQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjYgOrr05JpHLOI2My0OFTA', 'authorChannelId': {'value': 'UCjYgOrr05JpHLOI2My0OFTA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-28T02:18:17Z', 'updatedAt': '2022-11-28T02:18:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjYgOrr05JpHLOI2My0OFTA,2022-11-28T02:18:17Z,4:55 Nossa essa frase é dar nojo como pode ter homens que abrem a boca para dizerem isso justificando uma patifaria dessas? Agora se fosse com uma filha neta deles aí o pau ia quebrar né bando de nojentos.😡😡🤮🤮,QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,3qPPzj70v1QKCdyOsrv1gulqDf4,Ugw6vWA0X2pEmGKzHLZ4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tXZ50ftHk37uXU52N2KyLtfHxVo', 'id': 'Ugw6vWA0X2pEmGKzHLZ4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Xuxa você é phodastica!!!!! Parabéns.', 'textOriginal': 'Xuxa você é phodastica!!!!! Parabéns.', 'authorDisplayName': 'Isabelle Fontebasso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO9qFEXGV_FrN11qXZK8WiqOa02sK_GzW6m8Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCI_pQPXUEIYiIK_dok-NudQ', 'authorChannelId': {'value': 'UCI_pQPXUEIYiIK_dok-NudQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-07T12:32:55Z', 'updatedAt': '2022-11-07T12:32:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCI_pQPXUEIYiIK_dok-NudQ,2022-11-07T12:32:55Z,Xuxa você é phodastica!!!!! Parabéns.,QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,c32HQB8QgzOiy_VZOIZuxf1pVSk,Ugy_pOVeKGt2mLCsWN94AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'd1AHgpR0KNKq2Mz3b-klflMi5VY', 'id': 'Ugy_pOVeKGt2mLCsWN94AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'QUANDO XUXA SE ARREGANHOU PELADA, EM CIMA DE UMA CRIANÇA COM 14 ANOS, JÁ ERA PEDOFILIA VIU. XUXA NÃO TEM MORAL PARA CONDENAR NINGUÉM.FEZ E ESTÁ FEITO!', 'textOriginal': 'QUANDO XUXA SE ARREGANHOU PELADA, EM CIMA DE UMA CRIANÇA COM 14 ANOS, JÁ ERA PEDOFILIA VIU. XUXA NÃO TEM MORAL PARA CONDENAR NINGUÉM.FEZ E ESTÁ FEITO!', 'authorDisplayName': 'G o Rocha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMB-ZsO3BQBZpPlC8GHxzB2zD-0_niS5-aRDw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCamkoPALxpT92i6WyhrQklg', 'authorChannelId': {'value': 'UCamkoPALxpT92i6WyhrQklg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T19:35:03Z', 'updatedAt': '2022-10-30T19:35:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCamkoPALxpT92i6WyhrQklg,2022-10-30T19:35:03Z,"QUANDO XUXA SE ARREGANHOU PELADA, EM CIMA DE UMA CRIANÇA COM 14 ANOS, JÁ ERA PEDOFILIA VIU. XUXA NÃO TEM MORAL PARA CONDENAR NINGUÉM.FEZ E ESTÁ FEITO!",QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,E2OYe3FviEzA93smCg7kvUCzqmg,UgwWWp0jN_upr9wH5JZ4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9No0gROUM07UEYJ5NDGpEFXJbDY', 'id': 'UgwWWp0jN_upr9wH5JZ4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Show matéria parabéns galera.', 'textOriginal': 'Show matéria parabéns galera.', 'authorDisplayName': 'Carmen Conceição', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPfDDJk1O5EsLZkoXFag5m34_jsEhISHbmBqvkl4KB-RZ_XWeH5xqhmNBjqFvNT=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCmrTtvuTX3lZ7vI9-0vVVNw', 'authorChannelId': {'value': 'UCmrTtvuTX3lZ7vI9-0vVVNw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T20:46:27Z', 'updatedAt': '2022-10-27T20:46:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCmrTtvuTX3lZ7vI9-0vVVNw,2022-10-27T20:46:27Z,Show matéria parabéns galera.,QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,gkRqLiaLW_epRHoGkQw5m_gVyFw,Ugw2pKj5Eeu1R4lr8YN4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZyboJQMRogLCpH3Apaf6KrbXuvo', 'id': 'Ugw2pKj5Eeu1R4lr8YN4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Verdade.', 'textOriginal': 'Verdade.', 'authorDisplayName': 'Caren Salvador', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNwUgvELZpAlJdxqz9dJ3eFgolnfD6EthMjZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3XMm4u-ZPnbFScDwgYkhtw', 'authorChannelId': {'value': 'UC3XMm4u-ZPnbFScDwgYkhtw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T15:56:05Z', 'updatedAt': '2022-10-27T15:56:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3XMm4u-ZPnbFScDwgYkhtw,2022-10-27T15:56:05Z,Verdade.,QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,UNLSLq2VgvmyO9pnDh7fwG5ouI4,UgynC8PWrAY7YQ-TkRJ4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'W0K8tLy_9yL4A3-snem1SxRfHWs', 'id': 'UgynC8PWrAY7YQ-TkRJ4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Nunca eu tive nojo dele pois sofri abuso de um abuso de um policial mais velho quando tinha 12 anos isso doeu muito é asqueroso eu queria ver ele atrás das grades. Sofro com depressão até hoje. Mães não queiram isso para suas filhas , para seus filhos diga não ao Bolsonaro vote Lula dia 30 é 1️⃣3️⃣', 'textOriginal': 'Nunca eu tive nojo dele pois sofri abuso de um abuso de um policial mais velho quando tinha 12 anos isso doeu muito é asqueroso eu queria ver ele atrás das grades. Sofro com depressão até hoje. Mães não queiram isso para suas filhas , para seus filhos diga não ao Bolsonaro vote Lula dia 30 é 1️⃣3️⃣', 'authorDisplayName': 'Rose Miranda', 'authorProfileImageUrl': 'https://yt3.ggpht.com/JySq9SW9bZjI9N68fnEqYu59TwtNimShrFw4eLXl5Jbox3dWYciMu8qZcnXmvphd5b6X68YCuA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtVtUMX10Sp-QUi5gglTtww', 'authorChannelId': {'value': 'UCtVtUMX10Sp-QUi5gglTtww'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T14:23:18Z', 'updatedAt': '2022-10-27T14:23:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtVtUMX10Sp-QUi5gglTtww,2022-10-27T14:23:18Z,"Nunca eu tive nojo dele pois sofri abuso de um abuso de um policial mais velho quando tinha 12 anos isso doeu muito é asqueroso eu queria ver ele atrás das grades. Sofro com depressão até hoje. Mães não queiram isso para suas filhas , para seus filhos diga não ao Bolsonaro vote Lula dia 30 é 1️⃣3️⃣",QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,FdnTnTD6SLu6qkdKxCF5wfeqoEQ,UgyFCYtPu-BtnhqKDuB4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tZ7No4SyVJY5oWDAouxPPuI6b-8', 'id': 'UgyFCYtPu-BtnhqKDuB4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'Esses &quot;cristãos&quot; que ainda apóiam o bolsonaro me dão muito nojo! Deixaram de adorar o Deus deles para adorar um doente babão e criminoso da pior qualidade! Com esse pessoal mantenho distância e desconfiança.', 'textOriginal': 'Esses ""cristãos"" que ainda apóiam o bolsonaro me dão muito nojo! Deixaram de adorar o Deus deles para adorar um doente babão e criminoso da pior qualidade! Com esse pessoal mantenho distância e desconfiança.', 'authorDisplayName': 'Erick Gomes Lins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Rtb-72ro-ii-euD8ulCx-56WjVgqDmDTmVy9qlKFVTrkE8-LlwlpBCKrw-BoWqaK-Y-wRipZhQk=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCm_l5fpyq4lWhF3S5c0pWxA', 'authorChannelId': {'value': 'UCm_l5fpyq4lWhF3S5c0pWxA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T13:41:35Z', 'updatedAt': '2022-10-26T13:42:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCm_l5fpyq4lWhF3S5c0pWxA,2022-10-26T13:41:35Z,"Esses ""cristãos"" que ainda apóiam o bolsonaro me dão muito nojo! Deixaram de adorar o Deus deles para adorar um doente babão e criminoso da pior qualidade! Com esse pessoal mantenho distância e desconfiança.",QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
youtube#commentThread,qoJusPC1Bv47c6W02b_5YrmqMpM,UgxX2yk_nie3ElJG5PZ4AaABAg,"{'videoId': 'JAc9oV0zowI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'KbFqv5SvSXNol9FauT0d997N0h8', 'id': 'UgxX2yk_nie3ElJG5PZ4AaABAg', 'snippet': {'videoId': 'JAc9oV0zowI', 'textDisplay': 'O BRASIL TERA COM SERTESA O PRESIDENTE QUE MERECE (VIVA PRESIDENTE LULA!!!! LADRAO, VAGABUNDO, GOLPISTA, FORMADOR DE QUADRILHA, MUCUMUNADO COM PC E ETS, COMUNISTA.....) BRASILEIROS POR FAVOR VOTEM NO LULA VOU ADORAR VER ELE TOMAR MEDIDA CONTRA TODOS', 'textOriginal': 'O BRASIL TERA COM SERTESA O PRESIDENTE QUE MERECE (VIVA PRESIDENTE LULA!!!! LADRAO, VAGABUNDO, GOLPISTA, FORMADOR DE QUADRILHA, MUCUMUNADO COM PC E ETS, COMUNISTA.....) BRASILEIROS POR FAVOR VOTEM NO LULA VOU ADORAR VER ELE TOMAR MEDIDA CONTRA TODOS', 'authorDisplayName': 'Luis Alexandre Gonçalves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOrYQmwq0WlVQWa4YkABYl7Ck_Gun8FCBu-_TQqsw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcsyPK0XTOupz0xLlzb1qUw', 'authorChannelId': {'value': 'UCcsyPK0XTOupz0xLlzb1qUw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T12:00:53Z', 'updatedAt': '2022-10-26T12:00:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcsyPK0XTOupz0xLlzb1qUw,2022-10-26T12:00:53Z,"O BRASIL TERA COM SERTESA O PRESIDENTE QUE MERECE (VIVA PRESIDENTE LULA!!!! LADRAO, VAGABUNDO, GOLPISTA, FORMADOR DE QUADRILHA, MUCUMUNADO COM PC E ETS, COMUNISTA.....) BRASILEIROS POR FAVOR VOTEM NO LULA VOU ADORAR VER ELE TOMAR MEDIDA CONTRA TODOS",QURTSl9pMkR3VGpvQ3dHTU9EQnlvN1FaY2V6ZVV2SVp1VFZmOG8wSUJOdjNuelZwTU1FNndoWUR5ZURHSWpJemtKekRVUnE0Y3NXcXcwcmFjLUtYQXN3RWdMUnF3RjRfOVE=,2023-06-08 12:49:17.565008
