kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,fZC2AUbSmuQkiwzWL0EKf-yjevw,UgyNqRMBBhVlVbwRT8p4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 't-6XmiOs-j28O2VpBj7ICSANrNc', 'id': 'UgyNqRMBBhVlVbwRT8p4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': '🔥 R$ 1 POR MÊS ATÉ O FIM DO ANO. Apoie a Gazeta do Povo no momento em que mais precisamos. Assine agora por R$ 1: <a href=""https://bit.ly/3qNsNur"">https://bit.ly/3qNsNur</a>', 'textOriginal': '🔥 R$ 1 POR MÊS ATÉ O FIM DO ANO. Apoie a Gazeta do Povo no momento em que mais precisamos. Assine agora por R$ 1: https://bit.ly/3qNsNur', 'authorDisplayName': 'Gazeta do Povo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/_N6eS-Bd_euS0q5CiSPp7Rin1zSzD_uL0_GZTcKAgnd43PHUYB2b-f1ZzZ2XisDJnHNAgap20A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWdGgeyOnCOGnvhNdbVl1dQ', 'authorChannelId': {'value': 'UCWdGgeyOnCOGnvhNdbVl1dQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 74, 'publishedAt': '2022-10-27T15:40:33Z', 'updatedAt': '2022-10-27T15:40:33Z'}}, 'canReply': True, 'totalReplyCount': 11, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'wpL-htOsNv0Trpt72jzjXoyFWpI', 'id': 'UgyNqRMBBhVlVbwRT8p4AaABAg.9hgkNYKH0Rf9hhIzFo2RHC', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Ontem a Globo dava VERGONHA o ódio dos jornalistas nem tem coragem de chamar o PRESIDENTE disse BOLSONARO. <br>Dizendo q queriam tumultuar as eleições. <br>Só faltou dizer q a equipe contratada pelos ministros Farias era de fundos de quintal sem credibilidade. Sem provas. <br>E muito mais um horror. <br>Tive vontade de vomitar!99%daquela emissora é esquerdistas q Deus me perdoe mais a concessão ñ devia ser renovado merece ser fechada.', 'textOriginal': 'Ontem a Globo dava VERGONHA o ódio dos jornalistas nem tem coragem de chamar o PRESIDENTE disse BOLSONARO. \\nDizendo q queriam tumultuar as eleições. \\nSó faltou dizer q a equipe contratada pelos ministros Farias era de fundos de quintal sem credibilidade. Sem provas. \\nE muito mais um horror. \\nTive vontade de vomitar!99%daquela emissora é esquerdistas q Deus me perdoe mais a concessão ñ devia ser renovado merece ser fechada.', 'parentId': 'UgyNqRMBBhVlVbwRT8p4AaABAg', 'authorDisplayName': 'Genilda Andrela', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPyoPUj57fj2UhB1n4GW-CyfTAF-Y_QduvZ2Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4l5RQ_JcRGxNdiSbYI2A6Q', 'authorChannelId': {'value': 'UC4l5RQ_JcRGxNdiSbYI2A6Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T20:51:40Z', 'updatedAt': '2022-10-27T20:51:40Z'}}, {'kind': 'youtube#comment', 'etag': 'eSe-mBjUGfD23TELdvmlZqGmSWI', 'id': 'UgyNqRMBBhVlVbwRT8p4AaABAg.9hgkNYKH0Rf9hhIgMWnHtq', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Com muita fé, dia 30 vamos apertar o 22 sem dó , c as bençãos de Deus 🙏🙏 vamos eleger o capitão!!', 'textOriginal': 'Com muita fé, dia 30 vamos apertar o 22 sem dó , c as bençãos de Deus 🙏🙏 vamos eleger o capitão!!', 'parentId': 'UgyNqRMBBhVlVbwRT8p4AaABAg', 'authorDisplayName': 'Jose Geraldo Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNu_a2JPc7bWx8vNr_pPAhPBhGo1bTiYQ3Ikg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWScqrQAqr8-i0XoeV1Xb2w', 'authorChannelId': {'value': 'UCWScqrQAqr8-i0XoeV1Xb2w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T20:49:05Z', 'updatedAt': '2022-10-27T20:49:05Z'}}, {'kind': 'youtube#comment', 'etag': 'gPHUlNcUGKvNXWjIvpNlHa0gARY', 'id': 'UgyNqRMBBhVlVbwRT8p4AaABAg.9hgkNYKH0Rf9hh7uHSIy3j', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': '@Maria Rosaria Lopes Como não?  Se só tem um lado difamando o outro com mentiras, sem direito de resposta e mostra a verdade?', 'textOriginal': '@Maria Rosaria Lopes Como não?  Se só tem um lado difamando o outro com mentiras, sem direito de resposta e mostra a verdade?', 'parentId': 'UgyNqRMBBhVlVbwRT8p4AaABAg', 'authorDisplayName': 'Claudio Barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNMx7vXNWXvxredsxkqHT3Kldo3SvfiOBNQDdrzq8Qoj-NrJktgub7sdPgTXgxJ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeimFiuhmWww7GnstYJOgEA', 'authorChannelId': {'value': 'UCeimFiuhmWww7GnstYJOgEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-27T19:14:52Z', 'updatedAt': '2022-10-27T19:14:52Z'}}, {'kind': 'youtube#comment', 'etag': 'jvahBJyRSVtuUyEjHz_vHzOoqXg', 'id': 'UgyNqRMBBhVlVbwRT8p4AaABAg.9hgkNYKH0Rf9hgziTvUe-s', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Gostaria de saber como assinar!', 'textOriginal': 'Gostaria de saber como assinar!', 'parentId': 'UgyNqRMBBhVlVbwRT8p4AaABAg', 'authorDisplayName': 'Ubirajara Almeida de Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNUzb8j9GTnhBiLJXkjgdLbR95E8rJi-qzI_JGGOQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-gz1ywFMFeGane4ev0O0Mg', 'authorChannelId': {'value': 'UC-gz1ywFMFeGane4ev0O0Mg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T17:54:36Z', 'updatedAt': '2022-10-27T17:54:36Z'}}, {'kind': 'youtube#comment', 'etag': 'F4JzSPYGtH9UBQ4nAc7qrDBiVL0', 'id': 'UgyNqRMBBhVlVbwRT8p4AaABAg.9hgkNYKH0Rf9hgwmDtrru3', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'TMJ', 'textOriginal': 'TMJ', 'parentId': 'UgyNqRMBBhVlVbwRT8p4AaABAg', 'authorDisplayName': 'Gerson Vasconcellos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-PsGn-1vNTQ2aVOHw02O38OCFeCwUz9l3AX1jEw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbExUA4eYlYTxbLJ7rTXKtA', 'authorChannelId': {'value': 'UCbExUA4eYlYTxbLJ7rTXKtA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T17:28:54Z', 'updatedAt': '2022-10-27T17:28:54Z'}}]}",UCWdGgeyOnCOGnvhNdbVl1dQ,2022-10-27T15:40:33Z,🔥 R$ 1 POR MÊS ATÉ O FIM DO ANO. Apoie a Gazeta do Povo no momento em que mais precisamos. Assine agora por R$ 1: https://bit.ly/3qNsNur,QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,KnS_hhckr_21kseO2-ysa7qJRAI,UgxfdqIEEkcyLcdzS_h4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iOZzGkX66XgrWVUfA3DpWNxCmz0', 'id': 'UgxfdqIEEkcyLcdzS_h4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'O STF/ TSE ( Instituto Lula) CONSPIRAM DESDE 2019 CONTRA O PRESIDENTE BOLSONARO e contra o Brasil. UM louco ESQUIZOFRÊNICO PERVERSO MILITANTE, está interferindo nos outros poderes e destruindo o Brasil. EXÉRCITO de CAXIAS ; salvai o povo brasileiro DESSES tiranos. O artigo 55 da Constituição Federal, determina quê quando há interferência de um Poder sobre outro , ameaça externa e guerra civil, competem às FORÇAS FEDERAIS, manter a ordem interna. UM LOUCO, ESQUIZOFRÊNICO, PERVERSO, MILITANTE irá destruir nosso país.', 'textOriginal': 'O STF/ TSE ( Instituto Lula) CONSPIRAM DESDE 2019 CONTRA O PRESIDENTE BOLSONARO e contra o Brasil. UM louco ESQUIZOFRÊNICO PERVERSO MILITANTE, está interferindo nos outros poderes e destruindo o Brasil. EXÉRCITO de CAXIAS ; salvai o povo brasileiro DESSES tiranos. O artigo 55 da Constituição Federal, determina quê quando há interferência de um Poder sobre outro , ameaça externa e guerra civil, competem às FORÇAS FEDERAIS, manter a ordem interna. UM LOUCO, ESQUIZOFRÊNICO, PERVERSO, MILITANTE irá destruir nosso país.', 'authorDisplayName': 'Eduardo Correia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMuwUg9-fOLJxBjD7mBADQWkQudQsTgDWzqv5VmuJU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCpuMmDM7zZSrzHQ4TqOdq9A', 'authorChannelId': {'value': 'UCpuMmDM7zZSrzHQ4TqOdq9A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T13:49:01Z', 'updatedAt': '2022-11-03T13:49:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCpuMmDM7zZSrzHQ4TqOdq9A,2022-11-03T13:49:01Z,"O STF/ TSE ( Instituto Lula) CONSPIRAM DESDE 2019 CONTRA O PRESIDENTE BOLSONARO e contra o Brasil. UM louco ESQUIZOFRÊNICO PERVERSO MILITANTE, está interferindo nos outros poderes e destruindo o Brasil. EXÉRCITO de CAXIAS ; salvai o povo brasileiro DESSES tiranos. O artigo 55 da Constituição Federal, determina quê quando há interferência de um Poder sobre outro , ameaça externa e guerra civil, competem às FORÇAS FEDERAIS, manter a ordem interna. UM LOUCO, ESQUIZOFRÊNICO, PERVERSO, MILITANTE irá destruir nosso país.",QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,lEdpUF0CS3C5VVhFF1e4eRWObw8,Ugz3RnGsu9A0yi20oQ14AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'J3xhHLQ6V7BhbSaoMlDHpp9Q2Fk', 'id': 'Ugz3RnGsu9A0yi20oQ14AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Meu Deus, simplesmente absurdo o que está acontecendo nas eleições, está escancarado pra todo mundo vê, só o povo de bem pra salvar o Brasil dessa situação, dia 30 a única solução é 22.', 'textOriginal': 'Meu Deus, simplesmente absurdo o que está acontecendo nas eleições, está escancarado pra todo mundo vê, só o povo de bem pra salvar o Brasil dessa situação, dia 30 a única solução é 22.', 'authorDisplayName': 'Ribeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMr_Wkb8NGiArcPdPlx483kxH6lQsnb1V489A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8lC4Q2IQa40D8YTsCqWvqw', 'authorChannelId': {'value': 'UC8lC4Q2IQa40D8YTsCqWvqw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T16:02:03Z', 'updatedAt': '2022-10-29T16:02:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8lC4Q2IQa40D8YTsCqWvqw,2022-10-29T16:02:03Z,"Meu Deus, simplesmente absurdo o que está acontecendo nas eleições, está escancarado pra todo mundo vê, só o povo de bem pra salvar o Brasil dessa situação, dia 30 a única solução é 22.",QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,1D3WA5FoLrytdxqNhl5jMnY2DAw,Ugy5Im8IWpAicokoKVx4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'laznFiM4NRp1reCJKRM1nZz59mA', 'id': 'Ugy5Im8IWpAicokoKVx4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Vocês estão deixando os brasileiros louco com tanta mentira', 'textOriginal': 'Vocês estão deixando os brasileiros louco com tanta mentira', 'authorDisplayName': 'Marcio Nascimento', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNsRycjQJuI-AlzuZ_7XfXeCi_4dcM-3W1GdYMkE-LqoC2U27ho0zZZ-7hrir56=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCBJRgea9OQjp5WizsadxJyQ', 'authorChannelId': {'value': 'UCBJRgea9OQjp5WizsadxJyQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T15:27:26Z', 'updatedAt': '2022-10-29T15:27:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCBJRgea9OQjp5WizsadxJyQ,2022-10-29T15:27:26Z,Vocês estão deixando os brasileiros louco com tanta mentira,QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,xjo8uNCi7Oe21f3pzPFkPwmMSqM,UgzR-rCJWX8ojpzKi4d4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'TmJOFW1G_Rt5bxAbsEddPajmwag', 'id': 'UgzR-rCJWX8ojpzKi4d4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Não existe no Brasil um serviço de espionagem? Isso é revolução colorida, não é normal o que está acontecendo , isso me cheira a traição.', 'textOriginal': 'Não existe no Brasil um serviço de espionagem? Isso é revolução colorida, não é normal o que está acontecendo , isso me cheira a traição.', 'authorDisplayName': 'Brasil acima de tudo!', 'authorProfileImageUrl': 'https://yt3.ggpht.com/GofKyDLuvbtDJn_gZixYBuTzsRvgmIxZ1WBYUYcMJHxydIAYaVfIYVgLJ6y7Xqr0j7owF4lLIg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCc-QUAb9aERkNIw6t30ejdQ', 'authorChannelId': {'value': 'UCc-QUAb9aERkNIw6t30ejdQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T10:06:17Z', 'updatedAt': '2022-10-29T10:06:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCc-QUAb9aERkNIw6t30ejdQ,2022-10-29T10:06:17Z,"Não existe no Brasil um serviço de espionagem? Isso é revolução colorida, não é normal o que está acontecendo , isso me cheira a traição.",QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,u-kkG3aTxkit7f6GHyNhUJl83xs,UgwZPfVakJfSazyDosF4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_iHC7V1BEUfJ1RZVQk3SVneT_eo', 'id': 'UgwZPfVakJfSazyDosF4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Presidente Bolsonaro! Navegue a favor do vento ou contra ele, mas navegue. Não fique à deriva nem ancorado. Eles blefam: AVANTE RUMO A VITÓRIA! Se votarem errado vão chorar lágrimas de sangue muito em breve. Aguardem!', 'textOriginal': 'Presidente Bolsonaro! Navegue a favor do vento ou contra ele, mas navegue. Não fique à deriva nem ancorado. Eles blefam: AVANTE RUMO A VITÓRIA! Se votarem errado vão chorar lágrimas de sangue muito em breve. Aguardem!', 'authorDisplayName': 'Al Khwarizmi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPJkmy_ZXdWpPiLXoTXNI_CYlpgntSa8kH-jg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8bsUnm67VNfE6JU46em6sA', 'authorChannelId': {'value': 'UC8bsUnm67VNfE6JU46em6sA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T07:18:15Z', 'updatedAt': '2022-10-29T07:18:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8bsUnm67VNfE6JU46em6sA,2022-10-29T07:18:15Z,"Presidente Bolsonaro! Navegue a favor do vento ou contra ele, mas navegue. Não fique à deriva nem ancorado. Eles blefam: AVANTE RUMO A VITÓRIA! Se votarem errado vão chorar lágrimas de sangue muito em breve. Aguardem!",QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,aphiU_JUYhFVfLf5islFbf38Ew4,UgxfbJoE8Ukffl1o9IF4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6APtgQVQG1657l39zHdx5Ea-o3M', 'id': 'UgxfbJoE8Ukffl1o9IF4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Gostei do... &quot;calvo mais poderoso do Brasil&quot;😄 Esse jornalista é  sensacional! Parabéns 💯 <br>Impeachmen já desse ministro corrupto', 'textOriginal': 'Gostei do... ""calvo mais poderoso do Brasil""😄 Esse jornalista é  sensacional! Parabéns 💯 \\nImpeachmen já desse ministro corrupto', 'authorDisplayName': 'Juliana Araldi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/3yqefLVs5HxRwGoLjmt2vxZCC5yoHGt83nFO1I71MwL4E0LqAd7e8OaspkwXHTMMQL081odQpA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqcfY9HGV10lLMeadXIsnJw', 'authorChannelId': {'value': 'UCqcfY9HGV10lLMeadXIsnJw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T22:43:54Z', 'updatedAt': '2022-10-28T22:43:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCqcfY9HGV10lLMeadXIsnJw,2022-10-28T22:43:54Z,"Gostei do... ""calvo mais poderoso do Brasil""😄 Esse jornalista é  sensacional! Parabéns 💯 
Impeachmen já desse ministro corrupto",QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,b_-zQ4eNLoPmAd5J82aoXlJtF8U,Ugxj1aiwpWcZuTc4sS54AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'KtrtvQRjXa-1b-u3nO4KXaHlX5Y', 'id': 'Ugxj1aiwpWcZuTc4sS54AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'Sim! Tem dedo do PT aí, mas aí também tem o cabeção do Alexandre de Moraes.<br>Nojo desse pessoal!', 'textOriginal': 'Sim! Tem dedo do PT aí, mas aí também tem o cabeção do Alexandre de Moraes.\\nNojo desse pessoal!', 'authorDisplayName': 'Elizabeth Cazes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPNnUWjj29RR3tpGezQkaz3SHFu7sNXuai-6bwH3K_PJ76rgPlSyTr3lkgJqweF=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCF-Q3J5nKaKCOEIAsb5JAqw', 'authorChannelId': {'value': 'UCF-Q3J5nKaKCOEIAsb5JAqw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T17:11:29Z', 'updatedAt': '2022-10-28T17:11:29Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCF-Q3J5nKaKCOEIAsb5JAqw,2022-10-28T17:11:29Z,"Sim! Tem dedo do PT aí, mas aí também tem o cabeção do Alexandre de Moraes.
Nojo desse pessoal!",QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,auMnLOW2XHzhu4We7hbE0Xolxe8,Ugz_EjqIc2nEUy9yl1d4AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rtAc_nqX3Y5aed09LuMO4mCpigI', 'id': 'Ugz_EjqIc2nEUy9yl1d4AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': 'TSE perdeu as condições morais e ética...', 'textOriginal': 'TSE perdeu as condições morais e ética...', 'authorDisplayName': 'Luis Carlos De Freitas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqODP12uRcs2Gmdgyx-myWgpfgRkvQqMmXzoyMaxVg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCo36MHhn5ltrrj6t_iRPJUg', 'authorChannelId': {'value': 'UCo36MHhn5ltrrj6t_iRPJUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T17:01:23Z', 'updatedAt': '2022-10-28T17:01:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCo36MHhn5ltrrj6t_iRPJUg,2022-10-28T17:01:23Z,TSE perdeu as condições morais e ética...,QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
youtube#commentThread,oXmE5ChqiHsMSsras7KSQSAlnKA,UgwHHwEweelbfEqewI14AaABAg,"{'videoId': 'b-ns-wJWczQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HDCO3uX_0qA2igoXQFFayGyFtQs', 'id': 'UgwHHwEweelbfEqewI14AaABAg', 'snippet': {'videoId': 'b-ns-wJWczQ', 'textDisplay': '<a href=""http://www.youtube.com/results?search_query=%23bolsonaro"">#BOLSONARO</a> 2023🇧🇷🇧🇷🇧🇷', 'textOriginal': '#BOLSONARO 2023🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'mazão lee', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOLkNnDP3Lm1hOutKASeTjxCJkPH6CfqKoRo_Pvqg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCK0QRYs1XY2_PwyUDvSbxPQ', 'authorChannelId': {'value': 'UCK0QRYs1XY2_PwyUDvSbxPQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T16:02:01Z', 'updatedAt': '2022-10-28T16:02:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCK0QRYs1XY2_PwyUDvSbxPQ,2022-10-28T16:02:01Z,#BOLSONARO 2023🇧🇷🇧🇷🇧🇷,QURTSl9pMGVjTWxVVVdySGVsYVlNMmVuLW1VMXN5ay1SYzBVWHY4ZjY2T3lKWWVqZm1keGhYb2NiR0pTQ0VoY29QVFMyY3F6XzNHZFQxNkpwRG1xSDc1cW50QlJDSEYwQVE=,2023-06-08 12:57:15.501530
