kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,9qd9i7KiA0FRqX-nKTE58aL5dWw,UgwVIJL2-ewjcYBjjpN4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jPT6LsbERk8hb38lc9M_iYyKwBQ', 'id': 'UgwVIJL2-ewjcYBjjpN4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Nosso verdadeiro presidente!', 'textOriginal': 'Nosso verdadeiro presidente!', 'authorDisplayName': 'Wanderson Alves da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPPjiTlwukNiunvrTR63CSJMzkfhKfzeg_qkj8TEw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzxAy6shxnWrZyJp2KofmJQ', 'authorChannelId': {'value': 'UCzxAy6shxnWrZyJp2KofmJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-21T18:14:56Z', 'updatedAt': '2023-03-21T18:14:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCzxAy6shxnWrZyJp2KofmJQ,2023-03-21T18:14:56Z,Nosso verdadeiro presidente!,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,QxrM5G7nJkYJORvl1_zi6UYg4Sg,UgzkfGdjeucbdI8ywW54AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BiLyj67e9LkZI_vdn7Piv0H3VXY', 'id': 'UgzkfGdjeucbdI8ywW54AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'O you tube nao esta me mandando as suas notificações  entro no seu perfiu e nao tem mais nada tudo antigo olha o boicote ja esta com voce ...', 'textOriginal': 'O you tube nao esta me mandando as suas notificações  entro no seu perfiu e nao tem mais nada tudo antigo olha o boicote ja esta com voce ...', 'authorDisplayName': 'dudu', 'authorProfileImageUrl': 'https://yt3.ggpht.com/xr-bOt7Yn25gGzJaI6mmcdPnOmLsqUPecv8q21J2mUgdb5ruu3ByA_9I6WJouxdSYUHkZL4KcA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCDXwCwBsjRhIi_EoIQUL35g', 'authorChannelId': {'value': 'UCDXwCwBsjRhIi_EoIQUL35g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-08T20:13:45Z', 'updatedAt': '2022-11-08T20:13:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCDXwCwBsjRhIi_EoIQUL35g,2022-11-08T20:13:45Z,O you tube nao esta me mandando as suas notificações  entro no seu perfiu e nao tem mais nada tudo antigo olha o boicote ja esta com voce ...,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,S7o5VZ0i76JpBmuJlF5EDTkIUKQ,UgwIlDVQfD_XpYCTsj54AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '17F3lBW9F5aVHM5l__Art_mlM1A', 'id': 'UgwIlDVQfD_XpYCTsj54AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Vomitei', 'textOriginal': 'Vomitei', 'authorDisplayName': 'Adriana Vello', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMyGoENZn3E6zHqZGKqVT_klu47wUdkNSr_jg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOsYpCe9RyrmTHfWnP6gRxg', 'authorChannelId': {'value': 'UCOsYpCe9RyrmTHfWnP6gRxg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T20:04:28Z', 'updatedAt': '2022-11-03T20:04:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOsYpCe9RyrmTHfWnP6gRxg,2022-11-03T20:04:28Z,Vomitei,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,9WXoAx_I_GdP_HyEWdWZxXwLFx4,Ugz2N_GCAcd25X0b2P54AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OQfxk5vYW5WWkUhZ65iwx1WdXKQ', 'id': 'Ugz2N_GCAcd25X0b2P54AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Que nojo', 'textOriginal': 'Que nojo', 'authorDisplayName': 'Adriana Vello', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMyGoENZn3E6zHqZGKqVT_klu47wUdkNSr_jg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOsYpCe9RyrmTHfWnP6gRxg', 'authorChannelId': {'value': 'UCOsYpCe9RyrmTHfWnP6gRxg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T20:03:56Z', 'updatedAt': '2022-11-03T20:03:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOsYpCe9RyrmTHfWnP6gRxg,2022-11-03T20:03:56Z,Que nojo,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,34aY8xPu_IXq08WPUwCw2_ku19s,Ugz0xRxW-JJW61R5VIl4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'WHe9Yqhk4aEH92kOj_Cc9_6xfWk', 'id': 'Ugz0xRxW-JJW61R5VIl4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Parabéns a todos os artistas que se posicionam a favor do Brasil livre e democrático!!!! 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚💛', 'textOriginal': 'Parabéns a todos os artistas que se posicionam a favor do Brasil livre e democrático!!!! 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚💛', 'authorDisplayName': 'Martha Arm', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMP7GRhC3JTyJx_a_1yuLIl7ZXuv1CdQsWeLCk_ew=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6SHCXQPzgyq6KICyA2GauA', 'authorChannelId': {'value': 'UC6SHCXQPzgyq6KICyA2GauA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T12:42:11Z', 'updatedAt': '2022-10-20T12:42:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6SHCXQPzgyq6KICyA2GauA,2022-10-20T12:42:11Z,Parabéns a todos os artistas que se posicionam a favor do Brasil livre e democrático!!!! 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚💛,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,e1lVNFgbYoqd6-kARDHUXQbfhHs,UgxKZbVpbWXYSLkh0Np4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2XAaCr0mihMZlRAZqK7SxvCAEgM', 'id': 'UgxKZbVpbWXYSLkh0Np4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Tenhamos Fé: Aquele que Deus levantou, nada nem ninguém derruba!', 'textOriginal': 'Tenhamos Fé: Aquele que Deus levantou, nada nem ninguém derruba!', 'authorDisplayName': 'Romualdo Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP6r9fn3g3GWBgQ0kuz2APalvB4yjnjJzQy8TU1Yg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIGIXBuUzWdDMrC1FqlrHvQ', 'authorChannelId': {'value': 'UCIGIXBuUzWdDMrC1FqlrHvQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T23:15:15Z', 'updatedAt': '2022-10-18T23:15:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCIGIXBuUzWdDMrC1FqlrHvQ,2022-10-18T23:15:15Z,"Tenhamos Fé: Aquele que Deus levantou, nada nem ninguém derruba!",QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,6B3iUiGE73kOWMOCCokvmLf7NOk,UgyEQxNdMkCjAz885TN4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gzZUJTKplVGuomjrhQOOPfCOnlQ', 'id': 'UgyEQxNdMkCjAz885TN4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Boa noite Gustavo!', 'textOriginal': 'Boa noite Gustavo!', 'authorDisplayName': 'Romualdo Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP6r9fn3g3GWBgQ0kuz2APalvB4yjnjJzQy8TU1Yg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIGIXBuUzWdDMrC1FqlrHvQ', 'authorChannelId': {'value': 'UCIGIXBuUzWdDMrC1FqlrHvQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T23:14:56Z', 'updatedAt': '2022-10-18T23:14:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCIGIXBuUzWdDMrC1FqlrHvQ,2022-10-18T23:14:56Z,Boa noite Gustavo!,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,cd8dVHV6VNolfsQSOT4jHOHggoQ,Ugxh_9jS51X5cSifgRd4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'agaKewWrEQbqpgJfSjHxsq4Ege0', 'id': 'Ugxh_9jS51X5cSifgRd4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'O apoio dos sertanejos é mais do que bem vindo.. pois eles representam aqueles que ajudam a levar o nosso país pra frente do melhor jeito brasileiro, o agrônomo e o caminhoneiro 🇧🇷 BOLSONARO 2️⃣2️⃣', 'textOriginal': 'O apoio dos sertanejos é mais do que bem vindo.. pois eles representam aqueles que ajudam a levar o nosso país pra frente do melhor jeito brasileiro, o agrônomo e o caminhoneiro 🇧🇷 BOLSONARO 2️⃣2️⃣', 'authorDisplayName': 'Díh Gomes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNtvGq1yrfX0_2S8m5nHyPyW3BMRVLTj6Uk-vQG=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCl1hYoCH3wsKvvOPEhbsNXA', 'authorChannelId': {'value': 'UCl1hYoCH3wsKvvOPEhbsNXA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T17:35:17Z', 'updatedAt': '2022-10-18T17:35:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCl1hYoCH3wsKvvOPEhbsNXA,2022-10-18T17:35:17Z,"O apoio dos sertanejos é mais do que bem vindo.. pois eles representam aqueles que ajudam a levar o nosso país pra frente do melhor jeito brasileiro, o agrônomo e o caminhoneiro 🇧🇷 BOLSONARO 2️⃣2️⃣",QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,NrBpyuNARiQ_hZjII3vAklEHbvA,UgyZZ1j_eNspFEUc73N4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'spXpBoXeE-MK2qssCHn47xc_kNA', 'id': 'UgyZZ1j_eNspFEUc73N4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Tmj Bolsonaro 22 🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'Tmj Bolsonaro 22 🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'MO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/QAWmZ2seURP5xm3JvligtvieaEQ_t8afuhbG2rIILw6Rz5_4JqKjdA01-Pmy0qqNgri29KaDTw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCLEnhik_bp4EN6_kPLIrUTg', 'authorChannelId': {'value': 'UCLEnhik_bp4EN6_kPLIrUTg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T15:12:04Z', 'updatedAt': '2022-10-18T15:12:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCLEnhik_bp4EN6_kPLIrUTg,2022-10-18T15:12:04Z,Tmj Bolsonaro 22 🇧🇷🇧🇷🇧🇷🇧🇷,QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
youtube#commentThread,_lSA1dOHiV-mSJkfS1nL9GHJk2M,UgxNnA9AEoBJJwZrIOx4AaABAg,"{'videoId': '2rHFxQBKSsY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rJoxxcFS-w8Hg9xl1uIN7Am4Lkk', 'id': 'UgxNnA9AEoBJJwZrIOx4AaABAg', 'snippet': {'videoId': '2rHFxQBKSsY', 'textDisplay': 'Este impasse tb se aplica e qualquer pessoa que está longe de seu local de votação. É preciso que haja uma solução mais inteligente. Vide Alemanha: há a possibilidade de votar por correio já semanas antes do dia das eleições. Ou até mesmo com sua identidade, deveria poder votar alternativamente em qualquer local de votação, já que o Brasil está tão digitalizado.', 'textOriginal': 'Este impasse tb se aplica e qualquer pessoa que está longe de seu local de votação. É preciso que haja uma solução mais inteligente. Vide Alemanha: há a possibilidade de votar por correio já semanas antes do dia das eleições. Ou até mesmo com sua identidade, deveria poder votar alternativamente em qualquer local de votação, já que o Brasil está tão digitalizado.', 'authorDisplayName': 'Roy Kamp', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOGEAP2gZBxA8rR9dnoYQfW6cf7kVhtbS4_6Wr1Dg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNG6tSb8yBO5AmU7l_Q_OXA', 'authorChannelId': {'value': 'UCNG6tSb8yBO5AmU7l_Q_OXA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T13:57:38Z', 'updatedAt': '2022-10-18T13:57:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNG6tSb8yBO5AmU7l_Q_OXA,2022-10-18T13:57:38Z,"Este impasse tb se aplica e qualquer pessoa que está longe de seu local de votação. É preciso que haja uma solução mais inteligente. Vide Alemanha: há a possibilidade de votar por correio já semanas antes do dia das eleições. Ou até mesmo com sua identidade, deveria poder votar alternativamente em qualquer local de votação, já que o Brasil está tão digitalizado.",QURTSl9pMDhqajNYaEJwUl9lalV3RGRISTVLUUx5MzAxRkxvd0s3R29YYVlfYkQ2aVY3YmVsdFVmcWhtbTNoV2JSZF9FSEU3UDQ2Q0NpRQ==,2023-06-08 13:04:45.605712
