kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,9AgzznQHcC90gTvZ_i-PM4EryV4,UgwV8JFfdd80VIohysl4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'in7EQlp0G9Qn-l2c1hH1JTustzA', 'id': 'UgwV8JFfdd80VIohysl4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Isso é doença grave', 'textOriginal': 'Isso é doença grave', 'authorDisplayName': 'Nilson g dos reis Gonçalves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOzkk-1LZE8HMtIcrYc0AoryVB3Bfd21qcrIGhVSg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOse3kLcSq94BIlG_SgUzHw', 'authorChannelId': {'value': 'UCOse3kLcSq94BIlG_SgUzHw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-08T11:44:54Z', 'updatedAt': '2023-06-08T11:44:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOse3kLcSq94BIlG_SgUzHw,2023-06-08T11:44:54Z,Isso é doença grave,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,QF_WV1U8rC2eRfgUo64eH33k4YQ,UgzIHIu-J1v1Pr8niad4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xv2qELlCsGKp2-T8AZlLMbvAMAQ', 'id': 'UgzIHIu-J1v1Pr8niad4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Burrice crônica não tem como curar!!!', 'textOriginal': 'Burrice crônica não tem como curar!!!', 'authorDisplayName': 'Gleikson Camelo Bass', 'authorProfileImageUrl': 'https://yt3.ggpht.com/s13ALvlpGPii5bRax6rxHSrNbyf_uChEb7RuQgrsn-mpNsm9Wnnm41qdn0JMBVVAywc0sr61cvE=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUtVNIkpIh4pcBu7ewp7MTA', 'authorChannelId': {'value': 'UCUtVNIkpIh4pcBu7ewp7MTA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-08T05:47:01Z', 'updatedAt': '2023-06-08T05:47:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUtVNIkpIh4pcBu7ewp7MTA,2023-06-08T05:47:01Z,Burrice crônica não tem como curar!!!,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,CyX-iQduUh6-TGKelrKe5LglD84,Ugz_1xjYSuELlA6gmpx4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mt1iiqu8lZYDOak935oKP387Mkc', 'id': 'Ugz_1xjYSuELlA6gmpx4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Tenho Três Irmãs nesse Mesmo Naipe dessa Senhora, elas não enchergam nada de Ruim do Lula e do PT.', 'textOriginal': 'Tenho Três Irmãs nesse Mesmo Naipe dessa Senhora, elas não enchergam nada de Ruim do Lula e do PT.', 'authorDisplayName': 'Abençoado De DEUS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMMuUrykvrcTK1Zg-D42m44pmFWGKhOsu3We6dXJs5yBkkGuDbg6MoTTIaHLvPH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXN8JQsnFASvg_pAUvDet_g', 'authorChannelId': {'value': 'UCXN8JQsnFASvg_pAUvDet_g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-07T20:25:02Z', 'updatedAt': '2023-06-07T20:25:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXN8JQsnFASvg_pAUvDet_g,2023-06-07T20:25:02Z,"Tenho Três Irmãs nesse Mesmo Naipe dessa Senhora, elas não enchergam nada de Ruim do Lula e do PT.",QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,BsUNMG4diGy15vXCliHe_d3KKUI,Ugzl1FOykiNs_mxzP9h4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8dOc5dLEUyMZehUbQFMyf--3AEo', 'id': 'Ugzl1FOykiNs_mxzP9h4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Todos os chegados petistas q conheço são assim kkkk algumas exceções q são cínicos por vontade kkk sabem mas fingem não ver a vdd .<br>Mas no geral são todos burros assim igual esse embuste aí entrevistada', 'textOriginal': 'Todos os chegados petistas q conheço são assim kkkk algumas exceções q são cínicos por vontade kkk sabem mas fingem não ver a vdd .\\nMas no geral são todos burros assim igual esse embuste aí entrevistada', 'authorDisplayName': 'Gustavoeduardo Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM2TAoFduLbMu8S77Oh6FgIOEs7Jqd-w4754A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCn9Kt_mj4b4leLemvF0pUPw', 'authorChannelId': {'value': 'UCn9Kt_mj4b4leLemvF0pUPw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-07T19:54:33Z', 'updatedAt': '2023-06-07T19:54:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCn9Kt_mj4b4leLemvF0pUPw,2023-06-07T19:54:33Z,"Todos os chegados petistas q conheço são assim kkkk algumas exceções q são cínicos por vontade kkk sabem mas fingem não ver a vdd .
Mas no geral são todos burros assim igual esse embuste aí entrevistada",QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,GH6f8_x7U4QeM0wJMyDSXkqS_3s,UgzJdSUYxDHK9X225pd4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wiPhCm2vSKYIWBNJCyM4ESQwaws', 'id': 'UgzJdSUYxDHK9X225pd4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Será que ela conhece pelo menos as pessoas que vive próximo a ela no dia a dia o que a pessoa é o que a pessoa faz realmente se é verdade ou se é mentira o que eu acho na verdade é que ela realmente nem ao menos se conhece ela própria', 'textOriginal': 'Será que ela conhece pelo menos as pessoas que vive próximo a ela no dia a dia o que a pessoa é o que a pessoa faz realmente se é verdade ou se é mentira o que eu acho na verdade é que ela realmente nem ao menos se conhece ela própria', 'authorDisplayName': 'Benedita Mariana araujo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPxBegw8z5WNEm_k5U16f-cswxuBTuJuCAqbLTxY5aBp8hVBknCRtvwMyk8Dpaf=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCf_zHKscl4l_nZpqEZCUZNA', 'authorChannelId': {'value': 'UCf_zHKscl4l_nZpqEZCUZNA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-07T15:00:42Z', 'updatedAt': '2023-06-07T15:00:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCf_zHKscl4l_nZpqEZCUZNA,2023-06-07T15:00:42Z,Será que ela conhece pelo menos as pessoas que vive próximo a ela no dia a dia o que a pessoa é o que a pessoa faz realmente se é verdade ou se é mentira o que eu acho na verdade é que ela realmente nem ao menos se conhece ela própria,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,MkER7izdsB36-h3CLb7rFe8ZDoc,UgyCEhvXg3DDTIT0lBd4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kZSVOn9XKXVf9DM6DRb2rcJ60Ww', 'id': 'UgyCEhvXg3DDTIT0lBd4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Kkkkkkkk', 'textOriginal': 'Kkkkkkkk', 'authorDisplayName': 'Xaninhu 013', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNfvL3Nl5QmVi81C6R65iVCEfhGDutzy2cjekZrK1XTZO-1nxFySJyJYRB34EgU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzLC0R7z1IOC0QJkgieVZgA', 'authorChannelId': {'value': 'UCzLC0R7z1IOC0QJkgieVZgA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-07T12:26:24Z', 'updatedAt': '2023-06-07T12:26:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCzLC0R7z1IOC0QJkgieVZgA,2023-06-07T12:26:24Z,Kkkkkkkk,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,ixKZqVveVxvYjF5NqcPeBiw_WtQ,UgwKgScl9ymF2cAmC4V4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5uDwG9V3oajgYSwoPMMKA7ueQfY', 'id': 'UgwKgScl9ymF2cAmC4V4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Mostrar realidade para um ser desse é como dar remédio para morto 😂😂😂', 'textOriginal': 'Mostrar realidade para um ser desse é como dar remédio para morto 😂😂😂', 'authorDisplayName': 'Junior Junior', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO0YJ3Dom3R2yW5YYoel45X4B1L0RLS_dEXXA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCMhulCYZChUnlwv4jeUevA', 'authorChannelId': {'value': 'UCCMhulCYZChUnlwv4jeUevA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-06-07T09:03:28Z', 'updatedAt': '2023-06-07T09:03:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCMhulCYZChUnlwv4jeUevA,2023-06-07T09:03:28Z,Mostrar realidade para um ser desse é como dar remédio para morto 😂😂😂,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,sKUki0MTNKPktB8o18JDW1dnJzE,UgzZeJ9qc3GK1XX7uoF4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kWj7YctbGlS4clLe00Ib8o9upJo', 'id': 'UgzZeJ9qc3GK1XX7uoF4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'aí foi iludida desde novinha tem jeito não', 'textOriginal': 'aí foi iludida desde novinha tem jeito não', 'authorDisplayName': 'Peris Freitas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPh-mPYdtWZPDpUXwUexQwuE88Yp4yqZRzq8LaC=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdPs6JZEYjrHR9W67NOcHZQ', 'authorChannelId': {'value': 'UCdPs6JZEYjrHR9W67NOcHZQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-06T16:18:49Z', 'updatedAt': '2023-06-06T16:18:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCdPs6JZEYjrHR9W67NOcHZQ,2023-06-06T16:18:49Z,aí foi iludida desde novinha tem jeito não,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,_Wb77up7ZFXCtEVWQXC7tNsmHX0,UgzrIHEH2VPkrIAFyO14AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ckH_FVEdwXnK-5bYcW5uhYmF0NM', 'id': 'UgzrIHEH2VPkrIAFyO14AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'o PT parece que coloca fezes na cabeça das pessoas que eles não enchergam a realidade das coisas e vivem enganadas por esse partido.', 'textOriginal': 'o PT parece que coloca fezes na cabeça das pessoas que eles não enchergam a realidade das coisas e vivem enganadas por esse partido.', 'authorDisplayName': 'Peris Freitas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPh-mPYdtWZPDpUXwUexQwuE88Yp4yqZRzq8LaC=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdPs6JZEYjrHR9W67NOcHZQ', 'authorChannelId': {'value': 'UCdPs6JZEYjrHR9W67NOcHZQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-06T16:17:32Z', 'updatedAt': '2023-06-06T16:17:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCdPs6JZEYjrHR9W67NOcHZQ,2023-06-06T16:17:32Z,o PT parece que coloca fezes na cabeça das pessoas que eles não enchergam a realidade das coisas e vivem enganadas por esse partido.,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
youtube#commentThread,qH7jU7vcrVN8xqYOQUn-nhEgxg0,UgybaeELQm-qDPpSl7J4AaABAg,"{'videoId': '-hm8d0vf5B0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Eq44E7Zj75O6TmTwZ5NFOA7WDIQ', 'id': 'UgybaeELQm-qDPpSl7J4AaABAg', 'snippet': {'videoId': '-hm8d0vf5B0', 'textDisplay': 'Pra quem tem o G frouxo....', 'textOriginal': 'Pra quem tem o G frouxo....', 'authorDisplayName': 'Kevin Mamarme', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMAVCP99gTPVcHanMkaTfwnJRMHKdMvRlOUYuw5bqdztIXOm3k44BkBRmazwPsQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcCWUQCIDKvTBlQ7P2XsnGw', 'authorChannelId': {'value': 'UCcCWUQCIDKvTBlQ7P2XsnGw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-06T16:07:35Z', 'updatedAt': '2023-06-06T16:07:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcCWUQCIDKvTBlQ7P2XsnGw,2023-06-06T16:07:35Z,Pra quem tem o G frouxo....,QURTSl9pMUZIOUg5REtuaklBV2FqX1FWRldPLVZEcnREVzZJWUdDSFNFUFYwSy1BUmtHV1MyTU5Mc2ZjRlRROGhMYjZMTG5MaTh6ellIYw==,2023-06-08 13:06:44.575608
