kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,LebUeVVEUEamOlj0MdgYE4Sf7AM,UgzVerKTK3agDMs9fwV4AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gsxUJkrJdpZrueO5r-ubr0B2idw', 'id': 'UgzVerKTK3agDMs9fwV4AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Oficina de escrita no Rio de Janeiro com Henry Bugalho, dia 16 de outubro. Participe!\\r<br><a href=""https://www.henrybugalho.com.br/"">https://www.henrybugalho.com.br/\\r</a><br>\\r<br>Seja um aluno do Instituto Conhecimento Liberta:\\r<br><a href=""https://institutoliberta.com.br/henry"">https://institutoliberta.com.br/henry\\r</a><br>\\r<br>LANÇAMENTO: Como vencer um debate tendo razão\\r<br><a href=""http://www.amazon.com.br/dp/6555357967/ref=nosim?tag=henrybugalho-20"">http://www.amazon.com.br/dp/6555357967/ref=nosim?tag=henrybugalho-20</a><br><br>REFERÊNCIAS:<br>Tuíte de Guilherme Casarões<br><a href=""https://twitter.com/GCasaroes/status/1576728068957253632"">https://twitter.com/GCasaroes/status/1576728068957253632</a>', 'textOriginal': 'Oficina de escrita no Rio de Janeiro com Henry Bugalho, dia 16 de outubro. Participe!\\r\\nhttps://www.henrybugalho.com.br/\\r\\n\\r\\nSeja um aluno do Instituto Conhecimento Liberta:\\r\\nhttps://institutoliberta.com.br/henry\\r\\n\\r\\nLANÇAMENTO: Como vencer um debate tendo razão\\r\\nhttp://www.amazon.com.br/dp/6555357967/ref=nosim?tag=henrybugalho-20\\n\\nREFERÊNCIAS:\\nTuíte de Guilherme Casarões\\nhttps://twitter.com/GCasaroes/status/1576728068957253632', 'authorDisplayName': 'Henry Bugalho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/HQzibUT3pZKxkYaP0PG9HIHzB-aXx17V2dD8KOjljnQifS7D7UfCuONDdxSDGpyif8EYd49M=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg', 'authorChannelId': {'value': 'UCC6f63SXY0CDpsPGDBtTWVg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 98, 'publishedAt': '2022-10-03T16:38:48Z', 'updatedAt': '2022-10-03T16:38:48Z'}}, 'canReply': True, 'totalReplyCount': 11, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 's-sTYgDEXlcD3qn8d01op9QapfQ', 'id': 'UgzVerKTK3agDMs9fwV4AaABAg.9gj2yBHQHow9gmPur183v7', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'E os 242 bilhões que PT desviou da saúde não atrapalhou na pandemia?', 'textOriginal': 'E os 242 bilhões que PT desviou da saúde não atrapalhou na pandemia?', 'parentId': 'UgzVerKTK3agDMs9fwV4AaABAg', 'authorDisplayName': 'bruno severiano', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNup9uHkfwlW-qV4DenvzgCkrFJGhT7IKqUpA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwi4G_L6TVUAd_zqhchIc5g', 'authorChannelId': {'value': 'UCwi4G_L6TVUAd_zqhchIc5g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T23:57:02Z', 'updatedAt': '2022-10-04T23:57:02Z'}}, {'kind': 'youtube#comment', 'etag': 'o-9Q-DxkYGFlIEV5e4ut6EIgN1w', 'id': 'UgzVerKTK3agDMs9fwV4AaABAg.9gj2yBHQHow9gl47F0FRrD', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Jumento', 'textOriginal': 'Jumento', 'parentId': 'UgzVerKTK3agDMs9fwV4AaABAg', 'authorDisplayName': 'Eli', 'authorProfileImageUrl': 'https://yt3.ggpht.com/6fcWulSWUD672dk1rFbLUTJPr3zOwbiEvP32Ez2siys5C8eNgEeMdxajaajXpgDsmWGGDwWr=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0oDbR7bMsyRpokPNaWVchg', 'authorChannelId': {'value': 'UC0oDbR7bMsyRpokPNaWVchg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-04T11:27:23Z', 'updatedAt': '2022-10-04T11:27:23Z'}}, {'kind': 'youtube#comment', 'etag': '3UhER-sLp-Z8uJEjHqH_aY6m3vY', 'id': 'UgzVerKTK3agDMs9fwV4AaABAg.9gj2yBHQHow9gkwVKZmfJJ', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'E MUIT0 FACI1 FA1AR M0RAND0 NA ESPANHA...A1ICANTE...SER 1U1A..E 0 1U1A NA0 DESTRUI 0 BRASI1 NA0.C0M A R0UBA1HEIRA??UM EX PRESIDIARI0 1ADRA0...NA PRESIDENCIA DA REPUB1ICA..ENFIM CADA UM P0V0 MERECE 0 G0VERN0 KE E1EGEU...', 'textOriginal': 'E MUIT0 FACI1 FA1AR M0RAND0 NA ESPANHA...A1ICANTE...SER 1U1A..E 0 1U1A NA0 DESTRUI 0 BRASI1 NA0.C0M A R0UBA1HEIRA??UM EX PRESIDIARI0 1ADRA0...NA PRESIDENCIA DA REPUB1ICA..ENFIM CADA UM P0V0 MERECE 0 G0VERN0 KE E1EGEU...', 'parentId': 'UgzVerKTK3agDMs9fwV4AaABAg', 'authorDisplayName': 'Gerson Matos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN8syypxKSCUVIx7C7mfgDXKkq-sirlBbj0yA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSUZ0IY-Nzrld9INUHObkCw', 'authorChannelId': {'value': 'UCSUZ0IY-Nzrld9INUHObkCw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T10:12:02Z', 'updatedAt': '2022-10-04T10:12:02Z'}}, {'kind': 'youtube#comment', 'etag': 'LFKdFIhlLK3zTzViCfMGKf7G4mM', 'id': 'UgzVerKTK3agDMs9fwV4AaABAg.9gj2yBHQHow9gjs4ueuq0r', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'O congresso não será hostil ao Lula. Pois os deputados do PL não são de Bolsonaro, são do Centrão. E os deputados obedecem as orientações dos caciques dos partidos. E o presidente do PL é o Waldemar da Costa. O Lula terá que fazer as pazes com o centrão, mas não deve apoiar o tal de orçamento secreto, pois se fizer, vai decretar de vez a desmoralização do PT. Se Lula vencer, a bancada do PL ficará dividida, pois nem todos vão seguir o bolsonarismo.', 'textOriginal': 'O congresso não será hostil ao Lula. Pois os deputados do PL não são de Bolsonaro, são do Centrão. E os deputados obedecem as orientações dos caciques dos partidos. E o presidente do PL é o Waldemar da Costa. O Lula terá que fazer as pazes com o centrão, mas não deve apoiar o tal de orçamento secreto, pois se fizer, vai decretar de vez a desmoralização do PT. Se Lula vencer, a bancada do PL ficará dividida, pois nem todos vão seguir o bolsonarismo.', 'parentId': 'UgzVerKTK3agDMs9fwV4AaABAg', 'authorDisplayName': 'Racionologia, a Plenitude da Mente - Miqwells7', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOue2Wsjct2Ox_lGZS6vg5Y0Qi8GvPm_FlKrkji=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCX5aOhY-AzL5EWA008xrgJw', 'authorChannelId': {'value': 'UCX5aOhY-AzL5EWA008xrgJw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T00:14:14Z', 'updatedAt': '2022-10-04T00:14:14Z'}}, {'kind': 'youtube#comment', 'etag': 'xKUSwPGeb2AcNpOjIBDazfCS_80', 'id': 'UgzVerKTK3agDMs9fwV4AaABAg.9gj2yBHQHow9gjXkbvulaQ', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': '@Lorena Santos Bolsonaro é um animal, mas o partido socialista não tem um histórico bom com nenhum país, acho que n preciso dar exemplos, só quero ver nosso país prosperar sem ngm ter que humilhar ngm entende ?', 'textOriginal': '@Lorena Santos Bolsonaro é um animal, mas o partido socialista não tem um histórico bom com nenhum país, acho que n preciso dar exemplos, só quero ver nosso país prosperar sem ngm ter que humilhar ngm entende ?', 'parentId': 'UgzVerKTK3agDMs9fwV4AaABAg', 'authorDisplayName': 'vitor roque', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMdn0ykP3k9kiGivALKZjK6etVhmAEjskkNYC4jQBM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYvMSmemSKN67l3LdC4vcOg', 'authorChannelId': {'value': 'UCYvMSmemSKN67l3LdC4vcOg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-03T21:07:49Z', 'updatedAt': '2022-10-03T21:07:49Z'}}]}",UCC6f63SXY0CDpsPGDBtTWVg,2022-10-03T16:38:48Z,"Oficina de escrita no Rio de Janeiro com Henry Bugalho, dia 16 de outubro. Participe!
https://www.henrybugalho.com.br/

Seja um aluno do Instituto Conhecimento Liberta:
https://institutoliberta.com.br/henry

LANÇAMENTO: Como vencer um debate tendo razão
http://www.amazon.com.br/dp/6555357967/ref=nosim?tag=henrybugalho-20

REFERÊNCIAS:
Tuíte de Guilherme Casarões
https://twitter.com/GCasaroes/status/1576728068957253632",QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,HX2Zr-5UT3-UMIGOwAZJdheHlNQ,UgxTAwgcvM9AnTr1rI54AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5xSSdd6rKocIuTH-C-v9oycc9mc', 'id': 'UgxTAwgcvM9AnTr1rI54AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Boa noite', 'textOriginal': 'Boa noite', 'authorDisplayName': 'Christiani Gusmao', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPU7uLx5vkTOBXKJ3I-kMeUAxOXte0wSm7Uvw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCogEW3CfoI7NeqDNLYIS6pw', 'authorChannelId': {'value': 'UCogEW3CfoI7NeqDNLYIS6pw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-03T00:33:17Z', 'updatedAt': '2022-12-03T00:33:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCogEW3CfoI7NeqDNLYIS6pw,2022-12-03T00:33:17Z,Boa noite,QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,IG1uaKrx6fy8WvUiiZJs1B8aBs8,UgxIy5DKVYFvR7OkE9x4AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'czVXc3jGEjHPXcDZf3_WSejlP9Q', 'id': 'UgxIy5DKVYFvR7OkE9x4AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Chora, não vou ligar\\r<br>Não vou ligar\\r<br>Chegou a hora, vais me pagar\\r<br>Pode chorar, pode chorar\\r<br>Mas chora!\\r<br>Chora, não vou ligar\\r<br>Não vou ligar\\r<br>Chegou a hora, vais me pagar\\r<br>Pode chorar, pode chorar\\r<br>É, o teu castigo\\r<br>Brigou comigo, sem ter porquê\\r<br>Eu vou festejar, vou festejar!\\r<br>O teu sofrer, o teu penar\\r<br>Você pagou com traição\\r<br>A quem sempre lhe deu a mão\\r<br>Você pagou com traição\\r<br>A quem sempre lhe deu a mão\\r<br>Mas chora\\r<br>Chora (Tunts, tu-dum)\\r<br>Não vou ligar\\r<br>Eu não, essa aqui não\\r<br>Chegou a hora, vais me pagar\\r<br>Pode chorar, pode chorar!\\r<br>Mas chora\\r<br>Chora, não vou ligar\\r<br>Eu não, essa aqui não\\r<br>Chegou a hora, vais me pagar\\r<br>Pode chorar, pode chorar!\\r<br>É, o teu castigo\\r<br>Brigou comigo, sem ter porquê\\r<br>Eu vou festejar, vou festejar!\\r<br>O teu sofrer, o teu penar\\r<br>Você pagou com traição\\r<br>A quem sempre lhe deu a mão\\r<br>Você pagou com traição\\r<br>A quem sempre lhe deu a mão', 'textOriginal': 'Chora, não vou ligar\\r\\nNão vou ligar\\r\\nChegou a hora, vais me pagar\\r\\nPode chorar, pode chorar\\r\\nMas chora!\\r\\nChora, não vou ligar\\r\\nNão vou ligar\\r\\nChegou a hora, vais me pagar\\r\\nPode chorar, pode chorar\\r\\nÉ, o teu castigo\\r\\nBrigou comigo, sem ter porquê\\r\\nEu vou festejar, vou festejar!\\r\\nO teu sofrer, o teu penar\\r\\nVocê pagou com traição\\r\\nA quem sempre lhe deu a mão\\r\\nVocê pagou com traição\\r\\nA quem sempre lhe deu a mão\\r\\nMas chora\\r\\nChora (Tunts, tu-dum)\\r\\nNão vou ligar\\r\\nEu não, essa aqui não\\r\\nChegou a hora, vais me pagar\\r\\nPode chorar, pode chorar!\\r\\nMas chora\\r\\nChora, não vou ligar\\r\\nEu não, essa aqui não\\r\\nChegou a hora, vais me pagar\\r\\nPode chorar, pode chorar!\\r\\nÉ, o teu castigo\\r\\nBrigou comigo, sem ter porquê\\r\\nEu vou festejar, vou festejar!\\r\\nO teu sofrer, o teu penar\\r\\nVocê pagou com traição\\r\\nA quem sempre lhe deu a mão\\r\\nVocê pagou com traição\\r\\nA quem sempre lhe deu a mão', 'authorDisplayName': 'heyy', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNv3yrizIN59NzFIgr-pimRJVxGk6Fxi5rccVJcnzS4SREEpQPw9VH4cnfZNeka=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbxwmvQXj7zV8B0sBa8K0QQ', 'authorChannelId': {'value': 'UCbxwmvQXj7zV8B0sBa8K0QQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T19:01:14Z', 'updatedAt': '2022-10-21T19:01:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbxwmvQXj7zV8B0sBa8K0QQ,2022-10-21T19:01:14Z,"Chora, não vou ligar
Não vou ligar
Chegou a hora, vais me pagar
Pode chorar, pode chorar
Mas chora!
Chora, não vou ligar
Não vou ligar
Chegou a hora, vais me pagar
Pode chorar, pode chorar
É, o teu castigo
Brigou comigo, sem ter porquê
Eu vou festejar, vou festejar!
O teu sofrer, o teu penar
Você pagou com traição
A quem sempre lhe deu a mão
Você pagou com traição
A quem sempre lhe deu a mão
Mas chora
Chora (Tunts, tu-dum)
Não vou ligar
Eu não, essa aqui não
Chegou a hora, vais me pagar
Pode chorar, pode chorar!
Mas chora
Chora, não vou ligar
Eu não, essa aqui não
Chegou a hora, vais me pagar
Pode chorar, pode chorar!
É, o teu castigo
Brigou comigo, sem ter porquê
Eu vou festejar, vou festejar!
O teu sofrer, o teu penar
Você pagou com traição
A quem sempre lhe deu a mão
Você pagou com traição
A quem sempre lhe deu a mão",QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,qynx3jLGk_F0y-CLIRoYSrIJy64,UgzM67xZ1KD2M_jC7Ct4AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Dy46MyafM-NTZ6weXLbvMWNDRNU', 'id': 'UgzM67xZ1KD2M_jC7Ct4AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'LULA PRESIDENTE 2022!', 'textOriginal': 'LULA PRESIDENTE 2022!', 'authorDisplayName': 'Leda Aparecida Ferreira de Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMP9ljXEsgq7ddN4ShlTAi5tQe1x0bReHDWV6S3ZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6CBXM6qfCUVVOljlrpMt2g', 'authorChannelId': {'value': 'UC6CBXM6qfCUVVOljlrpMt2g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T21:06:48Z', 'updatedAt': '2022-10-16T21:06:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6CBXM6qfCUVVOljlrpMt2g,2022-10-16T21:06:48Z,LULA PRESIDENTE 2022!,QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,xlhe6yS4uj5NT-HXa9YylJSLuPM,UgwGnEzlMxYUcb4ddh94AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FNLySyBOsu8A837Y6IK5yPEJXx0', 'id': 'UgwGnEzlMxYUcb4ddh94AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Nãoooooo!<br><br>FORAAAA BOLSONARO GENOCIDA, FAMÍLICIA E TODA SUA CORJA ASSASSINA! CADEIA NELES!', 'textOriginal': 'Nãoooooo!\\n\\nFORAAAA BOLSONARO GENOCIDA, FAMÍLICIA E TODA SUA CORJA ASSASSINA! CADEIA NELES!', 'authorDisplayName': 'Leda Aparecida Ferreira de Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMP9ljXEsgq7ddN4ShlTAi5tQe1x0bReHDWV6S3ZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6CBXM6qfCUVVOljlrpMt2g', 'authorChannelId': {'value': 'UC6CBXM6qfCUVVOljlrpMt2g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T21:06:36Z', 'updatedAt': '2022-10-16T21:06:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6CBXM6qfCUVVOljlrpMt2g,2022-10-16T21:06:36Z,"Nãoooooo!

FORAAAA BOLSONARO GENOCIDA, FAMÍLICIA E TODA SUA CORJA ASSASSINA! CADEIA NELES!",QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,8UbK-aY9ACBFr5-0XqydQqPPO4s,UgxJDOXONINn8GUBmi54AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OLBCS3nypmy_dPZCjjtXLmQVgDo', 'id': 'UgxJDOXONINn8GUBmi54AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Moro no Sul e agradeço ao norte e nordeste por não terem deixado Bolsonaro ganhar', 'textOriginal': 'Moro no Sul e agradeço ao norte e nordeste por não terem deixado Bolsonaro ganhar', 'authorDisplayName': 'Aulette Martins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNyTvCjRCK_11OsiofjdE0oSmB5aL4y2FM_H1W2=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKZenMRwNaSyeQoIsJyyp0w', 'authorChannelId': {'value': 'UCKZenMRwNaSyeQoIsJyyp0w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T03:55:08Z', 'updatedAt': '2022-10-15T03:55:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKZenMRwNaSyeQoIsJyyp0w,2022-10-15T03:55:08Z,Moro no Sul e agradeço ao norte e nordeste por não terem deixado Bolsonaro ganhar,QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,jjEWSkAX3OTVFI-yBgkwXDYW6s0,Ugy8OsbMu4i_faR0RsB4AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'i8miQb4LivUst85UL4z4LOmrMyY', 'id': 'Ugy8OsbMu4i_faR0RsB4AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'bolsonaro 2022', 'textOriginal': 'bolsonaro 2022', 'authorDisplayName': 'Edgard Soares 2️⃣2️⃣', 'authorProfileImageUrl': 'https://yt3.ggpht.com/MtKPZcllqYcfE9kcG6xqvZgwkhvP_g1c-VKnrBUFSh1eYCKBwj8ns0TgNXofGoReIOB-9W0O=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCoH-cIOpna9s1-W679hrHWw', 'authorChannelId': {'value': 'UCoH-cIOpna9s1-W679hrHWw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T21:34:53Z', 'updatedAt': '2022-10-10T21:34:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCoH-cIOpna9s1-W679hrHWw,2022-10-10T21:34:53Z,bolsonaro 2022,QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,Qc9_zfJxGl-SpgZEkkdDrOU8PBg,UgzAB5h_xKzEOOsxdQN4AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rOzYyBSI_hrdy6ZMHzcsUWaXgm8', 'id': 'UgzAB5h_xKzEOOsxdQN4AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'Vcs são todos mimizentos', 'textOriginal': 'Vcs são todos mimizentos', 'authorDisplayName': 'ARTM', 'authorProfileImageUrl': 'https://yt3.ggpht.com/S18lZdci2E6sph1CoLNuumcVjPpNuQbQTQoQYl4syEiQUtzjdF4Y_E3vq2arcOWm1ZVA_dHh=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCveNbodHEShXWEq4aMS_eRQ', 'authorChannelId': {'value': 'UCveNbodHEShXWEq4aMS_eRQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T16:29:35Z', 'updatedAt': '2022-10-10T16:29:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCveNbodHEShXWEq4aMS_eRQ,2022-10-10T16:29:35Z,Vcs são todos mimizentos,QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,jCwHnMlH_sGd1ZefxstDqwL5fnU,Ugy72aVtxE8ty4L8T714AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZgAq95wdF2R8Wyfm57M0mtSBj4g', 'id': 'Ugy72aVtxE8ty4L8T714AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': '13', 'textOriginal': '13', 'authorDisplayName': 'lucas fedameda', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPlkgtmg1DaqAO-VmhJz_nGJzU13OoQw2Pq_g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0FH9TZwq-h3kFm2W8dqrNQ', 'authorChannelId': {'value': 'UC0FH9TZwq-h3kFm2W8dqrNQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T02:42:52Z', 'updatedAt': '2022-10-10T02:42:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0FH9TZwq-h3kFm2W8dqrNQ,2022-10-10T02:42:52Z,13,QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
youtube#commentThread,KUHkMwUwHMjupPjLGVPgApLw3cw,UgwFj9rg5AEj-E8h-DF4AaABAg,"{'videoId': '95TQsfcsgrg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jgEk8SaEwv_rjgWEvkGI8aF1LNs', 'id': 'UgwFj9rg5AEj-E8h-DF4AaABAg', 'snippet': {'videoId': '95TQsfcsgrg', 'textDisplay': 'O nordestino é  contra a corrupção  e contra incentivo ao latrocínio! <br>Nordeste vota em Bolsonaro pra impedir que Lula roube os sonhos nordestinos novamente!', 'textOriginal': 'O nordestino é  contra a corrupção  e contra incentivo ao latrocínio! \\nNordeste vota em Bolsonaro pra impedir que Lula roube os sonhos nordestinos novamente!', 'authorDisplayName': 'Emerson Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMfLEDd9PQdzzeByWwi5g84QEHAClyQGp6_zQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOstpgI5WMvLPRDC3KPFyXg', 'authorChannelId': {'value': 'UCOstpgI5WMvLPRDC3KPFyXg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T01:20:16Z', 'updatedAt': '2022-10-10T01:20:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOstpgI5WMvLPRDC3KPFyXg,2022-10-10T01:20:16Z,"O nordestino é  contra a corrupção  e contra incentivo ao latrocínio! 
Nordeste vota em Bolsonaro pra impedir que Lula roube os sonhos nordestinos novamente!",QURTSl9pMXk5azNHd0ZhZGszM0JTNmUzTHRWTWl3RlAtR3Ewa2hlWkJfbi1wWEtGZVI3aEo4SW1rRXRnbEpObm53N25RS3RPUFFjcVcxWGJsWjBaMGZQQ0V6SmVNdzhob3c=,2023-06-08 13:13:47.541032
