kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,7xHguoAn4O75X7aQYXMtS1wMF0M,UgxpEnKrZihQ6nDeBDZ4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0kNApnAXslLxCxU1OiG2611k-xA', 'id': 'UgxpEnKrZihQ6nDeBDZ4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': '**Para ajudar o Canal a se manter no ar;\\r<br>\\r<br>Apoia-se:\\r<br>\\r<br><a href=""https://apoia.se/mecenas_saia_da_matrix"">https://apoia.se/mecenas_saia_da_matrix\\r</a><br>\\r<br>Site (para colaborações via PayPal, Catarse ou depósito em conta):\\r<br>\\r<br><a href=""https://saiadamatrix.github.io/"">https://saiadamatrix.github.io/\\r</a><br>\\r<br>Doações via PicPay, solicitar código pelo contato:\\r<br> \\r<br>humbertosaiadamatrix@<a href=""http://gmail.com/"">gmail.com</a> (para contato profissional)\\r<br>\\r<br>PIX: 00378967509 (CPF)\\r<br>\\r<br>Faça parte do nosso grupo no Telegram para discussões e para não perder nenhuma atualização do Canal:\\r<br>\\r<br><a href=""https://t.me/humberto_saiadamatrix"">https://t.me/humberto_saiadamatrix</a>', 'textOriginal': '**Para ajudar o Canal a se manter no ar;\\r\\n\\r\\nApoia-se:\\r\\n\\r\\nhttps://apoia.se/mecenas_saia_da_matrix\\r\\n\\r\\nSite (para colaborações via PayPal, Catarse ou depósito em conta):\\r\\n\\r\\nhttps://saiadamatrix.github.io/\\r\\n\\r\\nDoações via PicPay, solicitar código pelo contato:\\r\\n \\r\\nhumbertosaiadamatrix@gmail.com (para contato profissional)\\r\\n\\r\\nPIX: 00378967509 (CPF)\\r\\n\\r\\nFaça parte do nosso grupo no Telegram para discussões e para não perder nenhuma atualização do Canal:\\r\\n\\r\\nhttps://t.me/humberto_saiadamatrix', 'authorDisplayName': 'Humberto Matos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/3uPBiwFfVQpcs0RVpn5n5TtjrxtqeuHEDHpc32kKVaStnXkDo5d2PzcdVHz9YmVSFqkoEb4h=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3qAUf53j_dUv09jH7jsUJw', 'authorChannelId': {'value': 'UC3qAUf53j_dUv09jH7jsUJw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 26, 'publishedAt': '2022-10-12T20:04:39Z', 'updatedAt': '2022-10-12T20:04:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3qAUf53j_dUv09jH7jsUJw,2022-10-12T20:04:39Z,"**Para ajudar o Canal a se manter no ar;

Apoia-se:

https://apoia.se/mecenas_saia_da_matrix

Site (para colaborações via PayPal, Catarse ou depósito em conta):

https://saiadamatrix.github.io/

Doações via PicPay, solicitar código pelo contato:
 
humbertosaiadamatrix@gmail.com (para contato profissional)

PIX: 00378967509 (CPF)

Faça parte do nosso grupo no Telegram para discussões e para não perder nenhuma atualização do Canal:

https://t.me/humberto_saiadamatrix",QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,oG8kMtU4R782HtMGgfPCPvYY2QA,UgzYEtZPU45srXXnBI54AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'el1AJ5PLpWJshKAg72vz90CWASc', 'id': 'UgzYEtZPU45srXXnBI54AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Além de que ele quis comparar o crescimento de uma Estônia pré-socialista com a URSS pós-guerra, um país com 300x o tamanho da estonia e dezenas de federações com o crescimento em porcentagem de um país minúsculo', 'textOriginal': 'Além de que ele quis comparar o crescimento de uma Estônia pré-socialista com a URSS pós-guerra, um país com 300x o tamanho da estonia e dezenas de federações com o crescimento em porcentagem de um país minúsculo', 'authorDisplayName': 'Fábio Neto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqONeR0c-h_zCCLKqVuiUGWE5BLKk0qPLHyoZeBvTw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCLCpmtF5KiaXEF-HUl4IxKg', 'authorChannelId': {'value': 'UCLCpmtF5KiaXEF-HUl4IxKg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-17T18:28:22Z', 'updatedAt': '2023-03-17T18:28:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCLCpmtF5KiaXEF-HUl4IxKg,2023-03-17T18:28:22Z,"Além de que ele quis comparar o crescimento de uma Estônia pré-socialista com a URSS pós-guerra, um país com 300x o tamanho da estonia e dezenas de federações com o crescimento em porcentagem de um país minúsculo",QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,hZm5YMCYvUjlUdqZ9-mPld2bn-c,Ugyd2igZHCecOjLaa8d4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'S3V4W9f0POS-sO8bpFbB05tfuL0', 'id': 'Ugyd2igZHCecOjLaa8d4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'VAMO TOMAR OS MEIOS DE PRODUÇÃO PORRA', 'textOriginal': 'VAMO TOMAR OS MEIOS DE PRODUÇÃO PORRA', 'authorDisplayName': 'Josimar P.A.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RrpqkYO8DY7NHa9Ua1-Hvo_o_gOjDFK_ifyrBzvv7nlx_1DO4PVY6rnmk6AgxhuJV4xr_G6d5Vw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbzO35thrz3ttaezLGloVDg', 'authorChannelId': {'value': 'UCbzO35thrz3ttaezLGloVDg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-12T01:32:16Z', 'updatedAt': '2023-01-12T01:32:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbzO35thrz3ttaezLGloVDg,2023-01-12T01:32:16Z,VAMO TOMAR OS MEIOS DE PRODUÇÃO PORRA,QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,S2kBJ_crsUSkafWAaek7mRJ2-2o,UgwttIyLpiBIBgxuY9J4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JGBjoaqgVx_9tFTtnVp1F_DFGyk', 'id': 'UgwttIyLpiBIBgxuY9J4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Fico muito triste de não ter conhecido você antes professor', 'textOriginal': 'Fico muito triste de não ter conhecido você antes professor', 'authorDisplayName': 'Josimar P.A.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RrpqkYO8DY7NHa9Ua1-Hvo_o_gOjDFK_ifyrBzvv7nlx_1DO4PVY6rnmk6AgxhuJV4xr_G6d5Vw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbzO35thrz3ttaezLGloVDg', 'authorChannelId': {'value': 'UCbzO35thrz3ttaezLGloVDg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-12T01:31:54Z', 'updatedAt': '2023-01-12T01:31:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbzO35thrz3ttaezLGloVDg,2023-01-12T01:31:54Z,Fico muito triste de não ter conhecido você antes professor,QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,Gko0zriGsy2ZQTSVOuMCFUDKvec,UgwKkt5uDPoXPfTA0oB4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5hL2eTmCFcI7hbtnofMDqcJrUE4', 'id': 'UgwKkt5uDPoXPfTA0oB4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Discurso fácil e desonesto para convencer sem esforço quem não entende e não quer entender. É triste, mas faz parte desse mesmo capitalismo.<br>Obrigado pelo vídeo.', 'textOriginal': 'Discurso fácil e desonesto para convencer sem esforço quem não entende e não quer entender. É triste, mas faz parte desse mesmo capitalismo.\\nObrigado pelo vídeo.', 'authorDisplayName': 'Guilherme Caspar', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM1oiACJlxDr5KajV7MB2jXyZ31-Bdmo-r21v9zyw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKbMtfze8nl47Wkgd_nRwxA', 'authorChannelId': {'value': 'UCKbMtfze8nl47Wkgd_nRwxA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-12T11:05:43Z', 'updatedAt': '2022-11-12T11:05:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKbMtfze8nl47Wkgd_nRwxA,2022-11-12T11:05:43Z,"Discurso fácil e desonesto para convencer sem esforço quem não entende e não quer entender. É triste, mas faz parte desse mesmo capitalismo.
Obrigado pelo vídeo.",QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,UeAxpAsvPtAR1MJMfxcl7SZCXb8,UgyU1NJzyxc2iuqwBv54AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fmADFI0nYv8vUbTaFDwMvlGn32U', 'id': 'UgyU1NJzyxc2iuqwBv54AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Faça um podcast Humberto, tem muitas pessoas que assistem seus vídeos em outros lugares, séria uma boa.', 'textOriginal': 'Faça um podcast Humberto, tem muitas pessoas que assistem seus vídeos em outros lugares, séria uma boa.', 'authorDisplayName': 'Hugoritimo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/h3x9QJjpR-GkIdbMI14hYtvA3YXBdm_S-YsMD31EgSQu8CfStyVMZ7PAVmgu_PHh4IS25ubN=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGcd5nSAxMhZI0LhU5B0lGQ', 'authorChannelId': {'value': 'UCGcd5nSAxMhZI0LhU5B0lGQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T12:10:22Z', 'updatedAt': '2022-11-11T12:10:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCGcd5nSAxMhZI0LhU5B0lGQ,2022-11-11T12:10:22Z,"Faça um podcast Humberto, tem muitas pessoas que assistem seus vídeos em outros lugares, séria uma boa.",QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,6F4djx1sSJ8SILJ2fQvMMg6Os_A,Ugx3heFQBPTb2agn7DF4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'i0fg8EMEFnZ_EDXhNXbjxFp8JXc', 'id': 'Ugx3heFQBPTb2agn7DF4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Prevejo o uso do &quot;Indice de Liberdade Econômica&quot;!', 'textOriginal': 'Prevejo o uso do ""Indice de Liberdade Econômica""!', 'authorDisplayName': 'Lauro Marques da rocha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM20Hj1XFQPxoHPYwcj9nxgmIdeKfmE-0krux45gA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2fTvtAPfItUWIMPuziepSg', 'authorChannelId': {'value': 'UC2fTvtAPfItUWIMPuziepSg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-10T15:53:53Z', 'updatedAt': '2022-11-10T15:53:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2fTvtAPfItUWIMPuziepSg,2022-11-10T15:53:53Z,"Prevejo o uso do ""Indice de Liberdade Econômica""!",QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,USUCtmts-bh_wLOXxFcHfCi62Os,Ugwfmf8lsnO0THYB9TB4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pXDTl0z4NYT0rIdR_vkCNYAGwjc', 'id': 'Ugwfmf8lsnO0THYB9TB4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Olha...muito medo de dar play, e a coronária ir pro espaço de tanta raiva que poderei passar...mas vamos la kkkkkk!', 'textOriginal': 'Olha...muito medo de dar play, e a coronária ir pro espaço de tanta raiva que poderei passar...mas vamos la kkkkkk!', 'authorDisplayName': 'Lauro Marques da rocha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM20Hj1XFQPxoHPYwcj9nxgmIdeKfmE-0krux45gA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2fTvtAPfItUWIMPuziepSg', 'authorChannelId': {'value': 'UC2fTvtAPfItUWIMPuziepSg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-10T15:50:43Z', 'updatedAt': '2022-11-10T15:50:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2fTvtAPfItUWIMPuziepSg,2022-11-10T15:50:43Z,"Olha...muito medo de dar play, e a coronária ir pro espaço de tanta raiva que poderei passar...mas vamos la kkkkkk!",QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,mg0jyFW08iiWPggXyrzLnqY5d34,Ugx3b4Rl5pI2Eum0OJd4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Og3bmGd8ZAfLIeFQfBarIwYOBRM', 'id': 'Ugx3b4Rl5pI2Eum0OJd4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Comunista estatista é foda....', 'textOriginal': 'Comunista estatista é foda....', 'authorDisplayName': 'André Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPNKkKDkLbggoJvdYPPBiY3I55hYRg8HcsQJXO4-eRtlbHWISykMGsrGRb6RbJi=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRro8ZNX0JRXa7_LHdNGzCA', 'authorChannelId': {'value': 'UCRro8ZNX0JRXa7_LHdNGzCA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-07T22:03:54Z', 'updatedAt': '2022-11-07T22:03:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRro8ZNX0JRXa7_LHdNGzCA,2022-11-07T22:03:54Z,Comunista estatista é foda....,QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
youtube#commentThread,4pqVqkAd-YBdgPbBkh31frpx3TU,UgzEHLAACIt4xtecX-d4AaABAg,"{'videoId': 'mVG-nyIGHak', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_CXveDgepBAbAE0zNEJcfPnz-Vg', 'id': 'UgzEHLAACIt4xtecX-d4AaABAg', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Kkkk seu canal e monetizado? E tem gente que ainda te leva a sério? Que loucura mano 😂😂😂', 'textOriginal': 'Kkkk seu canal e monetizado? E tem gente que ainda te leva a sério? Que loucura mano 😂😂😂', 'authorDisplayName': 'DrakXwill', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN9-bgHWI9iCwepEePsJcWzv2Y9WAlN7hZCZdhnFw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzsHYj7G0tZ0EoC_hqO3vcQ', 'authorChannelId': {'value': 'UCzsHYj7G0tZ0EoC_hqO3vcQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-10-29T16:06:59Z', 'updatedAt': '2022-10-29T16:06:59Z'}}, 'canReply': True, 'totalReplyCount': 3, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'MUZ-_FQsYTX9ONNkJ61aGA7RFKQ', 'id': 'UgzEHLAACIt4xtecX-d4AaABAg.9hlwzx69WXJ9jWn3iNyInc', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': '@Gustavo De acordo com seu argumento merda, os capitalistas não poderiam usar energia solar, Helicóptero e trens elétricos sem se contradizer', 'textOriginal': '@Gustavo De acordo com seu argumento merda, os capitalistas não poderiam usar energia solar, Helicóptero e trens elétricos sem se contradizer', 'parentId': 'UgzEHLAACIt4xtecX-d4AaABAg', 'authorDisplayName': 'Hugo Barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMlAW260QmH8-ROSZQdjbV8DpEGnXbDVrNHLQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGbjJePkPylF35b7SNhtZrA', 'authorChannelId': {'value': 'UCGbjJePkPylF35b7SNhtZrA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-12-12T02:35:11Z', 'updatedAt': '2022-12-12T02:35:11Z'}}, {'kind': 'youtube#comment', 'etag': '8gcI3isDq--d6T3u5N3wzktUJMc', 'id': 'UgzEHLAACIt4xtecX-d4AaABAg.9hlwzx69WXJ9jWmpUccSE_', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': '@Gustavo Proletários americanos, com a ajuda do estado com pesquisa incentivada pela União Soviética', 'textOriginal': '@Gustavo Proletários americanos, com a ajuda do estado com pesquisa incentivada pela União Soviética', 'parentId': 'UgzEHLAACIt4xtecX-d4AaABAg', 'authorDisplayName': 'Hugo Barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMlAW260QmH8-ROSZQdjbV8DpEGnXbDVrNHLQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGbjJePkPylF35b7SNhtZrA', 'authorChannelId': {'value': 'UCGbjJePkPylF35b7SNhtZrA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-12-12T02:33:07Z', 'updatedAt': '2022-12-12T02:33:07Z'}}, {'kind': 'youtube#comment', 'etag': 'Nq0W1sJWtTR9cppDK1b2-DHsj6k', 'id': 'UgzEHLAACIt4xtecX-d4AaABAg.9hlwzx69WXJ9hnE5b8h-L2', 'snippet': {'videoId': 'mVG-nyIGHak', 'textDisplay': 'Um socialista que usa internet e serviços criado por americanos kkkkk e ele ainda quer falar que paises socialista sao melhores que capitalistas kkkkk', 'textOriginal': 'Um socialista que usa internet e serviços criado por americanos kkkkk e ele ainda quer falar que paises socialista sao melhores que capitalistas kkkkk', 'parentId': 'UgzEHLAACIt4xtecX-d4AaABAg', 'authorDisplayName': 'Gustavo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/xbYms0KK0CIPxNinB9sRAG0ikNQ9bcR9kqI3N_8ztHpxVXOPvprXU2j5ER0KPVxJ9mEYs-Eo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCyAIxapivrWlARyO1B5B4w', 'authorChannelId': {'value': 'UCCyAIxapivrWlARyO1B5B4w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-30T04:04:25Z', 'updatedAt': '2022-10-30T04:04:25Z'}}]}",UCzsHYj7G0tZ0EoC_hqO3vcQ,2022-10-29T16:06:59Z,Kkkk seu canal e monetizado? E tem gente que ainda te leva a sério? Que loucura mano 😂😂😂,QURTSl9pMXVWejZ1eHZJaUNVcG9scXNST3QyUFRkMm5ibmNUNXF4RlRPcmhQWUppSkM2NnhyNVkyc1czQ2JsOGJVS21lMGhySkRNWFZqMVdYTWpObTZmZEZXRTFpOG9p,2023-06-08 13:16:37.528039
