kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,dH0g2vKSN_FHORQ-9hrYABekkQw,UgxDPWrhd20qz5hf7tJ4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fal5G9vblA-r-K8rRDzBQnMztIw', 'id': 'UgxDPWrhd20qz5hf7tJ4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Eita fake em', 'textOriginal': 'Eita fake em', 'authorDisplayName': 'Wellington de Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMv_1BZ89VkGuYOdLT3EFPS-6HRwRMDZwLWa16dBByqAdFwyMKU0Wpoh98kQqYr=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCe78wBqQMx7kcH52I5KuBIA', 'authorChannelId': {'value': 'UCe78wBqQMx7kcH52I5KuBIA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T10:58:33Z', 'updatedAt': '2022-10-29T10:58:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCe78wBqQMx7kcH52I5KuBIA,2022-10-29T10:58:33Z,Eita fake em,,2023-06-08 13:16:48.688191
youtube#commentThread,mAzFrDaRiPSXrCbVDgACXZ0OFOM,UgwYbHdTVfPXZrLhRA14AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ru1n5AIRtqd1uuxA6XGWLXd9q-c', 'id': 'UgwYbHdTVfPXZrLhRA14AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Parabéns ICL', 'textOriginal': 'Parabéns ICL', 'authorDisplayName': 'Almeida Rivaldo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/YchFBHtFjiE0TdaWGiyffBR19oPYOBwGCqGv0pxL-mTEvO_x_Uu7pQq5fi1cXUm-Efzp6Kc1=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTgtKgGAcZZMI7IEOBPDwsQ', 'authorChannelId': {'value': 'UCTgtKgGAcZZMI7IEOBPDwsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T12:55:32Z', 'updatedAt': '2022-10-28T12:55:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTgtKgGAcZZMI7IEOBPDwsQ,2022-10-28T12:55:32Z,Parabéns ICL,,2023-06-08 13:16:48.688191
youtube#commentThread,b88C9YCCzXJtchkD6O1CdCdEMS8,UgzvfD9DIF3Tnr_ytLB4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mEzT4F5FAJGPQriX5Gl0GnrY2a4', 'id': 'UgzvfD9DIF3Tnr_ytLB4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Excelente recorte.', 'textOriginal': 'Excelente recorte.', 'authorDisplayName': 'Sandra Zica', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMENZkLzzvznj4-9rlYdKyk1ollMvU_65J9suZRJ6M=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtlYaJpskXTt-6IATCGd77A', 'authorChannelId': {'value': 'UCtlYaJpskXTt-6IATCGd77A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T08:21:41Z', 'updatedAt': '2022-10-28T08:21:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtlYaJpskXTt-6IATCGd77A,2022-10-28T08:21:41Z,Excelente recorte.,,2023-06-08 13:16:48.688191
youtube#commentThread,duYS21LSEMCEcgptxDTerjE6AfU,UgxZvTlGE02lZMdT1Vp4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GHK-4CdD-yrGfSbvFG8DFrinevA', 'id': 'UgxZvTlGE02lZMdT1Vp4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Muito bom!', 'textOriginal': 'Muito bom!', 'authorDisplayName': 'Wellington Furnas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN0O1240juasx0zJmwoTZi30hxRXLBJw4_vCA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVc8elQQNGI5pOesCJxu8VA', 'authorChannelId': {'value': 'UCVc8elQQNGI5pOesCJxu8VA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T23:49:27Z', 'updatedAt': '2022-10-27T23:49:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVc8elQQNGI5pOesCJxu8VA,2022-10-27T23:49:27Z,Muito bom!,,2023-06-08 13:16:48.688191
youtube#commentThread,NrmE0SK0PVqjbhFCVnv7GbHDQn0,UgycvEyRdI_2p7gN9uF4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Vbt1o_m5ltdN1RtsD669egEnEIE', 'id': 'UgycvEyRdI_2p7gN9uF4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Compartilhando', 'textOriginal': 'Compartilhando', 'authorDisplayName': 'Rita Miranda', 'authorProfileImageUrl': 'https://yt3.ggpht.com/zaRVwMMJqMV7RvFB-6jh_iaHXFpJMaeAd7HAdkOG7xLPd0ulMS3MVlS_KP9_Y57wS3B__J0w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCS3GRsQd4ntO6HnUyqdL-lw', 'authorChannelId': {'value': 'UCS3GRsQd4ntO6HnUyqdL-lw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T23:12:22Z', 'updatedAt': '2022-10-27T23:12:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCS3GRsQd4ntO6HnUyqdL-lw,2022-10-27T23:12:22Z,Compartilhando,,2023-06-08 13:16:48.688191
youtube#commentThread,QWEj58MzSK1MQPfluZfBjD9cVNE,UgyZFnNEJBPuqE5Dv9J4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zykjZWreAdMHWBhbcXztp4mGSEc', 'id': 'UgyZFnNEJBPuqE5Dv9J4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Eita canal pra soltar fake viu kkkk', 'textOriginal': 'Eita canal pra soltar fake viu kkkk', 'authorDisplayName': 'Patrick Lennon', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNI_56cBzGXTFboL1Tg1xbB5YylLGlmjappKg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKfZcGPh3wLxzCZPmeQPTkg', 'authorChannelId': {'value': 'UCKfZcGPh3wLxzCZPmeQPTkg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T22:05:02Z', 'updatedAt': '2022-10-27T22:05:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKfZcGPh3wLxzCZPmeQPTkg,2022-10-27T22:05:02Z,Eita canal pra soltar fake viu kkkk,,2023-06-08 13:16:48.688191
youtube#commentThread,IHgKLAqVIW4bjeNeQE4Nl-7HhYI,Ugy0Qd4MavscxzmE1Gl4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-82qQ2A0RbuFPDF-ymtCZj4wIDA', 'id': 'Ugy0Qd4MavscxzmE1Gl4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': '<a href=""http://www.youtube.com/results?search_query=%23bolsonaropedofilo"">#BolsonaroPedofilo</a>', 'textOriginal': '#BolsonaroPedofilo', 'authorDisplayName': 'Luiz Carlos Nass', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMO38gpOWf2PyzNvHzMtwNzSQQXUVNSeoIepA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUBhrnMwdBpB6vICOlEiWHQ', 'authorChannelId': {'value': 'UCUBhrnMwdBpB6vICOlEiWHQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T21:48:03Z', 'updatedAt': '2022-10-27T21:48:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUBhrnMwdBpB6vICOlEiWHQ,2022-10-27T21:48:03Z,#BolsonaroPedofilo,,2023-06-08 13:16:48.688191
youtube#commentThread,1fHCgqF-1eRpxw8ZPUy6RxYy620,UgznxGaP_BNxPvaRIAF4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-SBqpEnyAJnqi1wiknG9o18QLfQ', 'id': 'UgznxGaP_BNxPvaRIAF4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Absurdo total', 'textOriginal': 'Absurdo total', 'authorDisplayName': 'Alessandro Florencio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPyZI6-hlRaXId3nGdR8EBnmLwsODrNbSTgP3SVDA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4RjJRD0iCHz2IfFXGIMuGA', 'authorChannelId': {'value': 'UC4RjJRD0iCHz2IfFXGIMuGA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T21:03:11Z', 'updatedAt': '2022-10-27T21:03:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4RjJRD0iCHz2IfFXGIMuGA,2022-10-27T21:03:11Z,Absurdo total,,2023-06-08 13:16:48.688191
youtube#commentThread,W6E4nGG2SPXznqRjs3vfyB__TrY,UgwlxC1YkalawEURXt54AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3WAPeqxnTDhuOZ8UtgiaiTHWA5U', 'id': 'UgwlxC1YkalawEURXt54AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Pelas minhas pesquisas pessoais esse período de maldade não chegará, a juventude quer ter esperança no futuro e esse governo não faz parte do futuro para nós, pois a maioria votará 13👆', 'textOriginal': 'Pelas minhas pesquisas pessoais esse período de maldade não chegará, a juventude quer ter esperança no futuro e esse governo não faz parte do futuro para nós, pois a maioria votará 13👆', 'authorDisplayName': 'Helenice Rizzo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNvH6wGxQymzB3mLDadOB-cHLOoevW4h1ybbQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVa6Ocm1bWiEiZadWtMKqPw', 'authorChannelId': {'value': 'UCVa6Ocm1bWiEiZadWtMKqPw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T20:45:55Z', 'updatedAt': '2022-10-27T20:45:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVa6Ocm1bWiEiZadWtMKqPw,2022-10-27T20:45:55Z,"Pelas minhas pesquisas pessoais esse período de maldade não chegará, a juventude quer ter esperança no futuro e esse governo não faz parte do futuro para nós, pois a maioria votará 13👆",,2023-06-08 13:16:48.688191
youtube#commentThread,UswnVItufLw6xvrssZHKdVnZ5bg,Ugx-YA4Z6Joio0534gB4AaABAg,"{'videoId': 'XfGUBIjaGUw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'cDKNrc6IyYwmPZrBdHrgwZSa1ro', 'id': 'Ugx-YA4Z6Joio0534gB4AaABAg', 'snippet': {'videoId': 'XfGUBIjaGUw', 'textDisplay': 'Muito bom', 'textOriginal': 'Muito bom', 'authorDisplayName': 'Cláudia B', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPJv4pwmzWb_D29yLCm7V1T0jPf8rIuRcWavw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdI035RrIEB4vPSMYc47DsQ', 'authorChannelId': {'value': 'UCdI035RrIEB4vPSMYc47DsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T20:40:35Z', 'updatedAt': '2022-10-27T20:40:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCdI035RrIEB4vPSMYc47DsQ,2022-10-27T20:40:35Z,Muito bom,,2023-06-08 13:16:48.688191
