kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,WFe78oW4IQZHe0I5bJrO58mKZyw,Ugwedf8oa2zHzLkizDV4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Z99OtnWxNNju20_yQGowMbX_kd0', 'id': 'Ugwedf8oa2zHzLkizDV4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Vai toma no meio la dentro ai do seu lindo <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>©️©️©️©️©️©️©️©️       ⬛                        ⬛  <br>©️                                        ⬛                        ⬛<br>©️                                        ⬛                        ⬛<br>©️                                        ⬛                        ⬛<br>©️                                        ⬛                        ⬛<br>©️                                        ⬛                        ⬛<br>©️©️©️©️©️©️©️©️©️       ⬛⬛⬛⬛⬛<br><br><br><br><br><br><br><br>🦑🦑🦑🦑🦑🦑🦑🦑🦑1️⃣3️⃣', 'textOriginal': 'Vai toma no meio la dentro ai do seu lindo \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n©️©️©️©️©️©️©️©️       ⬛                        ⬛  \n©️                                        ⬛                        ⬛\n©️                                        ⬛                        ⬛\n©️                                        ⬛                        ⬛\n©️                                        ⬛                        ⬛\n©️                                        ⬛                        ⬛\n©️©️©️©️©️©️©️©️©️       ⬛⬛⬛⬛⬛\n\n\n\n\n\n\n\n🦑🦑🦑🦑🦑🦑🦑🦑🦑1️⃣3️⃣', 'authorDisplayName': 'Fernanda Andrade', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOd_UGy5BUY5lvKj8lnt1zNQ7sZKwrIaVEJ6m6g50I=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHZ29sWH0y4WnvijF8gP_3g', 'authorChannelId': {'value': 'UCHZ29sWH0y4WnvijF8gP_3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-18T02:31:44Z', 'updatedAt': '2023-01-18T02:34:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHZ29sWH0y4WnvijF8gP_3g,2023-01-18T02:31:44Z,"Vai toma no meio la dentro ai do seu lindo 















©️©️©️©️©️©️©️©️       ⬛                        ⬛  
©️                                        ⬛                        ⬛
©️                                        ⬛                        ⬛
©️                                        ⬛                        ⬛
©️                                        ⬛                        ⬛
©️                                        ⬛                        ⬛
©️©️©️©️©️©️©️©️©️       ⬛⬛⬛⬛⬛







🦑🦑🦑🦑🦑🦑🦑🦑🦑1️⃣3️⃣",QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,JKX-RXT59Rb2NYp92CZ2uC-SJfc,UgwZoLWkV9OldtE5-Ax4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0rdQzFrfjFsad8CiS637RUu7AW4', 'id': 'UgwZoLWkV9OldtE5-Ax4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Não quero saber de porra de emprego . Eu quero saber é da intervenção federal.<br>Bolsonaro, ainda tá com a caneta bic nas mãos?! Então usa, porra!!!', 'textOriginal': 'Não quero saber de porra de emprego . Eu quero saber é da intervenção federal.\nBolsonaro, ainda tá com a caneta bic nas mãos?! Então usa, porra!!!', 'authorDisplayName': 'carlos alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqObO88aoiHko0DQHnx2blz4UdV_EiY4RBP69A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVnFnJ94qN-ZfF20jAlvH0A', 'authorChannelId': {'value': 'UCVnFnJ94qN-ZfF20jAlvH0A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-30T01:44:27Z', 'updatedAt': '2022-11-30T01:44:27Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'G133xy-ybtOXdYOIMvJAgVCcDm4', 'id': 'UgwZoLWkV9OldtE5-Ax4AaABAg.9j1niYz-qWT9kWCZWqXZcV', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': '<a href=""https://youtu.be/cUBms2ylt1o"">https://youtu.be/cUBms2ylt1o</a><br>É o link para a live que ele explicou sobre a intervenção federal.', 'textOriginal': 'https://youtu.be/cUBms2ylt1o\nÉ o link para a live que ele explicou sobre a intervenção federal.', 'parentId': 'UgwZoLWkV9OldtE5-Ax4AaABAg', 'authorDisplayName': 'Lucas Silva dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPBHFKveHMDNMIRzhNHwsht5RI1cDHZUSdINfawFAv1-hs1EpyztAFTt4bcWHRB=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqxmaskglvy7skOl_ECsUIA', 'authorChannelId': {'value': 'UCqxmaskglvy7skOl_ECsUIA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-05T17:38:53Z', 'updatedAt': '2023-01-05T17:38:53Z'}}]}",UCVnFnJ94qN-ZfF20jAlvH0A,2022-11-30T01:44:27Z,"Não quero saber de porra de emprego . Eu quero saber é da intervenção federal.
Bolsonaro, ainda tá com a caneta bic nas mãos?! Então usa, porra!!!",QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,SQ9E_eyVSiq_f7huPuZyuSK_5lA,Ugxpx18z4j3AsYOTlIl4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kb1cfQUfbQfR5rHsJ-nxKhQRR_c', 'id': 'Ugxpx18z4j3AsYOTlIl4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'O melhor do mundo isso ninguém tira💚💛💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'O melhor do mundo isso ninguém tira💚💛💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Janaina Glins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN0brbCCfzYQ-ApdecXXshMKzswIzetR0Pfzg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPs-MbopfO3D0spikhKz_rw', 'authorChannelId': {'value': 'UCPs-MbopfO3D0spikhKz_rw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-17T08:30:03Z', 'updatedAt': '2022-11-17T08:30:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPs-MbopfO3D0spikhKz_rw,2022-11-17T08:30:03Z,O melhor do mundo isso ninguém tira💚💛💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,i3e86w2O2hxu2HaWeLBiayohp5Y,UgwhjtWS_WiZ8ma9U_R4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JoUUnbyhPmjradYzAezdT_cr6kE', 'id': 'UgwhjtWS_WiZ8ma9U_R4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Ti amo mito', 'textOriginal': 'Ti amo mito', 'authorDisplayName': 'Maria Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNwiF2xrTcVkx5AjBy_dPI_y67iKAfmDmAsK0JU7klPwWFiW-MLLHBcKVCcbcWg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCicXxvWiiW9ckmX5gnMv2rw', 'authorChannelId': {'value': 'UCicXxvWiiW9ckmX5gnMv2rw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-13T21:54:08Z', 'updatedAt': '2022-11-13T21:54:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCicXxvWiiW9ckmX5gnMv2rw,2022-11-13T21:54:08Z,Ti amo mito,QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,xwHwcSk9YwRJU3PpXtUT62RgS80,Ugz2ybP5v359C7xE3fR4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'v1r2vzJPZpV1TLobllYMEWOYvPI', 'id': 'Ugz2ybP5v359C7xE3fR4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Maravilha 😊 Brasil.', 'textOriginal': 'Maravilha 😊 Brasil.', 'authorDisplayName': 'Teixeira Carlos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMKeRgQphRN_brtddBF9Kldtsd06fOAmDDkSA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_J6biaEsDQ_GwX-j5k562Q', 'authorChannelId': {'value': 'UC_J6biaEsDQ_GwX-j5k562Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T22:43:13Z', 'updatedAt': '2022-11-11T22:43:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_J6biaEsDQ_GwX-j5k562Q,2022-11-11T22:43:13Z,Maravilha 😊 Brasil.,QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,WrU2wQdo7qk_1VAv0lH8MAEM9Ig,Ugzp73hZ1OwpAzDPkZx4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'nLPfiu566zQ6uemFsh5T1rqMRMU', 'id': 'Ugzp73hZ1OwpAzDPkZx4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'MEI não é emprego', 'textOriginal': 'MEI não é emprego', 'authorDisplayName': 'Zhask', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Ae49qqvD4ueKyfOJAjLnDvcGgbXSwZtSb56G47JBu5-fJqjlshPsOksXwp_zej7G9d15tAlFPNM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8MmxEGsAjPfIt56EbMO-zQ', 'authorChannelId': {'value': 'UC8MmxEGsAjPfIt56EbMO-zQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-10T00:52:45Z', 'updatedAt': '2022-11-10T00:52:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8MmxEGsAjPfIt56EbMO-zQ,2022-11-10T00:52:45Z,MEI não é emprego,QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,y7ZXRsyuE2-Xu9C9pKUYill0PZ0,UgwRmVDW-VOJ-3jtaEx4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DLP9HTm7lKywGEsIwE34WN9XDL4', 'id': 'UgwRmVDW-VOJ-3jtaEx4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Só falta, ele fazer chover!!! Tô contigo e não abro 👏👏👏', 'textOriginal': 'Só falta, ele fazer chover!!! Tô contigo e não abro 👏👏👏', 'authorDisplayName': ""Sertanejo ' da Roça '"", 'authorProfileImageUrl': 'https://yt3.ggpht.com/XaGBNGE5S8qB_n8kTTeceu1X0OXsO69ksMc5OCzyqy_QX6AC1CGaxM7jtol_HqoQWVz-4OhmGAY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3Yk5FTFTvE0WHk55uGp5qw', 'authorChannelId': {'value': 'UC3Yk5FTFTvE0WHk55uGp5qw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-07T17:02:40Z', 'updatedAt': '2022-11-07T17:02:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3Yk5FTFTvE0WHk55uGp5qw,2022-11-07T17:02:40Z,"Só falta, ele fazer chover!!! Tô contigo e não abro 👏👏👏",QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,GD1tmKuTk9rtDrXiNiPiAb62UW8,UgyACc9rkwg9mrFgtDl4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gO5w1dQV2dOTGD7UUCrFX5FVnjg', 'id': 'UgyACc9rkwg9mrFgtDl4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Sou  Mineira  do Triângulo, aposentada com o mínimo; tirei  do próprio bolso,  pra pagar p ir votar. Com dificuldade viajei quase três horas, estou triste, mas creio em Deus e outros tempos virão.  Nós estamos com o senhor nosso Presidente! 🇧🇷', 'textOriginal': 'Sou  Mineira  do Triângulo, aposentada com o mínimo; tirei  do próprio bolso,  pra pagar p ir votar. Com dificuldade viajei quase três horas, estou triste, mas creio em Deus e outros tempos virão.  Nós estamos com o senhor nosso Presidente! 🇧🇷', 'authorDisplayName': 'Maria Aparecida Machado', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPCJL-W7fR6n3ZKsUmfHUHYOD2UMdG7xM6bLw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCN9IoaeZH0QkjXTjdEaozPA', 'authorChannelId': {'value': 'UCN9IoaeZH0QkjXTjdEaozPA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T02:24:18Z', 'updatedAt': '2022-11-03T02:24:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCN9IoaeZH0QkjXTjdEaozPA,2022-11-03T02:24:18Z,"Sou  Mineira  do Triângulo, aposentada com o mínimo; tirei  do próprio bolso,  pra pagar p ir votar. Com dificuldade viajei quase três horas, estou triste, mas creio em Deus e outros tempos virão.  Nós estamos com o senhor nosso Presidente! 🇧🇷",QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,6nKXBN7PKRO2nnRo9wap2g-sHjk,UgwbPO1WN5L9XZrJ9oV4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tTTVkccohcDC69lco7V0YH2ECqs', 'id': 'UgwbPO1WN5L9XZrJ9oV4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': '🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚', 'textOriginal': '🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚', 'authorDisplayName': 'Giselle ', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP5Oi318ssn2M0KOUBxqFovABtX2GFzzQ7vhcbnXIQb1idGgUyrh0-1lmFUZaE7=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0paxHozkDW-Nk7fLTj7RUQ', 'authorChannelId': {'value': 'UC0paxHozkDW-Nk7fLTj7RUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T18:20:52Z', 'updatedAt': '2022-11-02T18:20:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0paxHozkDW-Nk7fLTj7RUQ,2022-11-02T18:20:52Z,🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚,QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
youtube#commentThread,_Z2VtMORjuDipat3Wh-8AfwZ7U0,Ugzx09_AOEZkf4VyTNF4AaABAg,"{'videoId': 'klUU2uVbch8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'vOmdC8PO4JI0hZPySjMLsyvUPBw', 'id': 'Ugzx09_AOEZkf4VyTNF4AaABAg', 'snippet': {'videoId': 'klUU2uVbch8', 'textDisplay': 'Obrigada meu presidente por resgatar nosso patriotismo.2️⃣2️⃣🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷(BA)', 'textOriginal': 'Obrigada meu presidente por resgatar nosso patriotismo.2️⃣2️⃣🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷(BA)', 'authorDisplayName': 'Mary', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN1VJwmb_eyOT1lWSFlkobsFvZoNL6FLX3LYP-PS1JyUxS8QnCP6qQguIJi02rK=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHGQOPdj2fiDjDE77bWrrLA', 'authorChannelId': {'value': 'UCHGQOPdj2fiDjDE77bWrrLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T16:40:57Z', 'updatedAt': '2022-11-02T16:40:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHGQOPdj2fiDjDE77bWrrLA,2022-11-02T16:40:57Z,Obrigada meu presidente por resgatar nosso patriotismo.2️⃣2️⃣🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷(BA),QURTSl9pM1ppSlhJU21ZVFlvZ1F5czdMODROSENEVWZIOVNzczI1dlI4UE1qSy1kWFBKSVBMeFNnQURmQ2ZKUTNnRWxPR1g0TWl0VXZqdw==,2023-06-07 19:25:59.436973
