kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,blBtuIOg1iVwUKO7Njw_hnlIxXE,UgzuDA-Ac7KI8K2wYE54AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bNJLPHU3bnaZo8km_1VIboIRZt4', 'id': 'UgzuDA-Ac7KI8K2wYE54AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'jones, meu caro. vimos os resultados, e quanto a tua candidatura, foram muito positivos, no entanto, por que os resultados pífios quanto às candidaturas para a assembleia legislativa e para a câmara dos deputados? a luiza teve menos de 5 mil votos, e a victória menos de 3 mil, num cenário em que você teve quase 34 mil. sabemos que o eleitor brasileiro não é adepta da fidelidade partidária (salvo algumas exceções bem pontuais e específicas), mas por que tamanha discrepância?', 'textOriginal': 'jones, meu caro. vimos os resultados, e quanto a tua candidatura, foram muito positivos, no entanto, por que os resultados pífios quanto às candidaturas para a assembleia legislativa e para a câmara dos deputados? a luiza teve menos de 5 mil votos, e a victória menos de 3 mil, num cenário em que você teve quase 34 mil. sabemos que o eleitor brasileiro não é adepta da fidelidade partidária (salvo algumas exceções bem pontuais e específicas), mas por que tamanha discrepância?', 'authorDisplayName': 'Wesley Vasconcelos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1mDqs7NIH5wtwvAFgnA185CViI6-GqDJGaroMLyg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCk-Abmw3Ue9Q99dibbtf0eQ', 'authorChannelId': {'value': 'UCk-Abmw3Ue9Q99dibbtf0eQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-08T11:44:21Z', 'updatedAt': '2022-10-08T11:44:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCk-Abmw3Ue9Q99dibbtf0eQ,2022-10-08T11:44:21Z,"jones, meu caro. vimos os resultados, e quanto a tua candidatura, foram muito positivos, no entanto, por que os resultados pífios quanto às candidaturas para a assembleia legislativa e para a câmara dos deputados? a luiza teve menos de 5 mil votos, e a victória menos de 3 mil, num cenário em que você teve quase 34 mil. sabemos que o eleitor brasileiro não é adepta da fidelidade partidária (salvo algumas exceções bem pontuais e específicas), mas por que tamanha discrepância?",QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,REQsUroqGybKfKO9w5Z_wzQ-ENU,Ugwk9Spz_wPxD-mxG994AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1PlyL1hL-_qWrszkEI8XIjAUSlw', 'id': 'Ugwk9Spz_wPxD-mxG994AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'Tinha ouvido falar de você por nome mas não sabia nada realmente. Vi que era candidato e não tive dúvida de que era o melhor e mais ligado à população. Estou me radicalizando (&quot;novamente&quot;, agora pra valer) graças a você e outros camaradas. Depois procurarei o PCB pra ver como contribuir (não falo das eleições, mas da.conscientização e do projeto). Caso ainda não tenha, seria legal um vídeo sobre isso também (sobre organização, participação no partido, atividades, objetivos etc).', 'textOriginal': 'Tinha ouvido falar de você por nome mas não sabia nada realmente. Vi que era candidato e não tive dúvida de que era o melhor e mais ligado à população. Estou me radicalizando (""novamente"", agora pra valer) graças a você e outros camaradas. Depois procurarei o PCB pra ver como contribuir (não falo das eleições, mas da.conscientização e do projeto). Caso ainda não tenha, seria legal um vídeo sobre isso também (sobre organização, participação no partido, atividades, objetivos etc).', 'authorDisplayName': 'Hugo Alencar', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMgPHFeh6YcSu4oLfV3yVTiNlh7rthajf6hZw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOMzK0dAOGWYYHHEZdnRlaA', 'authorChannelId': {'value': 'UCOMzK0dAOGWYYHHEZdnRlaA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T18:43:11Z', 'updatedAt': '2022-10-07T18:43:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOMzK0dAOGWYYHHEZdnRlaA,2022-10-07T18:43:11Z,"Tinha ouvido falar de você por nome mas não sabia nada realmente. Vi que era candidato e não tive dúvida de que era o melhor e mais ligado à população. Estou me radicalizando (""novamente"", agora pra valer) graças a você e outros camaradas. Depois procurarei o PCB pra ver como contribuir (não falo das eleições, mas da.conscientização e do projeto). Caso ainda não tenha, seria legal um vídeo sobre isso também (sobre organização, participação no partido, atividades, objetivos etc).",QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,LJhaURGaEnrvOWPtwJ3e5a1VUnk,UgwfnQfaZ1a4tfBxnN14AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Vo1eO4ZvwZGuOjQsVtIM9X4vxd8', 'id': 'UgwfnQfaZ1a4tfBxnN14AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'As eleições já passaram e ainda tô no início do vídeo, mas queria dizer logo que seria muito bom vídeos (ou qualquer outro tipo de mídia) falando dos bastidores, do processo de levantamento de dados e dos estudos. O portal de transparência não é acessível.', 'textOriginal': 'As eleições já passaram e ainda tô no início do vídeo, mas queria dizer logo que seria muito bom vídeos (ou qualquer outro tipo de mídia) falando dos bastidores, do processo de levantamento de dados e dos estudos. O portal de transparência não é acessível.', 'authorDisplayName': 'Hugo Alencar', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMgPHFeh6YcSu4oLfV3yVTiNlh7rthajf6hZw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOMzK0dAOGWYYHHEZdnRlaA', 'authorChannelId': {'value': 'UCOMzK0dAOGWYYHHEZdnRlaA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T18:28:18Z', 'updatedAt': '2022-10-07T18:28:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOMzK0dAOGWYYHHEZdnRlaA,2022-10-07T18:28:18Z,"As eleições já passaram e ainda tô no início do vídeo, mas queria dizer logo que seria muito bom vídeos (ou qualquer outro tipo de mídia) falando dos bastidores, do processo de levantamento de dados e dos estudos. O portal de transparência não é acessível.",QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,IyPoad12LbEHhfqjOavlG5E_Or8,Ugz0cC_9aBoigVdPXUt4AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'B-fzyAthtcrWkhGwCKYOgyasJbo', 'id': 'Ugz0cC_9aBoigVdPXUt4AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'Jones, parabéns pela votação expressiva pelo Governo de Pernambuco! Tudo que vc conseguiu, foi com um trabalho de base honesto e ousado! Pena que moro no RJ e não tive a honra de poder votar em vc! Mas fiz a minha parte, aqui, votando na camarada Juliette (UP) e no camarada Hiran Roedel (PCB). Sua candidatura foi vencedora e cumpriu plenamente todos os objetivos de pautar o debate nas bandeiras históricas abandonadas pela esquerda &quot;reformista&quot;. Estamos juntos!', 'textOriginal': 'Jones, parabéns pela votação expressiva pelo Governo de Pernambuco! Tudo que vc conseguiu, foi com um trabalho de base honesto e ousado! Pena que moro no RJ e não tive a honra de poder votar em vc! Mas fiz a minha parte, aqui, votando na camarada Juliette (UP) e no camarada Hiran Roedel (PCB). Sua candidatura foi vencedora e cumpriu plenamente todos os objetivos de pautar o debate nas bandeiras históricas abandonadas pela esquerda ""reformista"". Estamos juntos!', 'authorDisplayName': 'Eduardo Henrique Ferreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPxjmgh-GfkktZ7Y-G46VTopLu7SWEukfOZD4JYlQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCl5KMUrfsbmm6IuJMhQrC4A', 'authorChannelId': {'value': 'UCl5KMUrfsbmm6IuJMhQrC4A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T14:23:09Z', 'updatedAt': '2022-10-07T14:23:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCl5KMUrfsbmm6IuJMhQrC4A,2022-10-07T14:23:09Z,"Jones, parabéns pela votação expressiva pelo Governo de Pernambuco! Tudo que vc conseguiu, foi com um trabalho de base honesto e ousado! Pena que moro no RJ e não tive a honra de poder votar em vc! Mas fiz a minha parte, aqui, votando na camarada Juliette (UP) e no camarada Hiran Roedel (PCB). Sua candidatura foi vencedora e cumpriu plenamente todos os objetivos de pautar o debate nas bandeiras históricas abandonadas pela esquerda ""reformista"". Estamos juntos!",QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,tsBuKT27bVn6sJMWryYwErQoG6A,Ugw0vXoDgxa5UaJse-x4AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2PFT-3K97RfXKIK_CJPUldimpAk', 'id': 'Ugw0vXoDgxa5UaJse-x4AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'Votei com muito orgulho!', 'textOriginal': 'Votei com muito orgulho!', 'authorDisplayName': 'Gilberto Nicacio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNF9tDq8NGJjjOthv5CDSzXVgFh0k6-nrfD4kmPDzQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0h5D7Lh6fydg_5FfwTFXlQ', 'authorChannelId': {'value': 'UC0h5D7Lh6fydg_5FfwTFXlQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T01:31:05Z', 'updatedAt': '2022-10-07T01:31:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0h5D7Lh6fydg_5FfwTFXlQ,2022-10-07T01:31:05Z,Votei com muito orgulho!,QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,IpksaZKejN6YqMd34E96o7IvAKM,UgwzyH13E_ui1O589D14AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ToeR636DSAG3Ou5wgZZ_vRWo1N4', 'id': 'UgwzyH13E_ui1O589D14AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'V O T E I - L U L A - A G O R A - V O U - V O T A R - B O L S O N A R O', 'textOriginal': 'V O T E I - L U L A - A G O R A - V O U - V O T A R - B O L S O N A R O', 'authorDisplayName': 'Júnior Júnior', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMrK15ZX255_jksS-OIBDlkS_mrnBCoc7w4JTfa=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCyMguxgRnzfHPrSwj6AKUBQ', 'authorChannelId': {'value': 'UCyMguxgRnzfHPrSwj6AKUBQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T22:35:01Z', 'updatedAt': '2022-10-06T22:35:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCyMguxgRnzfHPrSwj6AKUBQ,2022-10-06T22:35:01Z,V O T E I - L U L A - A G O R A - V O U - V O T A R - B O L S O N A R O,QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,Bc71fFkPVng9q3IuhNNp-pLn1BY,UgyM1bJUw8lALfMvz7V4AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ie8JN-ggkwfcw1Ofx-ognTk5ZSo', 'id': 'UgyM1bJUw8lALfMvz7V4AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'Você fez a sua parte. É o povo se responsabilizar pelos seus votos. Esperamos ver você nas próximas eleições. Quando o povo tomar mais no toba. E se não for muito tarde. Eu quero você no poder o mais rápido possível!', 'textOriginal': 'Você fez a sua parte. É o povo se responsabilizar pelos seus votos. Esperamos ver você nas próximas eleições. Quando o povo tomar mais no toba. E se não for muito tarde. Eu quero você no poder o mais rápido possível!', 'authorDisplayName': 'Al SKmr', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMoJGXc8zQZheDZ4DAKkCTnysw8-UrR0KOETfG1eEI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCiXvnK0jaC9VsltpYbivYGA', 'authorChannelId': {'value': 'UCiXvnK0jaC9VsltpYbivYGA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T21:25:37Z', 'updatedAt': '2022-10-06T21:25:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCiXvnK0jaC9VsltpYbivYGA,2022-10-06T21:25:37Z,Você fez a sua parte. É o povo se responsabilizar pelos seus votos. Esperamos ver você nas próximas eleições. Quando o povo tomar mais no toba. E se não for muito tarde. Eu quero você no poder o mais rápido possível!,QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,MNVXRUh82_yha6LVsEaraE0HuDk,UgycZrsot5lij7lIwrV4AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'F8aEo1Ayi28FBdY9jNQDLmUScoE', 'id': 'UgycZrsot5lij7lIwrV4AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'Algum candidato do PCB conseguiu se eleger?', 'textOriginal': 'Algum candidato do PCB conseguiu se eleger?', 'authorDisplayName': 'William Rocha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPNMAczcyR5O7s-wTmFpBANoFKMl-qJnl9KKQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6FV4YulgBS1a4uoiacm9dA', 'authorChannelId': {'value': 'UC6FV4YulgBS1a4uoiacm9dA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-06T01:32:57Z', 'updatedAt': '2022-10-06T01:32:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6FV4YulgBS1a4uoiacm9dA,2022-10-06T01:32:57Z,Algum candidato do PCB conseguiu se eleger?,QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,dWtaosAAfaCal2ZSYgsxMPJIvi8,Ugy1RtWOXrKRFY2ONS14AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6Hk2T-Alibxh5-Wm87fdg24jRXw', 'id': 'Ugy1RtWOXrKRFY2ONS14AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'Jones, Cauê, PCB-PE e equipe estão de parabéns pela campanha.', 'textOriginal': 'Jones, Cauê, PCB-PE e equipe estão de parabéns pela campanha.', 'authorDisplayName': 'Lucas Martins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO-yhMHeeKfl0x9p_4-IbgP9xq0NicwH_EEYFtCS1I=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNAevlWhyE2rKCBEt1l5UIA', 'authorChannelId': {'value': 'UCNAevlWhyE2rKCBEt1l5UIA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T15:59:39Z', 'updatedAt': '2022-10-05T15:59:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNAevlWhyE2rKCBEt1l5UIA,2022-10-05T15:59:39Z,"Jones, Cauê, PCB-PE e equipe estão de parabéns pela campanha.",QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
youtube#commentThread,ASwuZiKWsVJEsnt1jZMtHZTW5Mw,UgxBh2NOax7QCOlQmE14AaABAg,"{'videoId': 'G8nh2PUUpQA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FAILHlsnKabl5DRoOqSJNl_PI4U', 'id': 'UgxBh2NOax7QCOlQmE14AaABAg', 'snippet': {'videoId': 'G8nh2PUUpQA', 'textDisplay': 'parabéns Jones', 'textOriginal': 'parabéns Jones', 'authorDisplayName': 'Jardel Maciel', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUbwjM--v9aOxO-Fle5tXHN-ygu7Cz1y7mLw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWB8sPEr9eKvv_-it_2ADTg', 'authorChannelId': {'value': 'UCWB8sPEr9eKvv_-it_2ADTg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T00:34:22Z', 'updatedAt': '2022-10-05T00:34:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCWB8sPEr9eKvv_-it_2ADTg,2022-10-05T00:34:22Z,parabéns Jones,QURTSl9pMTduR1UzdzBHY1V0djNMU2NtTXE0dTh0UEtmeDF1MUJ2Q3lHVVNqQVBwX1Y2QjdCeDg3MVlwWl9ua2ZHRnlyQTJuSE1jMDBNNA==,2023-06-08 13:18:30.511772
