kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,hnjBDageNXaOiBeFK-m3kBga4Ns,Ugx4h56gp-ICFx1bYZp4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'j_7SHA0w3yN85nD_NuNoPw18oqE', 'id': 'Ugx4h56gp-ICFx1bYZp4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'Para ouvir outros podcasts do GLOBO, é só clicar aqui: <a href=""https://oglobo.globo.com/podcast/"">https://oglobo.globo.com/podcast/\\r</a><br>Ou então é possível seguir o AO PONTO num agregador como o Spotify \\r<br>(<a href=""https://spoti.fi/2LWcVDG)"">https://spoti.fi/2LWcVDG)</a>, o iTunes (<a href=""https://apple.co/2LUj2IJ)"">https://apple.co/2LUj2IJ)</a> e o Deezer (<a href=""http://bit.ly/2LVWlUp)."">http://bit.ly/2LVWlUp).\\r</a><br>E aqui é possível se inscrever no nosso canal do YouTube: <a href=""http://bit.ly/2BQvqB4"">http://bit.ly/2BQvqB4</a>', 'textOriginal': 'Para ouvir outros podcasts do GLOBO, é só clicar aqui: https://oglobo.globo.com/podcast/\\r\\nOu então é possível seguir o AO PONTO num agregador como o Spotify \\r\\n(https://spoti.fi/2LWcVDG), o iTunes (https://apple.co/2LUj2IJ) e o Deezer (http://bit.ly/2LVWlUp).\\r\\nE aqui é possível se inscrever no nosso canal do YouTube: http://bit.ly/2BQvqB4', 'authorDisplayName': 'Jornal O Globo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/vEf5McQ4g_5IhNrqRsLnUPwKzREQS5HroaypIIae7yfsPWembS9Ds9VOcElCPI7fEaT29NxvTQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-6xqzMBF2CXTImn_a4aCVg', 'authorChannelId': {'value': 'UC-6xqzMBF2CXTImn_a4aCVg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-21T13:11:20Z', 'updatedAt': '2022-10-21T13:11:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-6xqzMBF2CXTImn_a4aCVg,2022-10-21T13:11:20Z,"Para ouvir outros podcasts do GLOBO, é só clicar aqui: https://oglobo.globo.com/podcast/
Ou então é possível seguir o AO PONTO num agregador como o Spotify 
(https://spoti.fi/2LWcVDG), o iTunes (https://apple.co/2LUj2IJ) e o Deezer (http://bit.ly/2LVWlUp).
E aqui é possível se inscrever no nosso canal do YouTube: http://bit.ly/2BQvqB4",,2023-06-08 13:52:50.244408
youtube#commentThread,Y9YGtczjzhhvEMdj8qpKDhS6rIE,UgxF24HoHDszzhT_8oN4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8EJFSE_U9t0qpgZs7Cxa5LPqCIA', 'id': 'UgxF24HoHDszzhT_8oN4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'O PT DEVERIA SER EXTINTO SÓ O FATO DO EX PRESIDIÁRIO SER CANDIDATO JÁ REPRESENTA UMA VERGONHA ENORME AO NOSSO PAÍS. <br><a href=""http://www.youtube.com/results?search_query=%23lulanuncamais"">#LulaNuncaMais</a> <br><a href=""http://www.youtube.com/results?search_query=%23lulanacadeia"">#lulanacadeia</a> <br><a href=""http://www.youtube.com/results?search_query=%23bolsonaroreeleito2022"">#BolsonaroReeleito2022</a> <br><a href=""http://www.youtube.com/results?search_query=%23natrincheiracombolsonaro"">#NaTrincheiraComBolsonaro</a>', 'textOriginal': 'O PT DEVERIA SER EXTINTO SÓ O FATO DO EX PRESIDIÁRIO SER CANDIDATO JÁ REPRESENTA UMA VERGONHA ENORME AO NOSSO PAÍS. \\n#LulaNuncaMais \\n#lulanacadeia \\n#BolsonaroReeleito2022 \\n#NaTrincheiraComBolsonaro', 'authorDisplayName': 'J.A. Parreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPCxy4yBz6yfeNGw9fwv_BsYjyiiRRIzv51N5fpXzY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE5xjwSAcMISfOND7ozIxZA', 'authorChannelId': {'value': 'UCE5xjwSAcMISfOND7ozIxZA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T15:02:55Z', 'updatedAt': '2022-10-30T15:02:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE5xjwSAcMISfOND7ozIxZA,2022-10-30T15:02:55Z,"O PT DEVERIA SER EXTINTO SÓ O FATO DO EX PRESIDIÁRIO SER CANDIDATO JÁ REPRESENTA UMA VERGONHA ENORME AO NOSSO PAÍS. 
#LulaNuncaMais 
#lulanacadeia 
#BolsonaroReeleito2022 
#NaTrincheiraComBolsonaro",,2023-06-08 13:52:50.244408
youtube#commentThread,GKVZVgvpsudRoixEi1q232lvRTA,UgwsvsIQE2Ssg3YuiWh4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'r1alwwtjMUpS1P6QVW2bB3Hsos0', 'id': 'UgwsvsIQE2Ssg3YuiWh4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'Irmãos brasileiros, saudamos vocês com muito carinho da Argentina e pedimos que pensem muito bem em quem votar no domingo, pois vimos que Lula promete a volta do churrasco como aqui os populistas prometeram a volta do asado em 2019 e estamos cada vez mais pobres muito pior do que antes... Mudando para o assado por polenta e mais endividados que nunca com um governo de ladrões que são amigos justamente de Lula<br>Tivemos a visita do Bolsonaro jr. que mostrou com absoluta verdade como é difícil viver aqui e a inflação afetando nosso dinheiro.<br><br>Enquanto vemos com saudável inveja nossos vizinhos do Brasil ou do Paraguai que têm uma moeda forte e deflação, não entendemos como eles estão prestes a cair novamente na armadilha de Lula... que vai destruir o Brasil com seu populismo como Castro fez com Cuba, Chávez com a Venezuela e o kirchner Argentina<br><br>Por favor sejam mais inteligentes e voten melhor que nós não caian na mesma armadilha!!<br><br>receba um abraço caloroso', 'textOriginal': 'Irmãos brasileiros, saudamos vocês com muito carinho da Argentina e pedimos que pensem muito bem em quem votar no domingo, pois vimos que Lula promete a volta do churrasco como aqui os populistas prometeram a volta do asado em 2019 e estamos cada vez mais pobres muito pior do que antes... Mudando para o assado por polenta e mais endividados que nunca com um governo de ladrões que são amigos justamente de Lula\\nTivemos a visita do Bolsonaro jr. que mostrou com absoluta verdade como é difícil viver aqui e a inflação afetando nosso dinheiro.\\n\\nEnquanto vemos com saudável inveja nossos vizinhos do Brasil ou do Paraguai que têm uma moeda forte e deflação, não entendemos como eles estão prestes a cair novamente na armadilha de Lula... que vai destruir o Brasil com seu populismo como Castro fez com Cuba, Chávez com a Venezuela e o kirchner Argentina\\n\\nPor favor sejam mais inteligentes e voten melhor que nós não caian na mesma armadilha!!\\n\\nreceba um abraço caloroso', 'authorDisplayName': 'Danielito', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMNoZOsRktivhvliQrKUG4l8JULo3V9oXz1ag6rsg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCz6VJITYgOdnhKIYD1aisXg', 'authorChannelId': {'value': 'UCz6VJITYgOdnhKIYD1aisXg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T18:45:57Z', 'updatedAt': '2022-10-27T18:45:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCz6VJITYgOdnhKIYD1aisXg,2022-10-27T18:45:57Z,"Irmãos brasileiros, saudamos vocês com muito carinho da Argentina e pedimos que pensem muito bem em quem votar no domingo, pois vimos que Lula promete a volta do churrasco como aqui os populistas prometeram a volta do asado em 2019 e estamos cada vez mais pobres muito pior do que antes... Mudando para o assado por polenta e mais endividados que nunca com um governo de ladrões que são amigos justamente de Lula
Tivemos a visita do Bolsonaro jr. que mostrou com absoluta verdade como é difícil viver aqui e a inflação afetando nosso dinheiro.

Enquanto vemos com saudável inveja nossos vizinhos do Brasil ou do Paraguai que têm uma moeda forte e deflação, não entendemos como eles estão prestes a cair novamente na armadilha de Lula... que vai destruir o Brasil com seu populismo como Castro fez com Cuba, Chávez com a Venezuela e o kirchner Argentina

Por favor sejam mais inteligentes e voten melhor que nós não caian na mesma armadilha!!

receba um abraço caloroso",,2023-06-08 13:52:50.244408
youtube#commentThread,Esovh6WMmo_y-frL13jp7-uXU7k,UgyKdnwMop86qztNadd4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'X8Q48TFvHEiw-qkrQRsBxiqkGUo', 'id': 'UgyKdnwMop86qztNadd4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': '<a href=""http://www.youtube.com/results?search_query=%23bolsonaro22"">#Bolsonaro22</a>🇧🇷🇧🇷🇧🇷🇧🇷RJ', 'textOriginal': '#Bolsonaro22🇧🇷🇧🇷🇧🇷🇧🇷RJ', 'authorDisplayName': 'Vanessa Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMKje2y9C9CVL_fj_e81AfFREAiVsReoWxoK3miekDGE_EghzcdE3SkgRogLopP=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRBOP4I30RYJaTONOSpmtcA', 'authorChannelId': {'value': 'UCRBOP4I30RYJaTONOSpmtcA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T14:22:52Z', 'updatedAt': '2022-10-27T14:22:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRBOP4I30RYJaTONOSpmtcA,2022-10-27T14:22:52Z,#Bolsonaro22🇧🇷🇧🇷🇧🇷🇧🇷RJ,,2023-06-08 13:52:50.244408
youtube#commentThread,6niiiftTF0W4U1ingzChwt3y2k8,UgwZfmUSEGx3ssJNqmt4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_aDLU80qkKbsBYU740qdUQgi0Sk', 'id': 'UgwZfmUSEGx3ssJNqmt4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': '#🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷RJ', 'textOriginal': '#🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷RJ', 'authorDisplayName': 'Vanessa Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMKje2y9C9CVL_fj_e81AfFREAiVsReoWxoK3miekDGE_EghzcdE3SkgRogLopP=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRBOP4I30RYJaTONOSpmtcA', 'authorChannelId': {'value': 'UCRBOP4I30RYJaTONOSpmtcA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T14:21:59Z', 'updatedAt': '2022-10-27T14:21:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRBOP4I30RYJaTONOSpmtcA,2022-10-27T14:21:59Z,#🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷RJ,,2023-06-08 13:52:50.244408
youtube#commentThread,lbUrH6j9X2hpmYrDpTiqgzPiy3k,UgxF1fuEaJ-ZcvNAh7Z4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'x60tWFky8Kuesf8PrUIhCoNBxTM', 'id': 'UgxF1fuEaJ-ZcvNAh7Z4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'Vamos de 22 com certeza.', 'textOriginal': 'Vamos de 22 com certeza.', 'authorDisplayName': 'Arthur Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/_TShXRxS33akQ1fpQts4ZTRdHUIpMIaB8vY3kFL8CDGsc3Is3dF3wl7Et1RGx-ZkEIgCn_2BvZ4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCu0sdwwMey-dPA0TzcS4e8g', 'authorChannelId': {'value': 'UCu0sdwwMey-dPA0TzcS4e8g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T03:28:59Z', 'updatedAt': '2022-10-27T03:28:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCu0sdwwMey-dPA0TzcS4e8g,2022-10-27T03:28:59Z,Vamos de 22 com certeza.,,2023-06-08 13:52:50.244408
youtube#commentThread,C8-bbBJmMfjIKJRDMDVFNksGEyQ,Ugxx6GrFp86jh4pOF3d4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ks5aStNqZ7JERBJMQ-t0JtmLaWA', 'id': 'Ugxx6GrFp86jh4pOF3d4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'Vamos alistar pra sermos fiscais do bolsonaro em todo Brasil, fica atentos não arreda o pé não deixa brecha pra falcatruas, do início até o fim, de quando abrir  até lacrar as urnas', 'textOriginal': 'Vamos alistar pra sermos fiscais do bolsonaro em todo Brasil, fica atentos não arreda o pé não deixa brecha pra falcatruas, do início até o fim, de quando abrir  até lacrar as urnas', 'authorDisplayName': '•Adelson Costa•', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOcXurz4YSwhV6wWhXf0DCk7bLnlGY2BSRpaDE_Ow=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_NFVlMqV2-204zXfr3bClA', 'authorChannelId': {'value': 'UC_NFVlMqV2-204zXfr3bClA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T03:04:49Z', 'updatedAt': '2022-10-26T03:04:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_NFVlMqV2-204zXfr3bClA,2022-10-26T03:04:49Z,"Vamos alistar pra sermos fiscais do bolsonaro em todo Brasil, fica atentos não arreda o pé não deixa brecha pra falcatruas, do início até o fim, de quando abrir  até lacrar as urnas",,2023-06-08 13:52:50.244408
youtube#commentThread,Oqj-k8AdO01o9a53vamj-gmj-UM,Ugzb6S3CUCBAtJyK80F4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZbOXOJH8PuUSUW2etflFNBh9LG0', 'id': 'Ugzb6S3CUCBAtJyK80F4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'Essas pesquisas  dizendo  que o bolsonaro  está  aproximando só pra não dar ibope, mais a tramoia  está  preparado, está transparente o que eles querem fazer, equipe de bolsonaro  não despreza quanto a auditoria nas urnas  nem que seja com um voto pra não dar na cara, eles querem levar de qualquer  forma', 'textOriginal': 'Essas pesquisas  dizendo  que o bolsonaro  está  aproximando só pra não dar ibope, mais a tramoia  está  preparado, está transparente o que eles querem fazer, equipe de bolsonaro  não despreza quanto a auditoria nas urnas  nem que seja com um voto pra não dar na cara, eles querem levar de qualquer  forma', 'authorDisplayName': '•Adelson Costa•', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOcXurz4YSwhV6wWhXf0DCk7bLnlGY2BSRpaDE_Ow=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_NFVlMqV2-204zXfr3bClA', 'authorChannelId': {'value': 'UC_NFVlMqV2-204zXfr3bClA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T03:00:34Z', 'updatedAt': '2022-10-26T03:00:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_NFVlMqV2-204zXfr3bClA,2022-10-26T03:00:34Z,"Essas pesquisas  dizendo  que o bolsonaro  está  aproximando só pra não dar ibope, mais a tramoia  está  preparado, está transparente o que eles querem fazer, equipe de bolsonaro  não despreza quanto a auditoria nas urnas  nem que seja com um voto pra não dar na cara, eles querem levar de qualquer  forma",,2023-06-08 13:52:50.244408
youtube#commentThread,6zxIVoDl99yLMGht6SpRMf_oyfw,UgwUMnIGzYcT4FyGjo14AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mL9Vf-YSlmxLl0RvUmga2_K28CM', 'id': 'UgwUMnIGzYcT4FyGjo14AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': 'Da discarga no bostonaro eles estão disisperado esse VEI tarado vem aki no Maranhão pra nois ti passa na pova', 'textOriginal': 'Da discarga no bostonaro eles estão disisperado esse VEI tarado vem aki no Maranhão pra nois ti passa na pova', 'authorDisplayName': 'sonhodacasa🙌', 'authorProfileImageUrl': 'https://yt3.ggpht.com/NVNV8Vohjd_4mei5nN0yjt5O1Fn9CJ4UZFHc2IALLkqfGiQ0b3P-wTqaKLs838B-d1ZQuu1m=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCnQDu6IwuBFhxHm55n0o8mw', 'authorChannelId': {'value': 'UCnQDu6IwuBFhxHm55n0o8mw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T02:18:28Z', 'updatedAt': '2022-10-25T02:18:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCnQDu6IwuBFhxHm55n0o8mw,2022-10-25T02:18:28Z,Da discarga no bostonaro eles estão disisperado esse VEI tarado vem aki no Maranhão pra nois ti passa na pova,,2023-06-08 13:52:50.244408
youtube#commentThread,WSLQ-q4NUqcoO4wGQUWGcOnHwtg,UgxsZInna-ZaZDxSvYB4AaABAg,"{'videoId': 'vfBH3we3S78', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qoNfz7TIOUT0s541drra-cDEAS0', 'id': 'UgxsZInna-ZaZDxSvYB4AaABAg', 'snippet': {'videoId': 'vfBH3we3S78', 'textDisplay': '13🇧🇷13', 'textOriginal': '13🇧🇷13', 'authorDisplayName': 'Dionatan Dias', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPiwFZ8w7bHrn_EjlvQj4OCQ-Sx1KxW5M6OPAD1=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXMZj18rpXMPyLrl2F3MEzQ', 'authorChannelId': {'value': 'UCXMZj18rpXMPyLrl2F3MEzQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T04:32:55Z', 'updatedAt': '2022-10-24T04:32:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXMZj18rpXMPyLrl2F3MEzQ,2022-10-24T04:32:55Z,13🇧🇷13,,2023-06-08 13:52:50.244408
