kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,7JZe7LS5VTXURePayl0Xylhrz4w,UgzJoLLsjfiKfXxK4yx4AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0OrLhMyo-pdxbfIoCc4OwdGx59Q', 'id': 'UgzJoLLsjfiKfXxK4yx4AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'I un abrazo 🤗 a Lula que gane Dios lo bendiga', 'textOriginal': 'I un abrazo 🤗 a Lula que gane Dios lo bendiga', 'authorDisplayName': 'Henry Parra', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMtem_DL80gzdyWkvu6tOki8TiNzzfl-wOIG7QeRb-ztjprsC7bTBpvaNB_lSHt=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCLzdqLABR6afPsRXbmHfTuQ', 'authorChannelId': {'value': 'UCLzdqLABR6afPsRXbmHfTuQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T21:30:25Z', 'updatedAt': '2022-10-30T21:30:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCLzdqLABR6afPsRXbmHfTuQ,2022-10-30T21:30:25Z,I un abrazo 🤗 a Lula que gane Dios lo bendiga,,2023-06-08 13:42:08.771813
youtube#commentThread,w88EhacJscPcmFhN6aj-Aj5FcU4,Ugx7bQgG2M5zLTOesI14AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Xr8DXWtilSR9m1i9uVn3qAwjujY', 'id': 'Ugx7bQgG2M5zLTOesI14AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'Acho que as pessoas beberam agua do vaso só pode', 'textOriginal': 'Acho que as pessoas beberam agua do vaso só pode', 'authorDisplayName': 'Fernanda Gomes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOgW56RDASpD9Lnex51-2Izc-gecOi-i9UThw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYcQS1yZXiGHKTkraUMv69w', 'authorChannelId': {'value': 'UCYcQS1yZXiGHKTkraUMv69w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-29T21:41:50Z', 'updatedAt': '2022-10-29T21:41:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYcQS1yZXiGHKTkraUMv69w,2022-10-29T21:41:50Z,Acho que as pessoas beberam agua do vaso só pode,,2023-06-08 13:42:08.771813
youtube#commentThread,iCnr9xsN3v6GdF1FRFAGMWvinsY,UgyTB27Gpghw4v7U6Gx4AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gA_Nal5MSZpYFbaPfqHDrLGZJ0E', 'id': 'UgyTB27Gpghw4v7U6Gx4AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': '13', 'textOriginal': '13', 'authorDisplayName': 'STELLA GARCÍA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RIRQ4LcCVVFSOV7-Z8Dwak5swYoSqgcqFIbZTnOz2rXc4TMdBYHpVqYDhivRiFscs9dUjj4l=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcNBAltAK3mZxxMaVxHAQJQ', 'authorChannelId': {'value': 'UCcNBAltAK3mZxxMaVxHAQJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T21:28:42Z', 'updatedAt': '2022-10-28T21:28:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcNBAltAK3mZxxMaVxHAQJQ,2022-10-28T21:28:42Z,13,,2023-06-08 13:42:08.771813
youtube#commentThread,rBhecMjr-RQ6uYMt6gBCjZ-W1Jg,Ugw1KXD69fu_F8bsitl4AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lUPc5mLQepd2mGb5FD1Qh1j9MVM', 'id': 'Ugw1KXD69fu_F8bsitl4AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': '13', 'textOriginal': '13', 'authorDisplayName': 'STELLA GARCÍA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RIRQ4LcCVVFSOV7-Z8Dwak5swYoSqgcqFIbZTnOz2rXc4TMdBYHpVqYDhivRiFscs9dUjj4l=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcNBAltAK3mZxxMaVxHAQJQ', 'authorChannelId': {'value': 'UCcNBAltAK3mZxxMaVxHAQJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T21:28:23Z', 'updatedAt': '2022-10-28T21:28:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcNBAltAK3mZxxMaVxHAQJQ,2022-10-28T21:28:23Z,13,,2023-06-08 13:42:08.771813
youtube#commentThread,zUnX9nnBfCJ6g9BcT1OnooLmBzM,Ugw6jEfpi-gkd1GLao94AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hIdKIZG8l7uNXfno8FmAL1uNWcc', 'id': 'Ugw6jEfpi-gkd1GLao94AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': '13', 'textOriginal': '13', 'authorDisplayName': 'STELLA GARCÍA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RIRQ4LcCVVFSOV7-Z8Dwak5swYoSqgcqFIbZTnOz2rXc4TMdBYHpVqYDhivRiFscs9dUjj4l=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcNBAltAK3mZxxMaVxHAQJQ', 'authorChannelId': {'value': 'UCcNBAltAK3mZxxMaVxHAQJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T21:28:19Z', 'updatedAt': '2022-10-28T21:28:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcNBAltAK3mZxxMaVxHAQJQ,2022-10-28T21:28:19Z,13,,2023-06-08 13:42:08.771813
youtube#commentThread,cuFG8CVB_9fzpp74Mg3HRIbUt4o,UgwpYtcmoR6PKJmFQ814AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LXcRnxluFZVfybr4I1FpnyBOoIs', 'id': 'UgwpYtcmoR6PKJmFQ814AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': '13', 'textOriginal': '13', 'authorDisplayName': 'STELLA GARCÍA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RIRQ4LcCVVFSOV7-Z8Dwak5swYoSqgcqFIbZTnOz2rXc4TMdBYHpVqYDhivRiFscs9dUjj4l=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcNBAltAK3mZxxMaVxHAQJQ', 'authorChannelId': {'value': 'UCcNBAltAK3mZxxMaVxHAQJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T21:28:14Z', 'updatedAt': '2022-10-28T21:28:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcNBAltAK3mZxxMaVxHAQJQ,2022-10-28T21:28:14Z,13,,2023-06-08 13:42:08.771813
youtube#commentThread,JXYpSj6gmSOx7bR5ryOXPKf3R6Q,UgwFfspufq-KDbTsjC94AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rtDfj1YNJxUmuxc3tyJQ00bgiUY', 'id': 'UgwFfspufq-KDbTsjC94AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'Lula presidente 🇧🇷🙏🙏🙏💪💪💪13', 'textOriginal': 'Lula presidente 🇧🇷🙏🙏🙏💪💪💪13', 'authorDisplayName': 'STELLA GARCÍA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RIRQ4LcCVVFSOV7-Z8Dwak5swYoSqgcqFIbZTnOz2rXc4TMdBYHpVqYDhivRiFscs9dUjj4l=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcNBAltAK3mZxxMaVxHAQJQ', 'authorChannelId': {'value': 'UCcNBAltAK3mZxxMaVxHAQJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T21:28:10Z', 'updatedAt': '2022-10-28T21:28:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcNBAltAK3mZxxMaVxHAQJQ,2022-10-28T21:28:10Z,Lula presidente 🇧🇷🙏🙏🙏💪💪💪13,,2023-06-08 13:42:08.771813
youtube#commentThread,Ik9r9bEo0f4i_vMBGNT0xFu46QQ,UgzshlW4Bc9yPBuXo8B4AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Y4jLHGPNlwZgLi_N86ggjz3a2tc', 'id': 'UgzshlW4Bc9yPBuXo8B4AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'Como ele promete tanta coisa sendo q em 12 anos de governo do PT não fizeram nada a não ser roubar? Será possível acreditar em uma pessoa q foi inocentado de 26 PROCESSOS 26 PROCESSOS <br>Inacreditável isso, inacreditável ele como candidato', 'textOriginal': 'Como ele promete tanta coisa sendo q em 12 anos de governo do PT não fizeram nada a não ser roubar? Será possível acreditar em uma pessoa q foi inocentado de 26 PROCESSOS 26 PROCESSOS \\nInacreditável isso, inacreditável ele como candidato', 'authorDisplayName': 'Marcos Vinivius', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPp-OO_Kd7qq7ihNspuy3vo1gHdIJHZyAoLbg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCp9ALKf9Vv6eykUSggOkMqA', 'authorChannelId': {'value': 'UCp9ALKf9Vv6eykUSggOkMqA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T00:57:50Z', 'updatedAt': '2022-10-28T00:57:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCp9ALKf9Vv6eykUSggOkMqA,2022-10-28T00:57:50Z,"Como ele promete tanta coisa sendo q em 12 anos de governo do PT não fizeram nada a não ser roubar? Será possível acreditar em uma pessoa q foi inocentado de 26 PROCESSOS 26 PROCESSOS 
Inacreditável isso, inacreditável ele como candidato",,2023-06-08 13:42:08.771813
youtube#commentThread,ZoAHqlSePTbbGuvZTru_JLMOEjk,UgwOyj7dEo17sWkJZmV4AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '44RhB_XKHHLLhYSnQB4hA3rG240', 'id': 'UgwOyj7dEo17sWkJZmV4AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'Que vergonha um ex-presidiario poder se candidatar a presidente...', 'textOriginal': 'Que vergonha um ex-presidiario poder se candidatar a presidente...', 'authorDisplayName': 'Skazy.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/KdoKqpy7AkO8hUVFSCOwgbLnbZm-5c2QfmyLPkXfM2h1uhHCxNYn0bTd2KXKfyJUG9zyKTAGAN8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCm2RwQuR1T0pK2gVa-kSFXA', 'authorChannelId': {'value': 'UCm2RwQuR1T0pK2gVa-kSFXA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 4, 'publishedAt': '2022-10-27T21:06:58Z', 'updatedAt': '2022-10-27T21:06:58Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'AW0oUcj322wlPNSVPFj64YItSHw', 'id': 'UgwOyj7dEo17sWkJZmV4AaABAg.9hhKjMgOPW79hk0IAsJxyT', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'O presidente ja foi preso', 'textOriginal': 'O presidente ja foi preso', 'parentId': 'UgwOyj7dEo17sWkJZmV4AaABAg', 'authorDisplayName': 'Marilza Marttila', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPiz-cHpq8Y0OlKiDdDYLzs1Xlo78y6e-q2zGRx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCoeCKgnhxR7ZqRyUgtzMkdA', 'authorChannelId': {'value': 'UCoeCKgnhxR7ZqRyUgtzMkdA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T22:06:05Z', 'updatedAt': '2022-10-28T22:06:05Z'}}]}",UCm2RwQuR1T0pK2gVa-kSFXA,2022-10-27T21:06:58Z,Que vergonha um ex-presidiario poder se candidatar a presidente...,,2023-06-08 13:42:08.771813
youtube#commentThread,Gc5txYw00R1jzpNOLNjWvQwr9oY,UgzI1BxbZJrELS-7kY14AaABAg,"{'videoId': '9PnVbklLPfo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dC4SgEifn1ZcYwSjD90uPOMpVwM', 'id': 'UgzI1BxbZJrELS-7kY14AaABAg', 'snippet': {'videoId': '9PnVbklLPfo', 'textDisplay': 'Cuba, Venezuela e Colômbia não tem democracia seu ex-presidente e ex-presidi….', 'textOriginal': 'Cuba, Venezuela e Colômbia não tem democracia seu ex-presidente e ex-presidi….', 'authorDisplayName': 'Liliane', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMrRDZXg37hzfOFBGF7dKCyN09Z8NtVm_JUaW82xcezQ8Bkaob_t_NQK4TbSiqq=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3UZalCHIFYz-br3iZzm0PA', 'authorChannelId': {'value': 'UC3UZalCHIFYz-br3iZzm0PA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T15:59:26Z', 'updatedAt': '2022-10-27T15:59:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3UZalCHIFYz-br3iZzm0PA,2022-10-27T15:59:26Z,"Cuba, Venezuela e Colômbia não tem democracia seu ex-presidente e ex-presidi….",,2023-06-08 13:42:08.771813
