kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,S8SU7bmJW-Tm3AdHWb9z09gvC80,UgxbzRi-EHG0fsqqgtt4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3JNUeeLOUjH_LpR4mvdjlAb9JPk', 'id': 'UgxbzRi-EHG0fsqqgtt4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'tive pouca influência catolica da minha família/familiares, depois dos 12 anos eu gostava de ser o menino diabolico (aquele rockeirinho enfeitado criança) kkkkk, dps com 15 anos ateu/agnóstico, e com 17 anos eu tava um pouco interessado em panteísmo, dps dos 18 agr eu n tenho uma religião acho ou n descobri, sempre fui bem aberto por parte de familiar de seguir a religião que quisesse, e fui crescendo sem quase nenhuma exp religiosa ou de igreja, o que eu não buscava na religião eu buscava na natureza e agr mais do que nunca posso alinhar isso a ser preservado pelo nosso próprio bem e é mais uma luta que vai total contra o capitalismo', 'textOriginal': 'tive pouca influência catolica da minha família/familiares, depois dos 12 anos eu gostava de ser o menino diabolico (aquele rockeirinho enfeitado criança) kkkkk, dps com 15 anos ateu/agnóstico, e com 17 anos eu tava um pouco interessado em panteísmo, dps dos 18 agr eu n tenho uma religião acho ou n descobri, sempre fui bem aberto por parte de familiar de seguir a religião que quisesse, e fui crescendo sem quase nenhuma exp religiosa ou de igreja, o que eu não buscava na religião eu buscava na natureza e agr mais do que nunca posso alinhar isso a ser preservado pelo nosso próprio bem e é mais uma luta que vai total contra o capitalismo', 'authorDisplayName': 'Pyxes Ghost', 'authorProfileImageUrl': 'https://yt3.ggpht.com/0Gg6z8SwbLMCfEjf3VZCShOHQLTkqkMTGzCGZdph4PRvFxi7BGMBgn4tEaIjxcOJcfjrDVDbdTs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbRUHVyPIRwVvPcvuCEkCLQ', 'authorChannelId': {'value': 'UCbRUHVyPIRwVvPcvuCEkCLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-19T15:51:30Z', 'updatedAt': '2023-05-19T15:53:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbRUHVyPIRwVvPcvuCEkCLQ,2023-05-19T15:51:30Z,"tive pouca influência catolica da minha família/familiares, depois dos 12 anos eu gostava de ser o menino diabolico (aquele rockeirinho enfeitado criança) kkkkk, dps com 15 anos ateu/agnóstico, e com 17 anos eu tava um pouco interessado em panteísmo, dps dos 18 agr eu n tenho uma religião acho ou n descobri, sempre fui bem aberto por parte de familiar de seguir a religião que quisesse, e fui crescendo sem quase nenhuma exp religiosa ou de igreja, o que eu não buscava na religião eu buscava na natureza e agr mais do que nunca posso alinhar isso a ser preservado pelo nosso próprio bem e é mais uma luta que vai total contra o capitalismo",,2023-06-09 03:58:24.504320
youtube#commentThread,NQyr8u4ZxO9UUrqAlgcTkPtaAuw,UgwZeiFh0-HQSZtSD4t4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fIDBTBMxB54Zb1l7-vOKm3K9Drc', 'id': 'UgwZeiFh0-HQSZtSD4t4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'Up', 'textOriginal': 'Up', 'authorDisplayName': 'JOAO WITOR MENDES DOS SANTOS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN_cfDa0KDXsjYGwf7REISsAtbmLZkSbdFgCoK7=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYwJfMhaCjSuewnQaVpHgzQ', 'authorChannelId': {'value': 'UCYwJfMhaCjSuewnQaVpHgzQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-04-30T13:25:14Z', 'updatedAt': '2023-04-30T13:25:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYwJfMhaCjSuewnQaVpHgzQ,2023-04-30T13:25:14Z,Up,,2023-06-09 03:58:24.504320
youtube#commentThread,Uw5iPyma-vyoTUjIGN4mvF_X7Jw,Ugz9kvqZ8bAfhCHbY9F4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ObEso-YN15iDsibpJn7w8BP2QEQ', 'id': 'Ugz9kvqZ8bAfhCHbY9F4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'O capital ADORA todas as religiões, principalmente as pentecostais, gosta até mais que o próprio God. Pq será?', 'textOriginal': 'O capital ADORA todas as religiões, principalmente as pentecostais, gosta até mais que o próprio God. Pq será?', 'authorDisplayName': 'Caio Correia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOFU21I9OF5p_-zyF71tWBe5HhmLFlO6wnRa79rGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEFuc7sArrtsIToleveEOrQ', 'authorChannelId': {'value': 'UCEFuc7sArrtsIToleveEOrQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-09T21:08:12Z', 'updatedAt': '2023-03-09T21:08:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEFuc7sArrtsIToleveEOrQ,2023-03-09T21:08:12Z,"O capital ADORA todas as religiões, principalmente as pentecostais, gosta até mais que o próprio God. Pq será?",,2023-06-09 03:58:24.504320
youtube#commentThread,5rv2-cG2jrINLscMofZ9Uczhqo8,Ugwt0-pprEGZLOTiTeZ4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iyBplaG2J5IduRoSOPa0wYCMwF8', 'id': 'Ugwt0-pprEGZLOTiTeZ4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'Há uma 4ª vertente os que votam contra o PT, pelo simples motivo deles defenderem o que a maioria considera nefasta: China, Coréia-do-norte, Venezuela, Cuba e todos os regimes com um ditador patife...', 'textOriginal': 'Há uma 4ª vertente os que votam contra o PT, pelo simples motivo deles defenderem o que a maioria considera nefasta: China, Coréia-do-norte, Venezuela, Cuba e todos os regimes com um ditador patife...', 'authorDisplayName': 'Ernest Benfilh', 'authorProfileImageUrl': 'https://yt3.ggpht.com/oWNFJts7nU3xfdiTqvPGCnyUTAw6QGdv9VOjbtGaJJ2tfTxgOWM77lbVfcNb1qGTxfWugYgY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCDNPic5qLiBeBZTxlQFV1Kw', 'authorChannelId': {'value': 'UCDNPic5qLiBeBZTxlQFV1Kw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-21T20:24:39Z', 'updatedAt': '2023-02-21T20:25:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCDNPic5qLiBeBZTxlQFV1Kw,2023-02-21T20:24:39Z,"Há uma 4ª vertente os que votam contra o PT, pelo simples motivo deles defenderem o que a maioria considera nefasta: China, Coréia-do-norte, Venezuela, Cuba e todos os regimes com um ditador patife...",,2023-06-09 03:58:24.504320
youtube#commentThread,7Ywbz96RMnEwZM0IqnKudsnkyHA,UgxyA7sYIz9SO8Wt0DB4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9aOa0erHcSPhC3wLbChV5mALU2M', 'id': 'UgxyA7sYIz9SO8Wt0DB4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'Up', 'textOriginal': 'Up', 'authorDisplayName': 'Vermelho Comunista', 'authorProfileImageUrl': 'https://yt3.ggpht.com/2u4PCJ_6c6dwqxxe5R13rdnLho7nzKIThNdhY35ViLRJF73mBA0iDeGXQQPQpNAmlwEb3Lu8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzdzVn44NLeZhQvwKlSnDiw', 'authorChannelId': {'value': 'UCzdzVn44NLeZhQvwKlSnDiw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-14T01:36:38Z', 'updatedAt': '2023-01-14T01:36:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCzdzVn44NLeZhQvwKlSnDiw,2023-01-14T01:36:38Z,Up,,2023-06-09 03:58:24.504320
youtube#commentThread,uvjuKJnP5xiPOG28hWtKjVPei7M,Ugzbv1HNVJb4jN3Cl7V4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zllqQkp0q6iKDjWyNGqZRuTukqw', 'id': 'Ugzbv1HNVJb4jN3Cl7V4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'Up', 'textOriginal': 'Up', 'authorDisplayName': 'Leticia Chaves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/RWXDZoOR-3MvUdiBS2VylDiZ9W7EKxa6nocDdLH63VEoy2vkuTo0wxc4P2mfiie5j56LcKLL-g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7YG_vcsXWuFrDpvIPnZ0nQ', 'authorChannelId': {'value': 'UC7YG_vcsXWuFrDpvIPnZ0nQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-13T00:40:42Z', 'updatedAt': '2023-01-13T00:40:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7YG_vcsXWuFrDpvIPnZ0nQ,2023-01-13T00:40:42Z,Up,,2023-06-09 03:58:24.504320
youtube#commentThread,T7TbYbYwmxNElWUkojaI8S4EFHI,UgybR26TC39goT9AXX54AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'yM9dXELWPcr1_SpGFWSK73omPR8', 'id': 'UgybR26TC39goT9AXX54AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': 'Olha João eu sou das antigas, de verdade, te achei faz um tempo mas percebi que era vc agora pouco, gostava do seu trabalho antes com seu antigo projeto musical, e como o humor tbm, e gosto do que vc se torno e eh isso louco do saco^^', 'textOriginal': 'Olha João eu sou das antigas, de verdade, te achei faz um tempo mas percebi que era vc agora pouco, gostava do seu trabalho antes com seu antigo projeto musical, e como o humor tbm, e gosto do que vc se torno e eh isso louco do saco^^', 'authorDisplayName': 'Mateus Capela', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM-1fZCvF4zjdgcS1gW2-DDKPukYV244Gqv8Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTLCoST_5NvNWTZoVkE-PuQ', 'authorChannelId': {'value': 'UCTLCoST_5NvNWTZoVkE-PuQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 4, 'publishedAt': '2022-10-28T06:46:08Z', 'updatedAt': '2022-10-28T06:46:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTLCoST_5NvNWTZoVkE-PuQ,2022-10-28T06:46:08Z,"Olha João eu sou das antigas, de verdade, te achei faz um tempo mas percebi que era vc agora pouco, gostava do seu trabalho antes com seu antigo projeto musical, e como o humor tbm, e gosto do que vc se torno e eh isso louco do saco^^",,2023-06-09 03:58:24.504320
youtube#commentThread,842FEll9_DYMsITkYhJLFjfi8Y0,UgzwLaXTMREM60-ubWx4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'H4f-2rSzd6LHlV3_1mujqaO_esc', 'id': 'UgzwLaXTMREM60-ubWx4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': '✊🏾✊🏾✊🏾', 'textOriginal': '✊🏾✊🏾✊🏾', 'authorDisplayName': 'Daniel Pires Ribeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOIwhKBRxRbaZYDOFMc-vjl1iUhrtQ3HEVU8S-tjg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCueI_4N6dckAUbjCDQsbkvA', 'authorChannelId': {'value': 'UCueI_4N6dckAUbjCDQsbkvA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T19:04:19Z', 'updatedAt': '2022-10-27T19:04:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCueI_4N6dckAUbjCDQsbkvA,2022-10-27T19:04:19Z,✊🏾✊🏾✊🏾,,2023-06-09 03:58:24.504320
youtube#commentThread,Kt43kgjRctRx1noZFt3j0pJftlw,UgzpDNV0q5RPaDUdRMR4AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mQ3Vh-cHNICPkEiVIHpyBZpUUzI', 'id': 'UgzpDNV0q5RPaDUdRMR4AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': '✊🏾✊🏾', 'textOriginal': '✊🏾✊🏾', 'authorDisplayName': 'Daniel Pires Ribeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOIwhKBRxRbaZYDOFMc-vjl1iUhrtQ3HEVU8S-tjg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCueI_4N6dckAUbjCDQsbkvA', 'authorChannelId': {'value': 'UCueI_4N6dckAUbjCDQsbkvA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T19:04:15Z', 'updatedAt': '2022-10-27T19:04:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCueI_4N6dckAUbjCDQsbkvA,2022-10-27T19:04:15Z,✊🏾✊🏾,,2023-06-09 03:58:24.504320
youtube#commentThread,CZoKBtabj0gjUpi_Gl5etRX_nBY,UgyKAav_7z71OkVDkL14AaABAg,"{'videoId': 'OYmqYmQFA3Q', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Q02982-fZokvTp0JDWVYb4bMnu0', 'id': 'UgyKAav_7z71OkVDkL14AaABAg', 'snippet': {'videoId': 'OYmqYmQFA3Q', 'textDisplay': '✊🏾', 'textOriginal': '✊🏾', 'authorDisplayName': 'Daniel Pires Ribeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOIwhKBRxRbaZYDOFMc-vjl1iUhrtQ3HEVU8S-tjg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCueI_4N6dckAUbjCDQsbkvA', 'authorChannelId': {'value': 'UCueI_4N6dckAUbjCDQsbkvA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T19:04:11Z', 'updatedAt': '2022-10-27T19:04:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCueI_4N6dckAUbjCDQsbkvA,2022-10-27T19:04:11Z,✊🏾,,2023-06-09 03:58:24.504320
