kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,OVmd4Ul-ft4GYr60wvBvGVF7Wv0,UgzPmFrm0JzRYK9PjPB4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OwLocQKho788Ff3CrkBmLcM9IFM', 'id': 'UgzPmFrm0JzRYK9PjPB4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Dois idiotas', 'textOriginal': 'Dois idiotas', 'authorDisplayName': 'Gil Rabelo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNjd41EhRPF0uPP8_BytmVVcoewZIyRhrMY77N7tw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCsRgSXIk5kT_S70cSoOqt4g', 'authorChannelId': {'value': 'UCsRgSXIk5kT_S70cSoOqt4g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-09T19:52:47Z', 'updatedAt': '2022-11-09T19:52:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCsRgSXIk5kT_S70cSoOqt4g,2022-11-09T19:52:47Z,Dois idiotas,QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,1m92nP5Bf9hzhpqHQpadgFhOEHI,Ugz4S4rlKroclUY61Ad4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sBM0pweITxbuxfxSlLIDyoKFd_A', 'id': 'Ugz4S4rlKroclUY61Ad4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Infelizmente esse ano foi o voto mais rápido da minha existência, nunca um voto branco me definiu tanto.', 'textOriginal': 'Infelizmente esse ano foi o voto mais rápido da minha existência, nunca um voto branco me definiu tanto.', 'authorDisplayName': 'Kevin William', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMAVCP99gTPVcHanMkaTfwnJRMHKdMvRlOUYuw5bqdztIXOm3k44BkBRmazwPsQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCScomFseX8R9MSeNz2_QFsQ', 'authorChannelId': {'value': 'UCScomFseX8R9MSeNz2_QFsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T17:10:25Z', 'updatedAt': '2022-10-30T17:10:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCScomFseX8R9MSeNz2_QFsQ,2022-10-30T17:10:25Z,"Infelizmente esse ano foi o voto mais rápido da minha existência, nunca um voto branco me definiu tanto.",QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,RT_2Y06r2QJRhU1JfCETY1kwcBM,UgzXIs2maPywMeCDEU94AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'meKIvVJmQfxJQjvaDPNCqOHYJNI', 'id': 'UgzXIs2maPywMeCDEU94AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Kim se um dia você candidatar-se a presidente eu vou votar em você', 'textOriginal': 'Kim se um dia você candidatar-se a presidente eu vou votar em você', 'authorDisplayName': 'Vegeto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPYRZTMh9Ip_dGM9s0OSz6XWSASl23Tr31MNqFyhK98MV8iSSBsaSa8Ky5J8Na8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCrdQ_W-RTyh9q_00mczbHlg', 'authorChannelId': {'value': 'UCrdQ_W-RTyh9q_00mczbHlg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-30T14:47:53Z', 'updatedAt': '2022-10-30T14:47:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCrdQ_W-RTyh9q_00mczbHlg,2022-10-30T14:47:53Z,Kim se um dia você candidatar-se a presidente eu vou votar em você,QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,Vl-ENOd3A9OhB8GzIo3ga01XgcQ,Ugzn6P8o70lFoLFG71h4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'XH8S3R3Adc3xduMvzt7y1VaHA-s', 'id': 'Ugzn6P8o70lFoLFG71h4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Com 3 anos e meio lembro muito.. eu com 6 anos só lembro que em 98,todo jogo da seleção ia pros pênaltis,duvido ele se lembrar', 'textOriginal': 'Com 3 anos e meio lembro muito.. eu com 6 anos só lembro que em 98,todo jogo da seleção ia pros pênaltis,duvido ele se lembrar', 'authorDisplayName': 'Marcel Leandro Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMoUN0TKkymYu-DXYKvD8cuRzNzxlO3nEwV2NDt=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCN2PEiI8qP2_0JflUNHpsUA', 'authorChannelId': {'value': 'UCN2PEiI8qP2_0JflUNHpsUA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-30T13:26:14Z', 'updatedAt': '2022-10-30T13:26:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCN2PEiI8qP2_0JflUNHpsUA,2022-10-30T13:26:14Z,"Com 3 anos e meio lembro muito.. eu com 6 anos só lembro que em 98,todo jogo da seleção ia pros pênaltis,duvido ele se lembrar",QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,RBWqX8mmxo0qHKegnxJt8jClr1I,Ugyf6iw_FUz7XkcFrr54AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JBWlnGudm9zWXQz7c3HxFo7ioNY', 'id': 'Ugyf6iw_FUz7XkcFrr54AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Kim Torço muito e confio que um dia vc chegará a presidencia da republica.<br>Mas hj estou desapontado com a sua posição de votar nulo... vcs nasceram fazendo oposição ao desastre que é o PT, e hj nao votar contra eles me deixou desapontado.<br>Espero que mude de ideia e corra atras q ainda da tempo.<br>Fique com Deus e sucesso no trabalho ai.<br><br>Na torcida por qualquer coisa menos PT', 'textOriginal': 'Kim Torço muito e confio que um dia vc chegará a presidencia da republica.\\nMas hj estou desapontado com a sua posição de votar nulo... vcs nasceram fazendo oposição ao desastre que é o PT, e hj nao votar contra eles me deixou desapontado.\\nEspero que mude de ideia e corra atras q ainda da tempo.\\nFique com Deus e sucesso no trabalho ai.\\n\\nNa torcida por qualquer coisa menos PT', 'authorDisplayName': 'Washington Andrade', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMQvxg4BGNEubOxH3MrHSUWMJ2nZtxFybqdgCFl6Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJqJFg2i86n1Pr3dFlfTuPg', 'authorChannelId': {'value': 'UCJqJFg2i86n1Pr3dFlfTuPg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T10:31:01Z', 'updatedAt': '2022-10-30T10:31:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCJqJFg2i86n1Pr3dFlfTuPg,2022-10-30T10:31:01Z,"Kim Torço muito e confio que um dia vc chegará a presidencia da republica.
Mas hj estou desapontado com a sua posição de votar nulo... vcs nasceram fazendo oposição ao desastre que é o PT, e hj nao votar contra eles me deixou desapontado.
Espero que mude de ideia e corra atras q ainda da tempo.
Fique com Deus e sucesso no trabalho ai.

Na torcida por qualquer coisa menos PT",QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,bpaVESwu-Pgdj3QI58mpqPPD6bs,UgwYO34y9q-8GVK0lbF4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ch20cHJ445Ss1rFidKwt9NZsUBU', 'id': 'UgwYO34y9q-8GVK0lbF4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Não deixem o Kim rir pelo amorr', 'textOriginal': 'Não deixem o Kim rir pelo amorr', 'authorDisplayName': 'hood hood', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN4BM7pSPUjESj05F5XL9zLjdY4-inGf74UUA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCQqo_07mpr6eW0sdrpIe4xA', 'authorChannelId': {'value': 'UCQqo_07mpr6eW0sdrpIe4xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-10-30T00:46:50Z', 'updatedAt': '2022-10-30T00:46:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCQqo_07mpr6eW0sdrpIe4xA,2022-10-30T00:46:50Z,Não deixem o Kim rir pelo amorr,QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,wzw93lBpKecATI3OE931SoT0h_M,UgyUf0aGP71KOIX7Rh94AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5N5wmDfvBkpKE_NUxGwQXDpxyDA', 'id': 'UgyUf0aGP71KOIX7Rh94AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Os 2 piores candidatos disputando a eleição para presidente do país...', 'textOriginal': 'Os 2 piores candidatos disputando a eleição para presidente do país...', 'authorDisplayName': 'Sueli Souza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPYHZJXnEt5zsG25gBLAXE35W7pefKas9Oj2Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9xAiP8Dh0QqaikXB9Ls4ww', 'authorChannelId': {'value': 'UC9xAiP8Dh0QqaikXB9Ls4ww'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T00:38:11Z', 'updatedAt': '2022-10-30T00:38:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC9xAiP8Dh0QqaikXB9Ls4ww,2022-10-30T00:38:11Z,Os 2 piores candidatos disputando a eleição para presidente do país...,QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,Wl1iDO_K10sZjS3gmfeSRlPgmas,UgwesK80BY7njMJwTid4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NmZk2naqgQh5UUkQx3ra6Kvu9sg', 'id': 'UgwesK80BY7njMJwTid4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Durante esses dias venho pensando se vale a pena votar em 2022, decidi q vale e vou explicar para quem sabe ajudar alguém! Bolsonaro durante todo o mandato recebeu um bombardeio de críticas, justas e injustas, é vdd que reagiu muito mal a algumas delas atacando jornalistas, mas não saiu por aí censurando as pessoas. Lula nem chegou ao poder e iniciou a caça as bruxas censurando influenciadores, emissoras e até proibiu plataforma de streaming a exibir documentários! Ainda que Bolsonaro não seja o ideal e nem tampouco santo, prefiro continuar cobrando, criticando e até xingando ele... Do que ser perseguida e ver toda a mídia aparelhada não permitindo que informações seguras cheguem aos cidadãos... Será o início da perpetuação no poder!  Bolsonaro só tem mais 4 anos e prefiro garantir que em 2026 poderei escolher novamente e exercer o direito de cidadania, se o PT chegar é bem possível que isso não ocorra! Vou de 22! É o jeito 🇧🇷🇧🇷🇧🇷', 'textOriginal': 'Durante esses dias venho pensando se vale a pena votar em 2022, decidi q vale e vou explicar para quem sabe ajudar alguém! Bolsonaro durante todo o mandato recebeu um bombardeio de críticas, justas e injustas, é vdd que reagiu muito mal a algumas delas atacando jornalistas, mas não saiu por aí censurando as pessoas. Lula nem chegou ao poder e iniciou a caça as bruxas censurando influenciadores, emissoras e até proibiu plataforma de streaming a exibir documentários! Ainda que Bolsonaro não seja o ideal e nem tampouco santo, prefiro continuar cobrando, criticando e até xingando ele... Do que ser perseguida e ver toda a mídia aparelhada não permitindo que informações seguras cheguem aos cidadãos... Será o início da perpetuação no poder!  Bolsonaro só tem mais 4 anos e prefiro garantir que em 2026 poderei escolher novamente e exercer o direito de cidadania, se o PT chegar é bem possível que isso não ocorra! Vou de 22! É o jeito 🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Giovana Reis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP8Mu2oKVfk1oIEudMKPkDJUJvAFq9UGXo4GBNAGGw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCmyBw8r5Hb3_v-LCfEgMwCA', 'authorChannelId': {'value': 'UCmyBw8r5Hb3_v-LCfEgMwCA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 5, 'publishedAt': '2022-10-30T00:01:58Z', 'updatedAt': '2022-10-30T00:01:58Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '_WZYkCs_rlnTgy2cMFNgaDPAyUo', 'id': 'UgwesK80BY7njMJwTid4AaABAg.9hmnLpGF2lW9hn_i4QjPlc', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'como ele censurou alguém sendo que ele ainda é candidato a presidente e quem é o governo agora é o bolsonaro  ?', 'textOriginal': 'como ele censurou alguém sendo que ele ainda é candidato a presidente e quem é o governo agora é o bolsonaro  ?', 'parentId': 'UgwesK80BY7njMJwTid4AaABAg', 'authorDisplayName': 'Vieira away', 'authorProfileImageUrl': 'https://yt3.ggpht.com/HY1U9Aw9DpAfTT0FLTIkcvDbL8XmuvYZiF5jlqy5LYAcGgD6SDj4yav6OznqmZFQdyV3Cf_a=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUgYP2rN9Zjt48aAMPGLlhw', 'authorChannelId': {'value': 'UCUgYP2rN9Zjt48aAMPGLlhw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T07:22:03Z', 'updatedAt': '2022-10-30T07:22:03Z'}}]}",UCmyBw8r5Hb3_v-LCfEgMwCA,2022-10-30T00:01:58Z,"Durante esses dias venho pensando se vale a pena votar em 2022, decidi q vale e vou explicar para quem sabe ajudar alguém! Bolsonaro durante todo o mandato recebeu um bombardeio de críticas, justas e injustas, é vdd que reagiu muito mal a algumas delas atacando jornalistas, mas não saiu por aí censurando as pessoas. Lula nem chegou ao poder e iniciou a caça as bruxas censurando influenciadores, emissoras e até proibiu plataforma de streaming a exibir documentários! Ainda que Bolsonaro não seja o ideal e nem tampouco santo, prefiro continuar cobrando, criticando e até xingando ele... Do que ser perseguida e ver toda a mídia aparelhada não permitindo que informações seguras cheguem aos cidadãos... Será o início da perpetuação no poder!  Bolsonaro só tem mais 4 anos e prefiro garantir que em 2026 poderei escolher novamente e exercer o direito de cidadania, se o PT chegar é bem possível que isso não ocorra! Vou de 22! É o jeito 🇧🇷🇧🇷🇧🇷",QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,jO2d_Efdi5WucQGEI9BYljKT3V4,UgwHJ6dwN2GqC2n9oaF4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ygOGsUQ8M-KLe3XyM9myVn0agug', 'id': 'UgwHJ6dwN2GqC2n9oaF4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'O Marginal querendo aparecer como político?<br>Assédio eleitoral é crime morais?<br>Querendo forçar dois CRIMINOSos Ladrões de lancheira se falar a verdade de tido como CRIMINOSo desgraça?<br>E o pior ainda, quer forçar o tráfico de drogas no país e vem com papo furado de assédio é crime.👍<br>Tráfico de drogas não é não marginal?', 'textOriginal': 'O Marginal querendo aparecer como político?\\nAssédio eleitoral é crime morais?\\nQuerendo forçar dois CRIMINOSos Ladrões de lancheira se falar a verdade de tido como CRIMINOSo desgraça?\\nE o pior ainda, quer forçar o tráfico de drogas no país e vem com papo furado de assédio é crime.👍\\nTráfico de drogas não é não marginal?', 'authorDisplayName': 'Izaq Noob', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOiNXZNSwhhELgzDCmCMPryeaqZnF7LmuGGuEOI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-K0pQo4HP0IjwDc65X4Zng', 'authorChannelId': {'value': 'UC-K0pQo4HP0IjwDc65X4Zng'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T23:35:44Z', 'updatedAt': '2022-10-29T23:35:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-K0pQo4HP0IjwDc65X4Zng,2022-10-29T23:35:44Z,"O Marginal querendo aparecer como político?
Assédio eleitoral é crime morais?
Querendo forçar dois CRIMINOSos Ladrões de lancheira se falar a verdade de tido como CRIMINOSo desgraça?
E o pior ainda, quer forçar o tráfico de drogas no país e vem com papo furado de assédio é crime.👍
Tráfico de drogas não é não marginal?",QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
youtube#commentThread,DM5cgpDZFOgVrL1_Nz0m9B5WV10,UgzQlILqI6C6SSbApJF4AaABAg,"{'videoId': 'Ae7_0idSK_4', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6KXzUT5n-Q8lLYgH2w5p6cWVI3Y', 'id': 'UgzQlILqI6C6SSbApJF4AaABAg', 'snippet': {'videoId': 'Ae7_0idSK_4', 'textDisplay': 'Estão pagando quanto do fundo eleitoral para este pilantra do TSE está parecendo na tv como se fosse político?<br>Tá querendo aparecer é morais?', 'textOriginal': 'Estão pagando quanto do fundo eleitoral para este pilantra do TSE está parecendo na tv como se fosse político?\\nTá querendo aparecer é morais?', 'authorDisplayName': 'Izaq Noob', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOiNXZNSwhhELgzDCmCMPryeaqZnF7LmuGGuEOI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-K0pQo4HP0IjwDc65X4Zng', 'authorChannelId': {'value': 'UC-K0pQo4HP0IjwDc65X4Zng'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T23:33:22Z', 'updatedAt': '2022-10-29T23:33:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-K0pQo4HP0IjwDc65X4Zng,2022-10-29T23:33:22Z,"Estão pagando quanto do fundo eleitoral para este pilantra do TSE está parecendo na tv como se fosse político?
Tá querendo aparecer é morais?",QURTSl9pMFhiV1ZRYzlOVzVhLU1ieEE5VG81M1VIc3FKNXFMZzZpdjdEcnU0bnA0VXNieXRIUFpPSm1QTmE1SWVoel90Y3gza21NanpLRQ==,2023-06-09 03:59:59.791346
