kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,Lpu5ujUdjzaquNc6hy9dosUl5JA,Ugz1o2iJtqTfqIwToZ54AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lHlx_bQZ8m3_P9eWPxOrKs0N2mo', 'id': 'Ugz1o2iJtqTfqIwToZ54AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Que vergonha desses dois.', 'textOriginal': 'Que vergonha desses dois.', 'authorDisplayName': 'M M', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOlzZ7gsqZd_5P7Kc1Txdv4z-saTECQ4BjhAXfJpm8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUByg8ttuigxJx6KCTcvI4A', 'authorChannelId': {'value': 'UCUByg8ttuigxJx6KCTcvI4A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-05T00:44:37Z', 'updatedAt': '2023-06-05T00:44:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUByg8ttuigxJx6KCTcvI4A,2023-06-05T00:44:37Z,Que vergonha desses dois.,QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,q1gaxh2TQ1P2Kuo-CD5fhZFmcnk,UgzJzx2VVH6sIEsRyx14AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'KUc3ALaH2kprBpyIUFGDjuy_gjA', 'id': 'UgzJzx2VVH6sIEsRyx14AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'A mongolide quer comparar pobreza na venezuela com EUA kkkk mds famosa comunista do iphone fala nada com nada', 'textOriginal': 'A mongolide quer comparar pobreza na venezuela com EUA kkkk mds famosa comunista do iphone fala nada com nada', 'authorDisplayName': 'Marcos Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO-4Ec3dd563zn0_4GQhhEEUS_diAWcO10uyJ3clJ3lhJQ4kepEleMLxV3AUQhw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3Yq7sq9Io6R6E2WTtch3cA', 'authorChannelId': {'value': 'UC3Yq7sq9Io6R6E2WTtch3cA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-03T01:04:28Z', 'updatedAt': '2023-05-03T01:04:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3Yq7sq9Io6R6E2WTtch3cA,2023-05-03T01:04:28Z,A mongolide quer comparar pobreza na venezuela com EUA kkkk mds famosa comunista do iphone fala nada com nada,QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,gSGJ4Z5C5jYDvZWQVTYxy2TM5Ug,UgxrCnZ9rjK4h39bODF4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'C3G4ylVftnVx86X14iUNCoP_jTI', 'id': 'UgxrCnZ9rjK4h39bODF4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Pelomenos aki da pedir comida um axilio, hi em cuba que racionão a comida eo povo tratado igual um porco kkk vai cagar menina 😂😂', 'textOriginal': 'Pelomenos aki da pedir comida um axilio, hi em cuba que racionão a comida eo povo tratado igual um porco kkk vai cagar menina 😂😂', 'authorDisplayName': 'Marcos Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO-4Ec3dd563zn0_4GQhhEEUS_diAWcO10uyJ3clJ3lhJQ4kepEleMLxV3AUQhw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3Yq7sq9Io6R6E2WTtch3cA', 'authorChannelId': {'value': 'UC3Yq7sq9Io6R6E2WTtch3cA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-03T01:00:25Z', 'updatedAt': '2023-05-03T01:00:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3Yq7sq9Io6R6E2WTtch3cA,2023-05-03T01:00:25Z,"Pelomenos aki da pedir comida um axilio, hi em cuba que racionão a comida eo povo tratado igual um porco kkk vai cagar menina 😂😂",QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,ffegkKdNM76vuY41BLTWDFxcHzA,Ugw6lrfU0Bz_G9WK3hZ4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tIZ4sk8dDD2Lk639jHkUauPO7Gc', 'id': 'Ugw6lrfU0Bz_G9WK3hZ4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Laura é de Ribeirão das Neves? Uai, pertinho daqui de Contagem', 'textOriginal': 'Laura é de Ribeirão das Neves? Uai, pertinho daqui de Contagem', 'authorDisplayName': 'Wally Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOrhLYwpyp5R1SWvUa14NkpXbRQxjlUYMRVXQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC22DdQtO8FXdZXLWSDdi9IQ', 'authorChannelId': {'value': 'UC22DdQtO8FXdZXLWSDdi9IQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-04T01:59:14Z', 'updatedAt': '2023-04-04T01:59:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC22DdQtO8FXdZXLWSDdi9IQ,2023-04-04T01:59:14Z,"Laura é de Ribeirão das Neves? Uai, pertinho daqui de Contagem",QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,3B2pa-oBbEtl9E0hJoDNtyh0Zgo,UgySwSxOb9aAWh4vlx54AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JsO7J-_jyjg3zBGgiOwWtpIzpQw', 'id': 'UgySwSxOb9aAWh4vlx54AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Se estao falando da Venezuela deveriam chamar Venezuelanos que estao morando no Brasil para contar a historia do que porque estao morando aqui.', 'textOriginal': 'Se estao falando da Venezuela deveriam chamar Venezuelanos que estao morando no Brasil para contar a historia do que porque estao morando aqui.', 'authorDisplayName': 'Rancho em SC', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOouEPHYTQqSsyIT6FxZZsSb2AHEBMjmwrXVOWc_YjKF6Ez0oELMF6kdtrw4O8h=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzo3bo8BJ6PSfNon45ELidQ', 'authorChannelId': {'value': 'UCzo3bo8BJ6PSfNon45ELidQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-01T11:55:54Z', 'updatedAt': '2023-04-01T11:55:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCzo3bo8BJ6PSfNon45ELidQ,2023-04-01T11:55:54Z,Se estao falando da Venezuela deveriam chamar Venezuelanos que estao morando no Brasil para contar a historia do que porque estao morando aqui.,QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,Q249GOTvkjbt4unrVCbPZAEhd3c,UgwijbXPqlI5N_NMfCN4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Ca6xiUzg_nDCazMA8UHzKCCbvOE', 'id': 'UgwijbXPqlI5N_NMfCN4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'ESSA GURIA É MUITO TONTA E BURRA, SÉRIO VÉIO, VENEZUELA É BOM DE MORAR, EU JÁ FALEI COM UMA VENEZUELANA NA ACADEMIA E ELA ME DISSE QUE, QUANTO MAIS LONGE DA VENEZUELA ELES ESTIVEREM, SERÁ MELHOR, AS PESSOAS QUE ENTRAM POR RORAIMA, FUGINDO DA VENEZUELA ESTÃO MENTINDO ENTÃO, OLHA, VOCÊS SÃO MUITO MAU CARACTERES, QUE NOJO DE GENTE MENTIROSA.', 'textOriginal': 'ESSA GURIA É MUITO TONTA E BURRA, SÉRIO VÉIO, VENEZUELA É BOM DE MORAR, EU JÁ FALEI COM UMA VENEZUELANA NA ACADEMIA E ELA ME DISSE QUE, QUANTO MAIS LONGE DA VENEZUELA ELES ESTIVEREM, SERÁ MELHOR, AS PESSOAS QUE ENTRAM POR RORAIMA, FUGINDO DA VENEZUELA ESTÃO MENTINDO ENTÃO, OLHA, VOCÊS SÃO MUITO MAU CARACTERES, QUE NOJO DE GENTE MENTIROSA.', 'authorDisplayName': 'JOEL B.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNpABlpkN94orsdc2DexVNHpynDyEWc1IBElyWWDg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCI7cRqIjeNjEpOw1GBIA6PQ', 'authorChannelId': {'value': 'UCI7cRqIjeNjEpOw1GBIA6PQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-27T11:01:38Z', 'updatedAt': '2023-03-27T11:01:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCI7cRqIjeNjEpOw1GBIA6PQ,2023-03-27T11:01:38Z,"ESSA GURIA É MUITO TONTA E BURRA, SÉRIO VÉIO, VENEZUELA É BOM DE MORAR, EU JÁ FALEI COM UMA VENEZUELANA NA ACADEMIA E ELA ME DISSE QUE, QUANTO MAIS LONGE DA VENEZUELA ELES ESTIVEREM, SERÁ MELHOR, AS PESSOAS QUE ENTRAM POR RORAIMA, FUGINDO DA VENEZUELA ESTÃO MENTINDO ENTÃO, OLHA, VOCÊS SÃO MUITO MAU CARACTERES, QUE NOJO DE GENTE MENTIROSA.",QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,EYhCu6AdB9g_d4ozeGT2Jmf3RsA,UgyyRoqPAwBsizuoDTJ4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9zwUsokCCsMqgSv2-4tJPOC6dzY', 'id': 'UgyyRoqPAwBsizuoDTJ4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Inacreditável esse vídeo… essa menina ta realmente comparando EUA com Venezuela? E chegando a conclusão q Venezuela é melhor?… milhões de Venezuelanos fugindo a pé da Venezuela para os EUA… pq esse pessoal ai do vídeo que ela mostrou não estão fugindo para a Venezuela??? Em que mundo esse povo vive? Totalmente desconexos da realidade!!!', 'textOriginal': 'Inacreditável esse vídeo… essa menina ta realmente comparando EUA com Venezuela? E chegando a conclusão q Venezuela é melhor?… milhões de Venezuelanos fugindo a pé da Venezuela para os EUA… pq esse pessoal ai do vídeo que ela mostrou não estão fugindo para a Venezuela??? Em que mundo esse povo vive? Totalmente desconexos da realidade!!!', 'authorDisplayName': 'thiago castro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOuR7NgUccaeS1eY_YpK6VJpEQYzblTiXrw3hvoMsc6P5rT8ozdlaRg_vpLudCS=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7rjWjnhUN_n-j8BO81kOQQ', 'authorChannelId': {'value': 'UC7rjWjnhUN_n-j8BO81kOQQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-22T06:10:04Z', 'updatedAt': '2023-03-22T06:10:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7rjWjnhUN_n-j8BO81kOQQ,2023-03-22T06:10:04Z,Inacreditável esse vídeo… essa menina ta realmente comparando EUA com Venezuela? E chegando a conclusão q Venezuela é melhor?… milhões de Venezuelanos fugindo a pé da Venezuela para os EUA… pq esse pessoal ai do vídeo que ela mostrou não estão fugindo para a Venezuela??? Em que mundo esse povo vive? Totalmente desconexos da realidade!!!,QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,SI4m-tcqt1QclYwLx3KzoWr6r5U,UgwgpLNSyXUruNUMfQV4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'aW4nrK4RcxiUwODC_-5OG9bd7rQ', 'id': 'UgwgpLNSyXUruNUMfQV4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'E os venezuelanos que estão fugindo para o Brasil?', 'textOriginal': 'E os venezuelanos que estão fugindo para o Brasil?', 'authorDisplayName': 'Luiz F. Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNNmsm-UWm0u2VqLjsGBUtv0OSs3hmw6wkoUDeuOQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfhhY4C6b0QVEjOTtu5fEhg', 'authorChannelId': {'value': 'UCfhhY4C6b0QVEjOTtu5fEhg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-28T16:29:52Z', 'updatedAt': '2023-02-28T16:29:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfhhY4C6b0QVEjOTtu5fEhg,2023-02-28T16:29:52Z,E os venezuelanos que estão fugindo para o Brasil?,QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,aeUah_7PXVHFh4bpidi-URGyWP4,UgzPBVyjc1lRNhCgGUp4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'A_owPeV6EWIoU-eZCpLUmRYeJG8', 'id': 'UgzPBVyjc1lRNhCgGUp4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Onde já se viu, claro que Cuba e Venezuela são países mais desenvolvidos que os Estados Unidos.<br>kkkkkkk<br>vocês tão de brincation to me, né!', 'textOriginal': 'Onde já se viu, claro que Cuba e Venezuela são países mais desenvolvidos que os Estados Unidos.\\nkkkkkkk\\nvocês tão de brincation to me, né!', 'authorDisplayName': 'Luiz F. Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNNmsm-UWm0u2VqLjsGBUtv0OSs3hmw6wkoUDeuOQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfhhY4C6b0QVEjOTtu5fEhg', 'authorChannelId': {'value': 'UCfhhY4C6b0QVEjOTtu5fEhg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-28T16:22:21Z', 'updatedAt': '2023-02-28T16:22:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfhhY4C6b0QVEjOTtu5fEhg,2023-02-28T16:22:21Z,"Onde já se viu, claro que Cuba e Venezuela são países mais desenvolvidos que os Estados Unidos.
kkkkkkk
vocês tão de brincation to me, né!",QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
youtube#commentThread,zeFT33IAYk0-zw3rHre5K2iWR0I,UgyCxfN9yxvv8-fWcqJ4AaABAg,"{'videoId': 'rppZVZT16i0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_i90CwmYHpuvQIIMfudOXPJ1938', 'id': 'UgyCxfN9yxvv8-fWcqJ4AaABAg', 'snippet': {'videoId': 'rppZVZT16i0', 'textDisplay': 'Eu acho que eu já vi essa mina aí a bolsonarista, vi em um vídeo dela falando que a comunidade LGBTetc apoiava o estupro de animais, foi umas das coisas mais repugnantes que eu já vi na internet', 'textOriginal': 'Eu acho que eu já vi essa mina aí a bolsonarista, vi em um vídeo dela falando que a comunidade LGBTetc apoiava o estupro de animais, foi umas das coisas mais repugnantes que eu já vi na internet', 'authorDisplayName': 'Idajo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/AmzS0gxhkqLiJJc0_whAw8xw9uteKHFoGK4QnTooTob0jOxqoGlorwmMkG2jHOT71BH4Nm3fYz4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfNwAN8ZMmbbvpGVkYUvZOg', 'authorChannelId': {'value': 'UCfNwAN8ZMmbbvpGVkYUvZOg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-27T14:25:12Z', 'updatedAt': '2023-02-27T14:25:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfNwAN8ZMmbbvpGVkYUvZOg,2023-02-27T14:25:12Z,"Eu acho que eu já vi essa mina aí a bolsonarista, vi em um vídeo dela falando que a comunidade LGBTetc apoiava o estupro de animais, foi umas das coisas mais repugnantes que eu já vi na internet",QURTSl9pMXloXzhrcnJNT1QtblJDTng0NU1LQ1RxeS1odzFCOE41WldScERuTmVyUGRiZk12N0YyeW4yYWxKTlplbjdCaEVWcTcydlBRUQ==,2023-06-09 04:08:45.863684
