kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,TKYK65fTB1ZNdeR35dUlf3zBBxQ,UgxEMUhlQq51kgnEbiN4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'VjiqbjivAO1yXfEWUIM-MddHUy0', 'id': 'UgxEMUhlQq51kgnEbiN4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'São 30 anos de pesadelos.', 'textOriginal': 'São 30 anos de pesadelos.', 'authorDisplayName': 'ILIDIO FIGUEIREDO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOZFNS36I2r_gKJA_1K8aEyMAvCKGUEXY2qhtLF=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2K24CzaV5QjChheLEk3z8A', 'authorChannelId': {'value': 'UC2K24CzaV5QjChheLEk3z8A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-10T22:00:41Z', 'updatedAt': '2023-02-10T22:00:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2K24CzaV5QjChheLEk3z8A,2023-02-10T22:00:41Z,São 30 anos de pesadelos.,QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,EBxaWx_CKl0S_ktciGDObkk5dJo,UgwSgW74ZHs_2V4DZFd4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ymT6bsQ-fK3uqzvvBxbTcZzKFtM', 'id': 'UgwSgW74ZHs_2V4DZFd4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'Onde tem miséria e rouba pode ter certeza q a esquerda tá envolvida', 'textOriginal': 'Onde tem miséria e rouba pode ter certeza q a esquerda tá envolvida', 'authorDisplayName': 'Fábio Araujo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPovNd7F-18cimeL_jAiDDZhaxEETt-eAuasA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4-CBrPWfEYdThLjOtoLtOA', 'authorChannelId': {'value': 'UC4-CBrPWfEYdThLjOtoLtOA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-23T17:26:00Z', 'updatedAt': '2022-12-23T17:26:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4-CBrPWfEYdThLjOtoLtOA,2022-12-23T17:26:00Z,Onde tem miséria e rouba pode ter certeza q a esquerda tá envolvida,QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,YtxRO7jt7qTmVZzrz5mS4p2qs6g,Ugw0cNeBbU080lffsT54AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ol6j2hExPhG2op3aKSmGFvFAw_4', 'id': 'Ugw0cNeBbU080lffsT54AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'Conquiste mais um voto, mas também...\\r<br>Para os espirituais, orem, jejuem, clamem ao SENHOR. Há uma guerra espiritual acontecendo nas eleições..\\r<br>Supliquem a DEUS. Assim como foi à 4 anos, ajoelhem nas ruas ou se ajuntem em oração nos supermercados.\\r<br>Peçam a vitória ao SENH0R que tem todo o Poder sobre tudo:    \\r<br> \\r<br>\\r<br>As trevas se uniram, trabalham e sacrificam para o Lula. Não se envergonhem povo de DEUS de clama-lo onde estiverem\\r<br>Não peçam vingança, peçam misericórdia e providência de DEUS; \\r<br>2 Crônicas <a href=""https://www.youtube.com/watch?v=kMILEtnZmWM&amp;t=7m14s"">7:14</a>\\r<br>Se o povo de DEUS, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus o ouvirei, perdoarei o seu pecado e curarei a sua terra.\\r<br>\\r<br>Se você não é espiritual ou não entende fique em paz.<br>.,,}°', 'textOriginal': 'Conquiste mais um voto, mas também...\\r\\nPara os espirituais, orem, jejuem, clamem ao SENHOR. Há uma guerra espiritual acontecendo nas eleições..\\r\\nSupliquem a DEUS. Assim como foi à 4 anos, ajoelhem nas ruas ou se ajuntem em oração nos supermercados.\\r\\nPeçam a vitória ao SENH0R que tem todo o Poder sobre tudo:    \\r\\n \\r\\n\\r\\nAs trevas se uniram, trabalham e sacrificam para o Lula. Não se envergonhem povo de DEUS de clama-lo onde estiverem\\r\\nNão peçam vingança, peçam misericórdia e providência de DEUS; \\r\\n2 Crônicas 7:14\\r\\nSe o povo de DEUS, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus o ouvirei, perdoarei o seu pecado e curarei a sua terra.\\r\\n\\r\\nSe você não é espiritual ou não entende fique em paz.\\n.,,}°', 'authorDisplayName': 'ffformigari', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP665rfawAggAj4sPnzWJ2E4JIySJtHpTaHLGe2vA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwGWgaA2w0tWO9O0nG-of8A', 'authorChannelId': {'value': 'UCwGWgaA2w0tWO9O0nG-of8A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T12:50:27Z', 'updatedAt': '2022-10-16T12:50:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwGWgaA2w0tWO9O0nG-of8A,2022-10-16T12:50:27Z,"Conquiste mais um voto, mas também...
Para os espirituais, orem, jejuem, clamem ao SENHOR. Há uma guerra espiritual acontecendo nas eleições..
Supliquem a DEUS. Assim como foi à 4 anos, ajoelhem nas ruas ou se ajuntem em oração nos supermercados.
Peçam a vitória ao SENH0R que tem todo o Poder sobre tudo:    
 

As trevas se uniram, trabalham e sacrificam para o Lula. Não se envergonhem povo de DEUS de clama-lo onde estiverem
Não peçam vingança, peçam misericórdia e providência de DEUS; 
2 Crônicas 7:14
Se o povo de DEUS, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus o ouvirei, perdoarei o seu pecado e curarei a sua terra.

Se você não é espiritual ou não entende fique em paz.
.,,}°",QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,al_JdL4cRGAzaIE9cn5xOpCtM6w,UgwdenQUfNHivYHQcRZ4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NZjz2RHUEGcCrSPs9lyEV7XTh6c', 'id': 'UgwdenQUfNHivYHQcRZ4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'A QUADRILHA ESTA SE ARRUMANDO PARA VOLTAR PRA ASSALTAR ALAGOAS <br>RENAN QUERIA TROCAR A SUPERINTENDÊNCIA DA PF EM ALAGOAS...PORQUE?????<br>TAI A RESPOSTA...<br>ACORDEMMMMM ALAGOANOS', 'textOriginal': 'A QUADRILHA ESTA SE ARRUMANDO PARA VOLTAR PRA ASSALTAR ALAGOAS \\nRENAN QUERIA TROCAR A SUPERINTENDÊNCIA DA PF EM ALAGOAS...PORQUE?????\\nTAI A RESPOSTA...\\nACORDEMMMMM ALAGOANOS', 'authorDisplayName': 'Marcos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMSap2sMRZDaa6KG4z80mM_dU5YSSf9UQgiWFC8WQI2N0__S7erhuq77OLUVUwR=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8L0xRtd9-86y3yfF6QW1xw', 'authorChannelId': {'value': 'UC8L0xRtd9-86y3yfF6QW1xw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T02:10:18Z', 'updatedAt': '2022-10-16T02:12:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8L0xRtd9-86y3yfF6QW1xw,2022-10-16T02:10:18Z,"A QUADRILHA ESTA SE ARRUMANDO PARA VOLTAR PRA ASSALTAR ALAGOAS 
RENAN QUERIA TROCAR A SUPERINTENDÊNCIA DA PF EM ALAGOAS...PORQUE?????
TAI A RESPOSTA...
ACORDEMMMMM ALAGOANOS",QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,Ti90XcHX7neQJsy5QBfkXYH_rCc,Ugw1oo55FszXovxhqnd4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uMXYkgChXRY34xGpTS-VesNr4rY', 'id': 'Ugw1oo55FszXovxhqnd4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'Deus  nós  livre  dele', 'textOriginal': 'Deus  nós  livre  dele', 'authorDisplayName': 'Feancisco delbaldo de sousa Sousa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMmxv7ZSqkTKMHKqjKSUERC-e0czd7zszmtFA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC5UOAsOCFp32T1e4sp3Yieg', 'authorChannelId': {'value': 'UC5UOAsOCFp32T1e4sp3Yieg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T15:29:22Z', 'updatedAt': '2022-10-15T15:29:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC5UOAsOCFp32T1e4sp3Yieg,2022-10-15T15:29:22Z,Deus  nós  livre  dele,QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,XUABV6F_6ZaUSVoHqEOGrpDJLHA,Ugz6poNA7ksxwgKAQaZ4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ndnB-HE78qnUa5hdM3J7-4CRX5I', 'id': 'Ugz6poNA7ksxwgKAQaZ4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'A cleptocracia quer voltar ao poder, com o nine finghers. Mas, não voltará. O Brasil, sim, vencerá. Brasil Acima de Tudo. Deus Acima de Todos 🇧🇷🇧🇷🇧🇷🙏🏻🙏🏻🙏🏻', 'textOriginal': 'A cleptocracia quer voltar ao poder, com o nine finghers. Mas, não voltará. O Brasil, sim, vencerá. Brasil Acima de Tudo. Deus Acima de Todos 🇧🇷🇧🇷🇧🇷🙏🏻🙏🏻🙏🏻', 'authorDisplayName': 'Reinaldo Gomes Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM7PKLyuLS2dIWjrkVDZ8c3TLYdGq7HrxM0OM1N5w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-zgzfFiqS9PZkWZIEBd2Kg', 'authorChannelId': {'value': 'UC-zgzfFiqS9PZkWZIEBd2Kg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T20:37:16Z', 'updatedAt': '2022-10-12T20:37:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-zgzfFiqS9PZkWZIEBd2Kg,2022-10-12T20:37:16Z,"A cleptocracia quer voltar ao poder, com o nine finghers. Mas, não voltará. O Brasil, sim, vencerá. Brasil Acima de Tudo. Deus Acima de Todos 🇧🇷🇧🇷🇧🇷🙏🏻🙏🏻🙏🏻",QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,OlTSYRy9Q8dGkTubfSwUiShl8gs,Ugx7HTRMKcN7uMUFBcF4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'P4sLpwEYXWCilc6L2Y2DB9Ofikw', 'id': 'Ugx7HTRMKcN7uMUFBcF4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'Só chegar no stf que vira pizza.', 'textOriginal': 'Só chegar no stf que vira pizza.', 'authorDisplayName': 'Henrique Costa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN7CQhJ_vn8sRyBZetoq4wgI2xj8R02th2GPA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFYVzTk61Vkg_ewzqbV_tyQ', 'authorChannelId': {'value': 'UCFYVzTk61Vkg_ewzqbV_tyQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T16:31:26Z', 'updatedAt': '2022-10-12T16:31:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFYVzTk61Vkg_ewzqbV_tyQ,2022-10-12T16:31:26Z,Só chegar no stf que vira pizza.,QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,xA_qpEAC7GmQaM2e8O7D2MlcmQQ,Ugx7a9Qw0pazwpvBNa14AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4YpBYYVDSRps1HnzpS5qVXp7IDc', 'id': 'Ugx7a9Qw0pazwpvBNa14AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'E um absurdo algo demoníaco  mais em Deus venceremos amém', 'textOriginal': 'E um absurdo algo demoníaco  mais em Deus venceremos amém', 'authorDisplayName': 'Maria De Lourdes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMG_qIsi1pcbbr80nnzngXSSgfiecldYURIpA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkkwBTzhGhLK773pOlb77Fw', 'authorChannelId': {'value': 'UCkkwBTzhGhLK773pOlb77Fw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T14:52:02Z', 'updatedAt': '2022-10-12T14:52:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkkwBTzhGhLK773pOlb77Fw,2022-10-12T14:52:02Z,E um absurdo algo demoníaco  mais em Deus venceremos amém,QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,LwBVUKwwQ6Akv0wSoAaUl3RdirQ,Ugx4VAYMgx6JF2ArRdJ4AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'E7bBeKqS32c3ZKAHxQ4YRdsuzBM', 'id': 'Ugx4VAYMgx6JF2ArRdJ4AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'Candidato de Renan Calheiros e de Lula é alvo de operação policial, no Alagoas', 'textOriginal': 'Candidato de Renan Calheiros e de Lula é alvo de operação policial, no Alagoas', 'authorDisplayName': 'Miguel Mitoleon', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMJDuP0-wzSC0ENUz6nF27p8mLMQXmzamhuNMLn0tk=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKiMoK2NxQ6fHjo25_HSmEw', 'authorChannelId': {'value': 'UCKiMoK2NxQ6fHjo25_HSmEw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-12T14:31:13Z', 'updatedAt': '2022-10-12T14:31:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKiMoK2NxQ6fHjo25_HSmEw,2022-10-12T14:31:13Z,"Candidato de Renan Calheiros e de Lula é alvo de operação policial, no Alagoas",QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
youtube#commentThread,P0DHYVhUeNI5jel3_7a6JGffQHo,UgwCJvGu9L5abQst1E94AaABAg,"{'videoId': 'kMILEtnZmWM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9voJa-RvotC1hZIFpvbcKx_9rrA', 'id': 'UgwCJvGu9L5abQst1E94AaABAg', 'snippet': {'videoId': 'kMILEtnZmWM', 'textDisplay': 'DEUS NOS LIVRE!!!', 'textOriginal': 'DEUS NOS LIVRE!!!', 'authorDisplayName': 'Elaine Posada', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPB_crDgKJmTSEwT17E6ZnhhaEWr3eqJj2vIQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4D7XCgsYipaIMthjmdqhBg', 'authorChannelId': {'value': 'UC4D7XCgsYipaIMthjmdqhBg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T14:05:41Z', 'updatedAt': '2022-10-12T14:05:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4D7XCgsYipaIMthjmdqhBg,2022-10-12T14:05:41Z,DEUS NOS LIVRE!!!,QURTSl9pMW1aMkx4NGl6NG1zczJzb2htZlN0NWVmQ1dZeFZsVGtCd1VPZS1fSU5YTFZVTTBVSnNEUjVjYUhOaFNSNnV6QjhsYm9zcTdFRQ==,2023-06-09 04:09:12.343627
