kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,RcWs1-3TqHSkUCIMjOjmnLv2JYI,Ugxj9QteNuzUzISrI9t4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '736Az81ydfui0j8UsW5uXk5h7AM', 'id': 'Ugxj9QteNuzUzISrI9t4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Cadastre-se aqui GRATUITAMENTE:\\r<br><a href=""https://ce42hplt.sibpages.com/"">https://ce42hplt.sibpages.com/</a>', 'textOriginal': 'Cadastre-se aqui GRATUITAMENTE:\\r\\nhttps://ce42hplt.sibpages.com/', 'authorDisplayName': 'Mamaefalei', 'authorProfileImageUrl': 'https://yt3.ggpht.com/9WMPwcFWemvbJ0zwyF1BGl7MNpo7L91dX2kLCvqTCDH89ZJPJgkZ3Qi0Ui0BuORPJdkScarM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkSjy-IOEq-eMtarZl2uH1Q', 'authorChannelId': {'value': 'UCkSjy-IOEq-eMtarZl2uH1Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 149, 'publishedAt': '2022-10-26T13:05:15Z', 'updatedAt': '2022-10-26T13:05:15Z'}}, 'canReply': True, 'totalReplyCount': 35, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'HE65A02IY7lcaDasGuK_jIW8MzQ', 'id': 'Ugxj9QteNuzUzISrI9t4AaABAg.9hdtoGCzeHQ9hu_z4BeCbF', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': '@Junior Bumbum guloso não está fazendo esquema de pirâmide,  é um projeto multilevel....', 'textOriginal': '@Junior Bumbum guloso não está fazendo esquema de pirâmide,  é um projeto multilevel....', 'parentId': 'Ugxj9QteNuzUzISrI9t4AaABAg', 'authorDisplayName': 'Blue Man', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOI8fWUbF8lTnuY7Y70y80OtM-GlpHWuyVRMA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_sbixYxMeLEMDX6s87m0FA', 'authorChannelId': {'value': 'UC_sbixYxMeLEMDX6s87m0FA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T00:39:03Z', 'updatedAt': '2022-11-02T00:39:03Z'}}, {'kind': 'youtube#comment', 'etag': '5iY_giS34ZOtsQ6AFinaHd6hK-0', 'id': 'Ugxj9QteNuzUzISrI9t4AaABAg.9hdtoGCzeHQ9hiLtqXd36R', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Não deu pra cadastrar , não entra lá', 'textOriginal': 'Não deu pra cadastrar , não entra lá', 'parentId': 'Ugxj9QteNuzUzISrI9t4AaABAg', 'authorDisplayName': 'Joao Fernandes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP4kfrJIQNODLEctbf8JOX96xr6_ns2z-qytxm5UjI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChBezI6im2yoT-4YAj-hUMg', 'authorChannelId': {'value': 'UChBezI6im2yoT-4YAj-hUMg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T06:36:23Z', 'updatedAt': '2022-10-28T06:36:23Z'}}, {'kind': 'youtube#comment', 'etag': 'jCpVA-pjCthJK5dO61l04VDjnsY', 'id': 'Ugxj9QteNuzUzISrI9t4AaABAg.9hdtoGCzeHQ9hgZdV8BiAX', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': '@diego nunes em que país você está vivendo?!? PIB muito maior que o esperado, emprego caindo brutalmente, inflação caindo, estatais dando lucro gigante, receitas maiores que despesas, inflação menor que EUA, etc Não tem como o governo manipular esses números, portanto para de ser manipulado por quem quer voltar ao poder para roubar!', 'textOriginal': '@diego nunes em que país você está vivendo?!? PIB muito maior que o esperado, emprego caindo brutalmente, inflação caindo, estatais dando lucro gigante, receitas maiores que despesas, inflação menor que EUA, etc Não tem como o governo manipular esses números, portanto para de ser manipulado por quem quer voltar ao poder para roubar!', 'parentId': 'Ugxj9QteNuzUzISrI9t4AaABAg', 'authorDisplayName': 'Marcio Guedes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMdPy177YyntSm4NAZpsy8HcsbA21mxGaH6OQg-=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1d_zRCPLe-Hb29nyUGxUUg', 'authorChannelId': {'value': 'UC1d_zRCPLe-Hb29nyUGxUUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T13:58:00Z', 'updatedAt': '2022-10-27T13:58:00Z'}}, {'kind': 'youtube#comment', 'etag': 'ibefo00qgvO5XZdNN5YcRX5zf2E', 'id': 'Ugxj9QteNuzUzISrI9t4AaABAg.9hdtoGCzeHQ9hgWiCvvhQi', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': '@Marcio Guedes seu comércio aguenta mais 4 anos de Bolsonaro? Responda pra vc mesmo.', 'textOriginal': '@Marcio Guedes seu comércio aguenta mais 4 anos de Bolsonaro? Responda pra vc mesmo.', 'parentId': 'Ugxj9QteNuzUzISrI9t4AaABAg', 'authorDisplayName': 'diego nunes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOrY6tfOfcc1L2o5sphR7imvhUNxrwbsDdZjg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPeXzsblwB3155HWldr8Hjg', 'authorChannelId': {'value': 'UCPeXzsblwB3155HWldr8Hjg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T13:32:26Z', 'updatedAt': '2022-10-27T13:32:26Z'}}, {'kind': 'youtube#comment', 'etag': '4E6acAjJDn0hK5Aeqas-PHOloo4', 'id': 'Ugxj9QteNuzUzISrI9t4AaABAg.9hdtoGCzeHQ9hgV91eIIF7', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': '@diego nunes nem todo mundo aceita votar em bandido e quadrilha! Só os cúmplices como você!', 'textOriginal': '@diego nunes nem todo mundo aceita votar em bandido e quadrilha! Só os cúmplices como você!', 'parentId': 'Ugxj9QteNuzUzISrI9t4AaABAg', 'authorDisplayName': 'Marcio Guedes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMdPy177YyntSm4NAZpsy8HcsbA21mxGaH6OQg-=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1d_zRCPLe-Hb29nyUGxUUg', 'authorChannelId': {'value': 'UC1d_zRCPLe-Hb29nyUGxUUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T13:18:45Z', 'updatedAt': '2022-10-27T13:18:45Z'}}]}",UCkSjy-IOEq-eMtarZl2uH1Q,2022-10-26T13:05:15Z,"Cadastre-se aqui GRATUITAMENTE:
https://ce42hplt.sibpages.com/",QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,ZVzezKiT3_FMzES7sCscAlOGuxQ,UgzHC1bl0jzCC52m3m94AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4nydr8ikLTsJ-vOn1Pvon5oETC4', 'id': 'UgzHC1bl0jzCC52m3m94AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Lula livre porra', 'textOriginal': 'Lula livre porra', 'authorDisplayName': 'maçor eleutetio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNih_4fwnzqKdu8c3iwsPQnrbllpWL6IZJaaw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNHbJ1MwlGh6DHs3KG5g9pQ', 'authorChannelId': {'value': 'UCNHbJ1MwlGh6DHs3KG5g9pQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-15T16:59:56Z', 'updatedAt': '2022-11-15T16:59:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNHbJ1MwlGh6DHs3KG5g9pQ,2022-11-15T16:59:56Z,Lula livre porra,QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,REy0DLR5LFYKoc5DExuh7rT-SHA,UgxdHJ0sKoUT1uE6NIh4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kyBEIlA-lRheTWdib6wu6_GF5EQ', 'id': 'UgxdHJ0sKoUT1uE6NIh4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Penso wue muitos aqui, que estão metendo o pau no Presidente, não prucuraram saber as coisas boas, úteis e necessárias que o Governo fez. Penso também,  que estão a receber os R$600,00, e estão cuspindo no prato que comeram. Vc, Arthur, ressurgiu, não foi das cinzas,  e vem agora trazer esses vídeos sobre o Bebiano', 'textOriginal': 'Penso wue muitos aqui, que estão metendo o pau no Presidente, não prucuraram saber as coisas boas, úteis e necessárias que o Governo fez. Penso também,  que estão a receber os R$600,00, e estão cuspindo no prato que comeram. Vc, Arthur, ressurgiu, não foi das cinzas,  e vem agora trazer esses vídeos sobre o Bebiano', 'authorDisplayName': 'Rosely Cardoso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMqSkFjEuO2EIANxws5-Bcp17bC7eJurnKnOg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC5DMUNz4P_F3pdvRFGgS5zQ', 'authorChannelId': {'value': 'UC5DMUNz4P_F3pdvRFGgS5zQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-06T16:26:08Z', 'updatedAt': '2022-11-06T16:26:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC5DMUNz4P_F3pdvRFGgS5zQ,2022-11-06T16:26:08Z,"Penso wue muitos aqui, que estão metendo o pau no Presidente, não prucuraram saber as coisas boas, úteis e necessárias que o Governo fez. Penso também,  que estão a receber os R$600,00, e estão cuspindo no prato que comeram. Vc, Arthur, ressurgiu, não foi das cinzas,  e vem agora trazer esses vídeos sobre o Bebiano",QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,mhCI4K3intnZGUrXLlm0QZgT3Xk,Ugx4UVUDV8gj-Qors-F4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9DP4w3_6qCv2NJIK6aeKxAciDBg', 'id': 'Ugx4UVUDV8gj-Qors-F4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Sempre foi, e continua sendo, um sonho meu de que os políticos trabalhem juntos para melhorar o país e não como rivais por diferença de partido. Na corrida eleitoral o candidato A apresentaria ideias e planos para sua gestão, não desfazendo as ideias que funcionaram e nem menosprezar os seus adversários.', 'textOriginal': 'Sempre foi, e continua sendo, um sonho meu de que os políticos trabalhem juntos para melhorar o país e não como rivais por diferença de partido. Na corrida eleitoral o candidato A apresentaria ideias e planos para sua gestão, não desfazendo as ideias que funcionaram e nem menosprezar os seus adversários.', 'authorDisplayName': 'Kira99', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ou6-QROsl_Ec-Al46I3XxITCgn1IxDDgRaNt-eNWQuqGKN4gRsKIRUpI845xVCGar1sJiVQ57Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-uMbNQi9jtmHz1w0C9F2SQ', 'authorChannelId': {'value': 'UC-uMbNQi9jtmHz1w0C9F2SQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-05T18:30:42Z', 'updatedAt': '2022-11-05T18:30:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-uMbNQi9jtmHz1w0C9F2SQ,2022-11-05T18:30:42Z,"Sempre foi, e continua sendo, um sonho meu de que os políticos trabalhem juntos para melhorar o país e não como rivais por diferença de partido. Na corrida eleitoral o candidato A apresentaria ideias e planos para sua gestão, não desfazendo as ideias que funcionaram e nem menosprezar os seus adversários.",QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,ErG_3-gEQoxpz2bKY-UtOwVVm98,Ugw2u25PPRlDcPBK5rZ4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_XswWMcecOts1B8t04-XhPlqOP0', 'id': 'Ugw2u25PPRlDcPBK5rZ4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Bumbum guloso virou comentarista de telejornal....<br>Esse canal é uma piada', 'textOriginal': 'Bumbum guloso virou comentarista de telejornal....\\nEsse canal é uma piada', 'authorDisplayName': 'Blue Man', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOI8fWUbF8lTnuY7Y70y80OtM-GlpHWuyVRMA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_sbixYxMeLEMDX6s87m0FA', 'authorChannelId': {'value': 'UC_sbixYxMeLEMDX6s87m0FA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T00:41:01Z', 'updatedAt': '2022-11-02T00:41:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_sbixYxMeLEMDX6s87m0FA,2022-11-02T00:41:01Z,"Bumbum guloso virou comentarista de telejornal....
Esse canal é uma piada",QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,8ATYFez_Es4nBh8NqPaxDyrj3Qo,UgyoGcSIDIWkrb0Mb9p4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Rrw2T4h3ClZSqCoBSE2omMVzk9g', 'id': 'UgyoGcSIDIWkrb0Mb9p4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Resumindo&quot; &quot;qual a sua proposta alternativa ao regime candidato&quot;🤡', 'textOriginal': 'Resumindo"" ""qual a sua proposta alternativa ao regime candidato""🤡', 'authorDisplayName': 'Mateus Penetra', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNFApiq_-2oa13PHDyt4PXn9WgxsncXsKXFimztVw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWkoY_hCJvYhzdP8DpdDYzw', 'authorChannelId': {'value': 'UCWkoY_hCJvYhzdP8DpdDYzw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-31T23:56:56Z', 'updatedAt': '2022-10-31T23:56:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCWkoY_hCJvYhzdP8DpdDYzw,2022-10-31T23:56:56Z,"Resumindo"" ""qual a sua proposta alternativa ao regime candidato""🤡",QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,Qfsv0Lnh-bWOMuQ0PwK-PECHbXw,Ugxz0HjVRxxnXJLAbw54AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Ye9nCe-rBhtXfzbIgwPA34T7yds', 'id': 'Ugxz0HjVRxxnXJLAbw54AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Muito contador de história <br>Um verdadeiro criador de narrativas', 'textOriginal': 'Muito contador de história \\nUm verdadeiro criador de narrativas', 'authorDisplayName': 'Avelino Games', 'authorProfileImageUrl': 'https://yt3.ggpht.com/tvDCYZ5X8IfjwjCTld1UsHW_tkzAYocBqszacLKXut87CZ_fg_bRXPtVErSAo2X4HkqBO-CQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2PwDtrk3HLzWaUcEsUjTsg', 'authorChannelId': {'value': 'UC2PwDtrk3HLzWaUcEsUjTsg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-31T21:07:12Z', 'updatedAt': '2022-10-31T21:07:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2PwDtrk3HLzWaUcEsUjTsg,2022-10-31T21:07:12Z,"Muito contador de história 
Um verdadeiro criador de narrativas",QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,HPffQxsQdJ7Xy_SC4mWFTzrTc-4,UgwJa7MYDaHxmWbInsN4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hdHWKbLCqGqPkX_2fbocyksl_Os', 'id': 'UgwJa7MYDaHxmWbInsN4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Kkkkkkk mó palhaçada', 'textOriginal': 'Kkkkkkk mó palhaçada', 'authorDisplayName': 'pokemon binário', 'authorProfileImageUrl': 'https://yt3.ggpht.com/XglaxZuUICcmkxqiYtWzkN8X_ghno0JrSjX7eEqmfuHaDaG8jDeuXDxbiG5JBWXu_2_ip4bX=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2dx2yuGK0bVHatFpfJsx5g', 'authorChannelId': {'value': 'UC2dx2yuGK0bVHatFpfJsx5g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T22:29:03Z', 'updatedAt': '2022-10-29T22:29:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2dx2yuGK0bVHatFpfJsx5g,2022-10-29T22:29:03Z,Kkkkkkk mó palhaçada,QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,UY83ZX8SPXr8vyqKvRoRGXt2ETs,UgwwnyVoMXlgZ5IDJEJ4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'CAxiJNao6kp8YTBd95ln7VcBp9M', 'id': 'UgwwnyVoMXlgZ5IDJEJ4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': 'Janine falando é um cachorro vagando é a mesma coisa.', 'textOriginal': 'Janine falando é um cachorro vagando é a mesma coisa.', 'authorDisplayName': 'Me. S', 'authorProfileImageUrl': 'https://yt3.ggpht.com/OCcxYs1wWhM2cDbcYREyO8GuyH3OVJ_kghVQrzwEEgcTbz13m44h2EIa1mNpNZDOVOLQFWnTWg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChrHxaZvyZ6uWXdfbMoKfEA', 'authorChannelId': {'value': 'UChrHxaZvyZ6uWXdfbMoKfEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T17:49:25Z', 'updatedAt': '2022-10-29T17:49:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChrHxaZvyZ6uWXdfbMoKfEA,2022-10-29T17:49:25Z,Janine falando é um cachorro vagando é a mesma coisa.,QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
youtube#commentThread,OWq6WDx7LEaVKvDX5Zfmk6bYRYY,UgwIpxVmz_OhmyPbf4R4AaABAg,"{'videoId': 'vkP0z6LXBy8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SQ7lh8hp7n3OLi2a0Lll_oiw87c', 'id': 'UgwIpxVmz_OhmyPbf4R4AaABAg', 'snippet': {'videoId': 'vkP0z6LXBy8', 'textDisplay': '<a href=""https://www.youtube.com/watch?v=vkP0z6LXBy8&amp;t=11m39s"">11:39</a>', 'textOriginal': '11:39', 'authorDisplayName': 'Babuino', 'authorProfileImageUrl': 'https://yt3.ggpht.com/VTDDREJfX5KW0zWmkP1vpXWBUXl85_Oy4B8q2FgFcMk6MzSKL9z_iEHOO0dZhRDa6LCbToTrh9s=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCGcyK8kGLSG2epc_rpeFfw', 'authorChannelId': {'value': 'UCCGcyK8kGLSG2epc_rpeFfw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-28T22:51:34Z', 'updatedAt': '2022-10-28T22:51:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCGcyK8kGLSG2epc_rpeFfw,2022-10-28T22:51:34Z,11:39,QURTSl9pM0JfcHZZMXlvX0RsSGlHQVNrNWlKUl9fNXJFMDZzOTdaYnZaSWFRYml2S0FBaEVPcDBsVVRrTDhJWEozSm9TZFdvLUtBbkk5SWoxb3gwd3JuWDkzelRjcHNzRVE=,2023-06-09 04:11:07.497847
