kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,jXWtvj0hk3OjC7gHZX_glZXtnq8,Ugz1mwdtOM7JGwx_vLZ4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SHCLmSjddW_1O6JTqEvbJjhr92E', 'id': 'Ugz1mwdtOM7JGwx_vLZ4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Pelo amor de Deus não deixa a quadrilha ficar no governo 😢', 'textOriginal': 'Pelo amor de Deus não deixa a quadrilha ficar no governo 😢', 'authorDisplayName': 'Benedita Ricci', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMIJRnj92lmTj_J2fF1LyN4dsuqgFBf0PlWAQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCQzz9MSfIj3-FDKxjFWRJDw', 'authorChannelId': {'value': 'UCQzz9MSfIj3-FDKxjFWRJDw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-25T02:05:09Z', 'updatedAt': '2023-01-25T02:05:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCQzz9MSfIj3-FDKxjFWRJDw,2023-01-25T02:05:09Z,Pelo amor de Deus não deixa a quadrilha ficar no governo 😢,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,qM3d9h0iDoam-nOmDUzSKG3f32k,UgxCg1-vnpgAqmky2cB4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'RuP1dafs6ClxAfqJck22NUCi8Es', 'id': 'UgxCg1-vnpgAqmky2cB4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Qradrilh@', 'textOriginal': 'Qradrilh@', 'authorDisplayName': 'douglas machado', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOpoO68KxsmgBeUMOKa0ncDyCo4vrFWCxBe4-KzMw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9KRtPVudp_Xs7DQzK2gbnA', 'authorChannelId': {'value': 'UC9KRtPVudp_Xs7DQzK2gbnA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-05T09:57:18Z', 'updatedAt': '2023-01-05T09:57:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC9KRtPVudp_Xs7DQzK2gbnA,2023-01-05T09:57:18Z,Qradrilh@,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,jIitpaVQOTOc0ltYNZb_PiJREt0,UgxcUONPA79bcy6yXcZ4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 's_Eg4j6rBzcsSYU80hrZiclI-f8', 'id': 'UgxcUONPA79bcy6yXcZ4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Aí sim', 'textOriginal': 'Aí sim', 'authorDisplayName': 'simples e objetivo sempre', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMmlI9f47OvHuKKtdkUMRWMsjF4QTvLQj9YE4FS7dw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8hVxKF0HNaQYoGFRyHDDMA', 'authorChannelId': {'value': 'UC8hVxKF0HNaQYoGFRyHDDMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T01:56:12Z', 'updatedAt': '2022-10-26T01:56:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8hVxKF0HNaQYoGFRyHDDMA,2022-10-26T01:56:12Z,Aí sim,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,KPKLmMH8htltmZJM3yBfeD0rLag,UgwM44IW2sqOSiRAvjR4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pjlc18z-bRqXatawR7DY3nJ8NAA', 'id': 'UgwM44IW2sqOSiRAvjR4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Gosto de ti por isso!! Lembrou até de um dos erros do Bolsonaro!! Não podemos colocar NINGUÉM em pedestal e &quot;intocável&quot;!!!<br>E dentre os dois... Óbvio que o Bolsonaro é o menos pior!!!', 'textOriginal': 'Gosto de ti por isso!! Lembrou até de um dos erros do Bolsonaro!! Não podemos colocar NINGUÉM em pedestal e ""intocável""!!!\\nE dentre os dois... Óbvio que o Bolsonaro é o menos pior!!!', 'authorDisplayName': 'Douglas Saldanha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO-PRmUfuwh-UNJiSytHJ-jsW3QNVZC6mHeQg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg6J27XX3QLLPuitfmiWxTA', 'authorChannelId': {'value': 'UCg6J27XX3QLLPuitfmiWxTA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T14:19:18Z', 'updatedAt': '2022-10-25T14:19:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg6J27XX3QLLPuitfmiWxTA,2022-10-25T14:19:18Z,"Gosto de ti por isso!! Lembrou até de um dos erros do Bolsonaro!! Não podemos colocar NINGUÉM em pedestal e ""intocável""!!!
E dentre os dois... Óbvio que o Bolsonaro é o menos pior!!!",QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,MsbOcGJu57u-Qxe4-XvTjSP6Kb8,UgxT12w10evQs3JAt1F4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'guhrfc18O7EFcS6GZbo5kV3lWYc', 'id': 'UgxT12w10evQs3JAt1F4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Tenho esperança nesse cara, ele ainda é novo mas tem muito potencial!', 'textOriginal': 'Tenho esperança nesse cara, ele ainda é novo mas tem muito potencial!', 'authorDisplayName': 'Cristina Nakano', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMAxXb0Z1MD_-cDdk-lgD6ooy4AWNsvXYdd_6_RNUs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0cDhI9DVjPXEnwJKqKpO2w', 'authorChannelId': {'value': 'UC0cDhI9DVjPXEnwJKqKpO2w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T13:18:50Z', 'updatedAt': '2022-10-23T13:18:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0cDhI9DVjPXEnwJKqKpO2w,2022-10-23T13:18:50Z,"Tenho esperança nesse cara, ele ainda é novo mas tem muito potencial!",QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,ffNi1uRpiG4BRRRlycSOsmdsEnU,UgyyIuNlDcFZpxGLrC94AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'yqtvCcBir0vF0WwPrV3LIosXdmc', 'id': 'UgyyIuNlDcFZpxGLrC94AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'O BRASIL EM QUESTÃO DE SAFADEZA DE POLÍTICA E CORRUPÇÃO É A ESTRELA DE HOLLYWOOD.SÓ A INTERVENÇÃO MILITAR DA JEITO.', 'textOriginal': 'O BRASIL EM QUESTÃO DE SAFADEZA DE POLÍTICA E CORRUPÇÃO É A ESTRELA DE HOLLYWOOD.SÓ A INTERVENÇÃO MILITAR DA JEITO.', 'authorDisplayName': 'Marcos Constantino', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPS4L55MzPVvxY3lPTVGNx-5bA1y6GZxRxPPg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuQZEfYJDTx-bOKWZCwFgGQ', 'authorChannelId': {'value': 'UCuQZEfYJDTx-bOKWZCwFgGQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-23T10:55:42Z', 'updatedAt': '2022-10-23T10:55:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuQZEfYJDTx-bOKWZCwFgGQ,2022-10-23T10:55:42Z,O BRASIL EM QUESTÃO DE SAFADEZA DE POLÍTICA E CORRUPÇÃO É A ESTRELA DE HOLLYWOOD.SÓ A INTERVENÇÃO MILITAR DA JEITO.,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,eDmTTW6wOq4IKRrHTbXaplo3ehg,UgyXSofWXP94IV3TuEB4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FUoTUgrPX-IijiH6S-NqYhqmd0U', 'id': 'UgyXSofWXP94IV3TuEB4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'FATO 1: OS 8+1 CAPAS PRETAS SÃO SERVIÇAIS DO MALFEITOR LULA, QUE LHE DÃO PROTEÇÃO <br>E APANIGUAM SEUS CRIMES. FATO 2: &quot;ELES&quot; TRAMAM EMPLACAR O MALFETOR LULA DE VOLTA AO  PODER, QUE É A VOLTA DA  CLEPTOCRACIA-LULA, QUE AMEALHA RIQUEZAS COM PROPINAS; E COM O FORO-DE-SP, IMPLANTAR O COMUNISMO NO PAÍS, E ASSIM PERPETUAR-SE NO PODER.', 'textOriginal': 'FATO 1: OS 8+1 CAPAS PRETAS SÃO SERVIÇAIS DO MALFEITOR LULA, QUE LHE DÃO PROTEÇÃO \\nE APANIGUAM SEUS CRIMES. FATO 2: ""ELES"" TRAMAM EMPLACAR O MALFETOR LULA DE VOLTA AO  PODER, QUE É A VOLTA DA  CLEPTOCRACIA-LULA, QUE AMEALHA RIQUEZAS COM PROPINAS; E COM O FORO-DE-SP, IMPLANTAR O COMUNISMO NO PAÍS, E ASSIM PERPETUAR-SE NO PODER.', 'authorDisplayName': 'damascynclito medeiros', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNz02bWHJsWf6PUQI1MSJeCJORK146p57EZkQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuMcnQhhkiR8ZL_gZ0vObQA', 'authorChannelId': {'value': 'UCuMcnQhhkiR8ZL_gZ0vObQA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-22T13:18:20Z', 'updatedAt': '2022-10-22T13:18:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuMcnQhhkiR8ZL_gZ0vObQA,2022-10-22T13:18:20Z,"FATO 1: OS 8+1 CAPAS PRETAS SÃO SERVIÇAIS DO MALFEITOR LULA, QUE LHE DÃO PROTEÇÃO 
E APANIGUAM SEUS CRIMES. FATO 2: ""ELES"" TRAMAM EMPLACAR O MALFETOR LULA DE VOLTA AO  PODER, QUE É A VOLTA DA  CLEPTOCRACIA-LULA, QUE AMEALHA RIQUEZAS COM PROPINAS; E COM O FORO-DE-SP, IMPLANTAR O COMUNISMO NO PAÍS, E ASSIM PERPETUAR-SE NO PODER.",QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,jhSWNaM_J5saLRHFBG4r8qhmAQ0,Ugwy9LG_rDSHAnOy25Z4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kX7DnM5H5NmoRK2zgBbRAARPvDA', 'id': 'Ugwy9LG_rDSHAnOy25Z4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Excelente!!!!!', 'textOriginal': 'Excelente!!!!!', 'authorDisplayName': '[ERB] Zampierre', 'authorProfileImageUrl': 'https://yt3.ggpht.com/IwsaCTtqNm4keWcgH8HBLtm4RUoM_sK1KRxEWBmGmfJ7E9wKatX2O1YMT1JffGj7fU-oo11-aw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCAF896CAxS6mNyHSLFVppXA', 'authorChannelId': {'value': 'UCAF896CAxS6mNyHSLFVppXA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T04:28:19Z', 'updatedAt': '2022-10-21T04:28:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCAF896CAxS6mNyHSLFVppXA,2022-10-21T04:28:19Z,Excelente!!!!!,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,HeRjKZ6C7sGFChdXgEqbDR_53Q8,Ugz9SkVAXjKNRY8bI9x4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0PX3BHRV1QicudX2dLAEU2lnavE', 'id': 'Ugz9SkVAXjKNRY8bI9x4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Tu me representa', 'textOriginal': 'Tu me representa', 'authorDisplayName': 'Jackson Walber', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMVNcYzagfmQ9EfDFyvoQVTfxvKuKYXtBEvSg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCyBlvezVYOHEb3Ny-HRXIOA', 'authorChannelId': {'value': 'UCyBlvezVYOHEb3Ny-HRXIOA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T15:35:16Z', 'updatedAt': '2022-10-19T15:35:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCyBlvezVYOHEb3Ny-HRXIOA,2022-10-19T15:35:16Z,Tu me representa,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
youtube#commentThread,GPQauDqNO0nUdLh2TjfwEkKcyc8,Ugyh0YkryZiBjj9qmHp4AaABAg,"{'videoId': '6jTfrEvePPo', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tdmHl-ZsaiikbHlWjTIHOH_YRgM', 'id': 'Ugyh0YkryZiBjj9qmHp4AaABAg', 'snippet': {'videoId': '6jTfrEvePPo', 'textDisplay': 'Marcel eu votei em você não pêlo  partido por duas vezes não faça eu me arrepender..', 'textOriginal': 'Marcel eu votei em você não pêlo  partido por duas vezes não faça eu me arrepender..', 'authorDisplayName': 'Josias Jorge Machado', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPis2iqOxbLtjJ607Fw4aMOFVOyjpumQEMUXQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCL5-f2-twZOyGA5bM2xvgrA', 'authorChannelId': {'value': 'UCL5-f2-twZOyGA5bM2xvgrA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-13T16:46:43Z', 'updatedAt': '2022-10-13T16:46:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCL5-f2-twZOyGA5bM2xvgrA,2022-10-13T16:46:43Z,Marcel eu votei em você não pêlo  partido por duas vezes não faça eu me arrepender..,QURTSl9pM1RvS2VDY1JDOGY5Vlo1V1hOTmdBU3M4TlRMOGtsNHN2OEEydGFxeEJUSU1PdDhmTlZzUWtmbE9iRUg3WFNNbG15YTFtNUJhSQ==,2023-06-09 04:20:41.261577
