kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,4SuoY5ElKmBfFrYlipLNYlQG52Q,UgzCLtZhUAotFxMBrdt4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'X886oukgZTRnxRsyhen0SVBLP4c', 'id': 'UgzCLtZhUAotFxMBrdt4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Você pode nos ajudar a continuar existindo, mas só se você quiser:\\r<br>\\r<br>Chave Pix:\\r<br>pixmeteoro@<a href=""http://gmail.com/"">gmail.com\\r</a><br>--\\r<br>Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  \\r<br><a href=""https://www.padrim.com.br/meteorobrasil"">https://www.padrim.com.br/meteorobrasil</a>', 'textOriginal': 'Você pode nos ajudar a continuar existindo, mas só se você quiser:\\r\\n\\r\\nChave Pix:\\r\\npixmeteoro@gmail.com\\r\\n--\\r\\nEssa é a campanha de financiamento coletivo que mantém esse canal no ar:  \\r\\nhttps://www.padrim.com.br/meteorobrasil', 'authorDisplayName': 'Meteoro Brasil', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNGCbclrHxvkq4fwApcRJ0NpCREeOj8UReO6Y1ZHw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCk5BcU1rOy6hepflk7_q_Pw', 'authorChannelId': {'value': 'UCk5BcU1rOy6hepflk7_q_Pw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 94, 'publishedAt': '2022-10-21T16:33:34Z', 'updatedAt': '2022-10-21T16:33:34Z'}}, 'canReply': True, 'totalReplyCount': 34, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'xL9j8oyWgW7IiUF3r3-GPEqv-QY', 'id': 'UgzCLtZhUAotFxMBrdt4AaABAg.9hSOffDNZy69haIw0z4XZN', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': '@Estela Lopes deixa esse sacripanta pra lá! Dizendo que &quot;Lula é um perigo para sociedade.&quot; Parece que não viveu esses 3 anos e 10 meses de Bolsonaro. Essa altura do campeonato eu quero que todo bolsonarento vá para o inferno!', 'textOriginal': '@Estela Lopes deixa esse sacripanta pra lá! Dizendo que ""Lula é um perigo para sociedade."" Parece que não viveu esses 3 anos e 10 meses de Bolsonaro. Essa altura do campeonato eu quero que todo bolsonarento vá para o inferno!', 'parentId': 'UgzCLtZhUAotFxMBrdt4AaABAg', 'authorDisplayName': 'Petralha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/pReMZVVWSRq8V0V-qGsS_U9Rou86d3OZrEWeEMXMwP8UwQoS0mzRCelUe8q47f5rWoiwBrqFcA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7X9wsqr03mNDzAFLqhnabw', 'authorChannelId': {'value': 'UC7X9wsqr03mNDzAFLqhnabw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T03:36:32Z', 'updatedAt': '2022-10-25T03:36:32Z'}}, {'kind': 'youtube#comment', 'etag': 'w5Dhtcorr7Tf7DA9ywEfy4O6DiM', 'id': 'UgzCLtZhUAotFxMBrdt4AaABAg.9hSOffDNZy69hZklS_-4Hw', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': '@Lulu RPG Totalmente enganado a esse respeito.... NÃO COMETA ESSA LOUCURA DE DAR SEU VOTO A BOLSONARO....AINDA TÁ EM TEMPO DE VC PESQUISAR SOBRE O ASSUNTO.', 'textOriginal': '@Lulu RPG Totalmente enganado a esse respeito.... NÃO COMETA ESSA LOUCURA DE DAR SEU VOTO A BOLSONARO....AINDA TÁ EM TEMPO DE VC PESQUISAR SOBRE O ASSUNTO.', 'parentId': 'UgzCLtZhUAotFxMBrdt4AaABAg', 'authorDisplayName': 'Estela Lopes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP4hoP6D6NZ9EFfnUfYdhcce3zX7k-U0gjO=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCV2L-KLQhOHJ_8V8QpOdi-g', 'authorChannelId': {'value': 'UCV2L-KLQhOHJ_8V8QpOdi-g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T13:10:01Z', 'updatedAt': '2022-10-24T13:10:01Z'}}, {'kind': 'youtube#comment', 'etag': 'wGyAFfUE_MaKoC2VDYc--U83abY', 'id': 'UgzCLtZhUAotFxMBrdt4AaABAg.9hSOffDNZy69hZipKcABuF', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': '@Nicolas Gabriel vai pro inferno!', 'textOriginal': '@Nicolas Gabriel vai pro inferno!', 'parentId': 'UgzCLtZhUAotFxMBrdt4AaABAg', 'authorDisplayName': 'Petralha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/pReMZVVWSRq8V0V-qGsS_U9Rou86d3OZrEWeEMXMwP8UwQoS0mzRCelUe8q47f5rWoiwBrqFcA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7X9wsqr03mNDzAFLqhnabw', 'authorChannelId': {'value': 'UC7X9wsqr03mNDzAFLqhnabw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T12:53:04Z', 'updatedAt': '2022-10-24T12:53:04Z'}}, {'kind': 'youtube#comment', 'etag': '8W2Y05i71S1E9V0X7ueTFuSNMkU', 'id': 'UgzCLtZhUAotFxMBrdt4AaABAg.9hSOffDNZy69hZXdbB5Pu2', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': '@Lulu RPG vai lá, vota no minto! Fascista do caralho!', 'textOriginal': '@Lulu RPG vai lá, vota no minto! Fascista do caralho!', 'parentId': 'UgzCLtZhUAotFxMBrdt4AaABAg', 'authorDisplayName': 'Petralha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/pReMZVVWSRq8V0V-qGsS_U9Rou86d3OZrEWeEMXMwP8UwQoS0mzRCelUe8q47f5rWoiwBrqFcA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7X9wsqr03mNDzAFLqhnabw', 'authorChannelId': {'value': 'UC7X9wsqr03mNDzAFLqhnabw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T11:06:37Z', 'updatedAt': '2022-10-24T11:08:05Z'}}, {'kind': 'youtube#comment', 'etag': 'yiHGrdcPSPa99KxwWLgRAChneik', 'id': 'UgzCLtZhUAotFxMBrdt4AaABAg.9hSOffDNZy69hZXcbinI33', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Kkkkkk tá sem grana?', 'textOriginal': 'Kkkkkk tá sem grana?', 'parentId': 'UgzCLtZhUAotFxMBrdt4AaABAg', 'authorDisplayName': 'Samuel Oizume', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNt3o98SXXuG1XgiBoIuRVZ6cN9fUENBX3jq64jiQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCO0TMI3nwSu62zUNJAdginQ', 'authorChannelId': {'value': 'UCO0TMI3nwSu62zUNJAdginQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T11:06:29Z', 'updatedAt': '2022-10-24T11:06:29Z'}}]}",UCk5BcU1rOy6hepflk7_q_Pw,2022-10-21T16:33:34Z,"Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,0LCEiNBcdTm-ip_T0nGRm9hWd0U,UgyjMsTqmRTuvDUjj394AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'RSM3Phlxayi8vc6JZLiUVeCEzZU', 'id': 'UgyjMsTqmRTuvDUjj394AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'virou em!!!<br><br><br><br><br>virou PIADA!', 'textOriginal': 'virou em!!!\\n\\n\\n\\n\\nvirou PIADA!', 'authorDisplayName': 'Gustavo Nunes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNOb1A6fl9W0CecIId7qG8GmhvLQ3djprnfTEBbHQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7R2OpQacK5cITI7t6dexgg', 'authorChannelId': {'value': 'UC7R2OpQacK5cITI7t6dexgg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-28T00:04:14Z', 'updatedAt': '2022-11-28T00:04:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7R2OpQacK5cITI7t6dexgg,2022-11-28T00:04:14Z,"virou em!!!




virou PIADA!",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,QwAUiicOL3ZDATJdNJ3iH2jn_cc,UgwnCNycoIadK9wXeAd4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '81O1EolJ1ym7XS-twHf8vLNoogs', 'id': 'UgwnCNycoIadK9wXeAd4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Ele vai virar sim, presidiário.', 'textOriginal': 'Ele vai virar sim, presidiário.', 'authorDisplayName': 'Emma Medeiros', 'authorProfileImageUrl': 'https://yt3.ggpht.com/9h24qcBBVA9PGNUyeOg7EXbmA7HyNYVYDayT0vI9tHSR73ItMb9jyK0Ic1OPh4N_qTam_eh2CS4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8izKnprzXVcpcXgbCwzTWQ', 'authorChannelId': {'value': 'UC8izKnprzXVcpcXgbCwzTWQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T17:46:31Z', 'updatedAt': '2022-10-27T17:46:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8izKnprzXVcpcXgbCwzTWQ,2022-10-27T17:46:31Z,"Ele vai virar sim, presidiário.",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,_HqM_k0-gMWx4yfwH5YYpbVR81I,UgxGvO_ydEecqpNS1kZ4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kQp7n6EjHEjFJzl_amPJiyZRlXo', 'id': 'UgxGvO_ydEecqpNS1kZ4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Se o datafolha aponta empate, já sabe né? É melhor Jair se acostumando...', 'textOriginal': 'Se o datafolha aponta empate, já sabe né? É melhor Jair se acostumando...', 'authorDisplayName': 'Victor Aquino', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOKW6QtvvGMyL3jngONhd39ilcrFtQzwt3Y5Gz-=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0XUEH9PGIqVKRfE9lNySHQ', 'authorChannelId': {'value': 'UC0XUEH9PGIqVKRfE9lNySHQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T15:48:12Z', 'updatedAt': '2022-10-27T15:48:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0XUEH9PGIqVKRfE9lNySHQ,2022-10-27T15:48:12Z,"Se o datafolha aponta empate, já sabe né? É melhor Jair se acostumando...",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,NUZjZukZtw7ei_-Y_walT43pzYc,UgybKEXmjgPgX0FXhqJ4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LfVTBbBGPIkBjlIDvmecbG55G0I', 'id': 'UgybKEXmjgPgX0FXhqJ4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': '&quot;e as pessoas razoáveis&quot; é a melhor frase...', 'textOriginal': '""e as pessoas razoáveis"" é a melhor frase...', 'authorDisplayName': 'Naiá Lusvarghi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPT43GOOgntVYhgwe8fZccxh8Ax52qBuBwdK0OyNAY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSfAC3qFN75dU67dk7U4uJw', 'authorChannelId': {'value': 'UCSfAC3qFN75dU67dk7U4uJw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T12:33:37Z', 'updatedAt': '2022-10-27T12:33:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCSfAC3qFN75dU67dk7U4uJw,2022-10-27T12:33:37Z,"""e as pessoas razoáveis"" é a melhor frase...",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,Gw4p0K3Y_RBsscIxzfMoYEyI10w,Ugyzs6czKhs4DPtCIQZ4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'RD0V1EEDVvGDeQG78WyYYPa404k', 'id': 'Ugyzs6czKhs4DPtCIQZ4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Já virou ! 🐄', 'textOriginal': 'Já virou ! 🐄', 'authorDisplayName': 'Elcio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMdnPVCK3D5rKB60zfU-CRPFVh3Xv3mEI_d2mVGWg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUm60WpmoIvXVwXcrJezz8w', 'authorChannelId': {'value': 'UCUm60WpmoIvXVwXcrJezz8w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T01:26:56Z', 'updatedAt': '2022-10-27T01:26:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUm60WpmoIvXVwXcrJezz8w,2022-10-27T01:26:56Z,Já virou ! 🐄,QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,4Q_HrQe-Oz-YWIO0fNj2ogzYZCE,UgyxjMYiNGla_5pF47V4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9VL-yx65nD1BgGhEsmdVqtMLOgA', 'id': 'UgyxjMYiNGla_5pF47V4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Ladrão vai levar de virada', 'textOriginal': 'Ladrão vai levar de virada', 'authorDisplayName': 'LEANDRO TIGLEA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/2fvXbd2ozzCGavPASprk6SyUJB95zGfNCwOhl7lWlwaLe3GYQXhvAi7KOy7yzgkL9_XP1Attxw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCObVaj-6zNQrQojeKDVKKvQ', 'authorChannelId': {'value': 'UCObVaj-6zNQrQojeKDVKKvQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T04:18:09Z', 'updatedAt': '2022-10-26T04:18:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCObVaj-6zNQrQojeKDVKKvQ,2022-10-26T04:18:09Z,Ladrão vai levar de virada,QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,WvkTymYerSOXZicr7LRR47H4tiY,Ugy_Zlkq2CBblApTNf14AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dWm3HXoZABxnJdJ09DeU2TImNXY', 'id': 'Ugy_Zlkq2CBblApTNf14AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'A luta continua. Vamos de Lula!!!!', 'textOriginal': 'A luta continua. Vamos de Lula!!!!', 'authorDisplayName': 'Maria Nazareth Cerqueira Pinto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPgPWot2WlC8QJomdQVwjLmeQmMHjIY-r0H0UBs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCsUL4Illw3TASKC472fdTXQ', 'authorChannelId': {'value': 'UCsUL4Illw3TASKC472fdTXQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T02:17:22Z', 'updatedAt': '2022-10-26T02:17:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCsUL4Illw3TASKC472fdTXQ,2022-10-26T02:17:22Z,A luta continua. Vamos de Lula!!!!,QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,tT0B5zfD8JHD-khroi_HnoiiNyA,Ugyg5fvKBeuBjRxj13N4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'L88yPnfMM6ls1UrIHRMolNVUtbE', 'id': 'Ugyg5fvKBeuBjRxj13N4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'Tenha medo não Lula, tenha só convivência de que VC não merece mas uma chance,bou 22', 'textOriginal': 'Tenha medo não Lula, tenha só convivência de que VC não merece mas uma chance,bou 22', 'authorDisplayName': 'Cícero Félix Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPvmxk1cM22ThhM4bjwWm7wbWimRHnkZX8fCw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEiAGLLknIuIbrSlFVFYWhw', 'authorChannelId': {'value': 'UCEiAGLLknIuIbrSlFVFYWhw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T18:50:08Z', 'updatedAt': '2022-10-25T18:50:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEiAGLLknIuIbrSlFVFYWhw,2022-10-25T18:50:08Z,"Tenha medo não Lula, tenha só convivência de que VC não merece mas uma chance,bou 22",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
youtube#commentThread,Z1jvueUpstvZRx1Fg2baAdPwA90,UgzXI-CYMgEXv99uGwp4AaABAg,"{'videoId': '0E_sfsF8SMg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DZGFGQH6swVZtYDMNdsZtZqkCXY', 'id': 'UgzXI-CYMgEXv99uGwp4AaABAg', 'snippet': {'videoId': '0E_sfsF8SMg', 'textDisplay': 'eu disse pra votar no eymael pra ter chance no segundo turno, mas não.', 'textOriginal': 'eu disse pra votar no eymael pra ter chance no segundo turno, mas não.', 'authorDisplayName': 'polentusmax', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPV7_9IFbjgJy7C3Zl-_CDQBcttoGFiIfN17DQSLg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYIfWiJadikUPXns6M11VOQ', 'authorChannelId': {'value': 'UCYIfWiJadikUPXns6M11VOQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T18:41:01Z', 'updatedAt': '2022-10-25T18:41:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYIfWiJadikUPXns6M11VOQ,2022-10-25T18:41:01Z,"eu disse pra votar no eymael pra ter chance no segundo turno, mas não.",QURTSl9pM3hWS0JEd25hemFiVmFPWEdzdG9DWEE0V2xTbjZKSk1IM21PWWRTM3R6WEhGWDlvY3hCbFFia1JGbGRJMWU0T1Q1ODRMZDBIbkJWdG5LQTlHTUcwYlQ3RGhX,2023-06-09 04:27:16.057172
