kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,vWqsLOiA-ydEcsy0JEK6tn_3JaM,Ugw870IDslEazIoCEHh4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qUPQQQWf44QcvHQc2lzxJBuvon0', 'id': 'Ugw870IDslEazIoCEHh4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'Muito lindo!!', 'textOriginal': 'Muito lindo!!', 'authorDisplayName': 'Leda Araruna', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM_mRM-aYpkSLORZ-R2uGU_SgAn76iadGJkMQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVW6j7GRPC4n0E5Ujt6mfaQ', 'authorChannelId': {'value': 'UCVW6j7GRPC4n0E5Ujt6mfaQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-03T21:34:05Z', 'updatedAt': '2023-06-03T21:34:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVW6j7GRPC4n0E5Ujt6mfaQ,2023-06-03T21:34:05Z,Muito lindo!!,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,aoekJwBepojGwY6TPgPdTl4TO8k,UgxSaBp__ZC56iOW_Rx4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bWqC-N85YTI1uNV0_GeJePgeMNE', 'id': 'UgxSaBp__ZC56iOW_Rx4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'Bom dia, irmãos patriotas <br>Nordestino, gosto de ver.seus  vídeos mas  sei que vcs aí.sofrem,  muito<br>Deus vai ajudar vcs aí sul de m  g.', 'textOriginal': 'Bom dia, irmãos patriotas \\nNordestino, gosto de ver.seus  vídeos mas  sei que vcs aí.sofrem,  muito\\nDeus vai ajudar vcs aí sul de m  g.', 'authorDisplayName': 'Vilma Candida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO7MDNq4kxIRz957-yxwQS6e6_YtaUFYmlB4PUeoNxpDzN06C4De8IF3s5Kwxmr=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCxTa7HNCG5RYvKcRjVJGVrA', 'authorChannelId': {'value': 'UCxTa7HNCG5RYvKcRjVJGVrA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-28T14:00:23Z', 'updatedAt': '2023-05-28T14:00:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCxTa7HNCG5RYvKcRjVJGVrA,2023-05-28T14:00:23Z,"Bom dia, irmãos patriotas 
Nordestino, gosto de ver.seus  vídeos mas  sei que vcs aí.sofrem,  muito
Deus vai ajudar vcs aí sul de m  g.",QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,TQgr0eWwiUeYqR9AsHvJxxMU5QE,UgzkIsyFCgXRe1DYJdh4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'aBgOJ5VbKbQkMkp9tLN8T4t8cNw', 'id': 'UgzkIsyFCgXRe1DYJdh4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'Amem e glória Deus proverá tudo', 'textOriginal': 'Amem e glória Deus proverá tudo', 'authorDisplayName': 'Vera Lucia Pacheco Galvão', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPrIWFteYNUzntnruJiD00Njw_np2HbhSu-1w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCAZCMxsb3yPgzYdnUF79UtQ', 'authorChannelId': {'value': 'UCAZCMxsb3yPgzYdnUF79UtQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-15T18:08:20Z', 'updatedAt': '2023-05-15T18:08:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCAZCMxsb3yPgzYdnUF79UtQ,2023-05-15T18:08:20Z,Amem e glória Deus proverá tudo,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,D7ZAhNn9ZGLboaONGsIFKN8VALg,Ugx5RDZAXUdhWol57O54AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5oQltBgT0BtAC6ly_HmD5LeOX7I', 'id': 'Ugx5RDZAXUdhWol57O54AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'chegou à hora de salvar o Brasil verde e amarelo presidente   22', 'textOriginal': 'chegou à hora de salvar o Brasil verde e amarelo presidente   22', 'authorDisplayName': 'Maria Graças', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMMWnhJrWAdzhwGynM4cLCB3gxHOIcoKEwCgA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCD6Do1XQI85MjpIACy0RZGg', 'authorChannelId': {'value': 'UCD6Do1XQI85MjpIACy0RZGg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-30T13:17:51Z', 'updatedAt': '2023-04-30T13:17:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCD6Do1XQI85MjpIACy0RZGg,2023-04-30T13:17:51Z,chegou à hora de salvar o Brasil verde e amarelo presidente   22,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,j558w-phk8rq3QRBBGS_9SzLF2E,Ugw_2uhxvx65YzXiuNt4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UPpRkZXr6if9HZXolljUs4nlXI8', 'id': 'Ugw_2uhxvx65YzXiuNt4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'O nosso presidente além de ser Eleito é modesto e é sim prático. Parabéns. Volte pra nós precisamos de sua Excelência  e seja  bem vindo  ao seu país e ao nosso nois brasileiro tínhamos a vitória e sua .E a sua Excelência. E o nosso capitão jair macias bonsonario precisa do Brasil. Brasil tiespera Uberaba 28.02.2028', 'textOriginal': 'O nosso presidente além de ser Eleito é modesto e é sim prático. Parabéns. Volte pra nós precisamos de sua Excelência  e seja  bem vindo  ao seu país e ao nosso nois brasileiro tínhamos a vitória e sua .E a sua Excelência. E o nosso capitão jair macias bonsonario precisa do Brasil. Brasil tiespera Uberaba 28.02.2028', 'authorDisplayName': 'Cacilda Feitosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNrBaNO75R2IyFH7zL7KZc0yQ3a7iESlhJMXxufE_4WoiZ4zMHWwxAHMnVZpb9v=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCId1yI40UsPFMRcGWBjnDnw', 'authorChannelId': {'value': 'UCId1yI40UsPFMRcGWBjnDnw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-28T04:58:36Z', 'updatedAt': '2023-02-28T04:58:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCId1yI40UsPFMRcGWBjnDnw,2023-02-28T04:58:36Z,O nosso presidente além de ser Eleito é modesto e é sim prático. Parabéns. Volte pra nós precisamos de sua Excelência  e seja  bem vindo  ao seu país e ao nosso nois brasileiro tínhamos a vitória e sua .E a sua Excelência. E o nosso capitão jair macias bonsonario precisa do Brasil. Brasil tiespera Uberaba 28.02.2028,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,sKV0NoEnt-5vfs3HLPo7Q8nqSJ8,UgzBz-DlHyiRXTk2X_p4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'D6Uz9424lXvyf2drmew4TND1HtY', 'id': 'UgzBz-DlHyiRXTk2X_p4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'Se boldonario nunpresta elula e ladrano então coloca bolsonario de volta para levantar o brasilu lula vai cair junto como brasilu', 'textOriginal': 'Se boldonario nunpresta elula e ladrano então coloca bolsonario de volta para levantar o brasilu lula vai cair junto como brasilu', 'authorDisplayName': 'Mercedes Ferreira de Carvalho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOJprVmZacmm7uVU4W9xDQnTWms-VG-bSHP3Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbc9r8508-RbSZhpsTvShEA', 'authorChannelId': {'value': 'UCbc9r8508-RbSZhpsTvShEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-18T19:58:15Z', 'updatedAt': '2023-01-18T19:58:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbc9r8508-RbSZhpsTvShEA,2023-01-18T19:58:15Z,Se boldonario nunpresta elula e ladrano então coloca bolsonario de volta para levantar o brasilu lula vai cair junto como brasilu,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,5a_jmHR2MNovqkT1IQgLFLVL_rw,UgwbHmQz7au2nI9SjQF4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BEC6bX2Hp_7wXoN1QnKDaNW54xM', 'id': 'UgwbHmQz7au2nI9SjQF4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': '🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏', 'textOriginal': '🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏', 'authorDisplayName': 'Maria do Socorro Dos santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMX2y5XBgIEjRzmQ8xXTE3TrMBJnhpZQLsePSDpoU8kk89Y_NtIWAnNcN0cO1OM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCsXptzRj9P5uZP7RnAUsCdw', 'authorChannelId': {'value': 'UCsXptzRj9P5uZP7RnAUsCdw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T12:51:50Z', 'updatedAt': '2022-10-23T12:51:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCsXptzRj9P5uZP7RnAUsCdw,2022-10-23T12:51:50Z,🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,vvd5oia7GcBiLvZ8xV7AjJeWl3k,UgyiM3hdYlinhzx6Da14AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jGHeUCxtezcl4ccs22Zecs0KHPs', 'id': 'UgyiM3hdYlinhzx6Da14AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'Groria a Deus aleluia senhor  Deus tarda mas não falha  🙏🙏🙏🙏🙏🇨🇨🇨🇨', 'textOriginal': 'Groria a Deus aleluia senhor  Deus tarda mas não falha  🙏🙏🙏🙏🙏🇨🇨🇨🇨', 'authorDisplayName': 'Ester Ribeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMvnPCoWrfX5FZ4fIVQ8LhL0ZeL7EnLaluFdA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjpjDTdsLlTwU1yVHXUGsLQ', 'authorChannelId': {'value': 'UCjpjDTdsLlTwU1yVHXUGsLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T17:48:33Z', 'updatedAt': '2022-10-22T17:48:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjpjDTdsLlTwU1yVHXUGsLQ,2022-10-22T17:48:33Z,Groria a Deus aleluia senhor  Deus tarda mas não falha  🙏🙏🙏🙏🙏🇨🇨🇨🇨,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,Ng1JoIVYMlhfpFHOuaoERL5ZiYk,UgwruRJeSWR94Fag9_54AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YpRYeee1NfK9MHJmk-5cUA37bmk', 'id': 'UgwruRJeSWR94Fag9_54AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'Gostei muito de ver vila velha es', 'textOriginal': 'Gostei muito de ver vila velha es', 'authorDisplayName': 'Gumercindo Braga', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqND8ErniofG-j6f5qRHdboih-kddv2g7B9DNqwfLb2tklIIHcLDu2nYY0LpQZWa=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC06x4nsHOiNihwlLZU-fzGg', 'authorChannelId': {'value': 'UC06x4nsHOiNihwlLZU-fzGg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T16:27:00Z', 'updatedAt': '2022-10-21T16:27:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC06x4nsHOiNihwlLZU-fzGg,2022-10-21T16:27:00Z,Gostei muito de ver vila velha es,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
youtube#commentThread,INyvEq8_R4f9keUIHNHKVCiNwMs,UgxxQhWXZJsuJbXHVfl4AaABAg,"{'videoId': 'tnluywZbrPI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fjQjuREwP52MokyCzZggQM5B0bw', 'id': 'UgxxQhWXZJsuJbXHVfl4AaABAg', 'snippet': {'videoId': 'tnluywZbrPI', 'textDisplay': 'O pt  é corupto vai pagar por seus error', 'textOriginal': 'O pt  é corupto vai pagar por seus error', 'authorDisplayName': 'edemar lara02', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPOWpuASQpNgbBlW2eU_-W0otiVTZ3mGLOqdyZ-RrWLycLjxkDYhhIEwgPCAz6a=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVSnAH90dfRYF7WMouLHXKw', 'authorChannelId': {'value': 'UCVSnAH90dfRYF7WMouLHXKw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T11:45:06Z', 'updatedAt': '2022-10-16T11:45:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVSnAH90dfRYF7WMouLHXKw,2022-10-16T11:45:06Z,O pt  é corupto vai pagar por seus error,QURTSl9pMkF1T3FORXo2NDhRdElIdXhnRmtGNnFBbThaUXc1VTNzQnRFcXhYWV9jM3hJdzc3V2VaSDJwajRPbkZ4VER1YVI2b0ZvT2ZKWQ==,2023-06-09 04:44:15.177938
